"Gene","ENTREZID"
"PLXND1","23129"
"DGLUCY","80017"
"TTC28-AS1","284900"
"CD300A","11314"
"IL7R","3575"
"HJURP","55355"
"MYO18B","84700"
"BORCS6","54785"
"SLC39A4","55630"
"GK","2710"
"OSBPL9","114883"
"MAML1","9794"
"RNF121","55298"
"PFN1","5216"
"SUPT6H","6830"
"FAM72A","729533"
"SPIB","6689"
"THAP1","55145"
"PKD1","5310"
"NTN1","9423"
"H4C3","8364"
"ANP32A","8125"
"EMILIN2","84034"
"LINC00667","339290"
"ERAL1","26284"
"TFAM","7019"
"MARCHF5","54708"
"ABCC6","368"
"MRPS18B","28973"
"TMEM65","157378"
"DEGS2","123099"
"FAM161A","84140"
"ZNF784","147808"
"SPATA5","166378"
"TMEM104","54868"
"C18orf25",NA
"COG4","25839"
"TRAF2","7186"
"YY1","7528"
"ATXN1L","342371"
"TPRN","286262"
"ZCCHC9","84240"
"DNAJB12","54788"
"CLEC2B","9976"
"ALOXE3","59344"
"PEX11G","92960"
"TSPAN3","10099"
"PLA2G4B","100137049"
"SHLD2","54537"
"INTS12","57117"
"MBTPS2","51360"
"ERMP1","79956"
"KRT10","3858"
"SAMD1","90378"
"CERKL","375298"
"PDIK1L","149420"
"ICE1","23379"
"RNF123","63891"
"FAAP20","199990"
"RGS5","8490"
"CNTLN","54875"
"TSPAN4","7106"
"INTS5","80789"
"CDC37","11140"
"ZNF202","7753"
"SLC25A33","84275"
"FGFBP3","143282"
"SLC27A5","10998"
"EIF6","3692"
"PARL","55486"
"RHOT2","89941"
"SCAP","22937"
"PIM3","415116"
"PLEK","5341"
"DYNC2I2","89891"
"RPL22P2","326292"
"DSC2","1824"
"C1orf54","79630"
"TP53INP1","94241"
"UBALD1","124402"
"MED29","55588"
"ADCK5","203054"
"WBP4","11193"
"RIDA","10247"
"EVI5L","115704"
"TMC5","79838"
"SLC25A40","55972"
"BTBD10","84280"
"RPUSD4","84881"
"BBX","56987"
"PNPLA7","375775"
"MT-RNR2",NA
"PHC2","1912"
"COL9A1","1297"
"CBFA2T2","9139"
"NXT1","29107"
"MEGF6","1953"
"MLC1","23209"
"UBXN11","91544"
"QSOX2","169714"
"LINC00630","100287765"
"PHETA2","150368"
"CEP63","80254"
"CAMTA1-DT","110841581"
"ATE1","11101"
"AK4P1","206"
"RPL22","6146"
"STOML2","30968"
"NUBP2","10101"
"TMCO1-AS1","100147773"
"ERCC8","1161"
"KTI12","112970"
"RPF2","84154"
"PRCC","5546"
"SRSF5","6430"
"SEC22C","9117"
"SLC35G1","159371"
"MTCYBP35","109729150"
"CHCHD5","84269"
"DIPK2A","205428"
"TMEM150B","284417"
"CEBPB","1051"
"NEFH","4744"
"NEU1","4758"
"WASH7P","653635"
"ELMO1","9844"
"ANAPC4","29945"
"CHAC2","494143"
"FAIM2","23017"
"SLF2","55719"
"NPEPL1","79716"
"JARID2","3720"
"OST4","100128731"
"SFXN4","119559"
"CRACR2A","84766"
"LGALS1","3956"
"HOOK1","51361"
"EIF3F","8665"
"LINC01118","388948"
"CLDN15","24146"
"DNASE1","1773"
"MVP","9961"
"PRUNE1","58497"
"CREB1","1385"
"ZNF267","10308"
"CEP162","22832"
"ERCC3","2071"
"MYSM1","114803"
"RAB8A","4218"
"TSPAN33","340348"
"CD320","51293"
"ANKZF1","55139"
"KRT8P46","100418744"
"NKRF","55922"
"NONOP2","100271700"
"EXOC6B","23233"
"P2RY2","5029"
"ARFRP1","10139"
"AJUBA-DT","107984660"
"TBC1D5","9779"
"KDM5D","8284"
"CKAP2L","150468"
"SH3TC2-DT","255187"
"MOB4","25843"
"ANXA1","301"
"EPB41L4A","64097"
"KANSL3","55683"
"RASA3-IT1","100874321"
"ZNF629","23361"
"SEPTIN7P13","100287497"
"DRAM1","55332"
"TSPAN5-DT","105377342"
"SLC41A1","254428"
"TARDBP","23435"
"B3GAT3","26229"
"ME2","4200"
"SRM","6723"
"SELENOH","280636"
"PALB2","79728"
"PHB2","11331"
"MTMR4","9110"
"GSK3A","2931"
"ARMC7","79637"
"SCCPDH","51097"
"DDX49","54555"
"B3GALNT2","148789"
"DPP8","54878"
"FBXW8","26259"
"RCOR1","23186"
"MGAM","8972"
"ATF4P3","643159"
"NT5C3A","51251"
"RAF1","5894"
"MEX3A","92312"
"CPA3","1359"
"CYLD","1540"
"MIR3194","100422889"
"CLOCK","9575"
"LEMD3","23592"
"CRYZL1","9946"
"SLC66A2","80148"
"C12orf29","91298"
"UBE2Q1","55585"
"CCND1","595"
"ZBTB10","65986"
"NEIL1","79661"
"HYLS1","219844"
"ALDH7A1","501"
"MRPS21","54460"
"LATS1","9113"
"HSD17B10","3028"
"TRAPPC2B","10597"
"PRR7-AS1","340037"
"GPATCH2L","55668"
"ZNF345","25850"
"QRICH1","54870"
"MGAT2","4247"
"RN7SKP255","106479209"
"FXR1","8087"
"ZMYM1","79830"
"TAOK1","57551"
"PLCD1","5333"
"XRCC3","7517"
"CLEC12A","160364"
"U2SURP","23350"
"ARMT1","79624"
"PCGF5","84333"
"PCNX3","399909"
"BMPR2","659"
"SCUBE3","222663"
"LSMEM2","132228"
"MIR223HG","115891964"
"TMEM250","90120"
"DNAJC1","64215"
"FNTB","2342"
"SLFN12","55106"
"COA5","493753"
"TMEM165","55858"
"TECRP1","442777"
"COX7A2","1347"
"RAP1A","5906"
"PDE1B","5153"
"BORCS8","729991"
"ZNF649","65251"
"CCND2-AS1","103752584"
"GTPBP6","8225"
"TELO2","9894"
"DLGAP1-AS1","649446"
"EEPD1","80820"
"NUP37","79023"
"SDHDP6","29768"
"TET2","54790"
"CCNT2","905"
"PILRB","29990"
"CYP2D6","1565"
"ANKRD40","91369"
"RNASE1","6035"
"GOLPH3-DT","118597838"
"GALE","2582"
"EDRF1","26098"
"RIPK1","8737"
"SORL1","6653"
"ZUP1","221302"
"TRA2B","6434"
"TTI1","9675"
"CHURC1","91612"
"RAP1GAP2","23108"
"CD164","8763"
"MAST1","22983"
"TIPARP","25976"
"FAM20B","9917"
"PHKB","5257"
"AHDC1","27245"
"ZXDC","79364"
"ZNF691","51058"
"AGRN","375790"
"C11orf21","29125"
"SLC35B1","10237"
"TEF","7008"
"OXLD1","339229"
"CCDC57","284001"
"SLPI","6590"
"MRPL45P2","653479"
"PPIAP31","439953"
"RNF145","153830"
"FANCM","57697"
"ASB16","92591"
"PLEKHA8","84725"
"RN7SKP203","106479185"
"UNC93B1","81622"
"PLGLB1","5343"
"NOLC1","9221"
"PTGES2","80142"
"CTTNBP2","83992"
"MRPL24","79590"
"SEMA3G","56920"
"IDUA","3425"
"CINP","51550"
"DIRC3-AS1","105373877"
"SLC52A2","79581"
"RGL1","23179"
"ZCCHC17","51538"
"ALMS1","7840"
"MBNL1","4154"
"MRPL12","6182"
"SLA2","84174"
"ASPDH","554235"
"MIR941-5","103504732"
"KLHL30-AS1","394261"
"PARP12","64761"
"UTP6","55813"
"LINC01596","105377617"
"SAP30L-AS1","386627"
"WASH5P","375690"
"ATP5PD","10476"
"APOLD1","81575"
"DDX17","10521"
"GALT","2592"
"RARA","5914"
"TMSB4Y","9087"
"APH1B","83464"
"CXXC5","51523"
"SNAI3-AS1","197187"
"VAMP4","8674"
"SNX1","6642"
"TMEM63C","57156"
"SPSB3","90864"
"VPS13B","157680"
"C11orf49",NA
"MELK","9833"
"PMF1","11243"
"AMDHD2","51005"
"SNAPC1","6617"
"DPYSL2","1808"
"APOBEC2","10930"
"LPCAT4","254531"
"TP53BP2","7159"
"OARD1","221443"
"TAMALIN","160622"
"PRPS1P2","100421295"
"ST3GAL3","6487"
"MKNK1","8569"
"MPP1","4354"
"MHENCR","100505771"
"DNPEP","23549"
"FBXO7","25793"
"EIF2S3B","255308"
"UCHL5","51377"
"ATG2A","23130"
"PIP4K2B","8396"
"MIR941-1","100126329"
"LINC02043","102724699"
"SYN3","8224"
"LRRC47","57470"
"XAGE2","9502"
"ZC3H4","23211"
"TIFA","92610"
"CHRNB2","1141"
"C1orf216","127703"
"TOLLIP","54472"
"PSPH","5723"
"ATPAF1","64756"
"POLE","5426"
"HPGDS","27306"
"GALNS","2588"
"ZNF750","79755"
"TGFBR3L","100507588"
"ARL6IP6","151188"
"ACACB","32"
"MTDHP3","100418832"
"NDUFAF5","79133"
"LTC4S","4056"
"TUBAP2","399942"
"TMEM123","114908"
"NFE2L2","4780"
"GBP5","115362"
"CRTC1","23373"
"NOP14-AS1","317648"
"ATMIN","23300"
"EAF2","55840"
"RPL19P16","646255"
"PLPP1","8611"
"UBQLN2","29978"
"CTU1","90353"
"LYAR","55646"
"RASSF3","283349"
"IFNAR2","3455"
"SLC39A11","201266"
"RAB27A","5873"
"FAM89A","375061"
"PRSS57","400668"
"ZNF205","7755"
"LARP4","113251"
"BBS10","79738"
"WASF1","8936"
"LINC00174","285908"
"CNTNAP2","26047"
"TSPYL4","23270"
"RHOA","387"
"RPL27","6155"
"FBXL3","26224"
"UFSP2","55325"
"TNS2","23371"
"MTSS2","92154"
"EPDR1","54749"
"TRIQK","286144"
"ZNF7","7553"
"RANP4","100130621"
"EIF2B3","8891"
"CD38","952"
"SPTB","6710"
"ZNF567","163081"
"CLEC18B","497190"
"ADAMTS4","9507"
"USP4","7375"
"ADORA2B","136"
"CEP350","9857"
"ZNHIT2","741"
"RPL3P2","116935"
"LINC01126","100129726"
"ZNF18","7566"
"KRCC1","51315"
"C1QTNF6","114904"
"EIF1AD","84285"
"BBS2","583"
"AKIRIN2","55122"
"CORO1C","23603"
"ELOF1","84337"
"YBX1P10","158373"
"GTPBP1","9567"
"SPRN","503542"
"BANF1","8815"
"GSTT2B","653689"
"RBBP4","5928"
"HNRNPA3P6","653115"
"MDN1","23195"
"KIAA1549L","25758"
"PIGU","128869"
"IFITM3P5","100101246"
"SUGP1","57794"
"NOTCH1","4851"
"SEMA6B","10501"
"ZNF326","284695"
"CCDC88C","440193"
"ZMAT2","153527"
"ZFX","7543"
"ATP1A1-AS1","84852"
"RPS3AP21","402287"
"DDN","23109"
"RN7SL381P","106479362"
"CENPH","64946"
"CAPN5","726"
"YARS1","8565"
"NAMPTP1","646309"
"LMO2","4005"
"RPA1","6117"
"LRP3","4037"
"CTBP2","1488"
"CHRNA2","1135"
"TUBE1","51175"
"GPR37L1","9283"
"KCNK7","10089"
"NEDD8","4738"
"BSG","682"
"OR14L1P",NA
"GEN1","348654"
"TNNC2","7125"
"ANKRD11","29123"
"CYB5R1","51706"
"DROSHA","29102"
"MRPS10","55173"
"MAPKAP1","79109"
"TRDC","28526"
"RFFL","117584"
"TTLL11","158135"
"CACNB3","784"
"HNMT","3176"
"LIME1","54923"
"LBR","3930"
"C17orf67","339210"
"MCUR1","63933"
"S100P","6286"
"LINC00565",NA
"SPNS1","83985"
"IFIH1","64135"
"TAF1C","9013"
"NKIRAS2","28511"
"LMBRD1","55788"
"KDF1","126695"
"MYO5A","4644"
"CCNL1","57018"
"HGH1","51236"
"TSC22D2","9819"
"SPDYE17","102723849"
"NECTIN1-AS1","105369525"
"GTF2F1","2962"
"SLC35A3","23443"
"SH3TC1","54436"
"NAP1L1","4673"
"IGFL1P1","727703"
"TSPAN10","83882"
"B3GALT9","100288842"
"GANC","2595"
"INSRR","3645"
"CHAF1B","8208"
"MIR646HG","284757"
"DPY19L2P1","554236"
"ZNF616","90317"
"BCR","613"
"DOCK11","139818"
"SLC25A22","79751"
"FOXD4","2298"
"YIPF1","54432"
"SLCO4C1","353189"
"ABT1","29777"
"CEL","1056"
"SZT2","23334"
"ARHGAP25","9938"
"FRY","10129"
"CLK2","1196"
"TCAIM","285343"
"IL12RB2","3595"
"DPP10","57628"
"HAGHL","84264"
"REEP4","80346"
"AGBL5","60509"
"PITX1-AS1","100996485"
"TMEM170A","124491"
"ARGLU1","55082"
"ADAP1","11033"
"SRSF6P2","644422"
"MARCHF3","115123"
"EMC4","51234"
"MYEF2","50804"
"PTPN23-DT","119863865"
"MYO18A","399687"
"SPI1","6688"
"LAPTM5","7805"
"DBP","1628"
"UTP20","27340"
"TUBGCP5","114791"
"TSC2","7249"
"CD63","967"
"SLC2A4RG","56731"
"IPO13","9670"
"FRMD4A","55691"
"DECR1","1666"
"BACE1","23621"
"DONSON","29980"
"SLC45A4","57210"
"PSMA6P1","64596"
"CXXC1","30827"
"RBM33","155435"
"SAP30L","79685"
"SECISBP2L","9728"
"THAP9-AS1","100499177"
"CRNKL1","51340"
"GSTA4","2941"
"AHNAK","79026"
"MPPE1","65258"
"CCDC12","151903"
"POM121C","100101267"
"CBWD2",NA
"PIFO","128344"
"ZNRF1","84937"
"WIPF1","7456"
"TPMT","7172"
"C17orf58","284018"
"MRPS12","6183"
"BOLA1","51027"
"TRIM10","10107"
"POLR2J2","246721"
"RNF25","64320"
"CLBA1","122616"
"RLN3","117579"
"HEMGN","55363"
"ZKSCAN3","80317"
"VIRMA","25962"
"MTERF2","80298"
"CHCHD4","131474"
"RAP2B","5912"
"DST","667"
"SFXN2","118980"
"UACA","55075"
"NEK2","4751"
"ARHGAP33","115703"
"XYLB","9942"
"MALSU1","115416"
"PTPA","5524"
"LCORL","254251"
"RNF111","54778"
"RPL5P4","643343"
"AARS2","57505"
"PPME1","51400"
"TSPOAP1-AS1","100506779"
"ZNF544","27300"
"NSMCE1","197370"
"SMTN","6525"
"ATG101","60673"
"FUT1","2523"
"CAHM","100526820"
"RFWD3","55159"
"THEMIS2","9473"
"DCAF1","9730"
"CHST7","56548"
"TUBBP1","92755"
"ANO7","50636"
"NAPA-AS1","100505681"
"LAMP3","27074"
"BRD2","6046"
"RAB8B","51762"
"CA15P1","100996435"
"CDKN2C","1031"
"TMBIM1","64114"
"GTF2IP12","101926918"
"HELZ2","85441"
"CFAP54","144535"
"HCN3","57657"
"CDC45","8318"
"AMOTL1","154810"
"NFKBIE","4794"
"EPM2AIP1","9852"
"FASTKD5","60493"
"LHX4","89884"
"GPR137C","283554"
"KPNB1","3837"
"DDX11L17","102725121"
"SLC16A14","151473"
"NLK","51701"
"SOAT1","6646"
"HCCS","3052"
"ETFRF1","144363"
"CA8","767"
"TLDC2","140711"
"KCTD17","79734"
"ZNF468","90333"
"SETP14","389168"
"IL18BP","10068"
"CELP","1057"
"MTRFR","91574"
"UBR2","23304"
"MAGI3","260425"
"POLR2C","5432"
"CEP19","84984"
"ODF2","4957"
"TMEM255B","348013"
"SPTAN1","6709"
"MESD","23184"
"TOP2B","7155"
"ITPKB-IT1","100506443"
"QRICH2","84074"
"PIEZO2","63895"
"GAA","2548"
"NDUFAF4","29078"
"RN7SL473P","106479396"
"SMG6","23293"
"SERHL2","253190"
"CRISPLD1","83690"
"MFSD6","54842"
"ZC3H6","376940"
"CSMD2","114784"
"LMO4","8543"
"LPAR2","9170"
"ZDHHC2","51201"
"AGA","175"
"ATP5PF","522"
"E2F7","144455"
"ACTR3","10096"
"STAG3L5P","101735302"
"HOXB4","3214"
"PRKAG2","51422"
"PDCD6IP-DT","105377023"
"MAT2B","27430"
"CATSPER2","117155"
"AOC3","8639"
"C1D","10438"
"VPS11","55823"
"KCNIP2","30819"
"EIF2B2","8892"
"SLC12A4","6560"
"PLAA","9373"
"FEN1","2237"
"SPG11","80208"
"PCK2","5106"
"TJP2","9414"
"CRY1","1407"
"TRMT1","55621"
"POC5","134359"
"PHKG2","5261"
"OCEL1","79629"
"CBX6","23466"
"SEPTIN7-DT","101928545"
"MPL","4352"
"DOCK7","85440"
"NIF3L1","60491"
"KIF15","56992"
"TPT1-AS1","100190939"
"STX12","23673"
"SLC30A6-DT","118568811"
"UBN1","29855"
"COL18A1","80781"
"ZNF628","89887"
"LETMD1","25875"
"HDAC5","10014"
"INE1","8552"
"LMBRD2","92255"
"NUP133","55746"
"SEL1L","6400"
"GAK","2580"
"CXCL17","284340"
"C5orf15","56951"
"VAMP8","8673"
"SLC39A9","55334"
"FCGR2C","9103"
"MUC20-OT1","111753249"
"CD74","972"
"CUL1","8454"
"ZNF335","63925"
"C19orf47","126526"
"CIITA","4261"
"THBS4","7060"
"SUPT3H","8464"
"RPN1","6184"
"ITPKB","3707"
"PSMB8-AS1","100507463"
"WDR62","284403"
"OLA1P1","246785"
"GABPB1","2553"
"PPID","5481"
"RPUSD2","27079"
"MAPK8IP1","9479"
"VDR","7421"
"ATP8B4","79895"
"MFSD2B","388931"
"EIF3E","3646"
"CLGN","1047"
"RPL41","6171"
"NBPF8","728841"
"NAPEPLD","222236"
"RRN3P1","730092"
"MVB12A","93343"
"CMBL","134147"
"CCND3","896"
"RCN3","57333"
"COMMD3","23412"
"CDC25B","994"
"NFIC","4782"
"GLUL","2752"
"FCHO1","23149"
"FCGR3B","2215"
"GNAI3","2773"
"TBL1XR1","79718"
"SHTN1","57698"
"RCN2","5955"
"ZNF490","57474"
"SLC38A2","54407"
"MLEC","9761"
"THUMPD2","80745"
"TAF1","6872"
"SIGLEC10","89790"
"ATF2","1386"
"CIT","11113"
"FAM126A",NA
"EXOSC1","51013"
"PIK3CA","5290"
"DRD4","1815"
"DCTN1-AS1","100189589"
"MXRA8","54587"
"RPS23P8","653658"
"ZNF605","100289635"
"ZKSCAN8","7745"
"INTS4","92105"
"F3","2152"
"RPL36AP45","441727"
"PDIA6","10130"
"C16orf95","100506581"
"MARCHF6","10299"
"MPC2","25874"
"SLC16A4","9122"
"AVPR2","554"
"SARAF","51669"
"PEAK3","374872"
"TMEM123-DT","101928424"
"KCNA1","3736"
"LLPH","84298"
"MCPH1","79648"
"CAVIN3","112464"
"LHB","3972"
"TTC21A","199223"
"ASIP","434"
"PHLDA2","7262"
"HTR7P1","93164"
"RAMAC","83640"
"TAB3","257397"
"DDX11L16","727856"
"AP5B1","91056"
"TFAP2E-AS1","105378645"
"DENND1A","57706"
"CBR3-AS1","100506428"
"FAM111A-DT","101927204"
"TOP1P1","7151"
"NFATC4","4776"
"STX18","53407"
"MRPS33","51650"
"NUDT18","79873"
"MEIS3P1","4213"
"HSPE1P2","326300"
"HNRNPKP2","389053"
"PDE9A","5152"
"ANKRD52","283373"
"RPS23P6","100271367"
"SUN2","25777"
"MYL5","4636"
"STBD1","8987"
"COLEC12","81035"
"VSIG2","23584"
"MORN1","79906"
"GSK3B","2932"
"SH3PXD2A","9644"
"LANCL1","10314"
"LINC00106","751580"
"ST3GAL1-DT","119545630"
"SLC7A1","6541"
"NIPA2","81614"
"UBE2FP1","100421436"
"KANSL1L","151050"
"SRRM1P3","100130190"
"SEC61A2","55176"
"PAIP2","51247"
"LINC02573","111216285"
"NPC1","4864"
"ZNF845","91664"
"SNX27","81609"
"RNF41","10193"
"ZGRF1","55345"
"MEF2D","4209"
"KMT2B","9757"
"MTCYBP18","107075130"
"TARS1","6897"
"TIMM23B","100652748"
"NCAPH","23397"
"GNB1","2782"
"SEMA4G","57715"
"IRAG2","4033"
"ABHD17AP1","728917"
"PMS2","5395"
"CORO7","79585"
"TMEM262","100130348"
"TTC14","151613"
"GOLGA2P11","255180"
"SHISA7","729956"
"EIF5AP3","1987"
"B4GALT3","8703"
"NLRC3","197358"
"DCTN3","11258"
"PLEKHH3","79990"
"CEP295NL","100653515"
"TOMM34","10953"
"C19orf53","28974"
"IRF2","3660"
"NID1","4811"
"TOB2P1","222699"
"CLIP1-AS1","100507066"
"NTS","4922"
"CYP21A2","1589"
"PIK3R2","5296"
"CCDC159","126075"
"RBP5","83758"
"ZNF654","55279"
"PAK6","56924"
"C8orf58","541565"
"PDZK1IP1","10158"
"FRS2","10818"
"SYMPK","8189"
"ILRUN","64771"
"KANSL2","54934"
"RPL35A","6165"
"ELL2","22936"
"ZCCHC4","29063"
"F8A1","8263"
"CCDC183-AS1","100131193"
"MYO9A","4649"
"UPK1A-AS1","100862728"
"AFDN","4301"
"GLCCI1","113263"
"RAB11FIP2","22841"
"RYBP","23429"
"BAG2","9532"
"DAB2","1601"
"SBSPON","157869"
"IGFBP7","3490"
"AHI1","54806"
"ADSL","158"
"POU5F1","5460"
"ZNF765","91661"
"RABEPK","10244"
"TMEM45A","55076"
"TENT4A","11044"
"DNAJC5","80331"
"RBM25","58517"
"TASOR","23272"
"EEF1E1","9521"
"HSDL2","84263"
"RHCE","6006"
"LIPE","3991"
"HCG18","414777"
"CDC42SE2","56990"
"NCEH1","57552"
"ATG4B","23192"
"H4C1","8359"
"EFNB1","1947"
"CCDC134","79879"
"HTRA3","94031"
"PGM5P4-AS1","103344932"
"KCTD3","51133"
"DCUN1D4","23142"
"CCDC78","124093"
"POLN","353497"
"ARFGAP3","26286"
"ZDHHC18","84243"
"VIPAS39","63894"
"POGLUT1","56983"
"RUNDC3A","10900"
"RASD1","51655"
"TERF1","7013"
"GPAT4","137964"
"TAP2","6891"
"COASY","80347"
"APOL6","80830"
"OSGIN2","734"
"RBMX2","51634"
"LINC00235","64493"
"NEDD4L","23327"
"GGACT","87769"
"SOX10","6663"
"TTLL1","25809"
"UGGT2","55757"
"CPSF7","79869"
"SCARB1","949"
"LINC01226","284551"
"RADIL","55698"
"SEC13","6396"
"PARP1","142"
"FAM174A","345757"
"MTND3P25","107075297"
"GDI2","2665"
"IL2RB","3560"
"MAFG-DT",NA
"RPS7P10","100128060"
"SMIM19","114926"
"SCAF1","58506"
"PPIB","5479"
"ANGPT4","51378"
"NECAP1","25977"
"PALM3","342979"
"BRWD3","254065"
"PINLYP","390940"
"EXOSC6","118460"
"HNRNPA1P7","388275"
"RPS17","6218"
"IGSF3","3321"
"MAP3K11","4296"
"ZFP57","346171"
"KMT5AP1","57108"
"DENND10P1","55855"
"ARHGAP4","393"
"TMEM128","85013"
"SMG9","56006"
"DNAJC24","120526"
"PIH1D2","120379"
"HPS3","84343"
"DMTN","2039"
"NBPF3","84224"
"PPM1K","152926"
"LEF1-AS1","641518"
"RNU6-1284P","106480126"
"NHLRC4","283948"
"APC2","10297"
"C1RL","51279"
"DAPK3","1613"
"ELF2","1998"
"RNA5SP78","100873312"
"FLT3LG","2323"
"LSR","51599"
"EIPR1","7260"
"SHMT1","6470"
"PRR11","55771"
"TMEM59","9528"
"PLAAT4","5920"
"RPSAP22","100270874"
"GNE","10020"
"LDB3","11155"
"DYRK4","8798"
"HABP4","22927"
"BNIP1","662"
"BBOF1","80127"
"MIR553","693138"
"IDH3G","3421"
"WDR19","57728"
"SENP3","26168"
"SPPL2B","56928"
"APOC1","341"
"POLG2","11232"
"DOT1L","84444"
"TMX4","56255"
"FBXO5","26271"
"STAMBPL1","57559"
"MICU2","221154"
"DBNDD1","79007"
"RNF169","254225"
"VCPIP1","80124"
"AGAP2-AS1","100130776"
"ADAT1","23536"
"MCRIP2","84331"
"PELI1","57162"
"POLR1E","64425"
"RPP25L","138716"
"OPA1","4976"
"BUB3","9184"
"TCF15","6939"
"PDGFC","56034"
"LUC7L2","51631"
"NPM1P30","101928904"
"FGD1","2245"
"ACVR2B","93"
"GPR179","440435"
"LATS2","26524"
"FAM162A","26355"
"GPLD1","2822"
"SH3PXD2B","285590"
"FBXL18","80028"
"ZMYM5","9205"
"FAM71F2",NA
"C12orf57","113246"
"TTC5","91875"
"RAB18","22931"
"PTMAP2","5759"
"FAR1-IT1","106478978"
"MOSPD2","158747"
"PKP4-AS1","100129029"
"FAM27B","100133121"
"IGFBP2","3485"
"FTLP6","100462788"
"TMPOP2","100533619"
"RELL2","285613"
"STAP2","55620"
"CCNL2","81669"
"MLPH","79083"
"BCAN","63827"
"INTS8","55656"
"OSCP1","127700"
"ATG16L2","89849"
"SAAL1","113174"
"ANO9","338440"
"RAB11B-AS1","100507567"
"PIP5K1A","8394"
"ARIH2","10425"
"DCTN6-DT","118597835"
"EME2","197342"
"PLEKHM1","9842"
"VAC14-AS1","100130894"
"KMT5C","84787"
"PPM1G","5496"
"CDIPT","10423"
"OCLN","100506658"
"ZNF165","7718"
"RN7SL5P","6031"
"ERN1","2081"
"OSER1","51526"
"METTL8","79828"
"ZBTB21","49854"
"MYLK2","85366"
"IGBP1","3476"
"ELAPOR1","57535"
"SLC2A5","6518"
"STX6","10228"
"CHMP2B","25978"
"GNPNAT1","64841"
"CAPN15","6650"
"PIN1","5300"
"LY6E","4061"
"NAXE","128240"
"NME2","4831"
"GPNMB","10457"
"KAZALD1","81621"
"UVSSA","57654"
"ASF1A","25842"
"HEY1","23462"
"H2AC4","8335"
"CDKN2AIPNL","91368"
"MT-CO3",NA
"POLR3G","10622"
"RMND1","55005"
"MIR4314","100422983"
"GUF1","60558"
"LCP1","3936"
"CHST11","50515"
"LRWD1","222229"
"TRIM23","373"
"TM7SF2","7108"
"AP3S1","1176"
"PTCD2","79810"
"RPL34P34","342994"
"ARFGAP1","55738"
"TUBGCP6","85378"
"MADD-AS1","101928943"
"ZSCAN12","9753"
"DRICH1","51233"
"GNL3L","54552"
"BIVM","54841"
"RNF207","388591"
"LIX1L","128077"
"VCP","7415"
"DKC1","1736"
"NPM2","10361"
"FAM174C","55009"
"UCP3","7352"
"ELF4","2000"
"CPNE8","144402"
"ADORA2A","135"
"CALM2P2","806"
"ARL5B","221079"
"DDX51","317781"
"H3C13","653604"
"FMO5","2330"
"ULK1","8408"
"ASB1","51665"
"FLNA","2316"
"ZNF621","285268"
"DIAPH1","1729"
"FAM53B-AS1","101927944"
"KIAA0513","9764"
"BAIAP3","8938"
"PCMTD2","55251"
"DYNC1LI1","51143"
"DLG5","9231"
"MIB2","142678"
"C3AR1","719"
"MTCH1","23787"
"RAB11FIP4","84440"
"PRMT9","90826"
"ZNF775-AS1","105375564"
"ZMAT1","84460"
"HIP1R","9026"
"EXOSC2","23404"
"CNOT10","25904"
"BCLAF1P2","731605"
"ZNF83","55769"
"PVALB","5816"
"RSPRY1","89970"
"PPM1H","57460"
"PIGC","5279"
"JMJD4","65094"
"POLR2H","5437"
"RNF144A","9781"
"MYO15B","80022"
"PTPN6","5777"
"TMEM11","8834"
"SMTNL1","219537"
"ZNF367","195828"
"FMNL3","91010"
"KIF11","3832"
"HIPK2","28996"
"UBE2T","29089"
"SLC36A4","120103"
"CCDC61","729440"
"SMARCB1","6598"
"ZNF268","10795"
"GLB1L","79411"
"SBDS","51119"
"LCOR","84458"
"TMEM43","79188"
"UAP1","6675"
"CCNQ","92002"
"CLN8","2055"
"UBR4","23352"
"CROCCP2","84809"
"EXOSC10-AS1","105376736"
"MICAL3","57553"
"MIR320B2","100313769"
"BIRC3","330"
"MRPL39","54148"
"SLC4A2","6522"
"LRRC42","115353"
"PGP","283871"
"HSPD1","3329"
"VPS4A","27183"
"CTDP1","9150"
"HAUS5","23354"
"SP4","6671"
"ELK1","2002"
"HSPA1L","3305"
"RNF34","80196"
"ZNF444","55311"
"TUBG2","27175"
"SSTR2","6752"
"HERC2P9","440248"
"MYLK-AS1","100506826"
"EP400","57634"
"C12orf76","400073"
"ZBTB41","360023"
"SNX25P1","100419028"
"SURF6","6838"
"SPC24","147841"
"FKBP2","2286"
"CHM","1121"
"NQO2","4835"
"MIB1","57534"
"GRHPR","9380"
"SRSF6","6431"
"PHC1","1911"
"CDC123","8872"
"PABIR1","116224"
"CARF","79800"
"HIF1AN","55662"
"RBBP7","5931"
"ADAT2","134637"
"FABP5","2171"
"FAM204A","63877"
"IL17RA","23765"
"LRP8","7804"
"MARK3","4140"
"BPHL","670"
"MPHOSPH9","10198"
"DYNLRB1","83658"
"CWC22","57703"
"LPCAT3","10162"
"TMEM68","137695"
"SPECC1","92521"
"MCPH1-AS1","100507530"
"C2orf49","79074"
"KANSL1","284058"
"IRF6","3664"
"TRAPPC5","126003"
"ANGEL2","90806"
"POLR1F","221830"
"PDSS2","57107"
"RAB33B","83452"
"BCRP3","644165"
"CSRNP2","81566"
"SNHG32","50854"
"YTHDF2","51441"
"RPS23","6228"
"RPS24P8","100216336"
"HIGD2A","192286"
"PRMT7","54496"
