ONTOLOGY,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
BP,GO:0034470,ncRNA processing,413,0.35550168,1.98202031,1.00E-10,2.20E-08,1.91E-08,3748,"tags=39%, list=22%, signal=31%",3669/10969/9188/5303/57508/23405/79670/10785/54517/6230/192670/6894/11137/57418/8270/1654/23318/22894/84549/6217/6234/51575/51729/9092/54913/6839/161424/6232/116461/23369/3735/56915/84267/126789/27042/54482/11224/64118/4809/7257/60487/339487/10885/27292/6202/4736/55272/23160/27341/348180/79033/130916/6229/10269/2091/10528/115939/5073/22803/23517/51504/51728/131870/6209/23481/6125/5604/92856/79039/54888/29997/55505/6135/8886/55695/51637/51605/93587/80324/5591/6223/80746/6227/55127/55596/285855/26995/81627/8575/54606/79753/203522/60528/26512/54973/55644/54680/26523/112479/115708/51077/51095/6194/54433/8568/85395/83707/6208/11056/79863/54522/25983/55250/27043/54512/90459/23223/389421/81887/54920/54859/6154/23016/153443/11340/5036/9790/55164/7157/79691/9277/51574/5605/9612/54059/81556/79707/2926/64852/8780/10360/10940/196074/6774/64172/51367/54901/8602/1655/5530/117246/81890/25896/155400/9611/23587/51096/28987/51154/5393/1662/16/23246
BP,GO:0006397,mRNA processing,442,0.341338524,1.934705037,1.00E-10,2.20E-08,1.91E-08,4066,"tags=41%, list=24%, signal=32%",1665/8161/6636/10084/84081/79005/79622/94104/51690/79228/54623/151987/54517/10250/170506/255374/6733/57461/6651/6632/22913/79811/51319/8899/26986/9128/55692/10465/79577/23658/51729/9092/26993/5978/116461/96764/60625/6627/10907/84292/1859/10189/54998/11168/51645/4809/10915/9406/55783/56949/246175/10992/9169/64895/7536/4841/9295/22803/23517/6633/6625/11066/64062/57819/11338/5930/8458/201626/6732/3958/23064/55192/59286/143884/80324/8487/10285/55197/91746/80746/6635/8241/57805/55234/55596/6628/55660/10659/26995/26121/5411/27339/79753/9589/83443/9967/25929/57721/2332/55147/7072/29101/29894/10150/79706/79882/6429/29896/3185/57187/55702/53981/23210/10419/4928/92906/5511/64783/23248/10212/51747/10772/9584/10236/9444/3190/3187/23028/23451/494115/51574/6936/9343/580/55421/51362/27316/2926/6626/87178/64852/167153/55015/79171/51585/8233/23091/4691/22827/10180/1655/64506/5566/55131/351/10291/23398/10768/3192/55544/9716/51163/81576/1479/22828/988/9588/55285/4236/51341/9733/54883/22889/26576/5935/1478/25804/24148/10432/8731/10657/10421
BP,GO:0006396,RNA processing,927,0.318997581,1.907220791,1.00E-10,2.20E-08,1.91E-08,3854,"tags=38%, list=23%, signal=31%",3669/1665/10969/8161/6636/10084/9188/84081/5303/57508/23405/79670/79005/79622/94104/10785/51690/79228/1195/54623/151987/54517/6230/10250/170506/255374/6733/57461/192670/112869/6651/6894/11137/6632/57418/22913/8270/79811/1654/6832/23318/22894/51319/84549/8899/26986/9128/6217/6234/55692/10465/79577/23658/51575/51729/9092/54913/6231/6839/26993/5978/161424/6232/3188/116461/23369/3735/96764/60625/6627/10907/84292/1859/10189/56915/84267/54998/11168/126789/27042/54482/51645/11224/64118/4809/10915/7257/60487/339487/9406/55783/10885/27292/6202/4736/56949/55272/23160/27341/348180/79033/130916/246175/6229/10992/10269/57716/9169/64895/2091/10528/7536/115939/4841/5073/9295/22803/23517/51504/51728/131870/6209/6633/23481/6625/6125/57396/11066/64062/57819/283596/130951/5604/11338/92856/79039/5930/54888/8458/29997/201626/6732/55505/6135/3958/8886/23064/55192/55695/51637/59286/51605/93587/143884/80324/5591/115752/6223/8487/10285/55197/91746/80746/6227/389677/55127/6635/8241/57805/55234/55596/285855/6628/55660/10659/780851/26995/81627/26121/8575/54606/5411/27339/79753/9589/83443/203522/60528/26512/54973/55644/54680/9967/26523/25929/112479/115708/57721/2332/51077/10474/55147/7072/3303/29101/29894/10150/51095/6194/79706/79882/10137/6429/29896/3185/57187/55702/54433/8568/85395/53981/83707/6208/85028/11056/23210/79863/10419/4928/92906/5511/54522/25983/55250/64783/27043/54512/90459/23248/23223/10212/51747/10772/6207/9584/10236/389421/9444/81887/54920/54859/3190/6154/3187/23016/153443/23028/11340/5036/9790/55164/7157/79691/23451/494115/6100/9277/51574/5605/6936/9343/9612/580/54059/81556/55421/51362/79707/27316/2926/6626/87178/64852/167153/8780/10360/55015/10940/79171/51585/10081/196074/6774/64172/8233/23091/4691/51367/692086/8446/22827/54901/8602/10180/23326/84687/1655/64506/8761/5566/5530/55131/351/117246/10291/23398/10768/81890/25896/155400/9611/3192/23587/55544/9716/51096/28987/51163/81576/1479/51154/5393/421/22828/988/1662/16/9588/23246/55285/23642/4236/51341/9733/692212/26173/7009/54883
CC,GO:0005730,nucleolus,947,0.313809949,1.895943785,1.00E-10,2.20E-08,1.91E-08,3658,"tags=34%, list=22%, signal=28%",10541/8991/3669/6319/1665/10969/5420/8161/7514/3815/26155/221895/7913/10257/2130/9188/5303/80204/7150/5980/387680/4601/84456/6197/3796/23670/8661/27107/84295/55294/6596/219539/6230/5007/57590/64960/4659/6733/65110/91582/1024/55074/3009/55536/11137/7267/57418/9585/5438/23318/84549/9330/6150/121441/5981/3843/9349/140901/5441/8971/51575/6835/6143/54913/6839/55233/10735/663/26009/161424/253725/116461/8615/96764/202051/7508/9643/7153/80067/56915/56254/51278/9793/6233/6188/54955/26064/27042/11224/2733/4809/1376/85439/26517/1936/84232/8428/10885/27292/3717/6917/54984/55272/23160/27341/29108/30834/92140/5499/9169/10565/2091/6189/10528/5291/6203/5501/8540/4841/5073/81875/22803/23517/10733/6772/26010/5435/55602/51728/131870/6137/7296/23481/6125/8721/11066/9972/283596/55632/2852/387103/7465/92856/79039/54784/5434/5930/54888/4189/29997/79091/55505/6135/8886/64318/23064/25873/9839/55105/7443/6730/23411/55695/81671/5160/93587/55143/5929/5591/6389/6223/23512/8487/80746/5165/55127/80829/6141/81532/83719/6122/9240/285855/6124/780851/55367/51155/1022/23034/54606/6205/5934/92344/10459/54700/25942/64769/4799/80335/2332/51077/6284/387496/7544/55249/55810/63901/6194/6002/10592/10009/79706/65109/79882/23107/10038/6597/51076/6136/177/10270/5422/51068/57674/90441/29896/6619/54433/8568/85395/23521/3691/6208/6884/85028/825/11056/4683/23210/5097/9937/2016/284131/23607/10445/51529/79027/10633/7728/55170/25983/6949/79733/27043/54512/90459/23223/6207/389421/81887/7343/6154/23016/54014/27244/9088/26502/6502/10927/11340/5036/9790/55326/6875/22822/8895/54540/7157/7541/23451/9277/6936/146956/23185/64393/79707/55153/9149/79768/51333/64852/10522/121642/10360/5195/51667/10940/8556/7994/27125/4691/51367/692086/7334/8446/79871/8602/4332/1655/8204/51727/55131/117246/144108/80325/5987/11215/3988/8493/155400/3608/51096/11194/51154/5393
CC,GO:0016604,nuclear body,755,0.320100804,1.888017803,1.00E-10,2.20E-08,1.91E-08,3630,"tags=35%, list=22%, signal=29%",997/2034/3669/55589/3091/1665/8161/7514/79677/57223/10084/8878/2130/127933/84081/3014/9320/55914/202333/6049/79005/339287/80010/57713/672/8553/3796/79228/84164/84248/6670/51520/10250/10051/170506/6733/6651/25831/408/8270/23137/25957/79811/25898/728340/51319/51426/57659/8899/9128/7764/57092/2122/140901/10465/4707/80155/23360/4149/9092/6835/55671/26993/9425/23515/6304/51322/96764/6627/54928/26959/1859/10189/10048/64077/84300/10210/10915/50809/6047/7290/80152/7158/57646/5325/463/6938/92140/10992/3835/81620/9169/51371/64895/2091/7536/5501/55086/4841/5073/9295/92609/23517/5925/51008/6738/4722/6625/57082/8930/283596/11338/5205/5930/93953/51335/204851/84142/6732/55505/64318/23064/26036/6102/55105/23411/7936/93663/4929/55341/9646/22890/55183/23512/8487/7086/10285/91746/28970/10973/219988/8241/55234/55596/283489/4000/64332/55660/143684/26121/5411/27339/25936/9589/10238/9907/56852/28999/9994/4778/55644/9967/25929/2022/80764/27252/7181/55904/266629/2332/29085/55898/1059/8444/3303/65057/29086/468/55604/49855/79882/6015/6429/5586/10274/54780/4863/79872/6619/23464/57187/54433/11315/4683/8658/1894/4928/4091/5511/23067/54617/64783/10933/9321/8525/10212/8539/51747/151246/10772/9584/29915/6932/10135/64326/9774/10847/1408/6305/54540/7157/23451/1060/9343/9612/10241/545/580/6045/55421/112495/51362/11130/7874/64852/11325/83932/64979/8556/1452/9958/64858/2869/7994/286053/23091/7750/8446/10482/54892/59343/54942/55893/5093/1655/8204/5566/665/11073/10291/23398/5987/25896/3192/5427
BP,GO:0008380,RNA splicing,409,0.335872702,1.875443084,1.00E-10,2.20E-08,1.91E-08,4115,"tags=42%, list=24%, signal=32%",1665/8161/6636/10084/84081/79005/79622/94104/51690/79228/1195/151987/54517/10250/6733/57461/112869/6651/6632/22913/51319/8899/26986/9128/55692/10465/23658/51729/9092/6231/26993/5978/3188/116461/96764/60625/6627/10907/84292/1859/10189/11168/51645/4809/10915/339487/9406/56949/10992/57716/9169/7536/4841/9295/23517/6633/6625/57396/11066/57819/11338/8458/6732/3958/23064/55192/51637/59286/143884/80324/8487/10285/91746/80746/389677/6635/8241/57805/55234/55596/6628/55660/10659/26121/5411/27339/79753/9589/83443/9967/25929/57721/2332/10474/55147/7072/3303/10150/79706/10137/6429/29896/3185/57187/55702/83707/23210/10419/4928/92906/5511/64783/10212/51747/10772/6207/9584/10236/9444/3190/3187/23028/23451/494115/6100/51574/6936/9343/51362/27316/2926/6626/55015/79171/10081/8233/23091/4691/22827/10180/23326/84687/1655/55131/10291/23398/3192/55544/9716/51163/81576/421/988/9588/55285/4236/51341/9733/7009/54883/22889/26576/5935/25804/24148/10432/10657/10421/55578/7490
BP,GO:0006412,translation,642,0.322866595,1.873124904,1.00E-10,2.20E-08,1.91E-08,3022,"tags=33%, list=18%, signal=28%",833/4076/1612/4677/127933/79670/6093/51121/6197/7057/8661/84164/65993/219927/54517/6230/64960/149986/51520/170506/1615/8672/192670/65110/10643/8662/3315/26065/10209/6224/6193/1654/23318/22894/48/6166/6206/65003/26986/6217/6234/6150/10959/26046/10767/27335/6161/9349/2197/6143/6134/6231/1977/6210/51073/6232/23369/23173/3735/55133/9147/7458/56915/54998/6164/6233/6188/84300/57129/1656/11224/2733/6176/1936/6198/55132/6202/55052/6192/4736/116541/6142/246175/6229/6144/1982/5499/51250/6189/7311/6158/6175/6203/64975/2107/1968/9689/811/3921/5073/10128/6132/55278/440275/54505/6181/23645/6209/6160/6137/6125/219402/8890/51335/7832/201626/6135/25873/6169/9475/55695/64432/6170/8666/6157/5591/128308/6223/6227/10973/5610/219988/1933/6141/6122/6124/26995/10399/9553/23034/6205/399664/79587/23019/3396/2185/5337/10600/6059/10573/6128/85476/51264/90480/26523/25929/54464/6152/57721/6191/2332/51714/51258/7072/6168/8668/468/6194/3376/65109/23107/6133/6136/8664/5315/9811/55364/122704/6159/23521/6208/7175/64928/158078/1975/220717/9451/25983/6949/55250/4690/55095/8562/6207/92935/9444/54859/6154/23016/11340/5036/6138/84541/6222/27102/28958/1978/23191/2935
BP,GO:0043043,peptide biosynthetic process,665,0.321142465,1.867683734,1.00E-10,2.20E-08,1.91E-08,3022,"tags=32%, list=18%, signal=27%",1991/3029/833/4076/1612/4677/127933/79670/6093/51121/6197/7057/8661/84164/65993/219927/54517/6230/64960/149986/51520/170506/1615/8672/192670/65110/10643/8662/3315/26065/10209/6224/6193/1654/23318/22894/48/6166/6206/65003/26986/6217/6234/6150/10959/26046/10767/27335/6161/9349/2197/6143/6134/6231/1977/6210/51073/6232/23369/23173/3735/55133/9147/7458/56915/54998/6164/6233/6188/84300/57129/1656/11224/2733/6176/1936/6198/55132/6202/55052/6192/4736/116541/6142/246175/6229/6144/1982/5499/51250/6189/7311/6158/6175/6203/64975/2107/1968/9689/811/3921/5073/10128/6132/55278/440275/54505/6181/23645/6209/728226/6160/6137/6125/219402/8890/51335/7832/201626/6135/25873/6169/9475/55695/64432/6170/8666/6157/5591/128308/6223/6227/10973/5610/219988/1933/6141/6122/6124/26995/10399/9553/23034/6205/399664/79587/23019/3396/2185/5337/10600/6059/10573/6128/85476/51264/90480/26523/25929/54464/6152/57721/6191/2332/51714/51258/7072/6168/8668/468/6194/3376/65109/23107/6133/6136/8664/5315/9811/55364/122704/6159/2729/23521/6208/7175/64928/158078/1975/220717/9451/25983/6949/55250/4690/55095/8562/6207/92935/9444/54859/6154/23016/11340/5036/6138/84541/6222/27102/28958/1978/23191/2935
BP,GO:0043604,amide biosynthetic process,769,0.309227329,1.82044919,1.00E-10,2.20E-08,1.91E-08,3232,"tags=33%, list=19%, signal=28%",1991/3029/2182/833/4076/1612/4677/127933/79670/6093/51121/6197/7057/8661/84164/65993/219927/54517/5066/6230/5007/64960/149986/51520/170506/47/1615/8672/192670/65110/10643/27090/8662/3315/26065/10209/6224/6193/1654/23318/22894/48/6166/6206/65003/26986/6217/6234/6150/10959/26046/10767/27335/6161/9349/2197/6143/6134/6231/1977/5166/6210/51073/6232/8050/23369/23173/3735/55133/9147/7458/56915/54998/6164/6233/6188/84300/57129/1656/29956/11224/23305/2733/6176/1936/6198/55132/6202/55052/6192/4736/116541/6142/246175/6229/6144/1982/5499/10558/51250/6189/7311/6158/6175/6203/64975/2107/1968/9689/811/8877/3921/1737/5073/10128/6132/55278/440275/54505/6181/23645/6209/728226/6160/6137/6125/219402/8890/51335/7832/201626/6135/25873/6169/9475/259230/55695/64432/5160/6170/8666/6157/5591/128308/6223/5165/6227/9334/10973/5610/219988/1933/6141/6122/6124/26995/10399/9553/23034/6205/399664/79587/23019/3396/2185/5337/10600/6059/10573/6128/85476/2180/51264/90480/26523/25929/54464/6152/57721/6191/2332/51714/51144/51258/7072/6168/84532/8668/468/9331/6194/3376/65109/23107/6133/6136/8664/5315/9811/55364/122704/2181/6159/2729/23521/6208/9218/7175/64928/158078/1975/220717/9524/9451/25983/6949/55250/4690/55095/8562/6207/92935/9444/54859/6154/23016/11340/5036/6138/84541/23205/6222/27102/28958/197322/1978/23191/2935/253943/60481/1819/6167/9337/23185/81554/171546/5163/30815/242/87178
BP,GO:0016071,mRNA metabolic process,655,0.314433835,1.819657649,1.00E-10,2.20E-08,1.91E-08,3692,"tags=35%, list=22%, signal=29%",2034/1665/8161/6636/10084/84081/55629/79670/79005/79622/94104/6093/1869/51690/79228/54623/151987/54517/6596/10250/170506/255374/6733/57461/192670/65110/6651/10643/8546/6632/22913/6873/5438/79811/6832/23318/22894/51319/8899/26986/9128/55692/10465/79577/23658/51729/9092/6877/26993/5978/5317/116461/23369/96764/60625/6627/10907/84292/1859/10189/56915/54998/11168/51645/4809/23589/10915/9406/6882/55783/56949/30834/246175/10992/9169/64895/7536/2107/4841/5073/9295/22803/23517/131870/6633/6625/6256/11066/64062/57819/11338/5930/54888/8458/7832/201626/6732/3958/23064/55192/9475/59286/51605/56829/143884/22890/80324/8487/10285/55197/91746/80746/219988/6635/8241/57805/55234/55596/6628/55660/10659/26995/26121/23034/5411/399664/27339/23019/79753/9589/83443/9967/26523/25929/54464/115708/57721/2332/55147/7072/3303/29101/29894/10150/468/6050/79706/65109/79882/6429/9811/79872/29896/7188/6556/3185/57187/55702/53981/6884/23210/26019/10419/4928/92906/5511/64783/54512/23248/10212/55095/51747/10772/9584/10236/9444/3190/3187/23016/23028/11340/6875/7157/2935/23451/494115/51574/6936/253943/9343/580/9337/55421/51362/23185/27316/2926/6626/87178/64852/167153/55015/79171/51585/6774/8233/23091/4691/22827/57690/10180/678/1655/64506/8761/5566/55131/351/10291/23398/10768/55603/3192/55544/9716/51163/81576/1479/51154/5393/22828/988
BP,GO:0034660,ncRNA metabolic process,581,0.311053563,1.816378219,1.00E-10,2.20E-08,1.91E-08,3658,"tags=34%, list=22%, signal=28%",3669/3091/10969/833/4677/9188/5303/57508/23405/79670/10785/4602/79002/54517/6230/51520/1615/192670/3265/6894/11137/57418/8270/1654/23318/22894/84549/9330/6217/6234/5441/2971/51575/51729/9092/54913/6839/5978/161424/6232/116461/23369/3735/56915/84267/126789/27042/54482/11224/64118/4809/7257/60487/7702/339487/7376/10885/27292/6202/4736/55272/23160/27341/9329/348180/79033/130916/6229/10269/2091/10528/115939/5073/2353/22803/23517/51504/55278/51728/131870/6209/23481/6125/5604/92856/79039/54888/29997/55505/6135/8886/55695/51637/51605/93587/80324/5591/115752/6223/80746/6227/55127/440823/55596/285855/26995/81627/1022/8575/54606/79587/79753/203522/60528/26512/54973/55644/54680/26523/112479/54464/55506/115708/80335/51077/51095/6194/3376/6597/6619/54433/8568/85395/83707/6208/11056/79863/4091/54522/25983/6949/55250/27043/54512/90459/23223/389421/92935/81887/54920/54859/6154/23016/153443/10927/11340/5036/9790/55164/284119/7157/79691/9328/9277/51574/5605/9612/54059/4790/81556/112495/79707/2926/87178/64852/10056/167153/8780/10360/10940/196074/6774/64172/4691/51367/54901/79871/8602/1655/5530/117246/81890/25896/155400/9611/23587/51096/28987/51154/5393
BP,GO:0006518,peptide metabolic process,791,0.306760226,1.791667665,1.00E-10,2.20E-08,1.91E-08,3022,"tags=31%, list=18%, signal=26%",1991/3029/833/4076/1612/4677/127933/79670/6093/51121/6197/7057/8661/84164/65993/219927/1511/54517/5066/6230/64960/290/149986/51520/170506/1615/8672/192670/65110/2954/10643/8662/3315/26065/10209/9446/6224/6193/1654/23318/22894/48/6166/6206/65003/26986/6217/6234/6150/10959/26046/10767/27335/6161/9349/2197/90701/6143/6134/6231/1977/6210/51073/6232/23369/23173/3735/55133/9147/7458/1859/56915/54998/6164/6233/6188/84300/57129/1656/3417/11224/2733/121665/6176/1936/6198/55132/6202/55052/6192/4736/116541/6142/246175/6229/6144/1982/5499/51250/6189/7311/6158/6175/6203/64975/2107/1968/9689/811/3921/5073/10128/2879/6132/55278/440275/54505/6181/23645/6209/728226/6160/6137/6125/219402/8890/51335/2739/7832/201626/6135/25873/10404/6169/30001/57486/9475/55695/64432/6170/8666/6157/5591/128308/6223/102/57142/6227/10973/5610/219988/1933/6141/6122/8301/6124/26995/10399/9553/23034/6205/399664/6647/79587/23019/3396/2185/5337/10600/6059/10573/4012/6128/85476/51264/90480/26523/25929/54464/6152/57721/6191/2332/51714/51258/7072/6168/8668/60559/468/6194/3376/65109/138199/23107/6133/6136/8664/5315/9811/55364/122704/6159/2729/23521/6208/7175/64928/11315/158078/1975/220717/9451/25983/6949/1200/55250/4690/2946/55095/23385/8562/6207/92935/9444/54859/1362/6154/23016/3459/10347/11340/5036/6138/84541/9520/6222/27102/28958/1978/23191/2935
