ID	D1	D2	D3	M1	M2	M3
RBP7	0	0	0	2	2	1
PRAMEF13	0	0	0	0	0	0
GPR157	4	0	2	0	0	4
PRAMEF32P	0	0	0	0	0	0
ZBTB40	2629	2853	2863	2657	3305	3159
ENO1-AS1	0	2	0	0	0	2
MICOS10-NBL1	0	0	0	0	0	0
FBXO44	8	9	6	8	0	8
PRAMEF10	0	0	0	0	0	2
PRAMEF11	0	0	0	0	2	0
PRAMEF1	0	0	0	1	0	2
CFL1P6	0	0	0	0	0	0
NPHP4	164	213	153	218	213	254
TMEM201	176	202	202	154	236	275
LINC01714	0	0	0	0	0	2
MTOR	2996	3087	3090	3975	4627	4418
TP73	30	33	32	26	37	42
ANGPTL7	0	0	1	0	0	0
RUNX3-AS1	0	0	0	0	0	0
HES5	12	11	10	4	2	4
PARK7	6092	6192	6268	7682	9199	8625
TNFRSF14-AS1	114	151	150	52	75	62
MT1XP1	0	1	0	0	0	5
PRAMEF6	0	0	0	0	0	0
CLIC4	2587	2693	2798	2909	3465	3394
NPM1P39	212	250	203	192	242	222
LINC01784	0	0	0	2	0	0
GPR3	6	10	18	26	2	8
ACTG1P20	1	5	13	7	5	11
DPPA2P2	0	0	0	0	0	0
ARHGEF19-AS1	0	0	0	0	0	0
CAMTA1-DT	3	4	3	13	6	3
UQCRHL	736	681	551	527	621	579
CD164L2	0	4	0	0	3	0
DYNLL1P3	0	0	0	0	0	0
SZRD1	2417	2657	2414	2812	3235	3431
PDIK1L	1094	1112	1152	799	1041	1019
CAMTA1	307	355	350	355	428	412
NECAP2	1909	2042	2102	1460	1848	1835
IGSF21-AS1	0	0	0	0	0	2
ZNF593OS	1	3	0	5	0	0
FBXO6	13	13	21	2	8	9
PPIAP34	0	0	0	0	0	0
LAPTM5	2710	3040	2616	2941	3138	3632
SLC30A2	7	14	12	8	8	3
PHACTR4	2487	3011	2713	2603	2926	2944
IFITM3P7	0	0	0	0	0	0
CNKSR1	8	10	11	11	12	14
FAM110D	6	11	10	4	2	2
ICMT	718	829	727	712	832	829
WASF2	5380	6374	5819	5493	6048	6223
MED18	217	272	236	233	260	242
MMEL1-AS1	0	0	0	0	0	0
LINC01648	0	0	0	0	0	0
SLC9A1	314	310	282	407	466	463
SNRPEP7	0	0	0	0	0	0
LDLRAP1	993	1134	1021	1217	1414	1388
RNF207-AS1	0	0	0	0	2	0
ATP5IF1	24114	27713	25674	16567	20315	18571
TP73-AS2	1	2	0	0	4	2
SDC3	241	349	229	123	91	141
PIK3CD-AS1	0	0	0	0	0	0
CHCHD3P3	62	74	77	79	87	84
PAFAH2	60	100	125	79	111	73
WDTC1	2807	3047	2986	3412	3580	3699
DNAJC8	17151	17636	17691	18625	21162	20298
RPL5P4	102	170	101	96	125	124
SESN2	1954	2332	2075	3516	4187	4037
SERINC2	46	58	59	21	24	23
AJAP1	2	5	3	4	2	0
PTAFR	12	8	4	2	10	11
RPS6KA1	1932	2307	2216	1631	1832	1697
CAMTA1-AS1	0	0	0	0	0	0
NKAIN1	2	3	2	0	0	0
SNRNP40	2307	2531	2745	2441	3152	2841
SLC25A33	153	165	148	239	316	238
NBPF2P	4	4	5	8	10	8
FBLIM1	7	3	5	10	2	6
GJB3	0	8	15	0	6	10
LINC01756	0	0	0	0	0	0
MATN1-AS1	24	21	36	37	35	33
DNAJC16	295	279	311	350	393	394
SYTL1	90	97	76	25	28	10
EYA3	1301	1185	1334	1332	1582	1532
ZNF593	0	0	0	0	0	0
RPL7P11	1	2	2	1	2	0
FABP3	59	58	33	49	48	68
C1orf158	0	0	0	0	0	2
EPHA2	27	28	21	25	23	10
LINC02780	0	2	0	0	4	0
ARHGEF19	88	83	77	49	66	69
KAZN-AS1	2	2	4	12	20	24
DRAXIN	6	0	8	6	3	0
GPR153	222	113	90	86	58	43
UBE2V2P3	0	0	0	3	1	3
MAP3K6	76	89	79	46	42	45
KAZN	17	3	6	8	8	15
PRAMEF5	0	1	0	0	0	0
RERE-AS1	6	0	2	4	4	4
CHCHD2P6	4	9	10	6	7	7
LINC00337	0	2	2	0	3	7
TNFRSF1B	183	242	254	69	80	85
HMGN2P17	0	0	1	0	0	0
HS6ST1P1	1	2	9	2	8	15
ZMYM4-AS1	0	0	2	0	0	0
TMEM51-AS2	0	0	0	2	0	0
TMEM82	0	0	0	0	2	0
KIAA0319L	1111	1159	1173	1520	1631	1621
LINC01226	17	19	24	1	0	2
UBE4B	2500	2599	2385	2476	2862	2767
PPP1R11P1	0	3	0	0	0	0
TMEM51-AS1	0	0	0	3	2	1
PLA2G5	0	1	0	0	0	0
PRAMEF30P	0	0	0	2	0	0
PTPRU	11	10	3	12	1	9
ZMYM6	182	188	174	181	204	209
FTLP18	0	0	0	2	0	0
GJB5	9	4	9	2	0	4
AGO4	935	885	962	707	912	877
CDCA8	2718	3012	2714	2690	2902	2801
GAPDHP20	0	0	0	0	0	0
CPLANE2	76	93	81	84	79	76
ZBTB8B	1	0	0	0	0	0
RPL12P14	2	8	6	4	2	4
RPL22	811	853	889	893	1083	1015
RNF207	7	10	9	5	11	6
LINC02810	0	0	0	0	0	0
FTH1P1	4	2	6	12	4	8
PAX7	0	0	0	0	2	0
TRIT1	412	469	358	379	488	401
CROCCP5	7	2	4	1	8	3
MATN1	10	6	13	3	17	22
TAS1R2	2	0	0	1	0	0
AADACL3	0	0	0	2	0	0
LRRC37A12P	0	0	0	2	2	0
EXTL1	0	0	3	6	1	3
WBP1LP7	0	0	0	0	0	0
CASZ1	134	185	141	190	151	174
AGMAT	16	18	18	4	11	14
FAAP20	272	297	325	231	301	250
DNALI1	28	20	15	28	10	15
PDE4DIPP10	0	0	0	0	0	0
SCMH1	594	567	632	386	444	415
IFFO2	187	227	265	368	415	397
RRAGC	931	988	865	1333	1449	1374
SPCS2P4	225	192	410	121	161	475
GRIK3	0	0	6	0	4	2
LINC02596	0	2	0	0	0	0
PLA2G2D	0	0	0	0	0	2
YRDC	148	161	100	127	154	136
PRAMEF33	0	0	0	0	0	0
FBXO2	1	4	4	1	2	5
HNRNPFP1	0	0	0	0	0	0
SLC25A34	22	40	33	28	36	20
CD24P1	0	0	0	0	0	0
GUCA2B	0	0	2	0	0	0
RCC2	3827	4267	4318	3862	4428	4179
HSPA5P1	4	6	5	2	6	4
PSMB2	473	538	512	582	701	657
CASP9	153	192	127	243	212	279
DDI2	8042	8749	8133	9710	10177	10174
UQCRH	8272	8868	7554	7436	8848	8016
MIR3659HG	0	0	0	1	0	0
RPS29P6	0	0	0	0	0	0
SELENOWP1	0	0	0	0	0	0
AGO1	551	632	585	692	832	743
PRAMEF7	0	0	0	0	0	0
GPR199P	2	5	4	2	0	1
THRAP3	28471	30244	28987	34124	40740	38422
LINC01786	13	16	11	10	16	2
RIMKLA	1	2	1	7	3	0
LINC01398	0	0	2	0	0	0
PADI6	0	0	4	0	3	0
MIR34AHG	78	75	59	42	46	29
PADI4	7	6	6	0	4	2
LINC02811	1	0	2	0	0	0
C1orf122	177	227	161	192	178	209
HSPE1P24	0	0	0	0	0	0
LINC01654	0	2	0	0	1	0
EPHA10	2	2	2	4	0	1
PRAMEF31P	0	0	0	0	0	0
FHL3	126	99	83	135	95	90
RHBDL2	7	7	15	9	7	9
TMEM35B	0	0	0	0	0	0
INPP5B	983	1118	893	1113	1270	1239
FAM183A	0	0	0	2	0	0
ZMYM4	1393	1579	1581	1723	2044	1800
UTP11	1824	2044	2025	2102	2705	2370
CFAP97P1	0	0	0	0	0	0
USP48	11514	12528	12099	10771	12517	11836
ACTN4P2	0	0	0	0	0	0
C1orf216	540	565	557	566	616	569
SHMT1P1	0	2	2	0	0	0
ACTL8	2	0	0	0	2	0
PHBP12	4	1	2	2	5	2
RLF	1180	1279	1313	1451	1694	1769
CTNNBIP1	249	343	368	277	387	398
CLSPN	8482	8914	8898	12265	13786	13251
OXCT2	5	2	2	0	2	4
GNL2	7684	8081	7654	8754	10512	10437
GJA4	0	4	0	2	5	2
TUBAP8	0	0	0	0	0	0
LINC02812	0	0	0	0	0	0
LINC02793	0	0	0	0	0	0
FCF1P6	0	0	0	0	0	2
MORN1	600	581	638	541	697	577
TUBBP10	0	0	0	0	0	0
PRKCZ-AS1	3	13	4	0	5	6
TTC22	0	0	0	2	4	5
TIE1	7	12	3	7	9	8
MYCBP	182	184	211	202	207	194
MICOS10	29	44	34	23	26	45
DLGAP3	7	3	1	8	0	2
GOT2P1	0	0	0	0	0	0
TMA16P2	0	0	0	0	0	0
RIMS3	235	208	204	241	291	226
ECHDC2	241	339	278	92	115	105
RAB3B	4	11	4	2	6	2
SMIM12	1035	1180	1042	1091	1312	1250
MYCL-AS1	0	0	0	0	0	1
TNFRSF9	11	0	2	4	4	2
MRPS6P2	0	0	0	0	0	0
MYCL	4	1	2	4	2	4
TMEM61	0	0	0	0	0	0
RPL23AP19	0	0	0	0	0	0
LINC02794	0	0	0	0	0	2
CYP4A26P	0	0	0	0	0	0
LINC02808	4	0	0	0	0	0
LINC02778	0	0	0	0	0	0
LINC01343	0	0	0	0	0	0
ERI3	368	324	338	501	399	519
CZIB	374	405	340	426	519	532
FAM151A	1	1	0	2	2	0
PODN	2	0	0	0	2	0
CYP4Z2P	0	0	2	0	2	0
OSBPL9	5111	5296	5281	4996	5649	5566
PHBP3	0	0	0	0	0	0
C1orf210	2	0	0	0	4	0
PARS2	48	39	42	56	61	54
ZYG11A	0	0	0	3	0	0
CALR4P	6	6	6	0	3	7
ZYG11B	404	405	369	571	716	622
LINC01755	0	0	2	2	0	0
NFIA	3415	3639	3804	2781	3701	3156
CZIB-DT	6	4	0	0	8	15
ST3GAL3-AS1	0	0	1	0	0	0
L1TD1	2	4	2	6	16	10
TXNDC12	339	414	381	544	614	571
ALPL	30	23	19	19	11	9
TXNDC12-AS1	0	4	4	2	2	0
SF3A3	13978	14818	15117	15432	17177	17079
FGGY-DT	6	2	4	8	5	2
LAMTOR5P1	0	0	0	0	0	0
PCSK9	705	741	796	54	93	93
MTCO2P34	0	0	1	0	0	0
RPS29P7	0	0	0	0	0	0
LINC01685	0	0	0	0	4	0
PIGQP1	0	0	0	0	0	0
TTC4	31	76	62	65	73	75
BMP8B	29	32	22	17	27	33
KLF17	4	4	10	0	4	0
PLPP3	16	9	23	18	12	26
RSPO1	0	0	1	2	2	2
SNIP1	1993	1885	2147	2166	2513	2358
RPS13P2	209	223	207	179	196	169
RPL23AP85	0	0	0	0	0	0
SLC2A3P2	4	4	0	0	4	2
CPT2	276	325	381	406	438	481
FOXJ3	2928	3220	3047	3865	4608	4315
TUT4	677	781	674	1104	1211	1108
RAVER2	383	458	398	218	283	312
GTF2F2P2	0	0	0	0	0	0
KLF18	0	2	0	2	2	0
TACSTD2	3	2	4	7	6	6
FOXD3	0	0	0	0	0	2
RPS15AP7	0	0	0	0	0	0
GAPDHP51	0	0	0	0	0	0
LINC01738	0	0	0	0	0	0
PATJ-DT	0	0	0	2	0	0
LINC02791	0	0	0	0	0	0
CYP4A43P	0	0	0	0	0	0
LINC00466	0	0	2	0	0	0
NFIA-AS1	6	6	1	5	2	2
MAGOH	4138	4569	4120	4121	4937	4395
DEPDC1-AS1	2	0	3	9	4	0
LINC01707	0	0	0	0	2	0
SKINT1L	0	4	2	0	0	0
DLEU2L	10	10	7	10	15	8
CDKN2C	3186	3873	3521	2498	3090	2668
CAPZB	2031	2228	2224	2490	2719	2547
LINC01771	0	2	0	0	2	0
ELOCP18	0	0	0	0	0	0
C1orf87	0	0	0	1	0	5
ZSWIM5	25	36	49	46	73	77
OMA1	227	272	257	194	271	233
SLC35D1	136	176	153	127	171	166
HIGD1AP11	0	0	0	0	0	0
LRP8	561	616	595	767	996	932
TCEANC2	903	968	883	815	949	826
KTI12	34	42	73	33	66	47
LRRC42	304	326	286	387	476	411
PIGPP2	0	0	0	1	0	0
GDI2P2	7	5	8	5	4	7
CYP46A4P	0	0	0	0	0	0
MRPS21P1	0	0	0	0	0	0
LINC01360	0	0	0	0	0	0
LINC02567	0	0	0	0	0	0
KANK4	4	0	0	0	0	2
DNAJB4	1094	978	1074	910	1034	1128
USP1	7404	8209	7581	7045	8732	7496
ERI3-IT1	4	2	1	14	7	3
RNFT1P2	0	0	0	0	0	0
AK5	2	2	1	4	2	2
ADH5P2	4	0	2	5	1	1
TXNP2	0	0	0	0	0	0
SPATA6	2	0	2	4	8	6
GIPC2	2	4	4	6	5	6
RPE65	2	0	0	4	4	0
ANGPTL3	0	0	2	0	2	2
GNG12	17	15	9	20	12	9
KRT8P21	0	0	0	0	0	2
DNAJC6	3268	3693	3552	3705	4354	4158
AK4	95	105	122	104	83	83
LEPROT	1030	1229	1140	1027	1110	1190
RPL31P12	0	0	0	0	0	0
LINC02796	0	0	0	0	0	0
NDUFS5P3	0	0	0	0	0	0
NFIA-AS2	2	0	0	2	4	3
CACHD1	14	26	19	10	4	10
EFCAB7	142	149	164	131	133	155
LINC02238	0	2	0	0	0	0
MCOLN2	0	2	0	0	0	0
ST6GALNAC5	0	0	2	0	4	0
ATG4C	234	242	294	271	319	279
LINC02797	0	0	0	0	0	0
COX6CP13	0	5	2	0	6	0
LINC01359	9	11	8	0	11	5
TXN2P1	0	0	0	0	0	0
PDE4B-AS1	0	0	0	0	0	0
ASB17	0	0	0	0	0	0
COX6B1P7	0	0	0	0	0	0
RPL21P24	0	0	0	0	0	0
ADGRL4	0	0	0	0	0	0
GJA9	0	0	0	0	3	1
PRKACB-DT	8	10	16	10	13	20
ATP6V0E1P4	0	0	0	0	0	0
PPIE	1235	1426	1520	1403	1770	1617
PPP1R8P1	0	2	0	0	0	0
CLCA1	0	0	0	2	0	0
MTF1	1310	1452	1430	1701	2028	2056
JAK1	1226	1481	1349	1802	1975	1941
TTLL7	96	91	92	144	147	166
GADD45A	8850	10115	8654	10335	12192	11334
KDM4A	1343	1366	1432	2214	2179	2237
TTLL7-IT1	0	0	0	0	0	4
NEGR1-IT1	0	0	0	0	0	0
CAPNS1P1	0	0	0	0	0	0
LINC02777	2	2	4	4	0	7
LDC1P	0	4	2	2	4	0
ZNHIT6	4123	4333	4415	5087	6570	6059
MGC27382	0	0	2	0	4	0
MROH7	3	2	0	0	2	2
LINC01763	1	0	2	0	1	4
PTGFR	1	0	0	0	0	0
LINC02801	3	6	4	0	0	2
EEF1GP7	0	0	0	0	0	0
LMO4	415	503	445	595	649	641
PRPF38A	5372	5759	5778	5854	6871	6361
SYDE2	27	31	39	28	38	41
PIGK	486	469	455	421	513	476
HNRNPA3P12	72	48	67	59	50	54
ST6GALNAC3	2	0	0	0	0	4
PGBD4P8	0	0	0	0	0	0
MTND2P30	0	0	0	0	0	0
RPL7P10	0	0	0	0	0	0
PKN2-AS1	8	10	16	12	13	5
LINC02792	0	0	0	0	0	2
GUCA2A	0	0	0	0	0	2
USP24	11114	11015	11827	9546	10616	10286
SLC25A6P3	0	0	0	0	0	0
PSAT1P3	1	0	0	0	1	1
DOCK7	843	864	906	996	1213	1189
NEXN-AS1	0	1	8	5	1	3
NEGR1	4	0	13	2	6	5
RPL36AP10	0	0	0	0	0	0
LINC01712	0	0	0	0	1	2
FAAH	15	10	12	6	19	15
KYAT3	302	363	345	378	457	412
SHISAL2A	0	0	0	0	0	0
HMGB1P18	0	0	0	0	0	0
CLCA4-AS1	0	0	0	3	1	2
DNTTIP2	8368	9038	8895	9707	11500	10711
HNRNPA1P64	0	0	0	1	0	0
ODF2L	642	724	623	539	696	545
PTPRF	646	585	578	192	147	202
DHCR24	961	1190	1029	1393	1752	1627
LINC02795	8	11	5	1	4	1
PHKA1P1	10	12	4	8	8	7
CDCA4P2	0	0	1	0	0	0
COL24A1	61	60	79	87	49	77
BSND	0	2	2	1	2	4
GPX7	12	8	8	14	12	20
SLC44A3	5	0	2	0	2	4
ACTG1P21	0	0	0	0	2	0
LINC01362	1	0	0	0	0	0
NSRP1P1	13	8	9	6	11	23
PKN2	1421	1410	1499	1424	1556	1522
DAB1-AS1	0	0	0	0	0	0
MTCO1P21	0	0	0	0	0	0
GBP1P1	0	0	0	0	0	0
LINC01364	0	0	0	0	1	0
RPSAP65	0	0	0	0	0	0
CLCA4	0	0	0	2	0	0
MIR4422HG	5	4	4	6	2	2
ABCD3	618	701	639	873	1111	1135
MROH7-TTC4	0	0	1	0	0	0
ZMYND12	0	2	5	2	1	2
ALG14	125	123	158	63	63	80
ZZZ3	1231	1216	1329	1267	1644	1586
YIPF1	140	134	143	139	169	176
HNRNPCP9	0	0	0	0	0	0
KATNBL1P2	0	0	0	0	0	0
NFYC-AS1	30	43	37	63	50	38
LDLRAD1	0	0	0	0	0	0
GJB4	2	3	0	0	0	0
TMEM125	0	0	4	0	2	0
DMRTA2	1	1	0	2	0	0
HIVEP3	8	4	5	14	5	6
CLCA3P	0	5	0	0	1	0
SH3GLB1	1000	1058	938	1045	1193	1276
PRAMEF8	0	0	2	0	0	0
TM2D1	375	391	347	420	392	425
HMGB1P45	0	2	0	0	0	0
SCP2	1716	1895	1533	1319	1745	1618
FAF1-AS1	0	0	0	2	2	2
MTND4P11	0	0	0	0	0	0
BCAR3	58	76	46	32	47	32
MTCO3P21	0	0	0	0	0	0
TBCAP2	0	0	0	0	0	0
BARHL2	2	0	1	0	0	0
LINC02607	0	2	0	0	2	2
OAZ1P1	0	0	0	0	0	0
DMAP1	1832	2054	1885	1774	2306	2070
AHCYL1	1932	2115	1916	2212	2510	2407
CNN3	390	442	433	408	443	421
OOSP1P1	0	0	0	0	0	0
VAV3	225	265	286	283	321	286
HNRNPA1P6	2	7	1	2	12	10
EEF1A1P11	23	23	34	22	21	20
LINC01361	0	0	0	0	1	0
RPS20P5	0	0	0	0	0	2
HSPE1P25	0	0	0	0	1	0
DPYD	67	75	66	78	112	83
TLCD4	2326	2828	2774	1280	1479	1485
H3P2	0	0	0	0	0	0
POU3F1	2	6	6	13	13	14
LRRC8D	880	1050	956	602	696	648
S1PR1	0	0	2	6	2	0
MCOLN3	0	0	2	3	0	4
NFU1P2	0	0	0	0	0	0
ELAPOR1	3	17	14	9	7	9
ARHGAP29	23	28	16	22	8	21
ST13P21	0	0	0	0	0	0
LINC02790	0	0	2	1	0	0
PGM1	42	36	28	47	66	48
IGSF21	0	0	0	1	0	0
COA7	1490	1776	1564	1048	1377	1361
PFN1P10	0	0	0	0	0	0
MAD2L2	573	530	595	635	700	637
DPYD-IT1	0	0	0	0	0	0
GYG1P3	0	0	0	0	0	2
OLFML3	4	2	4	8	13	7
TRABD2B	0	1	1	2	4	2
GCLM	1000	1014	1096	1105	1359	1281
TGFBR3	1	8	2	20	8	8
CNOT7P2	0	0	0	0	0	0
VAV3-AS1	0	0	0	4	0	0
RPL21P23	0	0	0	0	0	0
ALG14-AS1	0	0	0	0	0	2
MTND3P21	0	0	0	0	0	0
ELAVL4-AS1	0	0	0	0	2	0
SZT2	1779	1967	1947	2043	2436	2182
LINC01349	0	0	0	0	0	0
PHTF1	671	552	558	773	783	869
GSTM5	0	0	2	0	0	0
GSTM2	108	113	151	65	81	73
RRAS2P1	0	0	0	0	0	0
RPSAP19	27	55	55	48	50	43
BCAS2P2	2	3	8	1	6	2
F3	23	18	22	16	37	26
FTH1P22	0	0	0	0	0	0
WARS2-IT1	0	0	2	3	0	0
LINC01739	0	0	0	0	0	0
DNAJA1P5	0	0	0	0	0	0
RPL22P6	2	2	0	0	0	0
VCAM1	3	8	8	8	6	14
HSP90B3P	3	0	4	0	3	0
EPS15-AS1	244	283	232	285	347	367
HIPK1	5021	5235	5147	5414	6212	5610
HSD3BP2	0	0	0	0	0	0
PSRC1	815	991	797	913	1060	988
LINC01787	2	0	0	0	0	0
SEC63P1	16	25	28	19	23	33
CYP4A27P	0	0	2	0	0	0
LINC01708	0	0	0	0	0	0
MTATP6P13	0	0	0	2	0	0
LINC02787	0	0	0	0	0	0
GPR88	0	2	0	0	2	2
RWDD3	139	150	139	90	121	84
MAN1A2	761	885	896	1253	1382	1437
LRIG2-DT	4	2	6	2	4	0
LPAR3	0	0	0	0	1	0
LINC02868	0	2	0	0	0	0
LINC01753	0	0	0	0	0	0
DPYD-AS1	0	3	0	0	4	2
CTTNBP2NL	165	87	118	128	188	144
PDE4DIPP5	0	0	0	0	2	0
SORT1	288	268	222	290	305	372
RBMX2P3	0	0	2	2	0	2
LINC01676	0	0	0	0	2	0
DNAI3	0	0	2	0	0	5
HIPK1-AS1	72	68	94	75	80	66
LINC01525	0	0	0	0	2	0
STRIP1	1334	1306	1428	1843	1834	1938
BCL2L15	12	16	21	17	16	24
TPI1P1	204	242	221	242	291	238
SLC25A24	14	10	17	29	37	55
PLPPR5	0	0	0	0	0	0
MYBPHL	2	0	0	4	1	5
PIFO	2	6	2	3	7	0
SLC25A24P1	2	3	0	0	2	2
LINC01650	0	0	0	0	0	0
TSPAN2	4	2	0	0	0	0
GAPDHP23	0	0	0	2	0	0
LINC01776	0	0	0	0	2	0
RPL26P9	0	0	0	0	0	0
LRIG2	223	296	344	276	319	282
PSMA5	1909	1850	1884	2470	2832	2680
SLC35A3	583	670	732	801	1124	1050
AGL	469	452	506	413	480	447
SLC6A17	2	0	0	3	2	0
HSD3B2	2	0	0	0	1	0
PTPN22	184	159	150	35	55	55
CHIAP3	0	0	0	0	0	0
COL11A1	133	105	112	163	169	177
RPS3AP12	0	0	0	0	0	0
GAPDHP64	0	0	0	0	0	0
RNPC3	628	673	721	762	836	804
SNX7	4	6	8	6	8	2
AP4B1	259	256	268	260	330	306
LINC01709	1	0	0	0	1	0
SARS1	14885	15749	14836	22699	25319	24117
SLC30A7	187	217	209	240	284	255
SLC16A1-AS1	61	73	96	71	70	83
GSTM1	2	4	4	1	2	6
SEC22B	1137	1299	1262	1212	1368	1324
MYSM1	1510	1493	1627	1553	1948	1829
CYP4A44P	0	0	0	0	0	0
PTGFRN	30	37	29	23	30	21
HSD3BP1	0	0	0	0	0	0
BCAS2	837	951	942	966	1158	1000
ZNF326	7209	7445	7293	8086	9106	8789
RNVU1-8	1	3	0	1	4	5
TRIM45	88	115	91	87	120	107
RPS26P15	2	1	2	0	4	3
NBPF17P	0	0	0	0	0	1
SEPTIN2P1	11	16	4	2	2	2
NBPF5P	0	0	1	0	0	0
DPYD-AS2	0	0	0	0	0	0
VANGL1	775	819	811	548	593	564
LINC02788	1	0	0	0	0	0
VPS25P1	0	0	0	0	0	2
LINC01780	2	0	2	0	0	0
TENT5C	9009	9327	8641	8061	8901	8863
PDZK1	17	11	15	5	9	11
RPL7AP15	0	2	0	2	2	0
NBPF25P	20	30	30	40	27	27
LINC01731	0	0	0	0	0	0
NBPF8	169	280	118	163	162	210
GAPDHP74	0	0	0	0	0	0
VPS45	502	545	435	583	583	619
CLCA4-AS1	3	3	13	7	6	9
LINC01397	0	3	0	0	0	0
MTND5P20	0	0	0	0	0	0
RNF115	4359	5086	4846	4228	4943	4747
SYCP1	12	12	23	0	3	0
PIP5K1A	502	587	512	781	963	952
GDAP2	236	299	304	360	456	413
PRPF3	4481	4693	4547	4902	5644	5525
NEFHP1	0	2	2	6	4	7
DCLRE1B	1019	1082	1076	1113	1197	1253
VDAC2P3	0	6	3	4	9	4
FTLP17	0	0	0	0	0	0
HYDIN2	0	0	3	2	0	5
HIGD1AP12	0	0	0	0	0	0
TSHB	0	0	0	0	0	0
POGZ	2364	2404	2288	2388	2682	2698
SOD2P1	0	0	0	0	0	0
C1orf54	13	15	15	5	3	11
WDR3	1129	1337	1423	1649	1937	2027
PLEKHO1	19	39	37	30	43	51
LINC02798	4	2	3	7	0	3
PSMC1P12	4	0	4	0	1	0
SLC22A15	4	4	6	4	6	6
SCNM1	713	809	737	800	822	907
FLG	6	0	5	7	4	7
ALX3	0	0	0	0	0	0
RPS15AP9	0	0	0	0	0	0
NHLH2	0	0	2	0	2	0
TRIM33	3359	3655	3511	4096	4811	4705
H3P4	1	0	0	1	0	1
FLG-AS1	4	0	0	3	8	3
PDE4DIP	153	160	223	196	214	265
CDC14A	463	491	446	379	420	390
CD53	123	86	67	16	19	23
RLIMP2	0	0	0	0	0	0
AP4B1-AS1	8	7	14	6	14	16
APH1A	517	535	554	496	628	600
MTIF2P1	0	1	0	0	0	0
FLG2	0	0	0	0	0	2
SRGAP2C	266	323	339	268	338	296
