"SYMBOL"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"seqnames"	"start"	"end"	"width"	"log2FC"	"seqnames.1"	"start.1"	"end.1"	"width.1"	"strand"	"V4"	"V5"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"transcriptId"	"distanceToTSS"	"ENTREZID"	"GENENAME"
"OR2W6P"	2.163951032	1.081975516	7.790995353	0.000391422	0.017537416	0.65357239	"6"	27945743	27946143	"*"	0.425057097	"6"	27945744	27946143	400	"*"	"*"	0.425057097	"Distal Intergenic"	6	27937465	27938403	939	1	"ENSG00000168126"	"ENST00000439689"	8279	81406	"olfactory receptor family 2 subfamily W member 6 pseudogene"
"PLK2"	1.829017957	7.459162363	9.864784246	0.000117771	0.009913314	1.943570024	"5"	58363484	58363884	"*"	0.872750912	"5"	58363485	58363884	400	"*"	"*"	0.872750912	"Distal Intergenic"	5	58454706	58455116	411	2	"ENSG00000145632"	"ENST00000511326"	91232	10769	"polo like kinase 2"
"PLXDC2"	1.424640907	4.029415359	5.414012674	0.002294484	0.043603136	-1.300324727	"10"	20002437	20002837	"*"	0.620185191	"10"	20002438	20002837	400	"*"	"*"	0.620185191	"Intron (ENST00000377242/ENSG00000120594, intron 2 of 12)"	10	20043320	20280357	237038	1	"ENSG00000120594"	"ENST00000377238"	-40483	84898	"plexin domain containing 2"
"PSG4"	1.440642698	1.248642183	2.873788751	0.031890317	0.179556368	-4.210802195	"19"	43202114	43202514	"*"	1.004061609	"19"	43202115	43202514	400	"*"	"*"	1.004061609	"Promoter (1-2kb)"	19	43197744	43204051	6308	2	"ENSG00000243137"	"ENST00000495316"	1537	5672	"pregnancy specific beta-1-glycoprotein 4"
"RSPO1"	1.251629167	0.959147917	4.101956319	0.007941363	0.0856263	-2.683165973	"1"	37636344	37636744	"*"	0.477821569	"1"	37636345	37636744	400	"*"	"*"	0.477821569	"Promoter (1-2kb)"	1	37611350	37634892	23543	2	"ENSG00000169218"	"ENST00000356545"	-1453	284654	"R-spondin 1"
"SCLY"	1.09653194	6.653693147	6.018971256	0.001390067	0.033271838	-0.74283038	"2"	238083874	238084274	"*"	0.426176071	"2"	238083875	238084274	400	"*"	"*"	0.426176071	"Promoter (<=1kb)"	2	238083246	238094849	11604	1	"ENSG00000132330"	"ENST00000433750"	629	51540	"selenocysteine lyase"
"SNORA33"	1.709761006	2.188213836	2.862429716	0.032338061	0.180776561	-4.225871582	"6"	132817985	132818385	"*"	1.032910526	"6"	132817986	132818385	400	"*"	"*"	1.032910526	"Promoter (<=1kb)"	6	132817219	132817348	130	1	"ENSG00000200534"	"ENST00000363664"	767	594839	"small nucleolar RNA, H/ACA box 33"
"SOX7"	1.593786571	2.73267826	3.332737081	0.018454963	0.135230218	-3.614810682	"8"	10735484	10735884	"*"	0.976883053	"8"	10735485	10735884	400	"*"	"*"	0.976883053	"Intron (ENST00000506149/ENSG00000248896, intron 1 of 2)"	8	10723768	10730511	6744	2	"ENSG00000171056"	"ENST00000304501"	-4974	83595	"SRY-box transcription factor 7"
"SPOCK1"	2.449274996	7.56128712	17.41127324	5.97e-06	0.003490126	4.859860726	"5"	137397217	137397617	"*"	1.065431429	"5"	137397218	137397617	400	"*"	"*"	1.065431429	"Intron (ENST00000394945/ENSG00000152377, intron 2 of 10)"	5	137267015	137365461	98447	2	"ENSG00000152377"	"ENST00000509293"	-31757	6695	"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1"
"TAFA5"	2.464105808	1.232052904	10.63048982	8e-05	0.007898851	2.348281222	"22"	48645772	48646172	"*"	0.512007461	"22"	48645773	48646172	400	"*"	"*"	0.512007461	"Intron (ENST00000402357/ENSG00000219438, intron 1 of 3)"	22	48693247	48750408	57162	1	"ENSG00000219438"	"ENST00000406880"	-47075	25817	"TAFA chemokine like family member 5"
"TMEM51-AS1"	1.528320834	0.764160417	5.652057712	0.00187478	0.03948261	-1.075397998	"1"	15118344	15118744	"*"	0.94025323	"1"	15118345	15118744	400	"*"	"*"	0.94025323	"Exon (ENST00000310916/ENSG00000175147, exon 5 of 6)"	1	15111869	15152458	40590	2	"ENSG00000175147"	"ENST00000404665"	33714	200197	"TMEM51 antisense RNA 1"
"TREX2"	1.738106374	2.39737402	2.53131845	0.04894236	0.226469508	-4.670213436	"X"	153450083	153450483	"*"	0.556812813	"X"	153450084	153450483	400	"*"	"*"	0.556812813	"Promoter (2-3kb)"	23	153444720	153447863	3144	2	"ENSG00000183479"	"ENST00000370212"	-2221	11219	"three prime repair exonuclease 2"
