ID	Mean_GPA	Mean_CD36	Number	Plate	Row	Col	MOLENAME	CAS	Pathways	Target	Receptor	Genesymbol	Target_Group	GROUP	GPA	CD36	LOGFC_GPA	LOGFC_CD36
T5825	11.46096776	7.21916852	344	plate5	C	5	ORY-1001(trans)	1431303-72-8	Chromatin/Epigenetic	Histone Demethylase	LSD1/KDM1A	KDM1A	Histone methyltransferase and histone demethylase	EXP	11.46096776	7.21916852	-1.336032237	-2.44033148
T6021	13.31047078	9.038918989	179	plate3	B	10	GSK1324726A	1300031-52-0	Chromatin/Epigenetic	Epigenetic Reader Domain inhibitor	BRD2; BRD3; BRD4	BRD2; BRD3; BRD4	Bromodomain proteins (BRD)	EXP	13.31047078	9.038918989	0.513470777	-0.620581011
T6073	11.85408918	7.727920455	250	plate4	A	11	OG-L002	1357302-64-7	Chromatin/Epigenetic	Histone Demethylase inhibitor	LSD1	KDM1A	Histone methyltransferase and histone demethylase	EXP	11.85408918	7.727920455	-0.94291082	-1.931579545
T6127	12.20548782	9.324180547	240	plate3	H	11	Rucaparib Phosphate	459868-92-9	Chromatin/Epigenetic; DNA Damage/DNA Repair	PARP	PARP	"PARP-1, PARP-2 and PARP-3"	Others	EXP	12.20548782	9.324180547	-0.59151218	-0.335319453
T6173	13.8837888	9.37286506	130	plate2	E	11	BI 2536	755038-02-9	Cell Cycle/Checkpoint; Chromatin/Epigenetic	Epigenetic Reader Domain; PLK	BRD4; PLK1; PLK2; PLK3	BRD4; PLK1; PLK2; PLK3	Bromodomain proteins (BRD)	EXP	13.8837888	9.37286506	1.086788803	-0.28663494
T6228	13.34332454	9.804131021	129	plate2	E	10	Irinotecan	97682-44-5	DNA Damage/DNA Repair	Topoisomerase inhibitor	Topo I	TOP1	"Topoisomerase(TOP1, 2A,2B)"	EXP	13.34332454	9.804131021	0.546324536	0.144631021
T6371	14.3662539	9.642051693	265	plate4	C	6	AGK2	304896-28-4	Chromatin/Epigenetic; DNA Damage/DNA Repair	Sirtuin inhibitor	SIRT2	SIRT2	Histone acetyltransferase and histone deacetylases	EXP	14.3662539	9.642051693	1.569253903	-0.017448307
T6588	14.20212382	9.567956075	256	plate4	B	7	Mitoxantrone	65271-80-9	DNA Damage/DNA Repair;Cytoskeletal Signaling	Topoisomerase inhibitor;PKC	Topo II;PKC	"TOP2A, TOP2B"	"Topoisomerase(TOP1, 2A,2B)"	EXP	14.20212382	9.567956075	1.405123824	-0.091543925
T6628	14.68068917	9.603626345	241	plate4	A	2	Pirarubicin	72496-41-4	DNA Damage/DNA Repair	Topoisomerase inhibitor	Topo II	"TOP2A, TOP2B"	"Topoisomerase(TOP1, 2A,2B)"	EXP	14.68068917	9.603626345	1.883689169	-0.055873655
T6790	12.25443815	9.187352073	291	plate4	F	2	BMS911543	1271022-90-2	JAK/STAT;Angiogenesis;Chromatin/Epigenetic;Stem Cells	Histone Methyltransferase inhibitor;JAK inhibitor;Tyrosine Kinases inhibitor	JAK2 ;SET-2;TYK2; JAK3; JAK1	JAK2 ;SET2;TYK2; JAK3; JAK1	Others	EXP	12.25443815	9.187352073	-0.542561852	-0.472147927
T6811	12.04814625	9.005624549	237	plate3	H	8	CPI637	1884712-47-3	Chromatin/Epigenetic	Epigenetic Reader Domain inhibitor	CBP; EP300;BRD4	"CREBBP, EP300"	Histone acetyltransferase and histone deacetylases	EXP	12.04814625	9.005624549	-0.748853746	-0.653875451
T2512	12.29519496	9.398743692	154	plate2	H	5	Mocetinostat	726169-73-9	Chromatin/Epigenetic; DNA Damage/DNA Repair	HDAC	HDAC1; HDAC11; HDAC2; HDAC3	HDAC1; HDAC11; HDAC2; HDAC3	Histone acetyltransferase and histone deacetylases	EXP	12.29519496	9.398743692	-0.501805044	-0.260756308
T6922	11.03066714	6.411087227	229	plate3	G	10	ORY1001	1431326-61-2	Chromatin/Epigenetic	Histone Demethylase inhibitor	LSD1/KDM1A	KDM1A	Histone methyltransferase and histone demethylase	EXP	11.03066714	6.411087227	-1.766332864	-3.248412773
T2383	12.08015131	7.77478706	107	plate2	C	8	Panobinostat	404950-80-7	Chromatin/Epigenetic; DNA Damage/DNA Repair	HDAC	HDAC	"HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,HDAC6,HDAC7,HDAC8,HDAC9,HDAC10,HDAC11"	Histone acetyltransferase and histone deacetylases	EXP	12.08015131	7.77478706	-0.71684869	-1.88471294
T6055	12.03239017	8.312882955	243	plate4	A	4	Quisinostat	875320-29-9	Chromatin/Epigenetic; DNA Damage/DNA Repair; NF-扛b	HDAC inhibitor	HDAC1; HDAC10; HDAC11; HDAC2; HDAC3; HDAC4; HDAC5; HDAC8	HDAC1; HDAC10; HDAC11; HDAC2; HDAC3; HDAC4; HDAC5; HDAC8	Histone acetyltransferase and histone deacetylases	EXP	12.03239017	8.312882955	-0.764609831	-1.346617045
T6279	11.84627391	8.754887502	269	plate4	C	10	Givinostat hydrochloride monohydrate	732302-99-7	Chromatin/Epigenetic; DNA Damage/DNA Repair; NF-扛b	HDAC inhibitor	HDAC （HD1-A; HD1-B; HD2为植物基因）	"HDAC1,HDAC3"	Histone acetyltransferase and histone deacetylases	EXP	11.84627391	8.754887502	-0.950726089	-0.904612498
T4389	11.20579325	7.622051819	282	plate4	E	3	SR4370	1816294-67-3	Chromatin/Epigenetic;DNA Damage/DNA Repair	HDAC inhibitor	HDAC1; HDAC2; HDAC3	HDAC1; HDAC2; HDAC3	Histone acetyltransferase and histone deacetylases	EXP	11.20579325	7.622051819	-1.591206751	-2.037448181
T0431	10.67860014	7.781359714	120	plate2	D	11	PCI24781	783355-60-2	Chromatin/Epigenetic; DNA Damage/DNA Repair; NF-扛b	HDAC inhibitor	HDAC1; HDAC10; HDAC2; HDAC3/SMRT; HDAC6	HDAC1; HDAC10; HDAC2; HDAC3/NCOR2; HDAC6	Histone acetyltransferase and histone deacetylases	EXP	10.67860014	7.781359714	-2.118399861	-1.878140286
T7942	12.25709314	8.527477006	350	plate5	C	11	Tranylcypromine (hemisulfate)	13492-01-8	Metabolism;Chromatin/Epigenetic	MAO;Histone Demethylase	MAO;LSD1	KDM1A	Histone methyltransferase and histone demethylase	EXP	12.25709314	8.527477006	-0.539906856	-1.132022994
8013-0848	12.79543092	9.152284842	365	plate5	E	6	8013-0848	8013-0848	Chromatin/Epigenetic	Histone Demethylase	Lysine-specific demethylase 4D-like	KDM4E	Histone methyltransferase and histone demethylase	EXP	12.79543092	9.152284842	-0.00156908	-0.507215158
G395-0811	12.83585304	9.139551352	61	plate1	G	2	G395-0811	G395-0811	Chromatin/Epigenetic	Histone Acetyltransferase	Histone acetyltransferase GCN5	"KAT2A,KAT2B"	Histone methyltransferase and histone demethylase	EXP	12.83585304	9.139551352	0.038853036	-0.519948648
G402-0070	12.68977963	8.965784285	364	plate5	E	5	G402-0070	G402-0070	Chromatin/Epigenetic	Epigenetic Reader Domain	BAZ2B	BAZ2B	Others	EXP	12.68977963	8.965784285	-0.107220371	-0.693715715
G856-1908	12.94964436	9.118941073	369	plate5	E	10	G856-1908	G856-1908	Chromatin/Epigenetic	Epigenetic Reader Domain	BAZ2B	BAZ2B	Others	EXP	12.94964436	9.118941073	0.152644357	-0.540558927
T2072	12.90162116	8.451211112	103	plate2	C	4	BET bromodomain inhibitor	1505453-59-7	Chromatin/Epigenetic	Epigenetic Reader Domain inhibitor	BET bromodomain	BRD2; BRD3; BRD4	Bromodomain proteins (BRD)	EXP	12.90162116	8.451211112	0.104621158	-1.208288888
T2110	12.77787172	7.607330314	115	plate2	D	6	(+)-JQ-1	1268524-70-4	Chromatin/Epigenetic	Epigenetic Reader Domain	BRD4 (1); BRD4 (2)	BRD4	Bromodomain proteins (BRD)	EXP	12.77787172	7.607330314	-0.01912828	-2.052169686
T2120	12.54351522	9.076815597	159	plate2	H	10	I-BET151	1300031-49-5	Chromatin/Epigenetic	Epigenetic Reader Domain inhibitor	BRD2; BRD3; BRD4	BRD2; BRD3; BRD4	Bromodomain proteins (BRD)	EXP	12.54351522	9.076815597	-0.253484784	-0.582684403
T5347	12.97853172	8.994353437	321	plate5	A	2	CXD-101	934828-12-3	Chromatin/Epigenetic;DNA Damage/DNA Repair	HDAC	HDAC;HDAC1 ;HDAC3 ;HDAC2	HDAC1 ;HDAC3 ;HDAC2	Histone acetyltransferase and histone deacetylases	EXP	12.97853172	8.994353437	0.18153172	-0.665146563
T2315	12.60084211	9.124121312	112	plate2	D	3	GSK-LSD1 dihydrochloride	1431368-48-7	Chromatin/Epigenetic	Histone Demethylase inhibitor	LSD1	KDM1A	Histone methyltransferase and histone demethylase	EXP	12.60084211	9.124121312	-0.196157886	-0.535378688
T2442	12.32446186	7.781359714	160	plate2	H	11	CPI203	202591-23-9	Chromatin/Epigenetic	Epigenetic Reader Domain inhibitor	BRD4	BRD4	Bromodomain proteins (BRD)	EXP	12.32446186	7.781359714	-0.472538144	-1.878140286
T7385	12.93221475	9.022367813	334	plate5	B	5	WT-161	1206731-57-8	Chromatin/Epigenetic	HDAC	HDAC	HDAC6	Histone acetyltransferase and histone deacetylases	EXP	12.93221475	9.022367813	0.135214752	-0.637132187
T2S0300	12.60339453	9.147204925	357	plate5	D	8	Hydrocoumarin	119-84-6	Chromatin/Epigenetic	Sirtuin	SIRT1;SIRT2	SIRT1;SIRT2	Histone acetyltransferase and histone deacetylases	EXP	12.60339453	9.147204925	-0.193605469	-0.512295075
T3458	12.59502432	8.864186145	239	plate3	H	10	EED226	2083627-02-3	Chromatin/Epigenetic	DNA Methyltransferase inhibitor; Histone Methyltransferase inhibitor	EED; PRC2	EED	Others	EXP	12.59502432	8.864186145	-0.201975681	-0.795313855
T3504	12.71724801	8.897845456	235	plate3	H	6	AZD5153 6-Hydroxy-2-naphthoic acid	1869912-40-2	Chromatin/Epigenetic	Epigenetic Reader Domain inhibitor	BD1-BRD4; FL-BRD4	BRD4	Bromodomain proteins (BRD)	EXP	12.71724801	8.897845456	-0.079751994	-0.761654544
T5440	13.01628598	9.116343961	358	plate5	D	9	Dbet57	1883863-52-2	Chromatin/Epigenetic	Epigenetic Reader Domain	BD1-BRD4	BRD4	Bromodomain proteins (BRD)	EXP	13.01628598	9.116343961	0.219285982	-0.543156039
T5618	12.61079417	8.997179481	343	plate5	C	4	AK-1	330461-64-8	Chromatin/Epigenetic;DNA Damage/DNA Repair	Sirtuin	SIRT2	SIRT2	Histone acetyltransferase and histone deacetylases	EXP	12.61079417	8.997179481	-0.186205831	-0.662320519
T6980	12.59991284	9.098032083	209	plate3	E	10	Scriptaid	287383-59-9	Chromatin/Epigenetic; DNA Damage/DNA Repair; NF-扛b	HDAC inhibitor	HDAC	"HDAC1,HDAC2,HDAC3"	Histone acetyltransferase and histone deacetylases	EXP	12.59991284	9.098032083	-0.197087158	-0.561467917
T6026	12.65754176	7.011227255	247	plate4	A	8	CPI203	1446144-04-2	Preclinical	Epigenetic Reader Domain inhibitor	BRD4	BRD4	Bromodomain proteins (BRD)	EXP	12.65754176	7.011227255	-0.13945824	-2.648272745
T6032	12.35672706	8.169925001	238	plate3	H	9	Birabresib	202590-98-5	Chromatin/Epigenetic	Epigenetic Reader Domain inhibitor	BRDs	BRD2; BRD3; BRD4	Bromodomain proteins (BRD)	EXP	12.35672706	8.169925001	-0.440272943	-1.489574999
T7664	12.55458885	9.060695932	352	plate5	D	3	Pyroxamide	382180-17-8	Chromatin/Epigenetic;DNA Damage/DNA Repair	HDAC	HDAC	HDAC1	Histone acetyltransferase and histone deacetylases	EXP	12.55458885	9.060695932	-0.242411148	-0.598804068
T3509	12.30320995	8.764871591	228	plate3	G	9	ACY738	1375465-91-0	Chromatin/Epigenetic; DNA Damage/DNA Repair; NF-扛b	HDAC inhibitor	HDAC6	HDAC6	Histone acetyltransferase and histone deacetylases	EXP	12.30320995	8.764871591	-0.493790051	-0.894628409
T6783	12.68846888	9.033423002	236	plate3	H	7	BI7273	1883429-21-7	Chromatin/Epigenetic	Epigenetic Reader Domain inhibitor	BRD7; BRD9	BRD7; BRD9	Bromodomain proteins (BRD)	EXP	12.68846888	9.033423002	-0.108531117	-0.626076998
T7378	12.93921188	9.060695932	340	plate5	B	11	BRD9539	1374601-41-8	Chromatin/Epigenetic	Histone Methyltransferase	G9a	EHMT2	Histone methyltransferase and histone demethylase	EXP	12.93921188	9.060695932	0.142211883	-0.598804068
Y020-0921	12.77807713	8.810571635	360	plate5	D	11	Y020-0921	Y020-0921	Chromatin/Epigenetic	Histone Demethylase	Lysine-specific demethylase 4D-like	KDM4E	Histone methyltransferase and histone demethylase	EXP	12.77807713	8.810571635	-0.01892287	-0.848928365
Y031-4527	12.7809498	9.036173613	72	plate1	H	3	Y031-4527	Y031-4527	Chromatin/Epigenetic	Histone Demethylase	Lysine-specific demethylase 4A	KDM4A	Histone methyltransferase and histone demethylase	EXP	12.7809498	9.036173613	-0.016050201	-0.623326387
