	seqnames	start	end	width	strand	Conc	Conc_2	Conc_1	Fold	p.value	FDR
1097	11	75237046	75237446	401	*	3.169926392	2.321926167	3.700442386	-1.547344885	0.001863666	0.363997242
3963	3	49939843	49940243	401	*	4.614854186	4.209218701	4.93111152	-0.91096192	0.001939191	0.367270938
3068	2	31199294	31199694	401	*	2.906890061	3.584963468	1.584955957	1.767011247	0.002409904	0.43813137
4157	3	167734743	167735143	401	*	5.197512409	4.831921798	5.488937894	-0.847943284	0.002453536	0.43813137
3753	22	30372547	30372947	401	*	3.882645955	3.321929412	4.285405939	-1.146890193	0.002627858	0.453698348
1674	14	35046128	35046528	401	*	4.769706629	4.392064276	5.068723351	-0.866464839	0.002720219	0.453698348
2810	19	18203946	18204346	401	*	5.426849808	5.08359016	5.703932015	-0.811846342	0.00279189	0.453698348
2874	19	39403850	39404250	401	*	4.459444498	4.044394586	4.78138004	-0.925402699	0.002831078	0.453698348
5960	9	131981690	131982090	401	*	2.906890744	1.999999682	3.459431936	-1.621249421	0.002993819	0.455687014
667	10	43776938	43777338	401	*	2.700489594	1.584266552	3.322201643	-1.88582771	0.002999525	0.455687014
4493	4	185396333	185396733	401	*	4.916858649	4.553251912	5.207024569	-0.84407577	0.00311837	0.455687014
5935	9	128128234	128128634	401	*	4.170158921	3.700492115	4.523898465	-1.009903457	0.003283706	0.455687014
34	1	6602560	6602960	401	*	4.375040931	3.954195793	4.700442421	-0.934269056	0.003419466	0.455687014
2438	17	45051376	45051776	401	*	4.375041401	3.954194832	4.700443744	-0.934271341	0.003419466	0.455687014
4864	6	13187494	13187894	401	*	2.755143942	3.459779913	1.321780307	1.895688342	0.003517077	0.455687014
1280	12	46221753	46222153	401	*	2.519654778	1.000141478	3.243166537	-2.361426185	0.003541635	0.455687014
2150	16	27237394	27237794	401	*	4.409391984	4.00000188	4.727921001	-0.916204727	0.003652705	0.455687014
3521	20	35454866	35455266	401	*	4.614771695	4.247419749	4.907313086	-0.849325757	0.003792181	0.455687014
4279	4	24949139	24949539	401	*	2.999990074	2.169885281	3.523563688	-1.520019763	0.003828458	0.455687014
2880	19	40609858	40610258	401	*	5.099434855	4.754136054	5.37784202	-0.814570056	0.003941995	0.455687014
1967	15	70091960	70092360	401	*	3.45941785	2.807377218	3.906859997	-1.277351044	0.003957834	0.455687014
5039	6	90479206	90479606	401	*	3.459673508	2.807283657	3.907278601	-1.277863094	0.003957834	0.455687014
428	1	182789633	182790033	401	*	4.714093248	4.357279459	4.999924778	-0.832464789	0.003994819	0.455687014
2235	16	74717766	74718166	401	*	3.832895153	4.357553407	3.000014715	1.152089384	0.004089943	0.455687014
399	1	170074475	170074875	401	*	5.169323703	4.831560537	5.442819081	-0.802311732	0.00422489	0.455687014
2802	19	17226258	17226658	401	*	4.931587666	4.584614711	5.211080321	-0.816936566	0.004243207	0.455687014
4082	3	126355913	126356313	401	*	4.50767183	4.129159598	4.807232492	-0.867042616	0.004368995	0.455687014
1561	13	48037560	48037960	401	*	4.507876092	4.129307802	4.807471789	-0.867133706	0.004368995	0.455687014
2979	2	677032	677432	401	*	5.657260026	5.355845945	5.906454557	-0.742651062	0.004374595	0.455687014
321	1	120850464	120850864	401	*	3.524041016	2.906656169	3.955020479	-1.227672854	0.004571464	0.464357079
4905	6	27132699	27133099	401	*	6.529218681	6.283687298	6.738977642	-0.648329131	0.004606422	0.464357079
5373	7	116432605	116433005	401	*	2.582519759	1.322677566	3.244643541	-2.058514217	0.004747691	0.46641336
1934	15	62060276	62060676	401	*	4.18975771	3.754955602	4.523415893	-0.955500234	0.004981557	0.46641336
6240	X	151801552	151801952	401	*	2.755482919	1.807697697	3.322611925	-1.671608127	0.005005893	0.46641336
4945	6	33490395	33490795	401	*	3.209454433	3.807357514	2.169921327	1.420278854	0.005077932	0.46641336
1712	14	56872269	56872669	401	*	3.357523176	2.700386007	3.807337645	-1.283540922	0.005170895	0.46641336
3498	20	25603142	25603542	401	*	2.857964728	2.000001065	3.392294553	-1.554831125	0.005197244	0.46641336
291	1	110558971	110559371	401	*	2.754744581	1.807132096	3.321813139	-1.671374973	0.005211917	0.46641336
553	1	235328198	235328598	401	*	5.295170861	4.975940952	5.556403669	-0.771867215	0.00522383	0.46641336
3959	3	49412045	49412445	401	*	5.435174533	5.12818849	5.688160896	-0.751673743	0.005500615	0.482190094
4902	6	26596692	26597092	401	*	4.044576272	3.58490732	4.392635177	-0.993697359	0.00555483	0.482190094
395	1	167714435	167714835	401	*	4.794944678	4.46065442	5.066162066	-0.795729343	0.005663797	0.482521344
1286	12	49342246	49342646	401	*	4.266814904	3.857999322	4.584996928	-0.914708059	0.005713053	0.482521344
2449	17	48054154	48054554	401	*	4.303804086	3.906853688	4.614770065	-0.895922878	0.006083769	0.497689855
2929	19	49210624	49211024	401	*	2.954208934	2.169929414	3.459447601	-1.456517678	0.006131539	0.497689855
480	1	209516044	209516444	401	*	2.954202569	2.169910349	3.459446432	-1.456535574	0.006131539	0.497689855
1358	12	68808027	68808427	401	*	4.754320447	4.425948833	5.021634599	-0.785858736	0.006310994	0.505688629
5272	7	55971076	55971476	401	*	4.55450963	4.209254093	4.832888714	-0.813089376	0.006519684	0.509927721
1662	14	24440228	24440628	401	*	3.700620902	3.169980652	4.08771048	-1.100295594	0.006561239	0.509927721
3577	20	53700943	53701343	401	*	3.247922276	2.584959934	3.700433247	-1.290563507	0.006763073	0.509927721
2276	16	88776565	88776965	401	*	3.491991567	2.907069828	3.907008685	-1.179606736	0.006832772	0.509927721
6172	X	101909879	101910279	401	*	2.807419164	3.459467479	1.585130801	1.64278157	0.006912122	0.509927721
2981	2	1104912	1105312	401	*	2.80726588	3.459270093	1.585139204	1.642575836	0.006963687	0.509927721
776	10	97426011	97426411	401	*	4.614918141	4.28501268	4.88324639	-0.788018712	0.007124821	0.509927721
4829	6	3053541	3053941	401	*	4.409392749	4.044394556	4.700442405	-0.844816501	0.00720623	0.509927721
2045	15	97960344	97960744	401	*	4.987380128	4.673184043	5.245236743	-0.762877345	0.007212471	0.509927721
6031	KI270310.1	679	1079	401	*	3.754929519	3.248024243	4.129295332	-1.064665397	0.007261371	0.509927721
4887	6	20402329	20402729	401	*	3.754887179	3.24790187	4.129296438	-1.064788869	0.007261371	0.509927721
6078	X	2928934	2929334	401	*	3.169937026	3.75489731	2.169943678	1.368300504	0.007448962	0.512261988
816	10	110405245	110405645	401	*	3.044420304	2.321916989	3.523604354	-1.372188025	0.007458535	0.512261988
4789	5	172807153	172807553	401	*	3.977247602	4.459391555	3.247913118	1.008669517	0.007611043	0.513800463
1453	12	120710288	120710688	401	*	3.554659579	2.999823895	3.954394418	-1.135455736	0.007706356	0.513800463
3610	20	63653671	63654071	401	*	4.24795146	3.858003753	4.554613532	-0.884468648	0.007853548	0.513800463
4927	6	30717318	30717718	401	*	5.50857555	5.22681418	5.744197093	-0.709325842	0.007953656	0.513800463
2965	19	56315063	56315463	401	*	4.47572008	4.129218654	4.754907213	-0.814879872	0.00795623	0.513800463
2093	16	3106524	3106924	401	*	3.807358902	3.321924205	4.169933353	-1.032137314	0.007974183	0.513800463
3507	20	30630935	30631335	401	*	2.906891849	3.523562833	1.807357411	1.491630678	0.008425965	0.515463812
3887	3	16837258	16837658	401	*	2.906890812	3.523561814	1.807356317	1.491630753	0.008452646	0.515463812
5244	7	44208355	44208755	401	*	2.90689097	3.523563469	1.807351554	1.491637172	0.008473353	0.515463812
5832	9	90054693	90055093	401	*	2.906889488	3.523564005	1.807343444	1.491645817	0.008505912	0.515463812
4906	6	27146832	27147232	401	*	6.150797664	5.915314877	6.353183154	-0.630676535	0.00864957	0.515463812
2091	16	3003770	3004170	401	*	4.539246171	4.20931762	4.807589672	-0.787831774	0.008702061	0.515463812
3359	2	207529727	207530127	401	*	5.807463775	5.551998642	6.024425155	-0.664848476	0.008722806	0.515463812
3840	22	50252074	50252474	401	*	4.321974684	3.954202653	4.614781894	-0.848996003	0.008787212	0.515463812
244	1	63665437	63665837	401	*	3.392450654	2.807432249	3.807516105	-1.178746816	0.008970701	0.515463812
5755	9	27247774	27248174	401	*	3.392470713	2.80730777	3.807608423	-1.178963579	0.008970701	0.515463812
119	1	26854786	26855186	401	*	3.392305835	2.80719025	3.80741987	-1.178892555	0.008970701	0.515463812
4899	6	26307303	26307703	401	*	2.807407148	2.000095605	3.321962969	-1.485197108	0.009051188	0.515463812
2903	19	45469101	45469501	401	*	4.569758785	4.247910297	4.832740118	-0.774556419	0.009072163	0.515463812
2139	16	22190440	22190840	401	*	6.427049181	6.208765251	6.616605194	-0.600884449	0.00940821	0.525997761
4900	6	26341498	26341898	401	*	3.906892755	3.459429738	4.247932012	-0.973869062	0.00942588	0.525997761
3338	2	198104127	198104527	401	*	2.906890582	2.16992492	3.392317439	-1.390112478	0.009720343	0.537629616
2691	19	1062782	1063182	401	*	4.190049227	3.807404263	4.492186846	-0.872488407	0.010139871	0.555914007
1323	12	56067127	56067527	401	*	2.527926485	1.321120401	3.175722974	-1.992086139	0.010502994	0.570814895
218	1	52366116	52366516	401	*	5.187746303	4.903889506	5.424829986	-0.712373968	0.010661184	0.572363396
2954	19	54137170	54137570	401	*	5.868605744	5.627711348	6.074973234	-0.639798122	0.010714643	0.572363396
1066	11	67288780	67289180	401	*	4.00002235	3.585019848	4.321929446	-0.923277427	0.010894966	0.577063887
4341	4	70318318	70318718	401	*	2.524257211	1.321100759	3.171042914	-1.987442523	0.01098982	0.577196422
379	1	161159235	161159635	401	*	4.266790817	3.906823687	4.554638563	-0.836112162	0.011302822	0.588258028
1690	14	49892739	49893139	401	*	4.84466317	4.554182243	5.086345407	-0.722866012	0.011388675	0.588258028
5662	8	115981275	115981675	401	*	2.999981718	2.321966041	3.459387778	-1.308580535	0.011610561	0.591202966
1146	11	112466911	112467311	401	*	3.000010195	3.584975156	2.000002814	1.365534581	0.011634874	0.591202966
5198	7	25125195	25125595	401	*	5.3924609	5.12624843	5.617119088	-0.682735624	0.012060439	0.607885029
465	1	206565532	206565932	401	*	2.75457121	3.391780514	1.585418102	1.57563077	0.012247195	0.612359769
432	1	184257547	184257947	401	*	2.754263419	3.391496675	1.585026532	1.575738476	0.012362647	0.612794646
6099	X	16870235	16870635	401	*	4.339859689	4.000006732	4.61472146	-0.803516215	0.012451987	0.612794646
4758	5	157731568	157731968	401	*	4.37504059	4.04439489	4.643857605	-0.788489011	0.013019195	0.625800781
2261	16	85316365	85316765	401	*	3.882642412	3.459431384	4.209452489	-0.935625724	0.013227869	0.625800781
2114	16	10794374	10794774	401	*	2.858042427	3.459496923	1.807404182	1.428269709	0.013314398	0.625800781
5529	8	25064124	25064524	401	*	3.357608916	2.807496255	3.754900638	-1.126508689	0.013317041	0.625800781
5312	7	79452122	79452522	401	*	3.357578539	2.807407845	3.754900353	-1.126596805	0.013317041	0.625800781
873	10	125988781	125989181	401	*	3.357535405	2.80728234	3.75489993	-1.126721872	0.013317041	0.625800781
4094	3	129335070	129335470	401	*	2.85796596	3.459415725	1.807342587	1.428250106	0.013477699	0.627811856
6148	X	68865708	68866108	401	*	3.087458849	2.459449573	3.523547468	-1.238010566	0.013560736	0.627811856
2756	19	10333356	10333756	401	*	4.833572624	4.554190142	5.067529854	-0.704114807	0.013842689	0.636152976
3446	2	241457504	241457904	401	*	2.641909156	3.320430638	1.318181349	1.761660278	0.013984268	0.637968423
3799	22	41526187	41526587	401	*	4.044363056	4.491806682	3.392319255	0.898152359	0.014286619	0.644384109
5827	9	89318586	89318986	401	*	4.768336938	4.490390475	5.001287244	-0.701544298	0.014468808	0.644384109
2791	19	15836764	15837209	446	*	5.284852382	5.023380728	5.506127515	-0.674461509	0.014510878	0.644384109
2907	19	45792727	45793127	401	*	4.209484473	3.858012002	4.491884269	-0.822047705	0.014537306	0.644384109
3945	3	46086502	46086902	401	*	2.583729418	1.587611892	3.167395435	-1.729539034	0.014799869	0.645051085
3056	2	27454133	27454533	401	*	3.426687703	2.907033148	3.807928061	-1.081357412	0.014851692	0.645051085
3704	22	19733020	19733420	401	*	3.700306881	3.248014081	4.044134943	-0.980093863	0.014861977	0.645051085
2488	17	62065775	62066175	401	*	4.247936347	3.906902585	4.523568731	-0.80511829	0.015248334	0.651498099
1700	14	53128814	53129214	401	*	3.169920384	2.584961122	3.584956263	-1.176153778	0.01554938	0.651498099
550	1	234177316	234177716	401	*	3.169925044	2.584959889	3.58496387	-1.176162618	0.01554938	0.651498099
5991	9	137837066	137837466	401	*	3.16992918	2.584962683	3.584968677	-1.176164631	0.01554938	0.651498099
2758	19	10461194	10461594	401	*	4.538947656	4.247738824	4.781133037	-0.723334559	0.015754979	0.651498099
4325	4	54822328	54822728	401	*	2.857993898	2.169939241	3.321940396	-1.320513216	0.015837175	0.651498099
3950	3	47905869	47906269	401	*	2.857989078	2.169940731	3.321932737	-1.320504066	0.015868	0.651498099
4876	6	15690219	15690619	401	*	2.857987671	2.169935483	3.321933058	-1.320509634	0.015888742	0.651498099
2373	17	28489105	28489505	401	*	3.75489138	3.322000803	4.087426229	-0.950099742	0.016052913	0.651498099
5340	7	100373291	100373691	401	*	3.754866804	3.321819581	4.087493796	-0.950348517	0.016052913	0.651498099
5248	7	45590720	45591120	401	*	3.643896035	4.129291396	2.907003858	1.017055057	0.016343286	0.65900345
4286	4	25914093	25914493	401	*	4.600211838	4.322048595	4.833314258	-0.701495175	0.0167935	0.659301354
4090	3	128781778	128782178	401	*	2.954195565	3.523561754	1.999997693	1.304815714	0.017010111	0.659301354
2054	15	100124225	100124625	401	*	2.954192932	3.52355881	1.999995952	1.304814511	0.017010111	0.659301354
1103	11	77994769	77995169	401	*	4.727784552	4.459233309	4.954104696	-0.685495901	0.017105703	0.659301354
1763	14	77097855	77098255	401	*	5.210316577	4.955359577	5.426911608	-0.663194078	0.017197386	0.659301354
1954	15	67091152	67091552	401	*	3.807347099	3.392323134	4.129267073	-0.922242	0.017237074	0.659301354
198	1	45491119	45491519	401	*	5.0676594	4.80768998	5.287858552	-0.671546431	0.017286295	0.659301354
2716	19	4066940	4067340	401	*	5.067373627	4.807689727	5.287368057	-0.671056562	0.017352376	0.659301354
4836	6	4135600	4136000	401	*	4.988977882	4.727414543	5.210318623	-0.674127782	0.017360502	0.659301354
2536	17	77140394	77140794	401	*	5.312585014	5.063630963	5.524835233	-0.653048911	0.017468997	0.659301354
1477	12	124099671	124100071	401	*	3.247955409	2.700448146	3.643894208	-1.121464741	0.017558291	0.659301354
4596	5	73782987	73783387	401	*	2.954178466	2.321919064	3.392295382	-1.242255582	0.017877387	0.659301354
4273	4	15479537	15479937	401	*	2.954195022	2.321923275	3.392317817	-1.242273806	0.017877387	0.659301354
1223	12	6873296	6873696	401	*	5.16020482	4.905789905	5.37640878	-0.662193072	0.017887381	0.659301354
4742	5	150641232	150641632	401	*	3.55427492	3.086926119	3.906702897	-1.00241349	0.017932997	0.659301354
4913	6	27890684	27891084	401	*	5.334502397	5.088693666	5.544463613	-0.647659981	0.018233579	0.664817835
3008	2	10560374	10560774	401	*	3.285411848	3.807378293	2.459406267	1.137455614	0.018420583	0.664817835
2959	19	55339324	55339724	401	*	5.870502818	5.657950909	6.055723212	-0.590422373	0.018427648	0.664817835
4529	5	12915960	12916360	401	*	2.525724939	3.251260681	0.996591607	1.999063649	0.018542786	0.664817835
2812	19	18281611	18282011	401	*	5.996979568	5.791945777	6.176467219	-0.577314904	0.018738357	0.664817835
5299	7	74330019	74330419	401	*	2.525516346	3.249419837	1.004147183	1.98972042	0.018820317	0.664817835
1051	11	65418930	65419330	401	*	6.427565689	6.242560218	6.591520679	-0.54209811	0.018895726	0.664817835
4646	5	103119997	103120397	401	*	5.10927002	4.857620357	5.323475123	-0.657360985	0.019290408	0.664817835
5663	8	116272647	116273047	401	*	3.614481166	3.170124764	3.953718802	-0.967110818	0.019464689	0.664817835
5647	8	101051742	101052142	401	*	3.614787957	3.170288683	3.954108583	-0.967336639	0.019464689	0.664817835
2215	16	67979633	67980033	401	*	3.614842091	3.169781434	3.954488683	-0.968223797	0.019464689	0.664817835
4474	4	169659937	169660337	401	*	3.906889688	3.523570053	4.209446861	-0.872233139	0.01957168	0.664817835
191	1	43997499	43997899	401	*	3.906893672	3.523553277	4.209463749	-0.872266802	0.01957168	0.664817835
618	10	17805876	17806276	401	*	3.321906801	2.807385511	3.700390487	-1.072584391	0.019572237	0.664817835
2768	19	11597178	11597578	401	*	4.781200296	4.523718158	4.999613688	-0.666729458	0.019896114	0.672166021
3741	22	26146765	26147165	401	*	2.643269352	1.809260075	3.168367892	-1.517654518	0.02028891	0.681751003
1628	13	109740640	109741040	401	*	3.044413856	2.459467714	3.459443176	-1.174546268	0.02054045	0.682860718
3920	3	37555947	37556347	401	*	3.044400558	2.459386833	3.459463669	-1.174647638	0.02054045	0.682860718
3306	2	175168239	175168639	401	*	5.285075312	5.044831123	5.490965731	-0.637978419	0.020656572	0.683087707
4331	4	56908123	56908523	401	*	3.672225955	3.248039912	3.999615458	-0.935864935	0.020982346	0.688796943
2862	19	36054373	36054773	401	*	5.341717849	5.106466416	5.543932524	-0.62943487	0.021488731	0.688796943
2428	17	43545371	43545771	401	*	3.392449666	2.907060835	3.754998636	-1.02884171	0.021578596	0.688796943
3146	2	70047101	70047501	401	*	2.807333022	3.392303944	1.807307758	1.361996002	0.021597382	0.688796943
3296	2	172359337	172359737	401	*	2.700216648	3.321600171	1.585088892	1.506684193	0.021607194	0.688796943
3157	2	83531131	83531531	401	*	2.392176191	1.000291627	3.087219742	-2.20737253	0.021608409	0.688796943
2468	17	55750849	55751249	401	*	4.584927069	4.321909854	4.80730721	-0.675731895	0.021780688	0.688796943
1172	11	121560939	121561339	401	*	2.387987664	0.99599445	3.083056788	-2.207484477	0.022133332	0.688796943
2891	19	42826483	42826883	401	*	2.322916847	3.170960165	0.000570979	2.838559052	0.022348333	0.688796943
71	1	16366903	16367303	401	*	4.61488436	4.357807368	4.833006374	-0.665661745	0.022366186	0.688796943
3551	20	45293549	45293949	401	*	3.727929801	3.322005937	4.044361951	-0.907328143	0.022481151	0.688796943
115	1	26165872	26166272	401	*	3.727809631	3.321868882	4.044252016	-0.90735526	0.022481151	0.688796943
6106	X	23332673	23333073	401	*	3.044407598	3.584967972	2.169959833	1.200118344	0.022489883	0.688796943
3802	22	41713025	41713425	401	*	3.044392477	3.584954759	2.169939624	1.20012534	0.022489883	0.688796943
3133	2	65140320	65140720	401	*	3.04438174	3.584954843	2.169900028	1.200165019	0.022489883	0.688796943
3206	2	112054810	112055210	401	*	5.773377352	5.567096236	5.953819767	-0.579315105	0.022785973	0.688796943
1845	15	21262196	21262596	401	*	4.742311104	4.492246591	4.955367405	-0.653938325	0.022870646	0.688796943
2669	18	74147668	74148068	401	*	4.339846372	4.04440443	4.584949286	-0.729850214	0.022903418	0.688796943
3565	20	48921440	48921840	401	*	4.044462574	3.700454753	4.322031272	-0.809164876	0.022951286	0.688796943
4756	5	156783240	156783640	401	*	3.357576996	3.858010538	2.584976494	1.064546288	0.02303337	0.688796943
2026	15	89430723	89431123	401	*	3.129285906	2.584969341	3.523562784	-1.115355633	0.023205591	0.690642587
1052	11	65426943	65427343	401	*	4.644461708	4.392391289	4.858971381	-0.657163298	0.023391158	0.692866051
2719	19	4350283	4350683	401	*	3.458956056	2.999673126	3.806794388	-0.989160373	0.023567014	0.694782253
33	1	6592690	6593090	401	*	3.781379232	3.392276257	4.087519839	-0.880822488	0.023957118	0.700460242
4867	6	13574294	13574694	401	*	4.409390832	4.129283125	4.643855936	-0.70426037	0.024470586	0.700460242
212	1	50764259	50764659	401	*	2.461544464	1.320707821	3.090554552	-1.908415456	0.024659837	0.700460242
900	10	133660476	133660876	401	*	2.461544464	1.320707821	3.090554552	-1.908415456	0.024659837	0.700460242
5735	9	7166138	7166538	401	*	2.906891628	3.459432919	2.000000296	1.241435988	0.025029478	0.700460242
3729	22	24084539	24084939	401	*	2.906890627	3.459430982	2.000001866	1.241432481	0.025043359	0.700460242
4917	6	28335395	28335795	401	*	4.965918838	4.727126705	5.170742508	-0.634965234	0.025059851	0.700460242
904	11	695366	695766	401	*	5.666528806	5.459254099	5.84773072	-0.580959212	0.02509518	0.700460242
4407	4	124712484	124712884	401	*	4.129253373	3.807455773	4.392200777	-0.772982098	0.025101974	0.700460242
5001	6	52504147	52504547	401	*	4.79526276	4.554234718	5.001728261	-0.6385032	0.025689003	0.700460242
832	10	117025383	117025783	401	*	3.247927099	3.754886984	2.459431457	1.085443322	0.025756175	0.700460242
4282	4	25449755	25450155	401	*	3.247927249	3.754887485	2.459430747	1.085444532	0.025756175	0.700460242
6144	X	65508575	65508975	401	*	3.209453366	2.700439718	3.584962501	-1.063096953	0.025852189	0.700460242
1702	14	53946345	53946745	401	*	3.209456174	2.700441861	3.584965669	-1.063097979	0.025852189	0.700460242
3100	2	47068121	47068521	401	*	3.209453398	2.700439701	3.584962561	-1.063097031	0.025852189	0.700460242
6108	X	25028105	25028505	401	*	2.586660635	3.250306548	1.321035875	1.68967471	0.025861208	0.700460242
1584	13	73058697	73059097	401	*	4.169805957	3.858057003	4.426014148	-0.756478549	0.026143025	0.700460242
3339	2	200185497	200185897	401	*	2.585633464	3.249011718	1.321027664	1.688392529	0.026157069	0.700460242
5727	9	2790562	2790962	401	*	2.807384973	2.169855321	3.248004804	-1.247536498	0.026321279	0.700460242
3879	3	14631378	14631778	401	*	2.807348717	2.169906872	3.247926957	-1.247407116	0.026358306	0.700460242
3661	21	42046502	42046902	401	*	2.80729257	2.16990607	3.247844593	-1.247325565	0.026439331	0.700460242
149	1	34472454	34472854	401	*	2.807185254	2.169782822	3.247744823	-1.247349037	0.026611178	0.700460242
3182	2	96724976	96725376	401	*	2.584060102	3.246381564	1.323468571	1.683339958	0.026728296	0.700460242
940	11	9314501	9314901	401	*	5.423664072	5.207250861	5.611808424	-0.596723907	0.02708478	0.700460242
4939	6	32938032	32938432	401	*	2.906890477	2.321928431	3.321927749	-1.172670683	0.027207305	0.700460242
1848	15	22837331	22837731	401	*	2.90689054	2.321928117	3.321928001	-1.172671248	0.027207305	0.700460242
3927	3	39168433	39168833	401	*	2.906890532	2.321927988	3.321928053	-1.172671429	0.027207305	0.700460242
556	1	236097091	236097491	401	*	4.90574389	4.671706401	5.107061497	-0.626625288	0.027324977	0.700460242
5327	7	95735754	95736154	401	*	2.581934208	3.243687044	1.323496809	1.680627111	0.027353491	0.700460242
3789	22	39532683	39533083	401	*	4.819083268	4.583603804	5.021466306	-0.628961882	0.027375628	0.700460242
4368	4	89111335	89111735	401	*	4.53924887	4.285373682	4.755063207	-0.660000575	0.027389954	0.700460242
666	10	43436613	43437013	401	*	4.539379439	4.285444696	4.75523678	-0.660103126	0.027389954	0.700460242
4879	6	16277254	16277654	401	*	3.585646844	3.169953656	3.90796821	-0.921890016	0.027458041	0.700460242
1647	14	20461535	20461935	401	*	5.53150872	5.322069162	5.714362257	-0.584619732	0.027656706	0.702660212
5280	7	66628676	66629076	401	*	5.513969571	5.304105304	5.697146617	-0.585340949	0.027852485	0.704769366
722	10	72001671	72002071	401	*	3.42618012	3.906734461	2.700520071	0.999405537	0.028181805	0.708293484
671	10	45465015	45465415	401	*	3.930737671	3.584927988	4.209476301	-0.811594056	0.028218412	0.708293484
1903	15	45403278	45403678	401	*	3.285397862	2.807369215	3.643841388	-1.016564535	0.028464019	0.70954708
4915	6	27893058	27893458	401	*	5.847975751	5.657950393	6.015859898	-0.550634806	0.028495411	0.70954708
4149	3	157330438	157330838	401	*	2.701148489	1.999311334	3.171254422	-1.337117571	0.028704715	0.711922492
719	10	71266759	71267159	401	*	2.525315494	1.585165494	3.089763232	-1.655415267	0.029987292	0.737876278
4694	5	135761545	135761945	401	*	2.525315494	1.585165494	3.089763232	-1.655415267	0.029987292	0.737876278
3224	2	121043089	121043489	401	*	2.999991673	2.459439709	3.392300496	-1.10815206	0.030754492	0.746556792
603	10	11320839	11321239	401	*	3.000036344	2.459464756	3.392355446	-1.108181963	0.030754492	0.746556792
3242	2	131517795	131518195	401	*	2.999987742	2.459427996	3.392300641	-1.108163918	0.030754492	0.746556792
5854	9	97039078	97039478	401	*	4.022292451	3.700342886	4.285341171	-0.772801066	0.030900319	0.746556792
5044	6	100881127	100881527	401	*	4.357545769	4.087452618	4.58495909	-0.687152148	0.030980809	0.746556792
