Geneid	L1	L2	L3	L4	R1_1	R1_2	R1_3	R1_4
PRAMEF18	0	0	0	0	0	0	0	0
PGAM1P11	2	2	4	1	1	0	4	0
CCDC27	11	46	46	37	23	12	22	26
CHD5	0	15	6	6	5	9	12	7
VAMP3	109	87	127	184	396	329	343	447
FLJ37453	12	7	8	11	15	5	10	13
PRAMEF29P	0	0	0	0	0	0	0	0
DISP3	0	2	0	1	0	0	0	1
CLSTN1	108	225	163	249	409	243	380	446
MMEL1	0	1	1	0	2	4	0	2
SCNN1D	15	28	19	41	28	19	30	34
TMEM51	0	1	8	7	11	7	18	14
C1orf127	0	3	2	0	0	1	0	1
WASH9P	213	433	565	543	241	278	210	358
TTLL10	0	0	0	4	0	3	0	3
RPL39P6	0	1	0	0	0	0	0	0
TPRG1L	110	100	169	200	306	242	261	340
FBXO42	66	112	126	158	255	200	269	251
C1QTNF12	0	1	1	4	2	4	0	1
ALDH4A1	74	123	128	115	118	93	98	133
RERE	193	665	566	587	816	488	673	727
CLCN6	68	122	119	124	248	184	214	216
TTC34	0	0	4	1	2	0	1	1
PRAMEF2	0	0	3	0	1	0	0	0
PRAMEF4	0	0	0	0	0	0	0	0
CELA2A	1	2	4	5	10	4	7	5
CELA2B	23	12	24	21	41	36	31	38
SPEN	477	1264	1184	1324	1894	1192	1878	1586
RER1	343	443	614	677	790	573	618	812
PANK4	73	148	144	132	355	226	230	332
WRAP73	69	117	153	143	305	187	234	277
TMEM274P	0	0	4	1	0	0	0	0
VPS13D	287	494	642	750	889	655	685	850
HTR6	4	4	1	0	2	0	1	0
LINC01647	0	0	0	1	0	1	0	0
RPL10P17	0	0	0	0	0	0	0	0
ARHGEF16	0	0	0	0	0	3	4	1
RBP7	1	2	3	0	0	1	0	0
PRAMEF13	0	0	0	0	0	2	0	0
GPR157	0	3	3	4	1	1	9	2
PRAMEF32P	0	0	0	0	0	0	0	0
ZBTB40	407	553	635	683	1031	700	841	1067
ENO1-AS1	0	0	0	0	0	0	0	0
MICOS10-NBL1	0	0	0	0	2	3	2	1
FBXO44	10	12	9	14	13	7	13	9
PRAMEF10	0	0	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0	0	1
PRAMEF1	0	0	0	0	0	0	0	0
CFL1P6	0	0	0	0	0	0	0	0
NPHP4	17	98	63	91	117	68	77	83
TMEM201	40	36	28	46	72	32	51	40
LINC01714	0	0	0	0	0	0	0	0
MTOR	410	739	731	828	1213	880	1157	1208
TP73	3	12	14	10	5	7	11	10
ANGPTL7	0	3	0	3	0	4	1	0
RUNX3-AS1	0	0	0	0	0	0	1	0
HES5	1	0	2	8	5	2	2	4
PARK7	3007	2928	4774	5179	5368	4750	4303	6136
TNFRSF14-AS1	45	115	97	105	147	140	136	187
MT1XP1	3	0	0	1	0	0	2	0
PRAMEF6	0	0	0	0	0	0	0	0
CLIC4	136	68	132	179	290	163	274	329
NPM1P39	13	11	27	29	62	35	43	52
LINC01784	0	0	0	0	0	0	1	0
GPR3	2	3	2	2	3	7	5	8
ACTG1P20	0	4	0	0	3	0	1	3
DPPA2P2	0	0	0	0	0	0	0	0
ARHGEF19-AS1	0	0	0	0	0	0	0	0
CAMTA1-DT	4	14	28	17	10	11	8	11
UQCRHL	157	126	235	309	264	165	88	246
CD164L2	0	0	0	0	0	0	0	0
DYNLL1P3	0	0	0	0	2	0	0	0
SZRD1	183	203	278	323	491	384	436	517
PDIK1L	62	59	86	117	253	160	261	278
CAMTA1	199	151	208	231	349	254	263	354
NECAP2	291	342	369	462	849	626	712	972
IGSF21-AS1	0	0	0	0	0	0	0	0
ZNF593OS	0	4	0	0	0	0	1	0
FBXO6	3	7	19	16	14	9	9	15
PPIAP34	0	0	0	0	0	0	0	0
LAPTM5	810	1445	1919	1780	1551	1320	1220	1768
SLC30A2	2	1	1	0	2	3	1	2
PHACTR4	110	112	146	150	732	445	884	890
IFITM3P7	0	0	0	0	0	0	0	0
CNKSR1	6	0	3	7	1	9	4	4
FAM110D	1	2	0	2	1	0	1	4
ICMT	191	102	169	178	356	269	348	467
WASF2	340	543	609	687	1109	657	1208	1238
MED18	27	38	78	68	125	66	80	93
MMEL1-AS1	0	0	0	0	0	0	0	0
LINC01648	0	0	0	0	0	0	0	0
SLC9A1	25	59	54	54	78	64	74	85
SNRPEP7	0	0	0	0	0	0	0	0
LDLRAP1	101	304	242	258	372	228	309	385
RNF207-AS1	0	0	0	0	0	0	0	0
ATP5IF1	15245	16359	29123	33636	23338	20047	17146	25439
TP73-AS2	0	2	6	3	2	0	5	0
SDC3	21	30	28	29	117	75	114	137
PIK3CD-AS1	1	4	3	0	2	1	2	0
CHCHD3P3	2	1	3	4	7	6	5	14
PAFAH2	30	25	28	39	93	57	72	71
WDTC1	101	260	218	303	397	220	363	360
DNAJC8	4925	2254	3592	4877	10162	8230	9025	11592
RPL5P4	124	212	427	438	347	343	242	376
SESN2	226	345	304	380	575	416	493	554
SERINC2	4	16	10	25	3	5	4	11
AJAP1	6	0	0	0	0	1	0	1
PTAFR	5	10	15	16	17	20	13	10
RPS6KA1	453	550	611	593	924	610	678	906
CAMTA1-AS1	0	0	0	0	0	0	0	0
NKAIN1	0	0	0	0	1	0	1	0
SNRNP40	473	218	427	661	1515	1088	1240	1620
SLC25A33	75	37	72	61	78	50	62	86
NBPF2P	0	1	0	4	2	0	1	5
FBLIM1	0	1	0	0	0	2	0	0
GJB3	0	1	0	0	0	0	3	0
LINC01756	0	0	0	0	0	0	0	0
MATN1-AS1	8	9	1	6	23	12	22	22
DNAJC16	55	65	91	81	143	131	135	161
SYTL1	54	70	68	73	86	52	56	91
EYA3	176	126	184	166	378	261	328	422
ZNF593	0	0	0	0	0	0	0	0
RPL7P11	0	2	2	0	2	1	2	2
FABP3	11	11	14	31	76	54	52	53
C1orf158	0	0	0	0	0	1	0	0
EPHA2	0	0	3	0	5	6	3	7
LINC02780	0	0	0	0	1	0	0	0
ARHGEF19	72	94	87	105	186	133	124	155
KAZN-AS1	0	2	1	0	1	0	1	0
DRAXIN	4	1	0	0	4	0	0	1
GPR153	6	15	16	18	41	29	35	30
UBE2V2P3	0	0	1	4	0	0	0	0
MAP3K6	39	75	71	62	26	29	20	51
KAZN	2	1	2	4	0	2	1	0
PRAMEF5	0	0	0	0	0	0	0	0
RERE-AS1	5	1	0	3	5	3	1	4
CHCHD2P6	5	2	3	3	1	4	2	6
LINC00337	0	0	5	3	1	3	7	2
TNFRSF1B	56	100	141	139	91	83	99	105
HMGN2P17	0	0	0	0	0	0	0	0
HS6ST1P1	0	6	1	2	1	0	1	1
ZMYM4-AS1	0	0	0	0	0	0	0	0
TMEM51-AS2	0	0	0	0	1	0	0	0
TMEM82	0	0	0	0	0	1	0	0
KIAA0319L	155	213	156	223	675	412	631	621
LINC01226	6	7	9	7	0	5	2	7
UBE4B	302	282	316	380	858	562	741	829
PPP1R11P1	0	0	0	0	0	0	0	0
TMEM51-AS1	0	0	0	0	2	0	0	0
PLA2G5	0	0	0	0	0	0	0	0
PRAMEF30P	0	0	0	0	0	0	1	0
PTPRU	2	2	4	0	0	2	0	2
ZMYM6	54	26	76	86	193	108	137	172
FTLP18	0	0	0	0	0	0	0	0
GJB5	4	0	0	0	0	2	1	2
AGO4	45	54	63	84	334	215	321	301
CDCA8	240	138	212	253	1144	645	966	1094
GAPDHP20	0	2	0	0	0	0	0	0
CPLANE2	12	21	36	35	64	60	44	64
ZBTB8B	0	3	0	1	0	0	1	1
RPL12P14	0	0	1	0	1	0	0	0
RPL22	421	368	596	669	799	652	676	859
RNF207	8	7	11	4	4	5	3	6
LINC02810	0	0	0	0	0	0	0	0
FTH1P1	0	2	3	0	1	1	0	2
PAX7	0	0	0	0	0	0	0	0
TRIT1	123	110	156	176	361	284	274	371
CROCCP5	0	0	0	0	0	1	3	0
MATN1	0	1	3	4	4	1	1	5
TAS1R2	0	0	0	0	1	0	0	0
AADACL3	0	0	0	0	0	0	1	0
LRRC37A12P	0	0	0	0	0	0	0	0
EXTL1	6	5	0	3	6	2	1	3
WBP1LP7	0	0	0	0	0	0	0	0
CASZ1	16	47	40	27	45	39	45	66
AGMAT	4	5	7	8	4	10	7	4
FAAP20	90	217	273	254	218	194	133	229
DNALI1	15	11	19	31	41	24	32	23
PDE4DIPP10	0	0	0	0	0	0	0	0
SCMH1	66	124	64	106	144	89	115	193
IFFO2	42	63	58	57	54	40	53	51
RRAGC	214	99	165	209	595	484	547	648
SPCS2P4	126	113	123	71	308	41	284	405
GRIK3	0	0	0	2	3	0	0	0
LINC02596	3	0	2	0	0	0	0	0
PLA2G2D	0	0	0	0	0	2	0	0
YRDC	60	34	42	71	141	124	150	178
PRAMEF33	0	0	0	0	0	0	0	0
FBXO2	0	1	0	0	0	2	1	0
HNRNPFP1	0	2	0	0	0	0	0	0
SLC25A34	0	6	9	8	0	5	4	13
CD24P1	0	0	0	0	0	0	0	0
GUCA2B	0	0	0	0	0	0	0	0
RCC2	588	820	944	1007	1612	1142	1437	1589
HSPA5P1	0	2	1	1	1	1	0	4
PSMB2	121	98	176	265	408	277	301	392
CASP9	28	16	39	51	95	70	79	111
DDI2	362	347	295	458	1309	872	1345	1330
UQCRH	2023	1520	2940	3878	4548	2924	1707	4752
MIR3659HG	0	0	1	0	0	0	0	0
RPS29P6	0	0	0	0	0	0	0	0
SELENOWP1	0	0	0	0	0	0	0	0
AGO1	117	144	199	225	250	182	187	231
PRAMEF7	0	0	0	0	0	0	0	0
GPR199P	0	0	3	0	1	2	1	8
THRAP3	3738	3681	3820	4920	14792	9928	13221	15266
LINC01786	2	14	14	5	11	2	6	9
RIMKLA	0	2	0	1	2	2	1	2
LINC01398	0	0	0	0	0	0	0	0
PADI6	1	0	2	0	0	2	0	0
MIR34AHG	69	96	106	115	195	154	153	205
PADI4	11	10	13	10	8	9	7	8
LINC02811	0	0	0	0	1	0	0	0
C1orf122	43	90	117	123	68	58	46	64
HSPE1P24	0	0	0	0	0	0	0	0
LINC01654	0	0	0	0	1	0	0	0
EPHA10	0	0	1	0	0	0	2	0
PRAMEF31P	0	2	0	0	0	4	0	0
FHL3	18	16	21	24	43	28	29	35
RHBDL2	4	4	7	7	11	7	8	9
TMEM35B	4	0	2	2	1	5	1	1
INPP5B	69	129	161	192	530	305	436	486
FAM183A	0	0	0	0	1	0	0	1
ZMYM4	141	106	142	181	698	454	800	780
UTP11	632	397	701	824	1434	1189	1222	1559
CFAP97P1	0	0	0	0	0	0	0	0
USP48	2731	1381	2471	3239	12094	7954	10266	12238
ACTN4P2	0	0	0	0	1	0	0	0
C1orf216	77	133	205	187	233	165	159	187
SHMT1P1	0	2	3	0	1	0	1	0
ACTL8	0	2	2	4	1	0	0	1
PHBP12	0	0	0	2	3	0	1	0
RLF	63	46	58	89	552	243	560	454
CTNNBIP1	128	102	152	157	203	186	133	250
CLSPN	1166	2573	2897	3206	3867	2566	3340	3555
OXCT2	1	5	3	4	5	1	6	3
GNL2	4208	3959	6665	7541	9814	8875	7736	11021
GJA4	2	1	2	0	6	1	1	3
TUBAP8	0	0	0	0	0	0	0	0
LINC02812	0	2	0	0	0	0	0	0
LINC02793	0	0	0	0	0	0	0	0
FCF1P6	0	0	0	0	0	0	0	0
MORN1	92	270	171	233	245	166	195	257
TUBBP10	0	0	0	0	0	0	0	0
PRKCZ-AS1	0	0	4	3	0	2	0	0
TTC22	0	0	0	0	0	0	0	0
TIE1	11	10	7	9	13	9	10	9
MYCBP	66	55	138	118	207	177	160	217
MICOS10	19	19	31	27	16	9	8	9
DLGAP3	0	0	1	0	2	0	2	0
GOT2P1	0	0	0	0	0	0	0	0
TMA16P2	0	0	0	0	0	0	0	0
RIMS3	38	74	70	84	120	70	114	110
ECHDC2	56	84	83	97	100	110	96	124
RAB3B	0	0	0	6	1	3	1	0
SMIM12	276	253	370	439	732	492	534	730
MYCL-AS1	0	0	0	0	0	3	0	0
TNFRSF9	0	1	0	5	5	1	3	8
MRPS6P2	0	0	0	0	1	0	0	0
MYCL	0	0	2	0	2	0	2	1
TMEM61	0	0	0	0	0	0	0	0
RPL23AP19	0	0	0	0	0	0	0	0
LINC02794	8	0	0	0	0	0	0	0
CYP4A26P	0	0	0	0	0	0	0	0
LINC02808	0	0	0	0	0	0	0	0
LINC02778	0	0	0	0	0	1	0	0
LINC01343	0	0	0	0	0	0	0	0
ERI3	114	157	241	222	180	187	155	209
CZIB	101	105	127	158	240	214	186	247
FAM151A	2	0	0	1	0	0	0	0
PODN	0	0	0	0	0	0	0	0
CYP4Z2P	0	0	0	0	0	1	1	0
OSBPL9	1162	507	841	1166	3658	2505	3214	3931
PHBP3	0	0	1	0	1	0	0	0
C1orf210	0	0	0	0	0	0	0	0
PARS2	9	2	8	16	36	18	31	33
ZYG11A	0	0	0	0	0	1	0	0
CALR4P	4	3	0	6	4	4	3	2
ZYG11B	34	19	29	39	150	90	132	139
LINC01755	0	2	0	0	0	0	0	0
NFIA	317	412	354	763	1047	826	802	741
CZIB-DT	0	0	0	4	1	0	1	1
ST3GAL3-AS1	0	4	3	3	2	5	0	1
L1TD1	0	0	0	0	0	3	0	1
TXNDC12	59	25	22	33	203	138	224	258
ALPL	13	15	27	21	21	22	15	25
TXNDC12-AS1	0	0	0	1	1	0	0	0
SF3A3	3926	2596	3918	4493	9964	7660	9306	11525
FGGY-DT	0	0	1	0	2	1	0	2
LAMTOR5P1	0	0	0	0	0	0	0	0
PCSK9	67	166	226	197	309	284	266	348
MTCO2P34	0	0	0	0	0	0	0	0
RPS29P7	0	0	1	0	0	0	0	0
LINC01685	1	0	0	3	0	2	0	0
PIGQP1	0	0	0	0	0	0	0	0
TTC4	13	12	4	18	77	50	71	83
BMP8B	9	13	13	26	15	14	16	27
KLF17	0	0	0	0	1	1	3	3
PLPP3	0	0	4	1	2	1	1	1
RSPO1	0	0	0	0	1	0	0	1
SNIP1	191	105	139	162	789	501	805	851
RPS13P2	2	0	4	0	3	1	4	2
RPL23AP85	0	0	0	0	0	0	0	0
SLC2A3P2	0	0	0	0	0	0	0	0
CPT2	23	17	39	28	148	126	160	205
FOXJ3	44	46	105	88	318	244	339	345
TUT4	62	39	37	74	321	211	367	293
RAVER2	27	25	35	46	69	45	45	80
GTF2F2P2	0	0	0	0	1	0	0	0
KLF18	0	0	0	0	1	0	0	0
TACSTD2	5	1	1	2	1	0	0	1
FOXD3	0	0	0	0	0	2	0	0
RPS15AP7	0	0	0	0	0	0	0	0
GAPDHP51	0	1	0	1	0	2	0	2
LINC01738	0	0	0	0	0	0	0	0
PATJ-DT	0	0	0	0	3	0	0	3
LINC02791	0	0	0	0	0	0	0	0
CYP4A43P	0	0	0	0	0	0	0	0
LINC00466	0	0	0	0	1	1	0	0
NFIA-AS1	1	0	1	14	9	15	3	4
MAGOH	724	397	822	1131	1834	1290	1377	1694
DEPDC1-AS1	0	0	0	0	2	0	0	0
LINC01707	0	0	0	0	2	0	4	0
SKINT1L	0	0	0	0	0	0	0	0
DLEU2L	0	1	1	0	2	2	4	1
CDKN2C	319	261	411	510	559	446	495	562
CAPZB	728	621	822	873	1655	1302	1354	1752
LINC01771	0	0	0	0	0	0	0	0
ELOCP18	0	0	0	0	0	0	0	0
C1orf87	0	0	0	0	0	0	0	0
ZSWIM5	8	43	34	31	9	5	5	9
OMA1	90	64	132	179	294	179	234	287
SLC35D1	14	2	10	9	69	60	61	73
HIGD1AP11	0	0	0	0	0	0	0	0
LRP8	80	70	76	73	243	145	249	267
TCEANC2	140	125	152	223	510	332	539	569
KTI12	39	55	62	68	72	61	58	67
LRRC42	223	208	365	385	405	366	319	469
PIGPP2	0	0	0	0	0	0	0	0
GDI2P2	3	0	0	0	10	3	2	2
CYP46A4P	0	0	0	0	0	0	0	0
MRPS21P1	0	0	1	0	1	0	0	0
LINC01360	0	0	0	0	0	0	2	0
LINC02567	0	0	0	0	0	0	0	0
KANK4	0	0	0	0	0	2	0	0
DNAJB4	62	25	22	31	246	143	269	277
USP1	414	163	319	446	2311	1297	2075	2269
ERI3-IT1	4	26	12	7	4	6	1	3
RNFT1P2	0	0	0	0	0	0	0	0
AK5	2	0	0	1	1	3	0	1
ADH5P2	1	0	0	0	0	0	0	0
TXNP2	0	0	0	0	0	0	0	0
SPATA6	0	0	0	0	1	0	3	2
GIPC2	1	0	0	1	6	3	8	2
RPE65	0	0	0	0	0	1	0	0
ANGPTL3	0	0	0	1	5	0	2	2
GNG12	0	0	0	0	0	1	0	0
KRT8P21	0	0	0	0	0	0	0	0
DNAJC6	156	104	156	171	971	531	909	948
AK4	32	4	27	30	177	149	167	209
LEPROT	105	56	83	140	424	274	370	470
RPL31P12	0	0	0	0	0	0	0	0
LINC02796	0	0	0	0	0	0	2	0
NDUFS5P3	0	0	0	0	1	0	0	0
NFIA-AS2	0	2	1	5	1	2	1	1
CACHD1	0	0	0	0	3	9	3	4
EFCAB7	43	5	15	32	90	59	90	72
LINC02238	0	0	0	0	0	0	0	0
MCOLN2	0	0	0	1	2	0	0	1
ST6GALNAC5	2	0	0	0	1	0	0	1
ATG4C	139	104	176	192	210	171	232	266
LINC02797	0	0	0	0	0	0	0	0
COX6CP13	0	0	6	3	0	2	1	0
LINC01359	5	2	0	2	3	0	3	1
TXN2P1	0	0	0	2	0	0	0	0
PDE4B-AS1	0	0	0	0	0	0	0	0
ASB17	0	0	0	0	0	0	0	0
COX6B1P7	0	0	0	0	0	0	0	0
RPL21P24	0	0	0	0	0	0	0	0
ADGRL4	0	0	3	0	2	1	0	0
GJA9	0	0	0	0	0	0	0	0
PRKACB-DT	3	4	5	8	5	9	11	8
ATP6V0E1P4	0	0	0	0	0	0	0	0
PPIE	667	522	696	915	1449	1143	1135	1511
PPP1R8P1	0	0	0	0	0	0	0	0
CLCA1	0	0	0	0	3	3	0	0
MTF1	96	136	171	205	283	226	318	327
JAK1	70	46	66	99	455	236	432	434
TTLL7	19	3	9	11	28	29	19	35
GADD45A	946	777	1260	1654	2607	1935	1867	2493
KDM4A	225	381	389	374	506	374	509	494
TTLL7-IT1	0	0	0	0	0	1	0	0
NEGR1-IT1	0	0	0	0	0	0	0	0
CAPNS1P1	0	0	0	0	0	0	0	0
LINC02777	6	0	0	2	2	7	3	4
LDC1P	0	5	3	8	1	2	0	0
ZNHIT6	268	363	435	493	1497	1028	1447	1484
MGC27382	0	2	0	0	1	0	2	0
MROH7	0	5	6	3	3	2	1	0
LINC01763	0	0	0	0	0	0	0	0
PTGFR	0	0	0	1	0	3	1	0
LINC02801	0	1	7	2	2	7	6	6
EEF1GP7	0	0	0	2	0	0	0	1
LMO4	101	74	95	143	349	222	287	370
PRPF38A	2653	1848	2969	3679	4934	4011	4192	5580
SYDE2	0	0	0	3	5	9	4	1
PIGK	188	110	199	172	433	322	414	433
HNRNPA3P12	4	1	4	1	10	9	10	12
ST6GALNAC3	1	0	0	0	2	0	0	0
PGBD4P8	0	0	0	0	0	0	0	0
MTND2P30	0	0	0	0	0	0	0	0
RPL7P10	0	0	2	0	0	0	0	0
PKN2-AS1	1	3	5	2	14	8	3	7
LINC02792	0	0	0	0	0	0	0	0
GUCA2A	0	0	0	1	0	0	0	0
USP24	846	655	891	1128	3363	2226	3115	3403
SLC25A6P3	0	0	2	2	6	0	2	0
PSAT1P3	0	0	0	0	1	0	0	0
DOCK7	147	77	181	209	456	337	496	528
NEXN-AS1	0	0	0	0	5	5	0	1
NEGR1	0	0	2	0	0	1	0	0
RPL36AP10	0	0	0	0	0	0	0	0
LINC01712	0	0	0	0	0	0	0	0
FAAH	10	20	32	12	13	15	9	11
KYAT3	179	85	132	191	514	390	460	654
SHISAL2A	0	0	0	0	0	0	0	0
HMGB1P18	0	0	0	0	0	0	0	0
CLCA4-AS1	0	0	0	0	0	0	0	1
DNTTIP2	3340	1543	2573	3650	9249	6589	7789	9678
HNRNPA1P64	0	0	0	0	0	0	0	0
ODF2L	276	270	553	587	668	540	535	705
PTPRF	13	53	45	74	69	37	37	35
DHCR24	131	188	206	296	558	400	470	591
LINC02795	0	0	4	7	9	1	2	4
PHKA1P1	0	6	1	2	4	1	1	2
CDCA4P2	0	0	0	0	0	0	0	0
COL24A1	10	16	21	28	46	29	42	30
BSND	0	0	0	0	0	1	0	0
GPX7	3	8	9	6	26	21	23	31
SLC44A3	0	1	0	0	0	1	2	0
ACTG1P21	0	0	0	0	0	0	0	0
LINC01362	0	0	0	0	0	4	0	0
NSRP1P1	8	52	42	75	47	69	20	33
PKN2	36	59	67	102	308	188	405	343
DAB1-AS1	0	0	0	2	0	0	0	0
MTCO1P21	0	1	0	0	0	0	0	0
GBP1P1	0	0	0	0	0	0	0	0
LINC01364	0	0	1	0	0	0	0	0
RPSAP65	0	0	0	0	0	0	0	0
CLCA4	0	0	0	0	0	1	0	0
MIR4422HG	0	0	6	3	4	3	2	0
ABCD3	91	40	43	119	348	275	374	439
MROH7-TTC4	0	0	0	0	0	0	0	0
ZMYND12	1	1	2	0	8	4	3	5
ALG14	45	12	26	61	94	59	89	93
ZZZ3	121	48	61	81	575	352	647	575
YIPF1	23	12	20	17	76	55	55	91
HNRNPCP9	0	0	0	0	0	0	0	0
KATNBL1P2	0	0	0	0	0	0	0	0
NFYC-AS1	3	1	5	4	10	6	1	8
LDLRAD1	0	0	0	2	0	0	0	0
GJB4	0	0	0	0	0	0	0	0
TMEM125	0	1	0	1	0	4	0	0
DMRTA2	0	0	0	0	0	0	0	0
HIVEP3	0	1	1	0	2	1	1	0
CLCA3P	1	0	0	0	0	0	0	0
SH3GLB1	144	75	95	145	423	262	301	387
PRAMEF8	0	0	0	0	0	0	0	0
TM2D1	113	65	129	196	264	213	166	245
HMGB1P45	0	0	0	0	0	1	0	0
SCP2	206	57	128	195	993	594	791	977
FAF1-AS1	0	2	0	8	4	1	1	0
MTND4P11	0	0	1	0	0	0	0	0
BCAR3	9	9	7	9	23	27	20	13
MTCO3P21	0	0	0	0	2	1	0	0
TBCAP2	0	0	0	0	0	0	0	0
BARHL2	0	0	0	0	0	0	1	0
LINC02607	0	0	0	1	1	1	1	0
OAZ1P1	0	0	0	0	0	0	0	0
DMAP1	915	1245	1589	1551	1377	1168	1070	1401
AHCYL1	180	177	250	323	787	557	777	870
CNN3	43	10	17	40	131	90	146	156
OOSP1P1	1	0	0	0	0	0	0	0
VAV3	37	6	21	30	315	136	281	256
HNRNPA1P6	0	1	4	1	0	0	2	1
EEF1A1P11	1	0	1	1	2	3	0	0
LINC01361	0	0	0	0	0	0	1	0
RPS20P5	0	0	0	0	0	0	0	0
HSPE1P25	0	0	0	0	0	0	0	0
DPYD	7	14	2	5	15	11	10	18
TLCD4	124	126	182	245	489	284	507	510
H3P2	0	0	0	0	0	0	0	0
POU3F1	0	0	0	0	0	0	1	0
LRRC8D	204	177	273	318	657	533	631	731
S1PR1	0	2	1	0	4	3	3	2
MCOLN3	0	0	0	0	0	0	1	0
NFU1P2	0	0	0	0	0	0	0	0
ELAPOR1	6	2	5	3	2	1	2	0
ARHGAP29	4	0	4	1	3	3	2	1
ST13P21	0	0	0	0	0	0	0	0
LINC02790	0	0	2	0	0	0	0	0
PGM1	27	18	20	28	70	46	49	58
IGSF21	0	0	0	0	1	0	0	0
COA7	202	160	249	323	817	546	651	831
PFN1P10	0	0	0	0	0	0	0	0
MAD2L2	323	381	524	521	481	492	442	565
DPYD-IT1	0	0	0	0	0	0	0	0
GYG1P3	0	0	0	0	0	0	0	0
OLFML3	1	5	4	0	2	1	2	3
TRABD2B	0	0	2	0	0	0	0	0
GCLM	84	42	61	92	234	185	223	259
TGFBR3	0	0	0	0	3	1	2	2
CNOT7P2	0	0	0	0	0	0	0	0
VAV3-AS1	0	0	0	0	0	0	0	0
RPL21P23	0	0	0	0	0	0	0	0
ALG14-AS1	1	2	4	2	0	2	0	1
MTND3P21	0	0	0	0	0	0	0	0
ELAVL4-AS1	0	0	0	0	0	0	0	0
SZT2	225	1087	817	857	762	559	601	683
LINC01349	0	0	0	0	0	0	0	0
PHTF1	134	67	100	147	535	382	497	534
GSTM5	0	0	0	0	2	0	0	2
GSTM2	41	24	25	37	159	102	105	160
RRAS2P1	0	0	0	0	0	0	0	0
RPSAP19	13	38	72	57	43	19	16	25
BCAS2P2	0	1	2	5	1	1	9	5
F3	0	3	1	6	27	22	20	32
FTH1P22	0	0	0	0	0	0	0	0
WARS2-IT1	0	1	0	0	1	0	0	0
LINC01739	0	0	0	0	0	0	0	0
DNAJA1P5	0	0	0	0	0	0	0	0
RPL22P6	0	0	0	0	0	0	0	1
VCAM1	0	0	0	0	0	0	2	0
HSP90B3P	0	0	1	0	3	0	1	0
EPS15-AS1	36	59	68	53	70	43	41	71
HIPK1	117	116	138	236	638	360	632	613
HSD3BP2	0	0	0	0	0	0	0	0
PSRC1	146	103	175	235	395	271	278	347
LINC01787	0	0	0	0	0	0	0	0
SEC63P1	0	0	0	1	4	0	5	3
CYP4A27P	0	0	0	0	0	0	0	0
LINC01708	5	0	0	1	0	0	0	0
MTATP6P13	2	1	0	1	0	0	0	0
LINC02787	0	0	0	0	0	0	0	0
GPR88	0	0	0	0	1	0	0	0
RWDD3	27	21	44	47	60	47	65	89
MAN1A2	63	62	112	106	232	155	228	193
LRIG2-DT	0	2	0	2	0	3	1	3
LPAR3	0	0	0	0	2	0	2	0
