Gene	hs_proerythroblast_1	hs_proerythroblast_2	hs_proerythroblast_3	hs_early_basophilic_1	hs_early_basophilic_2	hs_early_basophilic_3	hs_late_basophilic_1	hs_late_basophilic_2	hs_late_basophilic_3	hs_polychromatic_1	hs_polychromatic_2	hs_polychromatic_3	hs_orthochromatic_1	hs_orthochromatic_2	hs_orthochromatic_3
ABCD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD3	7820	1134	1130	8950	1385	1156	6411	1422	1236	2303	520	543	132	50	75
ABCD4	3942	400	781	3076	372	621	1844	368	436	1169	232	380	782	152	262
ABCE1	24837	4765	5421	25452	5214	5730	11745	3775	3971	1300	343	391	536	78	130
ABCF1	32238	3210	4866	34532	4055	5019	26174	3912	3949	17846	2304	2844	19964	2434	3340
ABCF2	17398	1977	2428	19996	2380	2753	12352	2251	2194	2890	409	486	2800	358	480
ABCF3	10476	1096	1727	8575	1183	1521	4618	925	958	1250	162	200	1907	193	238
ABCG1	1	1	2	4	1	1	3	0	0	0	0	0	0	0	0
ABCG2	2181	396	320	6778	688	655	13449	1619	1829	14808	3476	3543	10179	3438	4407
ABCG4	0	0	0	0	0	0	1	0	0	0	0	1	6	0	0
ABCG5	2	0	1	2	0	0	9	0	0	0	0	0	0	0	0
ABCG8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD1	32	2	1	20	0	0	11	0	1	5	0	0	5	0	0
ABHD10	5844	812	1224	6186	903	1286	4862	904	1187	932	173	261	68	14	36
ABHD11	1081	100	178	1248	157	210	813	157	123	234	33	39	48	7	7
ABHD11-AS1	5	0	2	3	0	1	11	0	0	0	0	0	1	0	2
ABHD12	3869	474	645	4815	616	767	5129	733	871	2774	571	682	340	64	81
ABHD12B	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ABHD13	2482	620	833	3415	788	908	2932	869	1021	2671	755	878	1049	258	359
ABHD14A	1538	98	187	993	96	158	281	39	75	5	1	2	1	1	0
ABHD14A-ACY1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABHD14B	9404	1011	1515	6492	995	1132	3158	744	673	306	87	50	149	35	31
ABHD15	1761	136	280	1145	101	164	381	49	64	37	6	11	7	2	2
ABHD16A	9912	1015	1763	12529	1465	2098	11487	1695	2048	6146	832	1096	2400	333	419
ABHD16B	513	29	157	398	71	148	260	55	80	136	29	60	164	9	11
ABHD2	62812	6382	9108	71449	8580	8683	52391	8251	7768	15819	2338	2710	2873	388	451
ABHD3	1094	165	244	1628	265	312	1778	315	400	2662	376	611	1408	132	185
ABHD4	2479	264	563	3304	323	532	6026	505	757	24145	3371	5251	35340	5149	7285
ABHD5	13019	2324	2296	16753	2790	2585	15393	2854	2546	35884	4179	8154	39927	2149	2945
ABHD6	615	75	126	451	72	105	305	50	62	82	5	22	96	6	4
ABHD8	2264	194	476	2433	252	453	2457	330	451	707	72	103	32	9	18
ABI1	7657	1244	1563	8452	1411	1594	7621	1423	1554	5790	1013	1189	2676	385	569
ABI2	9544	1248	1979	12908	1586	2161	14287	2079	2628	11488	1981	1742	1138	163	201
ABI3	47	6	7	63	5	6	133	4	6	426	55	57	1491	142	143
ABI3BP	24	4	18	19	4	8	21	3	2	5	0	5	1	0	0
ABL1	35145	3288	4854	32669	3911	4443	19691	2980	2867	6227	687	939	1876	129	167
ABL2	4989	404	491	3901	354	507	1954	183	221	709	34	27	216	8	10
ABLIM1	634	39	26	177	30	9	108	14	20	3468	1067	4466	18959	3790	5024
ABLIM2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABLIM3	0	0	0	4	0	0	5	0	0	245	16	22	236	6	6
ABO	1247	151	78	618	94	63	199	42	24	2	2	0	5	2	1
ABP1	0	0	0	4	0	1	0	0	0	9	0	0	1	0	0
ABR	1513	97	105	1049	142	72	549	78	44	79	8	5	72	4	3
ABRA	2	0	1	3	0	1	6	0	0	1	1	0	0	0	0
ABT1	7587	670	1354	6841	700	1239	4545	719	910	2795	348	465	1853	148	190
ABTB1	892	60	154	1500	105	127	2817	199	187	8942	1473	1743	11538	1241	1922
ABTB2	112	4	11	112	15	12	118	12	11	1179	105	246	1598	133	178
ACAA1	5479	703	934	5473	770	895	3678	704	715	1388	230	247	726	87	126
ACAA2	13711	1387	2186	14476	1437	1896	10673	1193	1420	10623	1328	1505	800	111	102
ACACA	39772	4191	6021	37268	5031	5550	19873	4032	3797	1850	235	270	908	56	59
ACACB	6653	509	1438	4115	541	896	1321	255	257	27	11	10	3	1	6
ACAD10	5028	562	1034	5193	675	964	4266	791	796	1745	257	271	265	38	49
ACAD11	217	33	49	203	41	63	116	55	45	24	14	8	1	8	2
ACAD8	4455	483	890	4822	623	956	3334	679	783	921	127	193	268	29	35
ACAD9	11649	1334	2161	13896	1852	2580	12161	1878	2163	8468	800	1060	1301	65	122
ACADL	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
ACADM	15771	2965	3735	19069	3375	3520	15213	3084	3367	5483	978	1171	714	100	147
ACADS	7582	983	2253	7383	1163	2561	5007	1297	2572	1294	319	700	452	81	93
ACADSB	8973	1445	1845	6676	1208	1312	2681	751	709	680	143	158	189	28	49
ACADVL	33012	3510	8723	37840	4119	9479	33582	4510	7254	25660	4038	4420	22278	1905	2744
ACAN	1	0	2	1	0	1	5	0	0	0	0	0	0	0	0
ACAP1	4800	525	735	4560	531	750	3846	471	604	344	36	40	250	16	25
ACAP2	14409	2402	3200	17704	3043	3228	18249	3570	3240	28569	5159	5643	13072	1357	1628
ACAP3	7028	536	1812	8161	812	2134	6899	858	1564	2522	402	851	1674	145	206
ACAT1	31019	5841	5877	33320	5730	5689	19172	4417	3867	6959	1420	1253	1911	227	312
ACAT2	19238	2661	2281	16563	2204	2065	10645	1863	1845	4984	706	735	1044	92	114
ACBD3	5205	839	1219	5182	860	972	3528	762	757	2516	405	491	2580	247	306
ACBD4	1177	134	206	1304	159	240	1498	213	234	605	98	139	297	55	85
ACBD5	4075	720	1058	4346	804	1029	3181	657	684	901	252	294	192	50	55
ACBD6	7787	885	1463	7257	899	1422	4355	749	1054	978	142	172	529	54	73
ACBD7	457	54	62	246	37	35	69	27	17	21	1	4	23	0	3
ACCN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACCN2	30	1	9	17	3	2	3	0	1	0	0	1	1	1	3
ACCN3	99	6	21	179	16	20	134	22	28	131	34	46	143	15	17
ACCN4	160	5	34	88	5	26	67	3	12	548	84	127	604	143	168
ACCN5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ACCS	445	72	139	346	83	123	148	87	42	4	1	1	4	0	0
ACCSL	7	0	0	0	0	0	0	0	0	0	1	0	2	0	0
ACD	6720	552	1107	6879	679	1145	4477	654	899	676	85	150	115	12	14
ACE	2	0	0	4	0	3	20	0	1	0	0	0	0	0	1
ACE2	38	5	2	16	4	0	13	1	1	22	2	2	0	0	0
ACER1	0	0	0	6	0	0	4	0	0	0	0	0	0	0	0
ACER2	1308	138	144	1473	179	159	1163	181	172	244	33	48	527	14	15
ACER3	2798	325	397	3522	452	467	3198	708	598	1449	223	257	197	26	17
ACHE	6343	863	1585	18338	2350	3482	29305	4605	5201	22693	4193	5002	14495	2399	3276
ACIN1	43307	4990	7995	47847	6390	8209	38889	6699	7453	26312	5048	6301	22646	5008	6338
ACLY	116705	12388	17546	112867	13084	16468	76389	11114	13277	21059	3064	3342	4879	669	881
ACMSD	0	0	0	5	0	1	2	1	0	0	1	1	6	0	1
ACN9	2524	592	737	2555	657	704	1508	498	511	80	28	33	11	3	4
ACO1	12986	1624	1801	14063	1826	1905	9128	1588	1564	2621	326	449	1606	106	168
ACO2	24799	2103	3473	26517	2715	3498	20946	2805	3049	20479	1672	2495	15090	785	1144
ACOT1	248	10	33	257	13	12	209	11	7	17	2	2	1	0	0
ACOT11	42	5	5	136	5	3	155	7	13	0	0	0	4	0	0
ACOT12	4	0	0	5	0	0	0	0	0	2	0	0	0	0	0
ACOT13	5403	726	832	5166	787	730	3295	676	609	1934	309	371	1377	205	294
ACOT2	1545	87	180	1145	65	146	733	46	62	145	6	6	10	2	0
ACOT4	171	19	30	70	13	19	26	2	1	0	0	0	0	1	0
ACOT6	5	1	7	2	0	0	0	0	2	0	0	0	0	0	0
ACOT7	9787	840	1384	10939	1054	1531	7024	1050	1341	1127	169	257	92	19	34
ACOT8	3766	341	520	4251	449	529	4076	509	582	2997	265	374	898	77	90
ACOT9	5729	617	853	5449	535	711	3431	424	483	935	103	116	77	11	13
ACOX1	11720	1614	1645	9872	1493	1284	7327	1305	1009	5714	894	815	2038	226	256
ACOX2	14	0	2	11	0	5	24	1	7	42	1	5	39	1	2
ACOX3	3325	351	581	2916	345	533	2201	280	385	1501	90	204	232	9	16
ACOXL	3	0	1	7	1	1	8	3	3	21	6	3	22	3	1
ACP1	12173	2016	2319	15981	2282	2450	14400	2565	2601	16788	4453	5239	6230	2081	3010
ACP2	2915	265	377	3330	397	404	3361	453	468	3192	329	495	748	53	100
ACP5	1322	288	713	1015	219	502	399	68	155	609	425	825	8617	3127	4691
ACP6	779	67	118	474	46	71	130	24	25	1	0	0	2	0	0
ACPL2	412	63	85	314	44	87	95	23	31	0	0	1	0	1	0
ACPP	47	9	2	32	4	0	15	1	1	1	0	0	5	0	0
ACPT	59	3	10	60	3	9	39	6	9	17	2	4	1	0	0
ACR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACRBP	114	21	22	112	19	24	110	14	18	148	25	40	144	10	3
ACRC	111	10	14	83	12	13	74	7	21	161	65	117	774	341	468
ACRV1	119	11	27	141	20	14	76	14	7	19	5	9	6	0	2
ACSBG1	11630	2235	3492	9341	2132	2770	5462	1712	1819	17	10	9	5	7	7
ACSBG2	40	8	20	47	4	5	27	8	5	16	2	1	0	0	2
ACSF2	5087	382	731	3307	315	431	1452	194	222	325	30	29	45	7	4
ACSF3	5668	513	965	6502	620	1008	6994	747	971	6282	582	834	1685	100	163
ACSL1	14114	2632	3019	19769	2843	3631	19248	2858	3817	6020	742	805	6767	562	744
ACSL3	17099	2768	3331	22187	3613	3629	19501	4287	3994	8742	1164	1308	1555	106	181
ACSL4	21373	4141	6181	24671	4970	5747	18921	5061	5751	3449	719	839	833	130	155
ACSL5	20156	1977	4724	14798	1514	3355	7160	952	1833	4840	515	810	790	97	118
ACSL6	87	2	3	2601	33	49	9224	340	710	14856	2572	6701	5689	1350	1771
ACSM1	427	130	193	483	178	191	458	162	207	357	95	183	302	52	57
ACSM2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0	0	1	3	0	0	16	2	0	1
ACSM3	1027	129	244	537	57	104	264	35	41	560	90	123	1925	335	397
ACSM4	28	0	4	11	1	1	3	0	0	0	0	0	38	0	1
ACSM5	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
ACSS1	109583	13658	20895	105679	14630	20084	63248	11884	14134	6754	924	1142	2403	160	235
ACSS2	8393	1070	1123	7663	967	1043	6241	1015	968	2941	442	329	1654	132	191
ACSS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTA1	10	0	1	21	0	1	12	0	0	12	0	2	7	2	3
ACTA2	40	17	18	100	18	28	86	24	29	465	90	182	857	187	270
ACTB	317461	35223	52591	333491	39941	54691	287614	40680	52460	191149	30838	39903	160963	20054	27790
ACTBL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTC1	0	0	0	2	0	0	5	0	0	0	0	0	1	0	0
ACTG1	22810	1703	2869	16198	1291	2143	11786	1166	1925	7425	995	1019	4005	278	380
ACTG2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ACTL10	42	1	4	16	1	2	10	0	0	29	4	8	138	18	31
ACTL6A	18451	2976	3263	21443	3360	3271	14986	2997	2831	5128	932	1158	569	95	121
ACTL6B	3	1	2	10	0	0	16	2	1	21	0	0	2	2	0
ACTL7A	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
ACTL7B	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0
ACTL8	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ACTL9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN1	5003	486	590	2140	290	242	696	82	73	378	11	12	938	39	47
ACTN2	7	2	0	9	3	3	11	4	0	51	7	7	52	2	2
ACTN3	0	1	1	3	0	0	0	0	0	1	1	0	0	0	0
ACTN4	94855	7787	11636	107768	11665	12435	84262	12635	11416	31715	4125	5003	9074	828	1127
ACTR10	7695	1281	1487	10485	1496	1680	12527	2036	2100	13561	2357	2270	4772	642	959
ACTR1A	16677	1722	2265	21435	2330	2548	23257	3235	3251	20121	2987	3714	11746	1967	2835
ACTR1B	6460	583	1341	5675	680	1177	3679	637	947	1046	163	289	196	8	27
ACTR2	34346	6539	7426	31480	6008	6495	18362	4672	4949	8355	1555	2013	2306	367	439
ACTR3	31812	5502	5887	44325	6977	6819	45982	8625	8293	32474	6408	7687	18011	3650	4879
ACTR3B	1574	158	236	1463	166	199	471	97	101	12	5	4	13	1	1
ACTR3BP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3BP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3C	42	3	6	36	3	9	21	0	2	1	0	0	0	0	0
ACTR5	4013	428	849	4505	537	861	2499	409	615	711	113	134	332	50	71
ACTR6	2991	726	794	3083	716	743	2047	680	597	1451	356	418	615	110	190
ACTR8	4525	483	799	3774	509	680	2163	449	524	834	128	157	718	91	128
ACTRT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACVR1	343	21	55	396	25	36	785	42	49	2285	252	506	1762	60	69
ACVR1B	115	10	5	211	17	13	189	22	7	74	12	17	307	19	15
ACVR1C	12	1	1	0	0	2	0	1	1	11	2	2	3	3	0
ACVR2A	290	24	45	209	31	32	56	18	17	36	8	5	28	3	4
ACVR2B	2570	303	387	2542	412	377	2118	376	287	2647	409	426	664	44	68
ACVRL1	0	0	0	4	0	0	5	0	0	0	0	0	28	2	0
ACY1	384	56	62	278	34	38	105	25	29	1	2	0	8	0	1
ACY3	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0
ACYP1	1252	274	452	1527	289	456	1512	362	557	806	222	315	36	19	25
ACYP2	285	52	70	239	40	42	183	33	31	198	29	33	77	10	5
ADA	2861	432	523	1979	360	438	628	168	222	160	8	9	945	22	24
ADAD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAD2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ADAL	3785	494	667	5261	673	732	4790	836	836	2697	441	515	166	42	51
ADAM1	601	68	129	736	126	203	317	96	115	74	26	29	26	4	5
ADAM10	11816	1509	1994	10537	1566	1583	6815	1352	1234	5629	707	986	4449	479	620
ADAM11	39	3	10	29	5	4	30	2	5	19	8	14	3	0	2
ADAM12	0	0	0	1	0	0	0	0	0	0	2	0	12	2	1
ADAM15	5760	390	959	5007	434	882	2893	279	437	1151	324	229	180	50	56
ADAM17	5984	882	1053	5866	1023	911	4259	1018	681	6592	1238	1046	4731	479	637
ADAM18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM19	490	24	41	408	35	27	391	73	45	137	3	14	56	0	0
ADAM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM20	0	0	0	3	0	2	3	0	0	4	0	0	7	0	0
ADAM21	9	0	0	1	0	0	5	0	0	0	1	0	0	0	0
ADAM21P1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ADAM22	1038	82	140	1003	111	179	507	82	100	27	12	4	5	2	5
ADAM23	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
ADAM28	40	0	0	22	3	3	33	3	0	8	1	0	35	0	1
ADAM29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM32	27	14	20	39	5	15	7	10	4	3	0	0	0	1	1
ADAM33	0	0	0	0	0	0	0	0	0	0	0	0	4	4	2
ADAM3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM5P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM7	12	1	6	26	1	8	41	6	5	4	2	8	0	1	0
ADAM8	1711	84	304	1699	99	334	1080	90	195	287	36	70	235	53	62
ADAM9	4649	847	981	7166	1171	1026	8743	1679	1483	6987	1056	1116	670	73	86
ADAMDEC1	13	1	0	14	3	2	31	2	4	21	0	0	72	0	4
ADAMTS1	102	4	14	39	0	2	1	0	1	0	0	0	0	0	0
ADAMTS10	27	3	2	8	9	7	11	3	2	0	0	0	7	0	1
ADAMTS12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADAMTS13	98	17	34	96	11	35	80	24	34	58	9	13	11	0	1
ADAMTS14	218	22	89	227	33	95	200	18	81	2	0	0	6	0	0
ADAMTS15	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ADAMTS16	0	1	0	5	0	0	0	0	1	1	0	0	0	0	0
ADAMTS17	2	0	1	2	0	6	1	1	0	2	0	2	1	0	0
ADAMTS18	0	0	0	1	0	0	0	0	0	42	0	2	2	1	0
ADAMTS19	6	1	0	2	0	0	1	0	0	2	0	0	0	0	0
ADAMTS2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS3	2443	365	290	4043	574	426	4730	825	528	988	225	187	50	16	27
ADAMTS4	1	0	0	21	1	0	14	0	1	29	4	7	6	4	7
ADAMTS5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS6	197	18	32	141	18	24	134	23	27	123	45	62	220	52	81
ADAMTS7	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS8	8	0	0	0	0	1	0	0	0	3	0	0	1	0	0
ADAMTS9	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ADAMTS9-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTSL1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADAMTSL2	5	2	4	7	2	2	8	2	0	0	0	0	0	0	0
ADAMTSL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTSL4	2052	194	605	1334	192	486	1015	179	269	2349	188	168	2553	73	88
ADAMTSL5	152	22	41	283	30	61	397	52	95	634	27	40	242	5	4
ADAP1	10	3	3	42	3	6	53	4	3	45	6	10	153	28	25
ADAP2	0	0	3	7	3	0	14	2	0	3	0	0	5	0	0
ADAR	69623	6147	9687	72465	7873	9240	52814	7603	7395	72026	7773	9486	53752	3081	4145
ADARB1	4111	305	649	2664	285	542	922	125	199	200	21	54	183	5	8
ADARB2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ADARB2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAT1	3078	261	424	4397	414	455	5773	635	639	8930	860	1622	1737	181	216
ADAT2	4545	641	889	4346	692	972	1948	555	537	70	21	28	5	4	7
ADAT3	664	33	101	606	44	125	407	58	86	194	28	49	184	10	14
ADC	3	0	2	0	0	0	0	0	0	0	0	1	7	0	2
ADCK1	6029	666	1300	6023	790	1314	3215	633	787	469	88	78	348	54	84
ADCK2	4111	381	483	3907	333	537	3131	333	390	2332	191	299	314	12	27
ADCK3	19594	1526	3760	14032	1401	2566	6225	753	1082	4595	417	590	1883	102	127
ADCK4	2910	317	653	2562	314	554	1900	315	369	1011	141	242	348	34	70
ADCK5	1374	161	303	1433	201	378	1149	237	344	482	102	187	85	9	13
ADCY1	56	9	4	38	9	2	12	2	1	1	1	1	0	1	0
ADCY10	98	25	14	120	27	29	95	18	32	45	11	4	135	29	41
ADCY2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADCY3	2015	256	222	2463	370	274	1872	326	203	952	136	198	45	8	18
ADCY4	8	0	0	2	1	0	1	1	0	0	0	0	0	0	1
ADCY5	10	1	2	31	3	3	74	6	8	34	6	3	22	2	3
ADCY6	141	7	2	114	9	10	126	10	17	172	4	3	448	29	29
ADCY7	65369	6855	11226	62765	8721	11432	37548	7290	8486	8483	738	899	1558	187	240
ADCY8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADCY9	83	4	11	52	5	3	17	1	5	4	0	0	1	0	0
ADCYAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADCYAP1R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADD1	70774	7826	11138	87348	10401	11332	88344	12616	12443	72776	10864	13526	34195	5517	7128
ADD2	140244	18962	24688	190964	27314	26395	178753	30154	26790	29201	6823	5004	928	728	930
ADD3	16441	2662	3521	18967	3064	3585	20398	3567	4556	18620	2920	4792	7075	721	963
ADGB	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ADH1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADH1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADH1C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADH4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADH5	11524	1668	1841	10421	1563	1748	5407	1220	1245	421	100	94	101	27	25
ADH6	2	0	0	4	2	1	0	0	2	0	0	0	0	0	0
ADH7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADHFE1	366	42	79	307	33	74	302	53	44	171	29	36	43	10	4
ADI1	7300	1123	945	5696	1205	807	3357	1159	640	1344	411	320	2293	410	581
ADIG	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0
ADIPOQ	0	0	0	11	0	0	23	2	1	25	4	2	2	0	0
