ID	proerythroblast	early_basophilic	late_basophilic	polychromatic	orthochromatic
HMOX1	6.906890596	5.624490767	4.459431619	9.885696373	9.885696373
LOC646762	11.28057766	10.81137469	9.800360729	7.481126959	7.481126959
SLC27A2	11.04143123	10.60733031	9.235216541	4.64385619	4.64385619
C6orf108	11.29882611	11.02005418	10.32305476	5.584962501	5.584962501
CCNE1	12.77711823	13.34679072	13.08397787	9.710806434	9.710806434
RANBP17	9.157346935	9.267566931	8.522254706	4.273018246	4.273018246
SUCLG2	11.51652097	11.28636543	10.51142356	7.083922838	7.083922838
EXTL2	10.6104094	10.0116927	8.625708843	3.321928095	3.321928095
GLMN	9.289250511	9.339850003	8.533978702	6.14974712	6.14974712
RCN3	9.172427509	8.754887502	7.048032333	1.73696545	1.73696545
ICA1	12.27078208	11.53867395	10.20253159	4.922831981	4.922831981
OSBPL7	9.700439718	8.984893203	7.222392099	2.807354922	2.807354922
STAC	8.06608919	7.406559629	5.662965108	3	3
FAM124B	10.25935135	9.782452305	8.130999318	2	2
NUBPL	9.468963449	9.475057921	8.657020768	3.544320928	3.544320928
GGCT	12.00386923	11.96986602	11.22921958	7.700439718	7.700439718
NUP62CL	9.704480017	9.768184325	9.232021043	5.64385619	5.64385619
ZNHIT6	11.1486882	11.11178774	10.1615514	6.475733431	6.475733431
AIG1	9.471675214	9.243967248	8.431845648	3.874469446	3.874469446
SLFN11	13.07497766	12.85642553	11.78217919	8.178250032	8.178250032
RAG2	8.364864356	7.375039431	5.564784517	1.73696545	1.73696545
DENND5B	10.30301925	10.31477242	9.527477006	5.59494649	5.59494649
TCP11L2	4.62449106	7.14635687	9.419258036	14.10808907	14.10808907
PPARGC1B	10.88798213	10.6423523	8.988684687	2.662964937	2.662964937
LOC100131289	6.431845731	6.266786541	5.235216589	1.73696545	1.73696545
KIT	14.39146715	13.3768037	11.18776465	4.62449106	4.62449106
PFAS	14.0240722	13.93979314	12.88722062	7.189824559	7.189824559
ZNF30	6.914883785	6.486499915	5.772589592	0.736965623	0.736965623
ME3	8.680652429	8.424866257	7.395176791	2.807354922	2.807354922
NTHL1	10.09451716	9.645057995	8.286942583	2.115477106	2.115477106
FAM102B	12.7382331	12.5308128	11.76459505	7.453956214	7.453956214
NEFH	10.90162116	10.33315535	8.871391812	3.415037544	3.415037544
MAGEF1	9.965784285	9.131856961	8.00936229	3.772589856	3.772589856
CDK6	14.79068805	14.15784664	12.67999309	9.309855338	9.309855338
RPGRIP1L	9.273795599	9.23441821	8.283860208	3.502499916	3.502499916
RPS6KL1	12.10525378	12.43844543	11.99906032	4.369234042	4.369234042
LOC100506433	5.222392293	4.321928095	3.273018544	1	1
LPIN3	8.596189756	8.57868705	7.688832865	2.584962501	2.584962501
ZNF205	8.113742166	8.151439261	7.757111945	5.183221692	5.183221692
SAMD10	8.518325439	7.807354922	5.790076844	0.415037463	0.415037463
S100A4	14.67152282	14.50455026	13.49247913	5.662965108	5.662965108
NREP	10.99435344	10.51076417	9.22881869	3.772589856	3.772589856
CAND2	8.246344901	7.681823806	6.658211483	2.584962501	2.584962501
DNAH14	9.048940999	8.635415948	7.300734178	3	3
TCTN2	10.07369574	9.743712371	8.693486957	3.321928095	3.321928095
WNK2	7.763765432	7.14635687	5.029747491	0	0
CCDC112	10.80708681	10.70764643	9.850707708	5.345774955	5.345774955
B3GNT7	6.874468708	7.54689446	7.847579191	5.459431619	5.459431619
PVR	10.13185696	10.30985488	9.804668785	7.592457037	7.592457037
MCCC2	12.42740006	12.05505632	10.68123841	5.584962501	5.584962501
SLC35G1	8.125843761	8.744833837	8.338365133	4.984893259	4.984893259
TMEM119	0.415037463	0.415037463	0.415037463	2.415037409	2.415037409
POLE2	12.1234748	12.37702964	11.78871833	8.962896005	8.962896005
THEM4	9.332409653	8.83710216	7.531381461	3.624490475	3.624490475
NUDT12	9.865217798	10.02051748	9.569855608	6.058893761	6.058893761
ARMC9	6.686500527	6.874468708	6.569855608	1.73696545	1.73696545
CENPH	12.15534542	12.53219348	12.19280661	9.65164964	9.65164964
GLRX	14.13097269	13.86241168	12.48230378	6.815917362	6.815917362
TMEM182	7.254241602	6.874468708	5.491853096	0	0
MPDZ	10.45566936	10.16448838	9.106780931	4.64385619	4.64385619
ZNF681	9.340591865	9.547537165	9.477083704	6.845490051	6.845490051
IFFO2	9.950312827	9.327178281	7.440177338	2.222392524	2.222392524
FAIM	7.539158811	7.232020803	6.309855202	2.415037409	2.415037409
LDHB	15.72342097	15.48414096	14.4704892	10.54238672	10.54238672
MTAP	12.15112217	11.97477307	10.97154355	7.977279923	7.977279923
ZNF658	6.291554384	6.22881869	5.624490767	2.321928095	2.321928095
HMGN5	11.42153891	11.63662462	11.19352536	8.303780748	8.303780748
HMGA2	11.712527	11.37286506	10.58276955	6.820178962	6.820178962
TRMT11	9.882643049	9.767632786	8.898853176	5.82442852	5.82442852
IDUA	8.900866808	8.573647187	7.266786541	2.502500425	2.502500425
PKLR	15.34968449	15.36399782	14.6768017	9.420661978	9.420661978
GPC6	4.890771092	4.058893978	3.369233763	1.41503768	1.41503768
MSH2	14.1479466	14.22178874	13.53077209	11.34780571	11.34780571
PTPN14	0	0	1.73696545	5.781359714	5.781359714
DPH5	11.13699111	11.07525651	10.4280115	6.926790548	6.926790548
SLC25A15	12.63216209	12.41327541	11.06676193	4.700439718	4.700439718
ENTPD1	12.24881706	12.43662488	11.80856203	7.670066305	7.670066305
ZNF334	5.798741878	4.790077104	2.584962501	1	1
SLCO4C1	8.327926686	8.30833903	7.837102476	4.222392679	4.222392679
GK5	10.75321675	10.47910624	9.685332767	7.67713258	7.67713258
PNPT1	12.02490867	12.2159373	11.41027485	8.031586527	8.031586527
CECR5	9.006559752	7.922832338	6.18322189	1.222392215	1.222392215
MPHOSPH6	10.73640193	10.50051029	9.476408624	6.1223967	6.1223967
ARG1	5.345774955	6.037089392	6.811641852	12.21765483	12.21765483
TSEN2	10.24198315	10.07992872	8.845490051	4	4
C12orf45	9.062496016	8.711953591	7.420661768	3	3
SLC29A2	10.66918005	9.818582177	7.429057691	1.222392215	1.222392215
C20orf194	9.486499795	8.898853176	7.453956214	0.415037463	0.415037463
ZNF287	6.662964538	6.681824508	6.087462841	1.41503768	1.41503768
KDELC1	10.05889414	9.880093616	8.865217643	5.781359714	5.781359714
HADH	13.19332006	12.97106443	12.11211366	8.859016938	8.859016938
BMP2	4.19639695	4.604861861	4.437405534	2	2
PUS7L	10.91089228	10.85018684	9.810571635	6.906890596	6.906890596
SLC46A3	9.385862401	9.485829309	8.808427849	3.807354922	3.807354922
MAP7D3	10.81804926	10.40372254	8.985841937	3.624490475	3.624490475
FANCF	10.67360324	10.70275017	10.102851	7.607330314	7.607330314
ITGB5	2.222392524	4.718818065	5.634206117	8.782452141	8.782452141
GINS1	12.48255589	12.67838007	12.22400167	9.829722735	9.829722735
RNLS	7.684164412	7.74819285	7.528779926	3.058893631	3.058893631
PPA2	12.30663136	12.38981066	11.7548875	8.928764997	8.928764997
EEF1E1	10.07948478	10.08214904	9.491853096	8.537865623	8.537865623
ALKBH2	10.21148316	9.869336741	8.648657056	3.736965233	3.736965233
ZNF362	10.94909716	10.61348285	9.982993575	5.754887502	5.754887502
NIPSNAP1	12.93878327	12.41538976	11.2195721	6.315904368	6.315904368
SLC25A12	10.18280773	10.22761594	9.550746785	5.309855384	5.309855384
ZNF485	7.648657416	7.118941073	5.81591685	1.584962501	1.584962501
VILL	8.841302359	8.311370055	6.853829768	1.73696545	1.73696545
APOL4	13.33794658	13.70487629	13.0409176	7.499845887	7.499845887
ALDH18A1	14.46509891	14.26866407	13.0792626	7.977279923	7.977279923
TREML3	0	1.222392215	2.874469052	9.372139613	9.372139613
FANCL	10.46318409	10.55234921	9.968187255	7.125844277	7.125844277
METAP1D	9.668884984	9.597431915	8.417852515	4.459431619	4.459431619
C9orf30	10.06249548	10.21067134	9.848101317	6.163230416	6.163230416
GLRB	7.695808037	6.695808733	4.3457746	1	1
ABHD14A	9.249508628	8.702749994	7.051662482	1.874469249	1.874469249
PHF6	13.76859788	13.57880548	12.73668372	10.43323803	10.43323803
C15orf26	0.415037463	1.584962501	2.415037409	8.617161446	8.617161446
TYW3	11.7463745	11.77917229	11.01796852	8.112005199	8.112005199
GPR125	11.12455238	10.91288934	9.680652604	5.866248529	5.866248529
THNSL1	9.874469169	9.407267764	7.864186145	2.502500425	2.502500425
CTPS2	11.58308277	11.60887068	11.08878824	7.890770728	7.890770728
SPEF2	7.594946341	8.262094845	7.787902559	3.906890596	3.906890596
DLAT	13.0313566	12.98507112	12.26317147	8.878561975	8.878561975
ARV1	12.72181117	12.96416034	12.54544718	8.894817763	8.894817763
PPP1R9A	7.876516947	7.567322595	6.351675497	1.41503768	1.41503768
DUSP19	8.396604781	8.302258267	8.266786541	5.101537886	5.101537886
TSPYL5	9.211077189	8.607330314	7.122396286	2.321928095	2.321928095
PAR5	7.196397541	7.00749491	5.574908937	2.662964937	2.662964937
SYTL3	6.619608595	6.453956543	5.297680426	1.41503768	1.41503768
PGM2	11.90388185	12.02836644	11.39303269	7.741466986	7.741466986
PCBP4	5.938599377	5.691161998	4.481126474	0.415037463	0.415037463
BOLA3-AS1	11.53446485	11.03158611	9.961449694	5.247927513	5.247927513
HMGN3	10.85512776	10.65731845	9.87036472	6.1223967	6.1223967
REPS2	12.54866131	12.72458484	12.25797706	7.822305051	7.822305051
DZANK1	6.14974712	5.866248529	4.247927513	0.415037463	0.415037463
MAP9	9.160711739	9.464886117	8.776981383	5.491853096	5.491853096
ZNF232	9.168254165	9.354616787	8.816983623	5.273018619	5.273018619
CLYBL	8.980139578	8.979187085	8.348728154	5.459431619	5.459431619
FLVCR1	11.22921958	11.03891899	10.04984855	6.369233868	6.369233868
PCGF6	10.18528801	10.30378075	9.842350343	7.681823806	7.681823806
FADS2	16.58952431	16.56502277	15.95095064	10.38046107	10.38046107
HSD17B12	11.91214086	11.80815977	11.33445934	7.973458021	7.973458021
TMX1	12.74202874	12.8502519	12.49984589	10.6423523	10.6423523
PUS7	12.0151826	11.82892983	10.15059395	2.874469052	2.874469052
ZNF835	8.860052449	8.320424655	6.922831743	0	0
GNB4	12.38505349	12.48633225	11.93135323	9.534627185	9.534627185
C17orf96	7.300734178	6.475733431	4.502500553	0.736965623	0.736965623
ZCCHC24	10.15523947	9.992938336	9.123259316	4.273018246	4.273018246
MCM6	15.18021998	15.24077904	14.33980339	10.87036472	10.87036472
C9orf125	7.843397881	7.483815777	5.938599377	2.807354922	2.807354922
CERKL	10.4203108	10.36850646	9.953711501	7.040746708	7.040746708
KRT1	2.502500425	5.564784517	7.087462841	10.17825028	10.17825028
RNF207	6.648657128	6.087462841	5.115477356	2.584962501	2.584962501
NTN1	9.424166289	8.725650167	6.470319989	1	1
ZFP14	9.00749463	8.603626345	7.587464758	4.11547694	4.11547694
BBS2	9.947393376	9.41221691	8.057089012	4.718818065	4.718818065
LRRC45	10.99317405	11.06989748	10.45703915	7.641449933	7.641449933
PAK1IP1	12.38577263	12.51249357	11.61302188	7.526172909	7.526172909
FKTN	10.22440331	10.2179577	9.702172685	5.807354922	5.807354922
TGFB3	9.770939193	9.350939182	7.9638596	3.415037544	3.415037544
B3GNTL1	8.087462841	7.641449933	6.662964538	2.222392524	2.222392524
PLS1	11.14784089	11.53316764	11.49418907	8.769286771	8.769286771
NBN	12.65366622	12.62684976	11.98513037	9.689415711	9.689415711
KIAA1383	7.254241602	6.369233868	5.992466403	0.736965623	0.736965623
CAPS2	8.055282436	8.302258267	7.392317423	1	1
CASD1	9.546251469	9.353881883	8.677132227	6.958068933	6.958068933
ATP6V0E2	10.5124116	10.45052361	9.573647187	3.969626658	3.969626658
METTL21A	11.74090522	11.72947927	11.13528154	7.698126084	7.698126084
SMS	11.5456079	11.42153891	10.61409602	6.691161439	6.691161439
RFXAP	11.02444712	11.43080116	11.1949618	8.900866808	8.900866808
PDE6B	9.148052736	8.653442358	7.21916852	3.058893631	3.058893631
CCND2	13.39106499	13.14704589	12.44527356	8.77368881	8.77368881
SGCA	0	0	0	0	0
LOC100505633	10.15481811	11.47708381	11.69769173	5.584962501	5.584962501
ADO	10.90714079	10.6150162	9.735273888	6.56478467	6.56478467
ENPP4	10.88034881	11.13271371	11.06069593	8.54303182	8.54303182
ZNF347	8.082149041	8.350202402	8.169925001	5.624490767	5.624490767
ZNF677	6.080373488	6.163230416	6.02974727	3.415037544	3.415037544
KCTD15	11.65567964	11.39589128	10.40301202	7.183221493	7.183221493
HTR1F	4.922831981	3.772589856	3.544320928	2.321928095	2.321928095
A4GALT	12.38891412	12.70678371	12.01704048	9.031586251	9.031586251
KLRG1	7.14635687	7.303780748	6.906890596	3.415037544	3.415037544
TMEM168	10.84392105	11.10066234	10.66237197	8.335390355	8.335390355
NUP210	15.97617632	16.05452653	15.58202434	12.29901708	12.29901708
HEATR2	12.67456018	12.74174779	11.96084652	7.336878734	7.336878734
ABCA2	9.269126679	8.803054892	7.06608919	1.584962501	1.584962501
KIF21A	8.265224493	8.703903573	8.233619677	6.309855202	6.309855202
ZBTB24	10.91388646	10.54625108	8.979187085	3.273018544	3.273018544
HOOK1	10.16490693	10.14762851	9.176588815	6.781359714	6.781359714
TMEM158	3.273018544	5.014950193	6.403722243	10.22078097	10.22078097
E2F5	9.07235586	7.967706405	6.345774778	4.95419631	4.95419631
TCTN1	8.153129928	8.124121312	6.965784285	2.222392524	2.222392524
TMEM67	9.084808388	8.873444113	7.757111945	3.624490475	3.624490475
RCN2	11.75168338	11.83749667	11.40194612	9.407975765	9.407975765
NEURL	6.857980995	6.569855608	5.403722072	1.222392215	1.222392215
NEO1	9.055282436	8.410804509	6.750428301	1.584962501	1.584962501
ACP6	8.33240943	7.62935662	5.922832219	0.415037463	0.415037463
KIAA1211	13.47956935	13.34702197	12.4812949	8.348728154	8.348728154
AGPAT5	14.02554362	13.79509299	12.87139185	9.789533645	9.789533645
MCM3	15.44232799	15.38295055	14.65357286	11.81565027	11.81565027
XYLB	9.243967248	9.292321633	8.430452552	4.11547694	4.11547694
ZC4H2	9.348728154	9.106780931	8.541742101	5.142957818	5.142957818
EDNRB	6.273018432	5.745954467	4	0	0
SOX21	7.761551232	6.533978624	4.369234042	2.115477106	2.115477106
APOE	15.01928666	14.05593228	12.16710448	5.700439718	5.700439718
PPA1	12.41115795	12.19362792	11.20089861	7.688832865	7.688832865
MOCS2	10.54753755	10.33464537	9.269126679	5.273018619	5.273018619
UBE2E2	7.952256094	7.828665217	6.906890596	2.807354922	2.807354922
PMEPA1	7.448460776	6.415037443	4.11547694	0.736965623	0.736965623
C14orf126	10.68825031	10.50183718	9.541741908	5.357552005	5.357552005
TMEM177	9.069673438	8.631783479	7.318919646	3.624490475	3.624490475
TBC1D19	6.554588852	6.420662105	5.930737338	2.502500425	2.502500425
OXCT1	12.66088727	12.76790862	12.32474311	10.12799432	10.12799432
MARVELD2	8.553309427	8.550746785	7.169925001	1.874469249	1.874469249
ZNF354C	7.173260381	6.973458595	6.327926776	2.807354922	2.807354922
MTBP	10.85096815	11.08724204	10.87958325	9.18900095	9.18900095
DIS3L	12.02744541	11.7560004	10.51930896	8.230420635	8.230420635
HELLS	11.72266539	12.00889532	11.51602845	9.081261591	9.081261591
DSCC1	11.43010386	11.64475759	11.27029533	9.187352073	9.187352073
PIGW	10.7459541	10.80009099	9.714245518	6.369233868	6.369233868
TTC40	5.029747491	4.481126474	1.222392215	0	0
SPINK4	0.415037463	1.222392215	0.736965623	2.502500425	2.502500425
AGFG2	13.59731584	13.53223415	12.52364355	10.44328858	10.44328858
CCDC138	10.63117706	10.45806512	9.210265384	5.662965108	5.662965108
FAM35A	11.12045368	10.56096996	8.723376643	3.415037544	3.415037544
ZFP64	10.14720492	9.562878329	7.772589724	2	2
MIAT	5.745954467	6.574908786	6.853829768	11.65850919	11.65850919
