"Gene"	"hs_proerythroblast_1"	"hs_proerythroblast_2"	"hs_proerythroblast_3"	"hs_early_basophilic_1"	"hs_early_basophilic_2"	"hs_early_basophilic_3"	"hs_late_basophilic_1"	"hs_late_basophilic_2"	"hs_late_basophilic_3"	"hs_polychromatic_1"	"hs_polychromatic_2"	"hs_polychromatic_3"	"hs_orthochromatic_1"	"hs_orthochromatic_2"	"hs_orthochromatic_3"
"3351"	"GLUD1"	11746	1531	1971	9870	1478	1671	4864	958	1136	695	113	142	771	37	71
"3352"	"EGR1"	472	95	308	5425	301	826	3980	864	2455	11482	10000	2139	7155	2433	3414
"3353"	"C11orf49"	3596	373	623	2960	371	511	1539	351	354	207	42	43	151	29	31
"3354"	"CBR4"	4248	725	718	4964	873	811	3161	854	760	905	217	216	225	59	62
"3355"	"EIF4B"	49761	10386	12630	42157	9023	10161	27006	6699	6680	12492	2098	1983	4083	609	804
"3356"	"DIEXF"	7392	1025	1430	7574	1112	1359	3152	764	711	340	51	53	510	40	40
"3357"	"EEF1B2"	40959	4250	7671	39301	4949	6686	27474	4037	5310	9796	851	1193	1815	129	208
"3358"	"SNORA41"	48	4	16	54	6	13	5	6	8	7	0	2	0	1	0
"3359"	"PRDM5"	275	23	14	362	34	21	215	46	37	27	3	5	3	0	0
"3360"	"CHST3"	38	2	8	8	2	2	5	2	0	0	0	0	0	0	0
"3361"	"TMCO7"	6079	763	1043	6519	878	1033	3916	778	715	707	133	106	304	40	38
"3362"	"POU6F1"	316	29	34	365	24	37	222	35	29	54	4	7	5	1	0
"3363"	"ZNF416"	1269	168	146	1216	171	159	1099	180	127	408	46	59	36	7	7
"3364"	"SLC24A3"	2587	157	610	1063	93	256	255	28	38	33	0	2	84	4	1
"3365"	"DHCR24"	54395	5034	6228	54047	5624	5906	35187	5210	4849	6176	940	952	1545	191	261
"3366"	"FHIT"	646	129	150	617	88	124	424	65	102	83	4	21	39	4	4
"3367"	"SLC37A4"	16627	1447	2458	23052	2329	3029	21098	3127	3602	6362	1116	1277	398	97	158
"3368"	"TTC37"	25318	3984	4990	28301	4759	4585	20849	4750	4128	7290	1177	1120	1609	169	231
"3369"	"ATAD1"	6321	1142	1343	6239	1155	1305	4036	1089	995	1909	254	354	471	61	64
"3370"	"RBM34"	5339	879	1036	4878	802	986	3106	699	703	1576	323	286	342	58	54
"3371"	"LSM2"	7032	1005	1279	7549	1102	1272	5890	1095	1105	2087	302	313	333	51	70
"3372"	"TUBA4A"	4179	281	590	9694	565	837	12020	831	1329	27604	2881	6486	101619	15659	23090
"3373"	"EGFL8"	130	12	46	217	39	61	131	32	51	37	12	16	7	2	1
"3374"	"TMEM45B"	22	4	5	7	5	5	1	1	2	1	0	0	2	0	0
"3375"	"FAM53A"	484	22	73	334	22	57	169	10	33	29	2	3	9	0	0
"3376"	"CD3EAP"	1552	151	188	1533	194	276	626	87	112	42	3	7	49	2	10
"3377"	"DDX46"	26815	3941	4788	32793	4620	4932	23300	4412	4240	9578	1934	2097	1332	227	304
"3378"	"RNF138P1"	2069	286	411	2333	326	403	1625	319	344	644	160	154	124	20	17
"3379"	"ZMYND11"	11823	2066	2227	14227	2474	2460	11967	2615	2401	6736	1240	1385	730	110	149
"3380"	"ZNF664"	25189	3277	4458	24297	3823	4078	14051	2703	2839	7536	931	1311	1297	158	190
"3381"	"PRDM15"	3242	312	569	2926	414	541	1930	374	415	481	113	142	139	26	30
"3382"	"CENPW"	5548	754	1172	8140	976	1251	8355	1234	1617	5765	753	1272	194	61	74
"3383"	"TNFSF4"	56	5	15	45	4	13	49	8	6	17	1	2	0	0	0
"3384"	"ZNF772"	1942	396	304	1820	547	284	1631	543	295	980	168	173	140	14	17
"3385"	"CEP72"	3180	226	479	3813	323	556	3539	378	522	1636	195	253	53	16	22
"3386"	"DEPDC1"	6057	1729	1390	11794	2453	1755	19407	4566	3658	8647	2315	2313	223	221	242
"3387"	"MMAA"	418	62	61	423	69	39	260	79	48	61	12	9	16	5	1
"3388"	"ASTN2"	310	34	20	191	29	25	60	12	9	3	0	1	9	0	1
"3389"	"RAD1"	9977	1462	1639	10371	1709	1732	6461	1416	1347	2791	507	655	512	77	125
"3390"	"FAM71A"	0	0	0	1	0	2	1	0	0	28	5	6	89	3	6
"3391"	"LOC339803"	104	14	21	87	14	8	74	14	4	3	1	1	4	0	0
"3392"	"RABL2B"	667	63	102	603	98	123	375	68	63	42	9	16	29	3	5
"3393"	"CCDC25"	8366	1445	1646	9069	1417	1595	5989	1377	1344	2622	437	405	576	72	69
"3394"	"C21orf56"	1645	245	289	1010	166	186	357	70	78	23	1	14	48	16	26
"3395"	"MESP1"	61	8	10	40	8	25	3	4	6	0	0	0	5	0	0
"3396"	"LONRF1"	1710	209	264	1270	112	239	531	92	87	484	62	104	97	6	3
"3397"	"ANP32D"	634	111	71	572	94	78	367	68	60	153	15	16	26	1	4
"3398"	"SNORA24"	64	10	40	63	16	38	7	4	16	2	2	1	5	1	4
"3399"	"CYP2J2"	125	16	23	240	14	67	197	15	94	17	3	2	3	0	0
"3400"	"ZNF516"	4195	259	744	2635	253	646	809	115	210	59	1	4	111	7	10
"3401"	"LOC100507246"	9292	1924	1969	9289	1903	2225	4699	1277	1263	406	86	81	747	123	158
"3402"	"MRPS2"	14965	1636	2650	13785	1623	2430	7118	1204	1301	1415	188	247	910	36	59
"3403"	"TMEM55A"	797	238	181	615	191	169	506	171	162	235	37	21	89	7	9
"3404"	"SRRM1"	26202	3099	4463	27184	4162	4783	17511	3964	3825	5908	1225	1177	1442	154	229
"3405"	"ZNF770"	13643	2794	2659	12632	2899	2642	7315	2192	1974	3838	767	968	1218	139	185
"3406"	"FANCE"	4881	562	978	5388	652	1038	3195	534	774	1176	180	183	252	24	39
"3407"	"VPS54"	6549	1047	1278	7709	1161	1241	6152	1104	1156	3101	402	479	434	36	42
"3408"	"RNASE1"	5221	264	602	1783	127	283	658	61	118	140	25	18	89	13	20
"3409"	"PLAUR"	691	43	204	861	84	207	561	68	174	62	8	5	31	0	2
"3410"	"KIAA0564"	11337	1413	1849	11594	1614	1788	7622	1456	1276	2421	107	104	471	27	29
"3411"	"IQGAP1"	14010	1440	1522	10324	1290	1018	4919	820	665	596	86	111	531	43	45
"3412"	"KLHL35"	140	12	25	75	11	16	27	3	5	2	1	2	2	1	3
"3413"	"KIAA1731"	9480	1330	2150	14338	2112	2208	14419	2663	2878	8004	2100	1920	324	159	221
"3414"	"LOC399744"	373	26	31	330	65	83	264	72	57	77	18	16	13	0	1
"3415"	"RELL1"	2030	281	255	2647	421	319	2725	638	564	801	206	146	83	16	18
"3416"	"FAAH"	437	41	69	355	48	78	210	36	47	33	3	5	23	0	1
"3417"	"ANKS3"	1450	155	354	1208	159	307	485	93	156	61	7	21	102	8	6
"3418"	"NEK4"	5748	658	1025	7813	887	1168	6054	895	1169	1380	158	374	266	19	44
"3419"	"LOC645166"	37	3	6	26	5	9	21	7	2	0	0	0	0	0	0
"3420"	"LRRC56"	1222	91	217	923	73	151	536	53	96	118	7	16	17	7	8
"3421"	"ZRANB2-AS1"	167	25	69	203	44	75	99	48	42	48	20	26	16	3	6
"3422"	"VWA2"	6	5	2	4	1	0	0	0	0	0	0	0	0	0	0
"3423"	"ZSCAN23"	23	3	25	36	2	22	12	1	7	0	0	1	0	0	0
"3424"	"C17orf76-AS1"	158891	20023	33629	139013	19876	27669	86554	17307	18419	16490	2038	2227	8189	1166	1407
"3425"	"RIC3"	14	6	17	36	6	20	61	20	30	2	5	5	0	3	0
"3426"	"ANKRD10"	7391	850	1728	6035	715	1441	3082	565	780	838	168	251	427	50	88
"3427"	"MBD2"	8456	1439	1714	9823	1669	1683	8179	1502	1643	3898	823	742	584	69	92
"3428"	"XKR5"	51	7	6	27	5	2	20	5	4	0	0	0	1	0	0
"3429"	"TTC38"	13066	1036	2145	13667	1251	2088	9237	1183	1503	1641	184	238	400	33	81
"3430"	"PDGFRB"	15	7	11	21	6	10	29	7	15	4	0	0	2	0	0
"3431"	"C15orf44"	10358	1328	1691	10693	1507	1675	6806	1309	1217	2523	343	380	393	78	110
"3432"	"HIST3H2BB"	4	0	0	21	0	0	84	2	0	190	18	35	331	41	93
"3433"	"RGS14"	459	41	83	374	47	53	333	26	31	7	2	2	20	2	0
"3434"	"HNRNPH3"	31783	5464	5992	33395	6032	5804	24870	5437	5103	13727	2661	3185	1636	456	531
"3435"	"KPNA5"	1082	169	305	1007	147	259	371	117	153	120	17	30	115	7	7
"3436"	"SSBP1"	12209	2163	1998	13364	1985	2074	8325	1683	1700	3125	455	489	732	85	103
"3437"	"RASD2"	2	0	0	3	0	2	1	1	2	5	0	0	30	5	13
"3438"	"GPR27"	8	19	24	2	29	33	0	9	16	2	0	0	0	0	0
"3439"	"HIRIP3"	8848	806	1285	12032	1169	1636	12788	1501	1769	4246	671	921	218	56	67
"3440"	"FBXO22"	5290	890	1055	5634	921	1106	3625	823	997	1823	298	313	401	43	45
"3441"	"SLC25A14"	629	69	112	627	86	123	364	73	86	75	21	23	31	7	4
"3442"	"ATXN10"	20605	3147	3532	17759	2521	2853	10546	1961	2005	5792	701	859	1025	133	195
"3443"	"C15orf42"	11334	1343	2048	18839	2278	2456	22164	3541	3390	9862	1467	1590	354	97	126
"3444"	"SMCHD1"	29857	4949	5457	39185	6835	5868	31527	7804	6081	18990	3650	4072	1772	306	359
"3445"	"SMC2"	30384	4878	6482	50624	7562	7766	54395	10268	10951	40402	8330	10188	1065	569	708
"3446"	"TSEN54"	6043	494	1219	5606	593	1075	3287	448	694	1186	123	187	280	20	21
"3447"	"SEMA4F"	115	13	16	97	22	7	59	10	8	8	1	0	1	0	1
"3448"	"HARS"	24493	3389	4075	32448	4670	4805	25676	5037	4748	4696	666	715	1154	164	223
"3449"	"MAD1L1"	6125	794	1253	6152	1004	1215	6503	1069	1045	3273	409	467	306	45	52
"3450"	"TCN2"	350	33	42	292	32	36	268	23	42	33	7	5	7	2	1
"3451"	"NPR3"	3490	264	710	2398	222	448	736	74	123	2	7	2	66	32	55
"3452"	"GNAS-AS1"	112	6	10	85	5	12	52	6	13	4	0	1	0	0	0
"3453"	"LRIG1"	3404	199	516	2808	246	386	1476	215	262	386	47	53	96	9	11
"3454"	"HIST1H3H"	115	7	14	187	7	10	166	12	17	743	100	152	3871	382	690
"3455"	"HNRPDL"	24630	5474	5548	29396	6238	6744	16948	5435	5148	6319	1824	1903	1855	575	752
"3456"	"ZNF343"	2514	343	463	2710	386	547	1818	363	396	359	74	86	156	12	29
"3457"	"CCDC102A"	371	29	41	192	12	28	59	3	1	3	0	1	5	1	0
"3458"	"HSPE1"	3760	490	484	3605	449	550	1656	285	330	259	37	50	172	17	25
"3459"	"LOC100287042"	428	35	98	388	56	102	238	55	80	96	13	14	19	4	1
"3460"	"LEAP2"	88	10	26	152	22	30	111	17	24	40	9	7	2	2	0
"3461"	"IPO4"	16099	1614	2549	13470	1493	2268	5152	787	894	520	79	86	753	51	89
"3462"	"MIOS"	7141	1189	1375	7503	1305	1277	4664	1097	972	993	239	210	372	94	135
"3463"	"PPAN"	1097	96	217	1024	121	194	491	84	89	54	10	12	64	2	5
"3464"	"MIR181A2HG"	40	4	4	28	4	7	13	2	9	0	0	0	0	0	0
"3465"	"FAM63B"	1906	197	292	1844	271	242	1191	252	238	431	72	101	86	9	14
"3466"	"FBXO16"	84	7	7	47	7	3	11	1	0	0	0	0	0	0	0
"3467"	"CBX5"	70671	10293	12316	86286	14936	13316	79920	17253	15476	53056	6541	7659	3645	582	597
"3468"	"PHF10"	7344	864	1175	8701	1095	1320	6352	1086	1256	2532	441	445	317	47	63
"3469"	"ALG1"	3510	247	452	3131	319	464	1598	254	270	178	28	36	140	5	12
"3470"	"FAM117B"	5751	802	1049	2827	445	637	788	202	202	215	29	62	425	40	37
"3471"	"C19orf63"	6878	634	1054	5487	640	923	3282	516	612	1297	59	130	321	10	12
"3472"	"ATG14"	6806	970	1147	8009	1121	1301	7496	1341	1297	31954	7282	9581	76975	17094	21703
"3473"	"RALA"	5231	947	1321	4863	850	1152	2959	763	864	705	155	176	456	79	77
"3474"	"XPO5"	28037	2900	4238	26434	3527	3916	12645	2399	2273	6850	760	945	1485	84	96
"3475"	"YARS2"	6159	788	1122	5551	727	1000	2608	539	594	861	102	153	323	33	57
"3476"	"TRPC1"	229	38	29	384	73	60	306	65	43	60	12	6	5	1	4
"3477"	"PAICS"	67220	9695	11204	64439	10125	11131	26153	6080	6560	10345	968	1307	5007	200	259
"3478"	"POLE3"	50331	6348	8103	52612	7455	8045	25662	6191	5484	4267	818	765	2538	375	460
"3479"	"C17orf103"	12731	1180	1556	31366	2333	2331	62843	4797	5151	114781	17697	25270	195745	46816	65341
"3480"	"EMX2OS"	126	9	7	47	1	1	2	0	0	0	0	0	0	0	0
"3481"	"TTC30A"	552	106	82	550	130	75	366	96	32	62	8	10	22	5	5
"3482"	"LOC100506776"	160	18	15	83	11	13	41	3	2	4	0	0	3	0	0
"3483"	"TCF19"	12856	1079	1769	22738	2373	2489	23251	3267	3534	7687	1547	1703	230	112	133
"3484"	"C9orf100"	1975	350	400	4131	556	564	7350	1228	1131	2176	348	457	44	40	49
"3485"	"TRERF1"	269	17	32	167	19	14	62	4	7	8	0	0	4	0	0
"3486"	"SMARCE1"	17864	3231	3964	20474	3570	4036	15563	3500	3834	6938	1604	1692	1227	269	324
"3487"	"C12orf75"	273	15	73	141	8	34	84	13	15	4	1	4	10	0	1
"3488"	"EIF1AX"	9263	1930	2082	9547	2128	2127	5656	1789	1681	2243	715	468	811	132	215
"3489"	"OMA1"	4304	799	794	4552	774	820	2710	605	654	1127	194	229	306	44	47
"3490"	"NFXL1"	1725	223	319	1538	259	326	928	236	269	125	29	19	138	9	9
"3491"	"PINX1"	2659	310	448	2818	374	465	1578	323	319	203	37	30	174	7	13
"3492"	"TWSG1"	8162	1541	1969	7801	1406	1676	5427	1139	1430	2488	480	623	694	103	117
"3493"	"ANLN"	18020	3494	3426	34032	5140	4388	41577	7797	7063	21355	3365	4960	677	275	386
"3494"	"TRPV1"	709	81	140	634	71	131	321	69	89	82	10	21	38	2	7
"3495"	"TOP3B"	5818	495	1044	6665	768	1197	4782	862	907	1547	245	328	221	32	49
"3496"	"ATF7IP2"	2167	512	915	2097	480	803	1218	370	493	643	113	125	228	56	79
"3497"	"SPINT2"	18614	2142	2745	17687	2183	2463	16439	2136	2230	2367	501	410	606	142	168
"3498"	"ESYT2"	17113	2317	3081	19463	3098	3033	14561	2953	2752	4591	834	953	1056	107	149
"3499"	"RPS4X"	195776	25625	37500	198335	26001	33327	143261	24450	27644	46594	5656	5979	10428	1088	1471
"3500"	"ZNF134"	3838	417	697	3559	499	603	2746	464	534	1425	159	212	181	24	21
"3501"	"ADRBK1"	25705	2222	4392	25604	2774	4410	19046	2871	3404	8082	1107	1578	1129	106	128
"3502"	"PEX7"	1205	219	257	1319	224	239	1076	223	219	528	86	51	92	2	12
"3503"	"SLC35A1"	3263	470	593	3257	500	654	1847	445	442	600	123	122	209	29	34
"3504"	"CTCFL"	22	12	6	27	3	7	14	2	8	0	1	0	2	0	0
"3505"	"ERMN"	5	0	0	1	0	1	6	0	5	57	15	30	64	8	19
"3506"	"RNF11"	4309	820	1139	6831	1065	1207	11254	1582	1756	36810	10011	10964	31534	13648	17848
"3507"	"KPNA3"	21952	3799	4241	26254	4752	4364	18434	4747	4367	5937	1231	1315	1728	189	251
"3508"	"UTP6"	10002	1448	1888	10836	1735	1865	6329	1507	1487	1698	332	379	600	86	138
"3509"	"PIGB"	1802	307	358	1742	337	349	1367	281	282	414	38	68	93	7	34
"3510"	"POC1A"	8323	1071	1565	10486	1251	1718	11319	1551	1763	6099	792	1083	276	76	108
"3511"	"AGGF1"	8647	1446	1754	9204	1661	1739	6813	1737	1508	4136	868	858	533	133	128
"3512"	"SPR"	593	74	101	537	61	89	159	32	28	2	0	1	45	3	1
"3513"	"MEX3D"	2563	278	490	2538	342	539	1793	352	371	1551	232	384	128	21	21
"3514"	"YPEL3"	1852	133	356	3111	261	387	6605	343	563	25492	3743	6353	53327	6299	9374
"3515"	"CFL1"	80300	6802	11665	80499	8132	12014	56087	7810	9886	15614	2439	3159	2792	399	451
"3516"	"IDH3A"	5600	908	1071	5346	950	1096	2861	744	861	693	138	157	458	48	60
"3517"	"TIMM9"	6314	1262	1377	6368	1196	1278	3654	898	963	1093	142	155	575	44	61
"3518"	"TMEM150C"	9	2	2	1	0	0	0	0	0	0	0	0	0	0	0
"3519"	"R3HDM4"	10213	900	1844	11578	962	2065	14277	1061	2156	72464	9464	16965	177358	32360	45793
"3520"	"C10orf137"	7139	839	1199	7176	1024	1293	4421	971	916	1476	294	382	390	49	69
"3521"	"ERAP2"	9042	494	843	6809	481	665	3466	299	380	523	29	30	142	15	12
"3522"	"POU2F2"	54	10	8	128	18	19	229	22	17	340	78	69	766	176	257
"3523"	"C2orf61"	0	1	0	3	0	0	0	0	0	0	0	3	28	5	5
"3524"	"GRIP1"	13	4	4	2	0	2	0	0	1	3	1	2	0	0	1
"3525"	"DEPDC1B"	6755	1441	1342	12979	2015	1767	17655	3438	3318	8061	1553	1806	270	106	197
"3526"	"POGK"	4342	287	373	1866	142	198	431	67	28	53	13	7	131	3	7
"3527"	"SEPP1"	12	2	6	14	2	4	3	0	4	123	16	41	362	50	42
"3528"	"FAM26F"	127	31	8	65	17	4	16	14	2	3	2	2	2	1	1
"3529"	"ENO3"	447	40	75	302	28	56	117	28	24	37	1	4	11	0	4
"3530"	"ZNF827"	2401	163	286	2333	228	329	1471	179	282	482	31	79	45	7	13
"3531"	"ZW10"	8423	1128	1394	9926	1468	1586	6918	1493	1468	3413	696	709	398	79	109
"3532"	"CAB39L"	1091	254	256	1042	208	187	985	173	129	538	85	60	66	13	17
"3533"	"RCAN1"	3208	430	506	4382	560	638	3803	629	746	1982	362	431	125	36	33
"3534"	"EXOSC3"	5772	977	1116	6524	1097	1109	4212	961	1040	1917	316	467	375	58	83
"3535"	"PSIMCT-1"	1675	207	260	1947	287	254	1078	229	158	220	17	27	65	10	9
"3536"	"ELOVL5"	42209	8512	9589	45140	8319	9266	37894	7468	8252	23865	3901	4289	3619	409	520
"3537"	"LRP1"	80182	10422	5673	121883	21589	9676	94619	20135	10167	10236	625	415	1902	164	196
"3538"	"ERGIC1"	21961	2359	3566	16238	2091	2862	6777	1246	1276	1183	105	135	1128	71	98
"3539"	"SLC35E3"	1399	164	249	888	106	137	284	45	55	22	3	4	101	3	5
"3540"	"MST4"	13296	2579	3285	9846	2136	2474	4939	1343	1324	3364	667	668	966	229	347
"3541"	"LGALSL"	0	5	0	13	6	5	21	1	10	118	10	5	251	13	35
"3542"	"NSUN4"	8253	935	1454	8092	1147	1415	5869	1102	1157	1643	220	252	487	31	51
"3543"	"LSM6"	3884	652	746	4382	692	865	3044	584	652	1170	128	212	280	30	25
"3544"	"NAV1"	201	13	20	171	11	37	63	11	16	18	1	6	1	0	2
"3545"	"TNS3"	4315	251	515	2548	204	283	996	110	44	215	46	18	89	3	13
"3546"	"TMC5"	519	110	101	1078	184	97	2557	265	256	7451	932	1683	26600	1803	2515
"3547"	"COX16"	2176	253	287	1832	252	228	1285	174	202	448	41	47	87	7	9
"3548"	"TBCK"	4706	700	567	4095	685	520	2194	596	355	794	173	160	197	35	55
"3549"	"TAGLN2"	39474	2821	4613	33339	2864	4314	14667	1763	2054	892	164	191	1285	114	138
"3550"	"ANKRD54"	4974	520	873	5592	739	992	3987	782	857	1593	219	336	243	24	45
"3551"	"SNORD110"	282	13	60	339	29	79	110	29	43	10	1	6	6	2	1
"3552"	"SLC2A14"	5140	688	904	6272	778	866	6253	739	833	2252	302	565	167	45	66
"3553"	"ZDHHC23"	164	17	26	104	12	19	18	5	6	5	0	0	7	1	0
"3554"	"RUNX3"	1855	143	237	1624	128	164	724	84	78	159	9	12	31	5	8
"3555"	"L3MBTL1"	723	88	157	518	92	136	230	65	53	75	9	13	58	4	3
"3556"	"LDLRAD3"	1655	123	295	1186	135	197	380	65	46	13	2	1	79	6	3
"3557"	"CD81"	11551	893	1530	9981	890	1357	4590	533	658	489	44	71	415	24	32
"3558"	"MAP1A"	1512	68	97	1306	110	84	892	69	86	8142	981	1899	26567	4320	5095
"3559"	"TFAMP1"	568	72	66	491	86	71	246	76	59	36	11	26	40	1	3
"3560"	"MIR3916"	80	9	21	88	15	18	103	27	17	35	9	7	2	0	2
"3561"	"LIMA1"	4014	559	583	3445	509	476	1986	438	328	389	57	52	232	19	21
"3562"	"USP54"	3334	329	616	2952	432	484	1596	392	247	826	157	196	121	32	43
"3563"	"CMTM4"	872	114	73	671	94	41	257	58	42	138	27	11	26	2	3
"3564"	"FAM207A"	1789	185	308	1791	234	389	1129	215	219	407	50	80	117	3	8
"3565"	"TNPO3"	26410	3628	4449	26480	3922	4218	18778	3627	3314	9052	1474	1763	1373	192	280
"3566"	"ACBD7"	457	54	62	246	37	35	69	27	17	21	1	4	23	0	3
"3567"	"LRBA"	71111	8566	8703	61924	9602	6835	39932	7999	5140	17438	2850	1935	2231	443	562
"3568"	"MED24"	41679	4101	6291	45274	5442	7023	34797	5979	5990	9619	1423	1793	1505	260	358
"3569"	"RMND1"	2795	474	492	2528	462	425	1392	317	324	268	42	45	220	15	24
"3570"	"DSCR6"	6	2	2	1	0	1	0	0	0	0	0	0	0	0	0
"3571"	"RBPJ"	14567	2152	2719	13343	2411	2564	7818	1904	1925	3409	599	731	992	128	176
"3572"	"COMMD8"	2577	604	662	2585	599	647	1454	530	519	210	329	249	270	83	103
"3573"	"GOLGA6L5"	29	4	10	25	7	7	25	5	11	3	1	1	0	0	2
"3574"	"MIPOL1"	550	144	130	665	145	128	427	151	128	380	66	79	40	14	15
"3575"	"MANSC1"	1501	202	291	2688	348	359	3344	472	505	949	146	194	67	9	18
"3576"	"KIAA1524"	7601	1357	1449	12869	2098	2030	16566	2969	3269	10475	2212	2586	263	148	207
"3577"	"CNTRL"	8719	1182	1678	10742	1503	1672	9067	1508	1632	6107	1451	1417	334	118	156
"3578"	"BCCIP"	23892	4022	5233	23981	3973	4672	12852	2847	3370	4132	677	862	1813	232	323
"3579"	"TAZ"	5168	562	960	6137	752	1172	5283	878	1002	1679	221	298	258	29	39
"3580"	"ORMDL1"	4087	721	1048	4147	747	996	2951	749	821	1327	317	334	358	57	77
"3581"	"HEXA"	13748	1430	2052	10326	1262	1660	5134	907	1019	1030	121	138	698	51	61
"3582"	"LOC100125556"	203	26	18	165	25	25	69	10	6	7	1	0	2	2	1
"3583"	"PWP2"	13785	1451	2333	12569	1697	2090	6249	1128	1150	1748	267	253	668	90	81
"3584"	"PKIG"	8487	1078	1297	5273	844	934	2409	503	460	323	55	70	501	51	67
"3585"	"ARMC1"	10871	2506	2693	12709	2906	2892	10129	2968	2783	5521	1421	1351	1060	202	266
"3586"	"TMEM194A"	30937	3768	5575	38869	4821	5692	35180	5971	5761	14728	2485	3062	1467	220	305
"3587"	"POLG2"	2463	298	453	2098	336	523	1172	217	286	253	45	43	127	20	31
"3588"	"CASP7"	1522	218	223	1593	227	189	997	157	93	381	46	27	64	6	6
"3589"	"SERPINB6"	9709	739	1481	6744	498	973	3845	353	614	1232	91	239	356	18	25
"3590"	"PIK3CB"	12405	1864	2156	12128	2066	1862	7138	1672	1494	1778	293	343	900	70	103
"3591"	"FAM72A"	353	114	92	710	150	135	1067	255	246	426	103	134	19	11	20
"3592"	"BCL6B"	82	6	31	41	4	12	10	0	4	6	0	1	2	0	0
"3593"	"IPO9"	27763	2858	4240	33639	4000	4704	27730	4587	4603	12615	2058	2303	1078	172	222
"3594"	"GRPEL2"	5586	1199	1244	6944	1633	1532	5962	1638	1489	2821	537	695	479	88	116
"3595"	"ZNF136"	2142	344	463	2728	413	515	2029	458	526	1253	238	218	115	24	46
"3596"	"ITFG2"	3457	444	716	3435	506	641	1803	429	422	238	30	42	248	13	30
"3597"	"CRTC3"	12912	1479	2043	13752	1728	2024	12881	1633	1698	5992	781	613	535	69	64
"3598"	"MACF1"	25360	2472	2607	16710	2561	2142	6425	1366	1103	1378	105	153	1186	52	50
"3599"	"HEYL"	105	9	7	80	10	4	15	0	2	0	0	0	0	0	0
"3600"	"BSPRY"	5324	468	965	4002	401	574	2646	231	327	1510	245	195	155	23	42
"3601"	"AMN1"	312	57	83	302	66	79	240	86	80	82	19	19	29	4	7
"3602"	"FAM173A"	1259	127	295	1093	171	344	672	176	212	254	27	68	88	4	11
"3603"	"SPATA6"	88	10	20	36	7	4	23	2	7	2	0	1	5	0	0
"3604"	"KLHL7"	11114	2117	1978	14491	2502	2382	12034	2571	2735	3260	550	738	786	133	120
"3605"	"RASSF5"	5779	538	817	5131	496	592	2532	327	325	154	19	18	271	10	16
"3606"	"MELK"	9373	1337	1622	16935	2093	2160	20004	3155	3391	13145	2014	2533	244	132	167
"3607"	"ARHGAP11A"	15967	3701	3346	26052	4799	3743	30727	6688	5865	15694	3441	4641	716	402	505
"3608"	"TEX264"	3048	357	472	2584	320	452	1605	199	247	322	76	67	178	9	19
"3609"	"PPBP"	20	18	1	80	30	28	102	7	14	601	39	28	1212	113	174
"3610"	"CHKA"	12590	1222	2504	11089	1015	2093	5502	707	1058	2622	213	298	563	50	55
"3611"	"LOC284889"	1013	76	131	601	80	93	339	46	29	85	14	0	14	0	3
"3612"	"IL2RG"	1066	105	252	342	47	92	139	22	22	27	0	1	41	3	5
"3613"	"MRPL12"	17210	1817	2697	16106	2123	2872	7759	1501	1577	1187	137	192	880	78	103
"3614"	"CLIC5"	6	7	4	8	5	0	6	3	3	1	1	0	0	0	0
"3615"	"GFM2"	9728	1601	1766	11348	1956	1924	8496	2080	1893	3764	644	748	619	96	133
"3616"	"PIEZO1"	99156	9637	28275	79205	12097	24718	37019	8030	11537	21107	1653	3222	6774	472	664
"3617"	"C1RL"	601	97	127	719	90	138	1006	101	147	283	34	40	32	5	3
"3618"	"C12orf4"	5474	1052	1036	8887	1552	1209	8249	2024	1507	3807	809	749	262	83	123
"3619"	"EPS8L1"	286	42	83	227	30	35	128	14	26	24	2	2	15	1	3
"3620"	"KRBA1"	835	43	105	432	28	73	150	10	11	9	1	2	30	0	0
"3621"	"HSD17B8"	3908	432	593	3775	515	651	2462	388	415	549	57	55	200	6	22
"3622"	"GUSBP2"	68	4	15	76	5	17	31	11	20	19	7	3	0	1	0
"3623"	"NME6"	2304	170	293	1443	148	202	699	70	57	285	43	59	92	2	6
"3624"	"INO80E"	3920	367	722	3728	405	693	2801	355	507	856	126	204	169	18	32
"3625"	"TMEM185A"	575	45	102	497	42	64	270	47	46	60	1	3	14	1	1
"3626"	"NARG2"	15086	2039	2555	18415	2799	2899	14731	2974	2715	7634	1193	1246	748	131	156
"3627"	"PIR"	1641	169	241	1505	159	230	917	141	199	369	28	25	60	4	8
"3628"	"BEND4"	1239	70	88	564	30	23	136	14	4	6	2	0	16	2	0
"3629"	"RUVBL2"	42493	4493	6693	39294	5046	7007	24942	4292	4622	5883	733	1109	2060	223	279
"3630"	"FAM200A"	1619	282	291	1621	247	232	1028	241	204	579	71	103	117	9	13
"3631"	"ZNF673"	1016	163	258	1023	170	275	631	163	202	393	61	69	101	5	11
"3632"	"NCOA4"	48179	7481	7910	68809	9647	8002	99166	12562	11752	410048	75621	93957	680620	141275	179025
"3633"	"ATRIP"	4848	462	848	5471	549	855	4366	639	817	2140	308	374	211	29	26
"3634"	"CHCHD4"	2903	518	536	2251	402	467	843	204	248	173	30	33	346	10	12
"3635"	"TSPAN17"	37838	7315	8452	59808	10707	11521	49648	10907	10445	6688	1531	1337	2784	498	740
"3636"	"PGBD4"	609	101	158	564	129	216	279	121	126	136	33	26	42	9	25
