ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
MIR3150BHG	-3.123769976	4.328287661	-13.18487459	2.60E-05	0.004784818	3.487332279
PCSK9	-3.248899416	7.921295513	-13.0575604	2.73E-05	0.004979876	3.437146004
CACNA2D4	-1.946912819	6.815622823	-13.04783283	2.74E-05	0.004979876	3.433286123
LINC01366	-1.804997256	8.037386443	-13.01923515	2.78E-05	0.004979876	3.421917627
PCED1B	-1.840310829	7.298048437	-12.95445936	2.85E-05	0.005028138	3.396050799
TESMIN	-3.208459569	5.411584706	-12.94958402	2.86E-05	0.005028138	3.394097373
LINC00656	-1.532004719	6.368990418	-12.94740985	2.86E-05	0.005028138	3.393225939
FAM83A	-1.559305302	10.59009054	-12.90424033	2.91E-05	0.005068056	3.375885066
SLFN14	-1.535765142	10.83549066	-12.89352534	2.92E-05	0.005068056	3.371569687
SLC22A16	-2.749701836	6.500192123	-12.83570743	2.99E-05	0.005068056	3.348206406
CCDC144A	-2.020228339	4.327209074	-12.83067601	3.00E-05	0.005068056	3.346167079
TSPO2	-2.497046186	7.72070098	-12.82031707	3.01E-05	0.005068056	3.341965267
IQSEC3	-3.275258526	6.787431468	-12.79479494	3.04E-05	0.005090123	3.331594861
CSF1	-1.7553442	8.183268007	-12.70120973	3.16E-05	0.00518287	3.293347024
CCDC88B	-1.483704855	11.23291797	-12.69663537	3.17E-05	0.00518287	3.291468538
KLC3	-2.907973567	7.622817966	-12.6807574	3.19E-05	0.00518287	3.284941644
ARHGEF6	-1.395718281	10.0919839	-12.6636436	3.21E-05	0.00518287	3.27789539
MRC2	-1.627617923	8.212599894	-12.63563512	3.25E-05	0.00518287	3.266337994
S100A4	-1.947543564	10.4390813	-12.49991647	3.44E-05	0.005453144	3.209883452
CSF2RB	-1.968385193	9.600825623	-12.46963986	3.48E-05	0.005465562	3.197186294
PAQR9-AS1	-1.69089983	6.010401776	-12.45809401	3.50E-05	0.005465562	3.192334307
LINC01215	-2.450823271	8.420448664	-12.45358039	3.51E-05	0.005465562	3.190436018
RAP1GAP	-1.372370209	13.6801329	-12.42024762	3.56E-05	0.005480596	3.176391081
ATP8B3	-2.105896322	6.737646668	-12.37588374	3.62E-05	0.005522278	3.157626275
BTRC	-1.439326265	11.12360242	-12.31746734	3.71E-05	0.005578019	3.132791669
GPLD1	-1.54485558	7.897353578	-12.27981487	3.77E-05	0.005578019	3.116708075
SEMA4C	-2.034142312	7.968592508	-12.27898758	3.77E-05	0.005578019	3.116354016
NCF4	-2.902196304	7.057816161	-12.25551517	3.81E-05	0.005578019	3.10629628
PARP15	-1.900912753	7.50726803	-12.24980566	3.82E-05	0.005578019	3.103846256
MTUS2	-2.250195788	6.086488067	-12.15609403	3.98E-05	0.005746311	3.063433784
IKZF3	-1.679695069	4.15694244	-12.07634239	4.12E-05	0.005885724	3.028742661
TMC8	-2.247989253	7.86866556	-12.04741285	4.17E-05	0.005898593	3.016090065
PLVAP	-2.391767388	8.329474046	-11.99593708	4.26E-05	0.006001249	2.99348575
BBOF1	-1.925972844	8.419675122	-11.92583985	4.40E-05	0.006100372	2.962515738
KLHL30-AS1	-2.684908685	4.827563416	-11.92354155	4.40E-05	0.006100372	2.96149661
HSD17B6	-1.394812853	5.905785774	-11.90116743	4.45E-05	0.006129602	2.951563007
APOL1	-1.69864139	9.518097653	-11.83130445	4.58E-05	0.006258231	2.920400722
RAB3IL1	-1.354896483	11.90147605	-11.79905314	4.65E-05	0.006285576	2.905940689
NFYBP1	-1.45585692	3.387021768	-11.72851623	4.80E-05	0.006391091	2.874150017
SPI1	-2.309110245	6.722955249	-11.7098341	4.84E-05	0.006413381	2.865691885
HEMGN	-1.40884052	15.67068038	-11.66790121	4.93E-05	0.00647143	2.846648645
CNRIP1	-1.708238049	8.197045761	-11.65808893	4.95E-05	0.00647143	2.842180792
LAMB3	-1.743061929	8.536382487	-11.63046363	5.01E-05	0.006519197	2.829578075
HRAT92	-1.408580739	4.366237682	-11.57803465	5.13E-05	0.006612052	2.80556202
TMEM63C	-2.769510974	5.264837133	-11.53278474	5.24E-05	0.00665713	2.784730794
EPB42	-1.248643721	13.71513199	-11.39977004	5.56E-05	0.006941199	2.722933795
RHOH	-1.799355497	5.379491527	-11.35204867	5.69E-05	0.007030697	2.700556199
GPNMB	-2.043141445	5.669258792	-11.33800954	5.72E-05	0.007037717	2.693951954
TREML2	-1.514662205	11.26388917	-11.31602475	5.78E-05	0.007052781	2.683590684
TRDV2	-2.692271866	1.346135933	-11.24605758	5.97E-05	0.007157355	2.650458463
DPY19L2	-1.422830894	8.345601945	-11.201079	6.10E-05	0.007215176	2.629032146
ITSN1	-1.261688724	12.66783859	-11.20051474	6.10E-05	0.007215176	2.628762717
TRIB2	-1.354094723	8.69430531	-11.1913247	6.13E-05	0.007215176	2.624372305
FAM89A	-1.748916867	8.71652303	-11.17235493	6.18E-05	0.007248061	2.615296498
ACSL5	-1.51622651	9.054841321	-11.1439275	6.26E-05	0.007313547	2.601662248
FUT1	-1.259110794	8.60179884	-11.13331886	6.29E-05	0.007318739	2.596563829
BSPRY	-1.746974	9.371249927	-11.11177468	6.36E-05	0.007322352	2.586192527
TNXB	-1.311420426	10.15963247	-11.0941904	6.41E-05	0.007322352	2.577710228
IFIT3	-1.295546399	9.165348472	-11.07231911	6.48E-05	0.007322352	2.567138217
PEAR1	-1.716900605	8.049304739	-11.04111243	6.57E-05	0.007391736	2.552011845
GCNT2	-1.581263264	6.4443879	-10.96077168	6.83E-05	0.007415666	2.512841309
SPTA1	-1.252013406	16.41052868	-10.93405703	6.91E-05	0.007415666	2.499743149
PTH2R	-2.164188191	6.517839559	-10.91847589	6.97E-05	0.007415666	2.492086741
PIK3R1	-1.419696892	12.09482163	-10.91531023	6.98E-05	0.007415666	2.490529637
NKAIN1	-1.723308334	0.861654167	-10.90832646	7.00E-05	0.007415666	2.487092668
RPL21P37	-1.723308334	0.861654167	-10.90832646	7.00E-05	0.007415666	2.487092668
PRKAG3	-1.723308334	0.861654167	-10.90832646	7.00E-05	0.007415666	2.487092668
NCOA4P3	-1.723308334	0.861654167	-10.90832646	7.00E-05	0.007415666	2.487092668
APOA1	-1.723308334	0.861654167	-10.90832646	7.00E-05	0.007415666	2.487092668
IGLV3-21	-1.723308334	0.861654167	-10.90832646	7.00E-05	0.007415666	2.487092668
PKD1L3	-1.527767129	7.730463712	-10.86717559	7.14E-05	0.007513732	2.466789431
RCSD1	-2.421249271	8.560848429	-10.82924659	7.27E-05	0.007584154	2.447997658
ALDH3B1	-1.301227005	8.810742141	-10.75578185	7.53E-05	0.007739248	2.411384953
C6orf223	-1.796677446	6.874781312	-10.72424909	7.65E-05	0.007799644	2.395582369
APOBEC3A	-2.23158453	4.325577805	-10.71548555	7.68E-05	0.007803789	2.391181141
FLT4	-2.072627374	6.275253508	-10.68434586	7.80E-05	0.007855032	2.37550899
XACT	-2.044750883	8.287962278	-10.68159953	7.81E-05	0.007855032	2.374124308
LCP2	-1.368439351	9.583738676	-10.67920532	7.81E-05	0.007855032	2.372916838
HOMER3	-1.797947759	4.665376552	-10.65146913	7.92E-05	0.007879416	2.358906206
GPR65	-1.994181821	4.04018525	-10.64310112	7.95E-05	0.007879416	2.354671071
GNA15	-1.572117023	9.190908594	-10.60037324	8.12E-05	0.007958641	2.332987074
SEC14L4	-1.277950934	9.325084719	-10.56459032	8.26E-05	0.008041921	2.314751355
PTPRF	-1.747517325	8.362840769	-10.53838137	8.37E-05	0.008117323	2.301350411
APOL3	-2.312633758	6.928322315	-10.52413487	8.43E-05	0.008145637	2.294050227
CAPG	-1.790575956	8.814383253	-10.51364763	8.47E-05	0.008159092	2.288669238
RNF215	-1.247235573	7.380908894	-10.49122292	8.57E-05	0.008163905	2.277142834
C20orf202	-2.376427672	1.188213836	-10.46427874	8.68E-05	0.008207598	2.26325668
PATE2	-2.817070371	1.408535185	-10.45946791	8.70E-05	0.008207598	2.260773102
REPS2	-1.344814416	9.271586367	-10.42107567	8.87E-05	0.008336725	2.240907154
TNS3	-1.293206179	8.587918291	-10.41338627	8.91E-05	0.008340081	2.236918424
APOBEC2	-2.214306357	4.196082025	-10.38518593	9.03E-05	0.008402088	2.222261731
HNF4A-AS1	-2.543118873	4.402331911	-10.38483784	9.03E-05	0.008402088	2.222080536
CTSS	-2.416413704	5.133958624	-10.3526978	9.18E-05	0.008480456	2.20532119
TRIM67	-2.746246864	6.449396329	-10.32021737	9.33E-05	0.008568588	2.188325158
RHCE	-1.215541856	10.32274045	-10.30897747	9.38E-05	0.008568588	2.182429741
AHNAK	-1.202210045	11.7633115	-10.30534471	9.40E-05	0.008568588	2.180522795
MLXIPL	-2.715829204	3.081222936	-10.22932875	9.77E-05	0.008873493	2.140447077
BCL2	-1.338411049	6.201268777	-10.21767234	9.82E-05	0.008896483	2.134272517
TRIP6	-1.321332263	9.641412656	-10.18629391	9.98E-05	0.008975078	2.117612002
ERAP2	-1.544737142	6.784104304	-10.18361133	9.99E-05	0.008975078	2.11618503
SOX21	-2.96561231	5.15041116	-10.18086865	0.000100083	0.008975078	2.114725665
CACNA1H	-1.456276759	8.222894801	-10.13933473	0.000102219	0.009136778	2.092572245
LINC02037	-2.258789077	3.344013268	-10.12608688	0.000102912	0.009157595	2.085484958
ARPP21	-2.185712166	6.656607015	-10.07494528	0.000105638	0.00925849	2.058028992
HSPB1	-1.070892791	9.75921988	-10.03811001	0.000107654	0.009377502	2.038158147
UCA1	-1.138511458	9.71787536	-10.00512917	0.000109497	0.009448805	2.020298364
TGM2	-1.085514595	11.61982388	-9.984400988	0.000110675	0.009520499	2.0090405
KCNH2	-1.108982829	12.61259002	-9.967731994	0.000111633	0.009572895	1.999968629
CCDC144CP	-1.258181881	6.940483436	-9.949618089	0.000112685	0.009603095	1.990091505
PDE4A	-1.787131825	7.49195832	-9.932607313	0.000113684	0.009658205	1.980797937
C1orf105	-2.733703205	5.59275815	-9.919832354	0.000114441	0.009692495	1.973807077
CCDC136	-1.190867286	9.164677556	-9.875853532	0.000117092	0.009886518	1.949664986
RPL22P5	-2.60459373	1.302296865	-9.845967728	0.000118935	0.009980698	1.93319215
RNF43	-2.778150566	6.736416179	-9.814687615	0.0001209	0.010114705	1.915892315
RYR3	-1.24877192	10.98875962	-9.764513356	0.000124133	0.010291066	1.88801721
FRY	-1.194557992	8.877629375	-9.754164913	0.000124813	0.010316225	1.88224862
WIPI1	-1.256955577	8.544273565	-9.656572012	0.00013144	0.010734662	1.827518629
MICALL1	-1.391542014	9.156356256	-9.625937691	0.000133605	0.01081492	1.81021562
HLA-F-AS1	-1.978486583	4.348181824	-9.60219481	0.000135312	0.010888847	1.796764198
FN3K	-1.225151467	10.4508151	-9.578047077	0.000137074	0.010941122	1.783046648
HDAC7	-1.34587459	10.215611	-9.559797661	0.000138424	0.010978319	1.772655059
PLXNC1	-1.379156835	8.668507446	-9.539567964	0.000139939	0.011034657	1.761110939
SMIM5	-1.10963862	9.540425607	-9.527525913	0.00014085	0.011074656	1.754226642
TMEM72	-4.639621079	4.433093874	-9.495917406	0.000143274	0.011202104	1.736111992
ACP3	-3.244338441	3.452786919	-9.495747162	0.000143287	0.011202104	1.736014251
ITGAL	-2.255178249	2.958206823	-9.423313473	0.00014903	0.01147093	1.69425782
PLAAT4	-3.504904685	1.752452342	-9.390846084	0.000151692	0.01147093	1.67542984
HNF4A	-1.929206809	6.216719346	-9.363091658	0.000154012	0.01147093	1.659279935
PARP10	-1.33429475	9.112886156	-9.361881276	0.000154114	0.01147093	1.658574474
DYSF	-1.577625922	7.190675643	-9.35370165	0.000154807	0.01147093	1.653804504
TPSG1	-2.577600608	4.17605967	-9.353396318	0.000154832	0.01147093	1.653626362
PPP1R1C	-1.968963532	0.984481766	-9.334807557	0.000156419	0.01147093	1.642769416
RPL7P56	-1.968963532	0.984481766	-9.334807557	0.000156419	0.01147093	1.642769416
RN7SKP296	-1.968963532	0.984481766	-9.334807557	0.000156419	0.01147093	1.642769416
PCED1B-AS1	-2.328951956	5.624990295	-9.329570587	0.00015687	0.01147093	1.639706571
TRIM15	-1.166159941	4.997768792	-9.329503579	0.000156876	0.01147093	1.63966737
WNT5B	-1.555274389	7.586853327	-9.319679429	0.000157725	0.01147093	1.633916745
TRAF5	-1.627590821	6.804190168	-9.316554766	0.000157996	0.01147093	1.632086359
PLD1	-1.028555982	9.439820869	-9.302603695	0.000159214	0.011505089	1.623906062
BTN3A2	-1.016696786	8.452169699	-9.301385308	0.000159321	0.011505089	1.623191036
DPEP2	-2.382015966	5.141590997	-9.246286178	0.000164244	0.011701379	1.590751471
ZFP36L2	-1.229488479	10.69533358	-9.243189913	0.000164526	0.011701379	1.588922491
EPHB4	-1.254148916	10.17826229	-9.242404249	0.000164598	0.011701379	1.588458292
PGF	-1.23764004	6.303677528	-9.216416146	0.000166988	0.011779737	1.573080078
AKR1C1	-1.524101118	8.793081328	-9.20687786	0.000167875	0.011811973	1.567424418
PRKCH	-1.636865704	5.295250369	-9.162896781	0.00017204	0.01199043	1.541266121
ZNF165	-1.32704815	6.226956788	-9.146463593	0.000173627	0.012001239	1.531458391
FCHO1	-2.522614727	6.748467179	-9.135060422	0.000174738	0.012022508	1.524641822
ZBED6CL	-2.221819038	6.793376475	-9.129848934	0.000175249	0.012022508	1.521523534
PRX	-1.907162955	6.093787541	-9.101562557	0.000178052	0.01217635	1.504565803
ISG20	-1.130030334	10.03882971	-9.098293998	0.000178379	0.01217635	1.502602739
APOL4	-1.212577379	10.12531284	-9.076119966	0.000180618	0.012268138	1.489265721
STAR	-2.785440983	6.45380305	-9.062543407	0.000182005	0.012331826	1.481083
NIBAN2	-1.176883854	11.72923613	-9.030350345	0.000185344	0.012496374	1.461628656
SLC6A19	-1.461900522	6.957223654	-9.005476233	0.000187973	0.012635145	1.446547574
RGS3	-1.362662583	9.258661338	-8.99217468	0.000189398	0.012649984	1.438465079
PRRG4	-1.246472031	5.075936585	-8.99153652	0.000189466	0.012649984	1.438076998
ZDBF2	-1.317639201	7.795752644	-8.984472025	0.000190228	0.012670021	1.433778982
DEF6	-1.486755246	8.885117196	-8.954175121	0.000193536	0.012828095	1.415306522
STYK1	-2.413760586	5.533295808	-8.943824535	0.000194682	0.012867732	1.40898074
CMBL	-1.333527679	10.02777825	-8.939724526	0.000195138	0.012867732	1.40647291
MYH7	-1.773949666	5.295377312	-8.936007753	0.000195553	0.012867732	1.404198461
SLC17A9	-1.189552421	6.712859338	-8.931915978	0.00019601	0.012867732	1.401693397
MORC1	-2.3940605	3.573457922	-8.91489239	0.000197927	0.012932469	1.391258443
LINC02772	-1.098220946	12.3310031	-8.909026811	0.000198593	0.012932469	1.387658235
CBLN3	-1.708985571	4.980229629	-8.906489815	0.000198881	0.012932469	1.386100303
PIGC	-1.047715667	9.840615075	-8.889421725	0.000200836	0.013006358	1.375607083
IFITM1	-2.974037111	4.770934903	-8.823552809	0.000208596	0.013091714	1.334915687
TCN1	-4.367161104	3.240222219	-8.820931807	0.000208912	0.013091714	1.333290052
IL1RN	-1.880777627	6.063178828	-8.816150149	0.00020949	0.013091714	1.330323023
RPL36P2	-2.076272897	1.038136448	-8.814065332	0.000209743	0.013091714	1.329028871
SLC10A5	-2.076272897	1.038136448	-8.814065332	0.000209743	0.013091714	1.329028871
PTPRB	-2.043096234	6.427041661	-8.812623018	0.000209918	0.013091714	1.328133368
UCP3	-1.196090857	6.131722362	-8.762033691	0.000216164	0.013389379	1.296627772
HBM	-1.463084734	8.865221641	-8.740073426	0.000218943	0.013501136	1.282893345
ABCG2	-1.01677549	8.097300129	-8.706718327	0.000223244	0.013692224	1.261964533
RPS16P5	-2.655261428	1.327630714	-8.70207141	0.000223851	0.013692224	1.259042291
IRF6	-1.06567309	8.687072528	-8.700651753	0.000224037	0.013692224	1.258149213
KHK	-1.406437353	6.573579493	-8.694996689	0.00022478	0.013699139	1.254590244
OR2W3	-1.029473384	6.320709501	-8.688612103	0.000225621	0.013699139	1.250569311
CPB1	-1.873319307	4.025588501	-8.680270627	0.000226726	0.013703928	1.245311401
ACKR1	-1.531091091	6.751215987	-8.674261838	0.000227526	0.013722048	1.241520662
LRFN4	-1.849174549	6.294299569	-8.634852588	0.000232854	0.013981964	1.216592103
ARHGAP22	-1.731671994	5.484255273	-8.603248418	0.000237234	0.014213829	1.196516796
GNGT2	-1.243062647	6.12181195	-8.592254101	0.00023878	0.014244262	1.189515497
WT1-AS	-1.280591023	4.748543215	-8.566608674	0.000242433	0.014428686	1.173148783
ZSCAN5A-AS1	-1.485664272	6.459669099	-8.533608152	0.00024723	0.014527268	1.152014833
ALOX12B	-1.570030259	6.352838811	-8.476361793	0.000255819	0.014881431	1.115156629
GALC	-1.141273306	9.894050699	-8.472993663	0.000256335	0.014881431	1.112980226
EMP2	-1.398851614	5.901869245	-8.462311984	0.00025798	0.014881431	1.106072214
FAM124B	-1.577912221	6.051751771	-8.45902049	0.000258489	0.014881431	1.10394178
ZMIZ1	-1.047434392	10.22867821	-8.435317928	0.000262192	0.0149892	1.088575497
TNFRSF1B	-1.515776707	7.056354279	-8.409320064	0.000266326	0.015078074	1.071671142
CCDC73	-2.602451641	1.634559154	-8.392405129	0.000269056	0.015191716	1.060644479
MIR4432HG	-2.945467026	3.391029347	-8.381411272	0.000270849	0.01524531	1.053465737
TNFRSF14	-1.53709185	7.231162275	-8.365978383	0.000273388	0.015310303	1.043372462
MYO18B	-1.456132341	7.264420597	-8.359327941	0.000274491	0.015340766	1.039017248
TBC1D4	-1.060384707	9.501243398	-8.354682769	0.000275265	0.015352729	1.035973179
PRRT3	-1.219127969	6.562224316	-8.345447577	0.00027681	0.015407612	1.029916148
HPGD	-1.461601857	10.49091667	-8.339306678	0.000277844	0.015433821	1.025884838
NFILZ	-1.395666172	3.269248258	-8.334055338	0.000278731	0.015435443	1.022435142
PREX1	-1.195296711	9.331947453	-8.319258465	0.000281249	0.015468293	1.01270312
PIWIL3	-3.505971798	3.809627566	-8.31182843	0.000282523	0.015468293	1.007809803
RAG1	-2.742404935	3.609284307	-8.305942212	0.000283537	0.015468293	1.003930121
COL23A1	-1.391889431	6.527500753	-8.278938432	0.000288246	0.015650003	0.986096363
BST2	-1.176497461	9.262816766	-8.276086425	0.000288749	0.015650003	0.984209465
NRBP2	-1.481182054	6.494475766	-8.25837843	0.000291893	0.015708738	0.972479284
CNKSR3	-1.370916093	9.420678918	-8.255522435	0.000292404	0.015708738	0.970585063
KRT19	-1.193484439	9.854336532	-8.25220331	0.000292999	0.015708738	0.968382856
RPS6KL1	-1.401890259	10.43304535	-8.251655715	0.000293097	0.015708738	0.968019447
EVI2A	-1.871569948	3.325759974	-8.237625612	0.000295629	0.015813544	0.958700255
LINC01226	-3.516915595	2.620111964	-8.201151796	0.000302331	0.016078056	0.934399371
DRAM1	-1.026646934	8.093221774	-8.196081825	0.000303277	0.016097155	0.931012992
