ID	entrezID
ZFP14	57677
LRRC45	201255
PAK1IP1	55003
FKTN	2218
TGFB3	7043
B3GNTL1	146712
PLS1	5357
NBN	4683
KIAA1383	NA
CAPS2	84698
ATP6V0E2	155066
METTL21A	151194
SMS	6611
RFXAP	5994
CCND2	894
LOC100505633	NA
ADO	84890
ENPP4	22875
ZNF347	84671
ZNF677	342926
KCTD15	79047
A4GALT	53947
KLRG1	10219
TMEM168	64418
NUP210	23225
HEATR2	NA
ABCA2	20
KIF21A	55605
ZBTB24	9841
HOOK1	51361
TCTN1	79600
TMEM67	91147
RCN2	5955
NEURL	NA
KIAA1211	NA
AGPAT5	55326
MCM3	4172
XYLB	9942
ZC4H2	55906
PPA1	5464
MOCS2	4338
UBE2E2	7325
C14orf126	NA
TBC1D19	55296
OXCT1	5019
MARVELD2	153562
ZNF354C	30832
MTBP	27085
HELLS	3070
DSCC1	79075
PIGW	284098
CCDC138	165055
ZFP64	55734
GOLGA2P5	55592
LPCAT4	254531
HCG11	493812
CSGALNACT1	55790
NLE1	54475
PDSS1	23590
PICK1	9463
XRCC2	7516
ANKRD36B	57730
PRRG4	79056
MIS18A	54069
C22orf34	NA
ATAD5	79915
CHD1L	9557
MB21D1	NA
NT5DC3	51559
ALG10B	144245
PAX9	5083
WDR35	57539
MLH3	27030
ZNF491	126069
C1orf135	NA
IFNAR2	3455
RANBP1	5902
BCL2	596
AKAP1	8165
LY86-AS1	285780
SNORD87	641648
UBA5	79876
ETAA1	54465
COX18	285521
CHML	1122
C4orf27	NA
SAAL1	113174
FAM92A1	NA
HOTAIRM1	100506311
HENMT1	113802
WDR41	55255
DDX10	1662
BEND3	57673
LOC441666	441666
SPIN4	139886
GPT	2875
C9orf142	NA
TNFRSF1B	7133
SNRPD1	6632
NUFIP1	26747
MTX3	345778
EML2	24139
QTRT1	81890
RAD54B	25788
AGXT2L1	NA
ZNF695	57116
C3orf33	285315
DDX11	1663
ANKRD26	22852
FLT4	2324
LOC100507032	NA
ZBTB38	253461
TMX3	54495
HMGB1	3146
KCNIP4	80333
ANKRD36	375248
TRAF3IP2	10758
ECHDC2	55268
CDCA7L	55536
LOC728554	728554
SFXN2	118980
MRPL1	65008
SETD6	79918
S1PR4	8698
CLDN7	1366
CCDC57	284001
PAK6	56924
RCN1	5954
ZNF624	57547
SPICE1	152185
RIOK2	55781
ZNF439	90594
RASA2	5922
ARHGEF6	9459
LANCL1	10314
GSTA4	2941
CHST10	9486
AMT	275
LACE1	NA
METTL17	64745
NUP43	348995
THYN1	29087
FANCM	57697
RUVBL1	8607
RAD18	56852
C18orf1	NA
DUT	1854
TCEAL1	9338
FARSB	10056
C8orf38	NA
ZNF675	171392
ZNF141	7700
ITGA4	3676
PDE4A	5141
RFC4	5984
LRRC37A4	NA
ITGB3BP	23421
CCDC58	NA
NSMCE4A	54780
WDR89	112840
DPY19L2P2	349152
SHQ1	55164
TMCO4	255104
GBAS	NA
BPHL	670
RAP1GDS1	5910
LOC100506844	NA
LRRC20	55222
FGFR3	2261
APBA2	321
VMA21	203547
ZNF589	51385
EHHADH	1962
ZNF799	90576
ZNF32	7580
RFC2	5982
MCM4	4173
SLC12A9	56996
POLD3	10714
SPTSSA	171546
USP43	124739
PEG3	5178
DCTD	1635
C8orf37	NA
NAE1	8883
BCS1L	617
SLC25A40	55972
MKS1	54903
SFXN1	94081
DDHD2	23259
PTBP2	58155
NPM3	10360
BBS5	129880
ADH5	128
SLC25A21	89874
ZC2HC1A	51101
GALNTL6	442117
GTF2H2	2966
RPL22L1	200916
TUBGCP5	114791
GDPD1	284161
PNMT	5409
ISPD	NA
MAD2L1	4085
C6orf115	NA
TLE1	7088
ZNF816	125893
DTWD2	285605
FAM162A	26355
IRAK1BP1	134728
ZNF571	51276
FXN	2395
IFNGR2	3460
FA2H	79152
ERCC8	1161
MGMT	4255
LOC100128881	NA
MUC1	4582
TMEM161B	153396
NUP35	129401
BCKDHB	594
PSMG1	8624
NARS2	79731
LOC100505876	NA
CDC7	8317
PTPRVP	148713
SPATA7	55812
PI4K2B	55300
ACTR3B	57180
FUCA2	2519
EFHC1	114327
FBXO6	26270
VARS2	57176
NOX1	27035
SNTB1	6641
LOC90784	NA
ALDH3A2	224
BPNT1	10380
C1QTNF3	114899
MEG3	55384
PGAP2	27315
INTU	27152
DCTPP1	79077
FBXO36	130888
DBR1	51163
KHK	3795
SESTD1	91404
LYAR	55646
GOT2	2806
PNN	5411
VAV2	7410
DFFB	1677
ZNF714	148206
TGFBRAP1	9392
FAM213B	NA
ENOPH1	58478
GPR180	160897
ALKBH8	91801
OLA1	29789
TMEM218	219854
ZNF665	79788
CCDC51	79714
TCTEX1D1	NA
IMPACT	55364
PARP2	10038
CPQ	10404
KIAA0754	NA
ABCE1	6059
NUDT8	254552
GATA5	140628
LOC100130691	100130691
HFM1	164045
PPIL1	51645
GPAM	57678
KLHDC5	NA
LMNB1	4001
ZNF418	147686
FAM217B	63939
FAHD2B	151313
FOXH1	8928
MSH5-SAPCD1	100532732
PTPLAD1	NA
MRPS26	64949
UMPS	7372
FSD1L	83856
CEP41	95681
ALG8	79053
C15orf41	NA
FCHSD2	9873
TASP1	55617
CEP290	80184
FAM190A	NA
MIR17HG	407975
CHEK1	1111
PLEKHH2	130271
FNDC8	54752
SLC17A9	63910
CBWD1	NA
DPEP2	64174
C16orf59	NA
SLC22A16	85413
LRRC33	NA
PRDX3	10935
MEST	4232
CAD	790
FEZ2	9637
ANXA11	311
SHMT1	6470
KBTBD6	89890
RAD51D	5892
RNASEH2B	79621
METTL10	NA
KIF16B	55614
KIAA0101	NA
PIGU	128869
NME1	4830
SEPT7P2	NA
TRAF3	7187
MLKL	197259
ECHDC1	55862
TEFM	79736
LRCH1	23143
TTC27	55622
CPS1	1373
CEP57L1	285753
SRSF7	6432
DARS	NA
PRIM2	5558
PACRGL	133015
ZNF85	7639
C14orf169	NA
CHCHD6	84303
PRKX	5613
ZMYM1	79830
ZNF443	10224
PASK	23178
DEPDC7	91614
1-Mar	NA
RAD51B	5890
HSDL2	84263
DGKA	1606
CNIH	NA
PRMT7	54496
LOC100507053	100507053
CCDC125	202243
CNTLN	54875
QTRTD1	NA
LOC220729	NA
TOMM40L	84134
BLM	641
ATG4C	84938
WDHD1	11169
PARVB	29780
SPAG4	6676
PRPS2	5634
LOC389906	389906
PTPN7	5778
C14orf142	NA
ENOSF1	55556
SLC39A8	64116
FDX1	2230
SNRPF	6636
COIL	8161
LOC344595	NA
NOC3L	64318
GPATCH4	54865
FAM65A	NA
MRPL16	54948
EME1	146956
CHN2	1124
DTNB	1838
PPM1F	9647
SLC16A7	9194
METTL8	79828
GPR155	151556
LYRM7	90624
ZNF826P	664701
FGGY	55277
ZNF257	113835
IVD	3712
SRFBP1	153443
UCK2	7371
PQLC3	NA
C7orf46	NA
THOC3	84321
ESD	2098
MYBBP1A	10514
CBX2	84733
RIBC2	26150
ABHD10	55347
PCCA	5095
SSH3	54961
SLC26A6	65010
KCTD3	51133
LOC654342	NA
TGDS	23483
DTWD1	56986
SNORA6	574040
PLEKHA5	54477
C17orf69	NA
TMEM48	NA
BTBD3	22903
RDH13	112724
MND1	84057
GINS2	51659
RAG1	5896
WDR52	NA
LOC729234	NA
APITD1	NA
DOCK5	80005
GLT25D1	NA
DUS4L	11062
ZFP3	124961
NUP107	57122
BRCC3	79184
GEMIN4	50628
SLC39A10	57181
FAM216A	29902
MRPL3	11222
CCDC150	284992
GTPBP3	84705
RBFA	79863
PPP4R1	9989
C16orf88	NA
LOC100506123	NA
ZNF678	339500
C17orf58	284018
COPG2	26958
TWISTNB	NA
CSTF2	1478
LTV1	84946
FASTKD3	79072
HAUS1	115106
ZNF551	90233
L3MBTL3	84456
TTLL1	25809
WDR90	197335
IDH2	3418
LPCAT3	10162
CCDC102B	79839
TIMM21	29090
ZNF501	115560
DHODH	1723
EXD2	55218
RTN4IP1	84816
VRK2	7444
ULK4	54986
CCDC15	80071
FANCA	2175
GSTM2	2946
DCAF17	80067
FAR2	55711
CTPS	NA
LOC143666	143666
FAM127C	NA
ZNF559	84527
RNF138	51444
PRIM1	5557
SNORD88B	692203
TMEM237	65062
FAM188B	NA
ARHGEF1	9138
TCERG1	10915
EPN3	55040
ZHX3	23051
RNGTT	8732
FAM195A	NA
SASS6	163786
KANK1	23189
ZNF167	NA
IPW	3653
FUT10	84750
ALG6	29929
SNORD29	9297
C16orf73	NA
POLB	5423
ZNF542	NA
TMC8	147138
ZNF254	9534
ZNF22	7570
TCF4	6925
C6orf57	NA
USP18	11274
FAM98B	283742
GSTT1	2952
PAFAH1B3	5050
SCFD2	152579
AP3M2	10947
SPRY2	10253
DTL	51514
VPS45	11311
ORC5	5001
MRPS25	64432
THUMPD2	80745
MTX2	10651
SFI1	9814
DGCR6	8214
ZNF684	127396
ZNF138	7697
PEX3	8504
RBM43	375287
AGL	178
POLA2	23649
MMS22L	253714
MYLK3	91807
POLR1E	64425
PPIEL	728448
FAM24B	196792
PKN3	29941
ITM2C	81618
ARHGAP10	79658
CD320	51293
DERL3	91319
HOXB4	3214
DUS2L	NA
DOK3	79930
ZNF367	195828
INTS7	25896
HECTD2	143279
HOXB3	3213
LSM5	23658
CCDC152	100129792
NDFIP2	54602
LOC439949	NA
MAK16	84549
PUS1	80324
BCAT1	586
APOA1BP	NA
CEP19	84984
PARP1	142
SUPT3H	8464
LZTS2	84445
NF2	4771
GSTM4	2948
RFC1	5981
DTX3	196403
KNTC1	9735
MPPE1	65258
ZNF525	170958
SEPT11	NA
OBFC1	NA
C10orf11	NA
CDC6	990
SNRPE	6635
HEATR6	63897
CARS2	79587
C4orf21	NA
RRP15	51018
GPD1L	23171
GNAI1	2770
EXOSC8	11340
RAD54L	8438
ADD2	119
HES5	388585
GPAT2	150763
SARS2	54938
ZNF239	8187
S100A6	6277
SCML2	10389
WDR3	10885
AGK	55750
ATR	545
HDHD1	NA
CYR61	NA
UHRF1	29128
RRP9	9136
CDT1	81620
PDCD11	22984
GTF2H3	2967
TEX15	56154
EEF2K	29904
NASP	4678
CSE1L	1434
QRSL1	55278
ZIK1	284307
THOC1	9984
ZRANB3	84083
GSTCD	79807
ZNF573	126231
MEX3B	84206
CDC45	8318
CRLS1	54675
GUSBP1	728411
HAUS4	54930
ZNF737	100129842
TRDMT1	1787
TPMT	7172
KAT2A	2648
ATP5G1	NA
GCA	25801
FIGNL1	63979
TAF9B	51616
TSEN15	116461
ZNF608	57507
ZNF527	84503
LOC286367	NA
CABIN1	23523
HAUS5	23354
MRPL17	63875
NOB1	28987
C6orf203	NA
C20orf112	NA
RBL1	5933
TRIP6	7205
ACYP1	97
RRS1	23212
PHYH	5264
UTP20	27340
ZNF713	349075
FBXO45	200933
KIAA1841	NA
ZNF724P	NA
IQCG	84223
CBWD6	NA
TMEM209	84928
DNMT1	1786
URGCP	55665
PJA1	64219
ZNF620	253639
MRPL15	29088
AARSD1	80755
PDXP	57026
GALK1	2584
CRB2	286204
OXTR	5021
ORC6	23594
CHEK2	11200
LIN28B	389421
ENPP3	5169
EXOSC2	23404
ZNF91	7644
CLN6	54982
NUP160	23279
PSMG4	389362
NUP85	79902
C15orf29	NA
NMT2	9397
TRIP13	9319
IBTK	25998
DEPDC4	120863
YAE1D1	NA
CEP78	84131
FAM210A	125228
OTUD6B	51633
NOP58	51602
GMDS	2762
WDR36	134430
LEO1	123169
CISD3	284106
RINL	126432
TMEM45A	55076
C9orf64	NA
FASTKD1	79675
CASP8AP2	9994
NUP205	23165
ELMOD2	255520
RPUSD4	84881
SEPT8	NA
PPIF	10105
MTHFD1	4522
C8orf33	65265
ZNF107	51427
MTFP1	51537
KDM1A	23028
ZNF780B	163131
HNRNPA1L2	144983
ZNF736	728927
PIGX	54965
LOC401397	NA
PIAS2	9063
PAQR4	124222
DMBX1	127343
ZNF626	199777
ADAM22	53616
DGCR6L	85359
C11orf82	NA
AK2	204
ZDHHC18	84243
NDUFAF4	29078
MIR570	693155
C5orf24	134553
CCDC43	124808
YEATS4	8089
RPGRIP1	57096
KIAA0664	NA
GTF2H4	2968
ATP5G3	NA
MGC57346	NA
ANO5	203859
ZNF605	100289635
TFB1M	51106
GPHN	10243
ATIC	471
TMEM206	NA
TBC1D2B	23102
NOP56	10528
C1orf201	NA
CCT6P1	643253
TPK1	27010
C1orf216	127703
ACY1	95
RRP1B	23076
FAM123B	NA
ACSL4	2182
PEBP1	5037
C19orf48	NA
RTTN	25914
UACA	55075
TIA1	7072
NUP37	79023
SRD5A3	79644
INPP5F	22876
PIGM	93183
POGLUT1	56983
SRPK1	6732
SNHG8	100093630
COMMD10	51397
MRM1	79922
GEMIN6	79833
ATP8A1	10396
GOLM1	51280
KDM2B	84678
ZNF572	137209
TTC3	7267
PPIH	10465
PKIA	5569
LOC401074	NA
TRUB1	142940
ZNF717	100131827
ZNF25	219749
CDK2	1017
TMEM70	54968
AGPS	8540
UBR7	55148
UFL1	23376
ZBTB25	7597
CDC25A	993
PSTPIP2	9050
TEX9	374618
SRP9	6726
LRRCC1	85444
ALDH4A1	8659
ACSS1	84532
POLA1	5422
KLRAP1	NA
ESF1	51575
LOC284385	NA
MTERFD3	NA
ZNF10	7556
PTPMT1	114971
C2orf43	NA
GEMIN2	8487
ADSSL1	NA
MTMR8	55613
MCM2	4171
ZNF512	84450
SMPDL3B	27293
NUP155	9631
SLC35D1	23169
KCNH6	81033
PTCD3	55037
ZYG11B	79699
ZNF815	NA
LRP3	4037
HCN3	57657
TM7SF3	51768
LSM11	134353
MPV17	4358
LOC344967	344967
SDHAP1	255812
SPCS3	60559
CCDC76	NA
LOC440288	NA
SNRNP40	9410
ATP5G2	NA
RPL23AP53	644128
NDUFV1	4723
CYB5RL	606495
ZFP161	NA
NME2	4831
CACHD1	57685
MANBA	4126
TBC1D5	9779
LOC100288198	NA
TAF1B	9014
ZNF90	7643
THG1L	54974
ANKFY1	51479
TRAP1	10131
PCNA	5111
LOC100129858	NA
NUDT13	25961
NME4	4833
MRPS27	23107
TCHP	84260
CPSF3	51692
MARS2	92935
ACOT7	11332
TMEM109	79073
PTCD2	79810
SLC25A17	10478
ZNF26	7574
AFMID	125061
TMEM143	55260
ZNF280D	54816
IQCB1	9657
DDX31	64794
CCDC109B	NA
LOC642846	642846
PM20D2	135293
FASN	2194
ULK2	9706
POLR1A	25885
ALG10	84920
LIN9	286826
SLC2A11	66035
KLHL7-AS1	NA
BOLA3	388962
EIF2B3	8891
TTF2	8458
C6orf170	NA
AARS2	57505
C7orf44	NA
LOC100294145	100294145
DNAJC24	120526
MLF1IP	NA
ZBED3	84327
RPRD1A	55197
DHX57	90957
NUDT21	11051
ZNF431	170959
GINS4	84296
PPIA	5478
DOCK8	81704
NFYB	4801
KIAA1328	57536
PGAP3	93210
URB2	9816
PREX1	57580
AADAT	51166
MCM8	84515
ACAD11	84129
PRR19	284338
GNPDA2	132789
HPRT1	3251
MRPL19	9801
WDR75	84128
EEPD1	80820
MITF	4286
IPO11	51194
GNPAT	8443
MRTO4	51154
RNASEH2A	10535
SRSF1	6426
PKD2	5311
SP140L	93349
SNORD94	692225
PPP5C	5536
ZNF180	7733
TCTEX1D2	NA
EXO1	9156
FN3KRP	79672
FUT8	2530
ERCC6L	54821
TUBGCP4	27229
LOC100506730	100506730
FAM165B	NA
MYD88	4615
TRIM65	201292
ZNF880	400713
SMC5	23137
SLC35A3	23443
ANAPC1	64682
RUNX1	861
DERA	51071
FKBP3	2287
CEP135	9662
HAT1	8520
KIAA0020	NA
RPS6KA1	6195
PTER	9317
SLFN13	146857
CCDC22	28952
TIMELESS	8914
SMARCB1	6598
EPDR1	54749
RPL10A	4736
KCNH2	3757
CNOT10	25904
SLC10A7	84068
CLSPN	63967
NCKAP1L	3071
ORC1	4998
ZNF528	84436
CHTF18	63922
FCGRT	2217
NNT	23530
LIPT2	387787
WDR60	NA
ZNF154	7710
TFAM	7019
FH	2271
LOC728613	NA
ZNF35	7584
DROSHA	29102
LCP1	3936
SNHG1	23642
MTA3	57504
OSBPL3	26031
FAR1	84188
IQSEC3	440073
CASC2	255082
ZSCAN12	9753
C3orf39	NA
UCHL5	51377
MFI2-AS1	NA
MKL2	NA
ZNF43	7594
MCTP2	55784
WWOX	51741
ZNF718	255403
SLC23A2	9962
LRRC8B	23507
KIAA1704	NA
SLC25A35	399512
ZCCHC4	29063
MTA1	9112
DOCK7	85440
SNRNP48	154007
MAGEH1	28986
UGGT2	55757
ANAPC5	51433
HNRNPU-AS1	NA
DANCR	57291
NCLN	56926
SLC19A2	10560
FTO	79068
FASTKD2	22868
FAM185A	222234
PHF14	9678
HNRNPAB	3182
RAB33B	83452
ZDHHC24	254359
HSH2D	84941
PPM1H	57460
LEPR	3953
ENGASE	64772
ARL6IP6	151188
POLR1B	84172
WDR76	79968
UBE2Q2P1	388165
CCDC88A	55704
PRICKLE3	4007
SLC35B4	84912
RNF219	NA
BRIX1	55299
ADAMTS14	140766
TCEAL3	85012
PTMA	5757
RARG	5916
WDR43	23160
LCLAT1	253558
LOC92249	NA
DYRK4	8798
CIRH1A	NA
SLC9B2	133308
DENND1B	163486
ZNF84	7637
PLK4	10733
ZNF607	84775
TRAK1	22906
MRPS35	60488
NUDT6	11162
HAUS6	54801
MRPL30	51263
FLJ33630	NA
AVEN	57099
ALG5	29880
METAP2	10988
NUDCD1	84955
HAUS7	55559
SIKE1	80143
RRM1	6240
CSPG5	10675
ZNF92	168374
LOC257396	NA
SPAG16	79582
FAM76A	199870
GALNT1	2589
SLC25A13	10165
WDYHV1	NA
TCOF1	6949
DDX12P	440081
PDGFA	5154
LCAT	3931
ZWINT	11130
C22orf46	NA
SCRN3	79634
KIAA0664L3	NA
ALKBH3	221120
ACACA	31
ZNF600	162966
ANGEL2	90806
ANKRD39	51239
ACOT9	23597
SCP2	6342
MYO19	80179
WASF1	8936
IPO5	3843
KIAA0146	NA
C11orf1	NA
ZNF331	55422
DDX51	317781
RPL22	6146
FAM86DP	692099
URB1	9875
TMBIM4	51643
F8	2157
MECR	51102
SH3TC2	79628
YEATS2	55689
ZNF221	7638
PRRT1	80863
C7orf31	136895
PELP1	27043
WDR12	55759
LIG1	3978
C15orf58	NA
BTN3A2	11118
ENG	2022
STK3	6788
PIGF	5281
ZNF83	55769
RIF1	55183
SNX10	29887
PARN	5073
ACD	65057
IQCH	64799
WHAMMP3	339005
CCDC88C	440193
MKI67IP	NA
KIF20B	9585
GXYLT1	283464
ZNF761	388561
HEATR3	55027
FANCC	2176
FBXO4	26272
C22orf29	NA
MRPL11	65003
IQCK	124152
CISD1	55847
NMNAT3	349565
MRI1	84245
CCDC34	91057
LYSMD1	388695
NOP14	8602
SRSF2	6427
HAUS3	79441
LOC550112	NA
IFT172	26160
TBC1D1	23216
CCDC6	8030
DLG3	1741
SUSD1	64420
SHISA3	152573
IPO7	10527
FHL3	2275
SLC15A4	121260
MTCP1NB	NA
SPATA5	166378
HACE1	57531
SRM	6723
DPF1	8193
THUMPD3	25917
DONSON	29980
XRCC3	7517
PLAGL1	5325
TRIT1	54802
ZNF121	7675
METTL18	92342
LOC100130950	NA
COX11	1353
NDRG3	57446
TPRKB	51002
TRMT61B	55006
ZNF320	162967
METTL16	79066
EID3	493861
ABCD3	5825
IER3IP1	51124
ZNF788	NA
CCDC61	729440
FAM48A	NA
SLC16A13	201232
TSSC1	NA
DDX18	8886
ADK	132
ZNF813	126017
ITM2A	9452
SLAIN1	122060
CHIC1	53344
ZFP62	643836
FAM54A	NA
ANAPC10	10393
HOXA4	3201
CRYL1	51084
COX5A	9377
TIGD4	201798
EHD4	30844
MRS2	57380
ZNF449	203523
BRIP1	83990
EXOSC7	23016
CHRAC1	54108
GTF2F2	2963
ISOC1	51015
PRKAR2B	5577
C10orf2	NA
CSTF2T	23283
RTEL1	51750
MRPL39	54148
ARMC2	84071
DNA2	1763
TTC32	130502
RPL23AP82	284942
NOM1	64434
LOC100506023	100506023
TRNT1	51095
PDGFC	56034
TRIM45	80263
SRPRB	58477
CRTAP	10491
NONO	4841
RECQL4	9401
RPUSD2	27079
RIMS3	9783
ZNF829	374899
RSAD1	55316
NFS1	9054
AHCY	191
IFFO1	25900
ARL9	132946
ARHGEF9	23229
PTGR1	22949
PPIL3	53938
IMPDH2	3615
ECI2	10455
LACTB2	51110
KIAA0391	NA
RWDD4	201965
ANP32A	8125
ASL	435
POFUT1	23509
IKBKAP	NA
FBXO21	23014
UBE3D	90025
SPATA20	64847
LETMD1	25875
DNAJC10	54431
SMAD5	4090
GPATCH1	55094
LIAS	11019
SLC12A4	6560
POLD1	5424
C20orf96	140680
NUP54	53371
ASRGL1	80150
UBXN8	7993
DNAJC19	131118
LOC100506660	NA
SNAPC3	6619
THOC6	79228
BUB1B	701
SDAD1	55153
HNRNPA1	3178
WARS2	10352
TMEM161A	54929
TRIM35	23087
DHRS4L2	317749
NSF	4905
RFC5	5985
INTS10	55174
RANGRF	29098
ATAD3A	55210
ROCK1P1	727758
LAS1L	81887
PAPSS1	9061
MTERFD1	NA
SNRPB	6628
TLN2	83660
ZNF273	10793
SIGMAR1	10280
ACTL6A	86
ZNF549	256051
LOC729176	NA
CCDC50	152137
DCLRE1A	9937
IPP	3652
CCNE2	9134
TCTN3	26123
LOC338739	NA
TARS2	80222
RBMX	27316
ECE1	1889
DMC1	11144
RHOBTB3	22836
EARS2	124454
TRAIP	10293
LRRC40	55631
LCA5	167691
TTC12	54970
SNORA62	6044
DCBLD2	131566
ZNF836	162962
DHFR	1719
ANKRD28	23243
IPO8	10526
COX6B2	125965
LIPA	3988
TMEM19	55266
DDX1	1653
DHX58	79132
NUCKS1	64710
ZNF486	90649
CCDC14	64770
ZNF430	80264
RPF2	84154
NDUFS5	4725
CNPY3	10695
PHC2	1912
CLSTN1	22883
ALG9	79796
TONSL	4796
PIBF1	10464
NUP93	9688
ZNF256	10172
AGAP2	116986
LOC284440	NA
AGAP3	116988
ZNF28	7576
FANCB	2187
MCPH1	79648
FAM178A	NA
KIAA1279	NA
SNAPC1	6617
DEM1	NA
DPY19L2P1	554236
XRCC4	7518
TRIM37	4591
NANOS1	340719
IL27RA	9466
LZTR1	8216
C22orf40	NA
GMNN	51053
MDN1	23195
TADA1	117143
WWC2	80014
SMC6	79677
TMEM5	NA
STXBP4	252983
VRK1	7443
IAH1	285148
ZNF16	7564
SETDB2	83852
IFT46	56912
SKA3	221150
TBC1D24	57465
ANKRD16	54522
SUV39H2	79723
FDXACB1	91893
IL12RB2	3595
PRMT6	55170
TRAF3IP1	26146
SLC2A13	114134
ALYREF	10189
TMEM185B	79134
DNAJC15	29103
PAX6	5080
LRPPRC	10128
TEX30	93081
RABL5	NA
ZNF649	65251
ZNF518A	9849
DSN1	79980
EP400NL	NA
NIPAL3	57185
ACTR1B	10120
ICMT	23463
CEP250	11190
FAM213A	NA
REPS1	85021
TMEM14C	51522
ZNF223	7766
ACADM	34
ABCC10	89845
ZWILCH	55055
PGC	5225
MTHFD1L	25902
PHB	NA
PREP	5550
MTERF	NA
CREB3L4	148327
LMNB2	84823
RAD51C	5889
APAF1	317
MAGOHB	55110
METTL2A	339175
IGSF3	3321
ENDOG	2021
UPRT	139596
NCBP2	22916
HKR1	NA
RANBP6	26953
PRKCQ	5588
ZNF702P	79986
ZNF561	93134
KIAA0195	NA
TADA2A	6871
PER2	8864
SSRP1	6749
SLC43A3	29015
UXS1	80146
DUSP2	1844
INPP4A	3631
TMEM62	80021
ANKRD36BP1	84832
EVL	51466
PRELID2	153768
MRPS33	51650
TICAM2	353376
MRPL13	28998
MMACHC	25974
NOP2	4839
RBMX2	51634
RAI1	10743
ADCY7	113
ADAM1	NA
GLOD4	51031
FANCI	55215
NSUN5	55695
PALB2	79728
