ID	entrezID
DIAPH3	81624
RIMKLB	57494
SFR1	119392
KIF18B	146909
CEP120	153241
STAG1	10274
CEP89	84902
MED7	9443
SLIT2	9353
PGRMC2	10424
AGA	175
MTHFD2	10797
SMC3	9126
TMEM175	84286
APOBEC3G	60489
C2orf69	205327
RACGAP1P	NA
KATNAL1	84056
WHSC1	NA
CD300LB	124599
NCAPG2	54892
ZNF556	80032
SNORA28	677811
ARL5A	26225
PPCDC	60490
RMI2	116028
GAS2L3	283431
TMEM41B	440026
SMC4	10051
MICB	4277
FCGR1A	2209
CENPO	79172
ADAM9	8754
NDC80	10403
IQGAP3	128239
KIF14	9928
FAM72D	728833
PSAT1	29968
CDCA8	55143
TACC3	10460
SPPL2A	84888
KIF20A	10112
RGS5	8490
JDP2	122953
PRICKLE2	166336
PDE4C	5143
SKA2	348235
GTDC1	79712
LOC100271702	NA
CABLES2	81928
CD47	961
ASF1B	55723
DBF4	10926
SCLT1	132320
SPA17	53340
C15orf23	NA
WDR62	284403
LINC00467	84791
ARHGAP11B	89839
HLA-F-AS1	285830
CARD16	114769
KIF23	9493
CARD8	22900
LRRC8C	84230
RRM2	6241
CETN3	1070
WDR34	NA
ABI2	10152
UHRF1BP1	NA
PSRC1	84722
CKS1B	1163
LBR	3930
KIFC1	3833
BORA	79866
OXR1	55074
SLC25A16	8034
PLK1	5347
LCTL	197021
CD58	965
C12orf32	NA
SAMD1	90378
CASC5	NA
INCENP	3619
FGD2	221472
LOC153684	NA
LOC400680	NA
LDB3	11155
SIDT1	54847
H2AFV	NA
HMGB2	3148
COL24A1	255631
ODF2	4957
CD200R1	131450
MIR636	693221
TM6SF1	53346
LOC100127983	NA
ATP6V1B1	525
FCGR2B	2213
LOC100859930	NA
PIF1	80119
HHATL	57467
KIF2C	11004
FERMT2	10979
C17orf108	NA
SBF2	81846
C1orf96	NA
HDGFRP3	NA
MIS18BP1	55320
FGFR1OP	NA
LOC100130992	100130992
TMEM98	26022
OAS3	4940
CENPE	1062
BDNF-AS1	NA
SETBP1	26040
KIF11	3832
CCNA2	890
TUBA1B	10376
PAQR3	152559
RANGAP1	5905
LOC400657	NA
EPRS	NA
CCDC167	154467
PDZD11	51248
GSDMD	79792
GNB3	2784
THEGL	100506564
PRR11	55771
RAB27A	5873
HOXB5	3215
CTSZ	1522
POC5	134359
DNAH6	1768
KLF10	7071
ASPM	259266
ARHGEF19	128272
STK31	56164
LMF2	91289
CIT	11113
SYBU	55638
TDRKH	11022
BRD7	29117
APBB1	322
SPHK1	8877
CENPN	55839
C14orf80	NA
CROCCP2	84809
SUV39H1	6839
HEATR7A	NA
TPPP	11076
LOC401320	NA
MYBL2	4605
RAD9B	144715
KIF4B	285643
UBE2C	11065
SNX9	51429
CA2	760
NEK2	4751
TEAD1	7003
NUDT1	4521
KIAA1009	NA
KIF4A	24137
MTMR6	9107
FNIP2	57600
AKIRIN2-AS1	NA
FAM200B	285550
SLC22A14	9389
USP2	9099
NUSAP1	51203
LIPE	3991
TROAP	10024
ECT2	1894
HP1BP3	50809
CDK5RAP2	55755
CKS2	1164
RAD54L2	23132
C18orf56	NA
NAPRT1	NA
DMXL1	1657
TMPRSS13	84000
ALDH1L2	160428
PITX1	5307
CLEC10A	10462
PKNOX2	63876
AQP3	360
PAQR9	344838
SLC30A10	55532
TDH	157739
LONRF3	79836
AICDA	57379
KCNK10	54207
TEX11	56159
CD1C	911
NT5E	4907
RAB6B	51560
SERPINB2	5055
SERPINA1	5265
LILRA5	353514
RFPL2	10739
KIF26A	26153
LOC100128573	NA
NTRK1	4914
CORO2B	10391
CACNA1I	8911
TRIM10	10107
PID1	55022
VAT1L	57687
NOD2	64127
MRGPRE	116534
MYT1	4661
HUNK	30811
DNM3OS	100628315
C14orf37	NA
DSP	1832
MIR3153	100422936
HEY2	23493
C9orf84	NA
SLAMF9	89886
FAIM3	NA
ZNF385B	151126
PDE9A	5152
TMOD2	29767
SPRY4	81848
PRG3	10394
SYNGR4	23546
PNMA3	29944
MIRLET7D	406886
CD8B	926
TTC25	NA
CHAC1	79094
OMP	4975
ABCA1	19
FBP1	2203
CCDC68	80323
C12orf71	728858
EVI2B	2124
USHBP1	83878
PKHD1L1	93035
HBZ	3050
GNAZ	2781
MS4A7	58475
ASNS	440
LY96	23643
KIAA1614	57710
MIR302B	442894
CA1	759
SOD3	6649
TMPRSS4	56649
C14orf162	NA
PLXDC1	57125
MIR3607	NA
CCL3	6348
SLC15A3	51296
C10orf128	NA
ZFY	7544
CCL13	6357
SP7	121340
SDC1	6382
MYLK2	85366
