ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	entrezID
SH3TC2	-4.081444662	7.843852643	-16.47450942	8.01e-06	0.003490126	4.59840106	79628
ARG1	-1.99151478	10.85217002	-16.47316207	8.01e-06	0.003490126	4.598009656	383
NTS	-4.218427418	3.939831408	-16.42753764	8.13e-06	0.003490126	4.584728721	4922
BCAM	-2.576348401	7.411134716	-16.3405052	8.36e-06	0.003490126	4.559248048	4059
PAQR9	-1.890325975	10.08613359	-16.25120891	8.61e-06	0.003490126	4.53290355	344838
MATK	-2.202091002	3.834269616	-16.24121313	8.64e-06	0.003490126	4.5299418	4145
ABCA1	-2.682296356	5.601464778	-15.98127675	9.41e-06	0.003490126	4.452007853	19
BEST3	-2.199278826	7.036939899	-15.89876391	9.67e-06	0.003490126	4.426895499	144453
SIGLEC6	-3.149630339	8.21917892	-15.88868923	9.7e-06	0.003490126	4.423816826	946
LINC01133	-2.621708545	8.45528189	-15.80369835	9.98e-06	0.003490126	4.397735901	100505633
PVT1	-2.252301294	8.631088876	-15.76166931	1.01e-05	0.003490126	4.38476617	5820
EIF5AP2	-2.105444652	6.165634454	-15.74497591	1.02e-05	0.003490126	4.379601389	1986
CA1	-1.90169964	7.952958513	-15.65345619	1.05e-05	0.003490126	4.351150214	759
LINC02489	-2.373492633	2.771708817	-15.61367819	1.06e-05	0.003490126	4.338712179	101928919
MTRNR2L3	-3.183582262	3.315099465	-15.52578537	1.1e-05	0.003490126	4.311073156	100462983
APLNR	-3.195524536	5.851058329	-15.48990341	1.11e-05	0.003490126	4.299727417	187
SPON2	-4.290595598	5.509550179	-15.37250297	1.16e-05	0.003490126	4.262351408	10417
GAPDHP63	-1.584962501	0.79248125	-15.26788983	1.2e-05	0.003490126	4.228714656	442231
IPCEF1	-1.584962501	0.79248125	-15.26788983	1.2e-05	0.003490126	4.228714656	26034
LINC02664	-1.584962501	0.79248125	-15.26788983	1.2e-05	0.003490126	4.228714656	101929352
RHOJ	-1.584962501	0.79248125	-15.26788983	1.2e-05	0.003490126	4.228714656	57381
MT3	-1.584962501	0.79248125	-15.26788983	1.2e-05	0.003490126	4.228714656	4504
OR10Z1	-1.835477737	9.505580209	-15.20657515	1.22e-05	0.00349888	4.208852899	128368
ANKRD36BP2	-2.080401635	8.807256053	-15.11226758	1.27e-05	0.003542175	4.178089485	645784
USP32P3	-1.715827293	9.050494371	-15.0818255	1.28e-05	0.003544001	4.168103344	347716
SH3TC2-DT	-2.509459657	4.943650473	-14.97246459	1.33e-05	0.003646253	4.132001926	255187
CDH1	-1.741186305	11.14180096	-14.91697981	1.36e-05	0.003681731	4.113548859	999
ARL9	-1.841511546	8.840558411	-14.71500375	1.46e-05	0.003826392	4.045586267	132946
SYNGR1	-2.029352102	9.138117994	-14.67387303	1.48e-05	0.003826392	4.031592568	9145
ABO	-2.336130824	10.25718344	-14.50925143	1.57e-05	0.003986177	3.975054855	28
NFIX	-1.682714784	11.20738475	-14.44365353	1.61e-05	0.004008489	3.952287224	4784
RGS20	-2.148351889	7.742842618	-14.30102038	1.69e-05	0.004080533	3.902305653	8601
TGM5	-2.483737037	1.241868519	-14.29794124	1.7e-05	0.004080533	3.901219396	9333
MTATP6P27	-2.483737037	1.241868519	-14.29794124	1.7e-05	0.004080533	3.901219396	107075204
IL1R1	-2.006602619	6.211680657	-14.25108814	1.72e-05	0.004115735	3.884652408	3554
XAF1	-2.436707914	4.909734445	-14.20588272	1.75e-05	0.004116119	3.868599848	54739
CYP4F12	-2.261033516	6.996718438	-14.18145896	1.77e-05	0.004116119	3.859898906	66002
P2RY8	-3.971314586	6.866642034	-14.09503428	1.83e-05	0.004134135	3.828951441	286530
APOBR	-2.326811072	10.78138062	-14.08688286	1.83e-05	0.004134135	3.82601969	55911
HPGDS	-2.22213425	9.947228915	-14.08548384	1.83e-05	0.004134135	3.825516295	27306
C17orf99	-2.594739823	8.239239726	-14.04172736	1.86e-05	0.004134135	3.809738686	100141515
TRAF3IP3	-2.23150786	6.657732963	-14.0301814	1.87e-05	0.004134135	3.805564741	80342
MUC1	-2.089238728	9.862360833	-14.0228964	1.88e-05	0.004134135	3.802928854	4582
FCGR2A	-2.501091756	5.798084492	-14.0081054	1.89e-05	0.004134135	3.79757161	2212
MYL4	-1.68801185	12.51547351	-13.99459708	1.9e-05	0.004134135	3.792672489	4635
LY9	-2.271257219	6.481391793	-13.94900653	1.93e-05	0.004140162	3.776092304	4063
WSCD2	-4.307212139	5.586675409	-13.9107629	1.96e-05	0.00416796	3.76212946	9671
PNMT	-2.946277718	6.81841555	-13.82431445	2.02e-05	0.004209296	3.730382157	5409
CRYBG1	-4.942156881	6.835330821	-13.78461162	2.06e-05	0.004228006	3.715715254	202
B3GALNT1	-2.960997443	4.676736933	-13.76846543	2.07e-05	0.004228006	3.70973492	8706
MYADM	-1.947061918	4.999136158	-13.75390245	2.08e-05	0.004228006	3.704333191	91663
RIN3	-1.887256651	8.823000372	-13.71296449	2.11e-05	0.004263349	3.689108719	79890
SLC16A9	-4.449522999	5.883854807	-13.62479739	2.19e-05	0.004346762	3.65612004	220963
ABCB5	-3.710859173	5.865191996	-13.53229339	2.27e-05	0.004473105	3.621212061	340273
EPSTI1	-2.44275049	8.483761804	-13.50452659	2.29e-05	0.004489438	3.610673978	94240
CDK15	-4.283916347	4.726920674	-13.46865313	2.32e-05	0.004520449	3.597018091	65061
RFPL2	-2.350247075	5.136513711	-13.39896853	2.39e-05	0.004580582	3.570357994	10739
FRMD4A	-1.603856829	9.233876797	-13.32330709	2.46e-05	0.004686337	3.541210277	55691
CR1	-1.888165393	6.19099251	-13.27292581	2.51e-05	0.004729961	3.521684399	1378
FMNL1	-1.976219116	6.892265074	-13.26502703	2.52e-05	0.004729961	3.518614595	752
ACAP1	-2.267448392	8.163009678	-13.21260548	2.57e-05	0.004784818	3.498182429	9744
MIR3150BHG	-3.123769976	4.328287661	-13.18487459	2.6e-05	0.004784818	3.487332279	105375650
PCSK9	-3.248899416	7.921295513	-13.0575604	2.73e-05	0.004979876	3.437146004	255738
CACNA2D4	-1.946912819	6.815622823	-13.04783283	2.74e-05	0.004979876	3.433286123	93589
LINC01366	-1.804997256	8.037386443	-13.01923515	2.78e-05	0.004979876	3.421917627	257358
PCED1B	-1.840310829	7.298048437	-12.95445936	2.85e-05	0.005028138	3.396050799	91523
TESMIN	-3.208459569	5.411584706	-12.94958402	2.86e-05	0.005028138	3.394097373	9633
LINC00656	-1.532004719	6.368990418	-12.94740985	2.86e-05	0.005028138	3.393225939	200261
FAM83A	-1.559305302	10.59009054	-12.90424033	2.91e-05	0.005068056	3.375885066	84985
SLFN14	-1.535765142	10.83549066	-12.89352534	2.92e-05	0.005068056	3.371569687	342618
SLC22A16	-2.749701836	6.500192123	-12.83570743	2.99e-05	0.005068056	3.348206406	85413
CCDC144A	-2.020228339	4.327209074	-12.83067601	3e-05	0.005068056	3.346167079	9720
TSPO2	-2.497046186	7.72070098	-12.82031707	3.01e-05	0.005068056	3.341965267	222642
IQSEC3	-3.275258526	6.787431468	-12.79479494	3.04e-05	0.005090123	3.331594861	440073
CSF1	-1.7553442	8.183268007	-12.70120973	3.16e-05	0.00518287	3.293347024	1435
CCDC88B	-1.483704855	11.23291797	-12.69663537	3.17e-05	0.00518287	3.291468538	283234
KLC3	-2.907973567	7.622817966	-12.6807574	3.19e-05	0.00518287	3.284941644	147700
ARHGEF6	-1.395718281	10.0919839	-12.6636436	3.21e-05	0.00518287	3.27789539	9459
MRC2	-1.627617923	8.212599894	-12.63563512	3.25e-05	0.00518287	3.266337994	9902
S100A4	-1.947543564	10.4390813	-12.49991647	3.44e-05	0.005453144	3.209883452	6275
CSF2RB	-1.968385193	9.600825623	-12.46963986	3.48e-05	0.005465562	3.197186294	1439
PAQR9-AS1	-1.69089983	6.010401776	-12.45809401	3.5e-05	0.005465562	3.192334307	101927832
LINC01215	-2.450823271	8.420448664	-12.45358039	3.51e-05	0.005465562	3.190436018	101929623
RAP1GAP	-1.372370209	13.6801329	-12.42024762	3.56e-05	0.005480596	3.176391081	5909
ATP8B3	-2.105896322	6.737646668	-12.37588374	3.62e-05	0.005522278	3.157626275	148229
BTRC	-1.439326265	11.12360242	-12.31746734	3.71e-05	0.005578019	3.132791669	8945
GPLD1	-1.54485558	7.897353578	-12.27981487	3.77e-05	0.005578019	3.116708075	2822
SEMA4C	-2.034142312	7.968592508	-12.27898758	3.77e-05	0.005578019	3.116354016	54910
NCF4	-2.902196304	7.057816161	-12.25551517	3.81e-05	0.005578019	3.10629628	4689
PARP15	-1.900912753	7.50726803	-12.24980566	3.82e-05	0.005578019	3.103846256	165631
MTUS2	-2.250195788	6.086488067	-12.15609403	3.98e-05	0.005746311	3.063433784	23281
IKZF3	-1.679695069	4.15694244	-12.07634239	4.12e-05	0.005885724	3.028742661	22806
TMC8	-2.247989253	7.86866556	-12.04741285	4.17e-05	0.005898593	3.016090065	147138
PLVAP	-2.391767388	8.329474046	-11.99593708	4.26e-05	0.006001249	2.99348575	83483
BBOF1	-1.925972844	8.419675122	-11.92583985	4.4e-05	0.006100372	2.962515738	80127
KLHL30-AS1	-2.684908685	4.827563416	-11.92354155	4.4e-05	0.006100372	2.96149661	394261
HSD17B6	-1.394812853	5.905785774	-11.90116743	4.45e-05	0.006129602	2.951563007	8630
APOL1	-1.69864139	9.518097653	-11.83130445	4.58e-05	0.006258231	2.920400722	8542
RAB3IL1	-1.354896483	11.90147605	-11.79905314	4.65e-05	0.006285576	2.905940689	5866
NFYBP1	-1.45585692	3.387021768	-11.72851623	4.8e-05	0.006391091	2.874150017	440973
SPI1	-2.309110245	6.722955249	-11.7098341	4.84e-05	0.006413381	2.865691885	6688
HEMGN	-1.40884052	15.67068038	-11.66790121	4.93e-05	0.00647143	2.846648645	55363
CNRIP1	-1.708238049	8.197045761	-11.65808893	4.95e-05	0.00647143	2.842180792	25927
LAMB3	-1.743061929	8.536382487	-11.63046363	5.01e-05	0.006519197	2.829578075	3914
HRAT92	-1.408580739	4.366237682	-11.57803465	5.13e-05	0.006612052	2.80556202	NA
TMEM63C	-2.769510974	5.264837133	-11.53278474	5.24e-05	0.00665713	2.784730794	57156
EPB42	-1.248643721	13.71513199	-11.39977004	5.56e-05	0.006941199	2.722933795	2038
RHOH	-1.799355497	5.379491527	-11.35204867	5.69e-05	0.007030697	2.700556199	399
GPNMB	-2.043141445	5.669258792	-11.33800954	5.72e-05	0.007037717	2.693951954	10457
TREML2	-1.514662205	11.26388917	-11.31602475	5.78e-05	0.007052781	2.683590684	79865
TRDV2	-2.692271866	1.346135933	-11.24605758	5.97e-05	0.007157355	2.650458463	28517
DPY19L2	-1.422830894	8.345601945	-11.201079	6.1e-05	0.007215176	2.629032146	283417
ITSN1	-1.261688724	12.66783859	-11.20051474	6.1e-05	0.007215176	2.628762717	6453
TRIB2	-1.354094723	8.69430531	-11.1913247	6.13e-05	0.007215176	2.624372305	28951
FAM89A	-1.748916867	8.71652303	-11.17235493	6.18e-05	0.007248061	2.615296498	375061
ACSL5	-1.51622651	9.054841321	-11.1439275	6.26e-05	0.007313547	2.601662248	51703
FUT1	-1.259110794	8.60179884	-11.13331886	6.29e-05	0.007318739	2.596563829	2523
BSPRY	-1.746974	9.371249927	-11.11177468	6.36e-05	0.007322352	2.586192527	54836
TNXB	-1.311420426	10.15963247	-11.0941904	6.41e-05	0.007322352	2.577710228	7148
IFIT3	-1.295546399	9.165348472	-11.07231911	6.48e-05	0.007322352	2.567138217	3437
PEAR1	-1.716900605	8.049304739	-11.04111243	6.57e-05	0.007391736	2.552011845	375033
GCNT2	-1.581263264	6.4443879	-10.96077168	6.83e-05	0.007415666	2.512841309	2651
SPTA1	-1.252013406	16.41052868	-10.93405703	6.91e-05	0.007415666	2.499743149	6708
PTH2R	-2.164188191	6.517839559	-10.91847589	6.97e-05	0.007415666	2.492086741	5746
PIK3R1	-1.419696892	12.09482163	-10.91531023	6.98e-05	0.007415666	2.490529637	5295
NKAIN1	-1.723308334	0.861654167	-10.90832646	7e-05	0.007415666	2.487092668	79570
RPL21P37	-1.723308334	0.861654167	-10.90832646	7e-05	0.007415666	2.487092668	100129141
PRKAG3	-1.723308334	0.861654167	-10.90832646	7e-05	0.007415666	2.487092668	53632
NCOA4P3	-1.723308334	0.861654167	-10.90832646	7e-05	0.007415666	2.487092668	729497
APOA1	-1.723308334	0.861654167	-10.90832646	7e-05	0.007415666	2.487092668	335
IGLV3-21	-1.723308334	0.861654167	-10.90832646	7e-05	0.007415666	2.487092668	28796
PKD1L3	-1.527767129	7.730463712	-10.86717559	7.14e-05	0.007513732	2.466789431	342372
RCSD1	-2.421249271	8.560848429	-10.82924659	7.27e-05	0.007584154	2.447997658	92241
ALDH3B1	-1.301227005	8.810742141	-10.75578185	7.53e-05	0.007739248	2.411384953	221
C6orf223	-1.796677446	6.874781312	-10.72424909	7.65e-05	0.007799644	2.395582369	NA
APOBEC3A	-2.23158453	4.325577805	-10.71548555	7.68e-05	0.007803789	2.391181141	200315
FLT4	-2.072627374	6.275253508	-10.68434586	7.8e-05	0.007855032	2.37550899	2324
XACT	-2.044750883	8.287962278	-10.68159953	7.81e-05	0.007855032	2.374124308	105463123
LCP2	-1.368439351	9.583738676	-10.67920532	7.81e-05	0.007855032	2.372916838	3937
HOMER3	-1.797947759	4.665376552	-10.65146913	7.92e-05	0.007879416	2.358906206	9454
GPR65	-1.994181821	4.04018525	-10.64310112	7.95e-05	0.007879416	2.354671071	8477
GNA15	-1.572117023	9.190908594	-10.60037324	8.12e-05	0.007958641	2.332987074	2769
SEC14L4	-1.277950934	9.325084719	-10.56459032	8.26e-05	0.008041921	2.314751355	284904
PTPRF	-1.747517325	8.362840769	-10.53838137	8.37e-05	0.008117323	2.301350411	5792
APOL3	-2.312633758	6.928322315	-10.52413487	8.43e-05	0.008145637	2.294050227	80833
CAPG	-1.790575956	8.814383253	-10.51364763	8.47e-05	0.008159092	2.288669238	822
RNF215	-1.247235573	7.380908894	-10.49122292	8.57e-05	0.008163905	2.277142834	200312
C20orf202	-2.376427672	1.188213836	-10.46427874	8.68e-05	0.008207598	2.26325668	400831
PATE2	-2.817070371	1.408535185	-10.45946791	8.7e-05	0.008207598	2.260773102	399967
REPS2	-1.344814416	9.271586367	-10.42107567	8.87e-05	0.008336725	2.240907154	9185
TNS3	-1.293206179	8.587918291	-10.41338627	8.91e-05	0.008340081	2.236918424	64759
APOBEC2	-2.214306357	4.196082025	-10.38518593	9.03e-05	0.008402088	2.222261731	10930
HNF4A-AS1	-2.543118873	4.402331911	-10.38483784	9.03e-05	0.008402088	2.222080536	101927219
CTSS	-2.416413704	5.133958624	-10.3526978	9.18e-05	0.008480456	2.20532119	1520
TRIM67	-2.746246864	6.449396329	-10.32021737	9.33e-05	0.008568588	2.188325158	440730
RHCE	-1.215541856	10.32274045	-10.30897747	9.38e-05	0.008568588	2.182429741	6006
AHNAK	-1.202210045	11.7633115	-10.30534471	9.4e-05	0.008568588	2.180522795	79026
MLXIPL	-2.715829204	3.081222936	-10.22932875	9.77e-05	0.008873493	2.140447077	51085
BCL2	-1.338411049	6.201268777	-10.21767234	9.82e-05	0.008896483	2.134272517	596
TRIP6	-1.321332263	9.641412656	-10.18629391	9.98e-05	0.008975078	2.117612002	7205
ERAP2	-1.544737142	6.784104304	-10.18361133	9.99e-05	0.008975078	2.11618503	64167
SOX21	-2.96561231	5.15041116	-10.18086865	0.000100083	0.008975078	2.114725665	11166
CACNA1H	-1.456276759	8.222894801	-10.13933473	0.000102219	0.009136778	2.092572245	8912
LINC02037	-2.258789077	3.344013268	-10.12608688	0.000102912	0.009157595	2.085484958	101929337
ARPP21	-2.185712166	6.656607015	-10.07494528	0.000105638	0.00925849	2.058028992	10777
HSPB1	-1.070892791	9.75921988	-10.03811001	0.000107654	0.009377502	2.038158147	3315
UCA1	-1.138511458	9.71787536	-10.00512917	0.000109497	0.009448805	2.020298364	652995
TGM2	-1.085514595	11.61982388	-9.984400988	0.000110675	0.009520499	2.0090405	7052
KCNH2	-1.108982829	12.61259002	-9.967731994	0.000111633	0.009572895	1.999968629	3757
CCDC144CP	-1.258181881	6.940483436	-9.949618089	0.000112685	0.009603095	1.990091505	348254
PDE4A	-1.787131825	7.49195832	-9.932607313	0.000113684	0.009658205	1.980797937	5141
C1orf105	-2.733703205	5.59275815	-9.919832354	0.000114441	0.009692495	1.973807077	92346
CCDC136	-1.190867286	9.164677556	-9.875853532	0.000117092	0.009886518	1.949664986	64753
RPL22P5	-2.60459373	1.302296865	-9.845967728	0.000118935	0.009980698	1.93319215	100132479
RNF43	-2.778150566	6.736416179	-9.814687615	0.0001209	0.010114705	1.915892315	54894
RYR3	-1.24877192	10.98875962	-9.764513356	0.000124133	0.010291066	1.88801721	6263
FRY	-1.194557992	8.877629375	-9.754164913	0.000124813	0.010316225	1.88224862	10129
WIPI1	-1.256955577	8.544273565	-9.656572012	0.00013144	0.010734662	1.827518629	55062
MICALL1	-1.391542014	9.156356256	-9.625937691	0.000133605	0.01081492	1.81021562	85377
HLA-F-AS1	-1.978486583	4.348181824	-9.60219481	0.000135312	0.010888847	1.796764198	285830
FN3K	-1.225151467	10.4508151	-9.578047077	0.000137074	0.010941122	1.783046648	64122
HDAC7	-1.34587459	10.215611	-9.559797661	0.000138424	0.010978319	1.772655059	51564
PLXNC1	-1.379156835	8.668507446	-9.539567964	0.000139939	0.011034657	1.761110939	10154
SMIM5	-1.10963862	9.540425607	-9.527525913	0.00014085	0.011074656	1.754226642	643008
TMEM72	-4.639621079	4.433093874	-9.495917406	0.000143274	0.011202104	1.736111992	643236
ACP3	-3.244338441	3.452786919	-9.495747162	0.000143287	0.011202104	1.736014251	55
ITGAL	-2.255178249	2.958206823	-9.423313473	0.00014903	0.01147093	1.69425782	3683
PLAAT4	-3.504904685	1.752452342	-9.390846084	0.000151692	0.01147093	1.67542984	5920
HNF4A	-1.929206809	6.216719346	-9.363091658	0.000154012	0.01147093	1.659279935	3172
PARP10	-1.33429475	9.112886156	-9.361881276	0.000154114	0.01147093	1.658574474	84875
DYSF	-1.577625922	7.190675643	-9.35370165	0.000154807	0.01147093	1.653804504	8291
TPSG1	-2.577600608	4.17605967	-9.353396318	0.000154832	0.01147093	1.653626362	25823
PPP1R1C	-1.968963532	0.984481766	-9.334807557	0.000156419	0.01147093	1.642769416	151242
RPL7P56	-1.968963532	0.984481766	-9.334807557	0.000156419	0.01147093	1.642769416	728962
RN7SKP296	-1.968963532	0.984481766	-9.334807557	0.000156419	0.01147093	1.642769416	106481823
PCED1B-AS1	-2.328951956	5.624990295	-9.329570587	0.00015687	0.01147093	1.639706571	100233209
TRIM15	-1.166159941	4.997768792	-9.329503579	0.000156876	0.01147093	1.63966737	89870
WNT5B	-1.555274389	7.586853327	-9.319679429	0.000157725	0.01147093	1.633916745	81029
TRAF5	-1.627590821	6.804190168	-9.316554766	0.000157996	0.01147093	1.632086359	7188
PLD1	-1.028555982	9.439820869	-9.302603695	0.000159214	0.011505089	1.623906062	5337
BTN3A2	-1.016696786	8.452169699	-9.301385308	0.000159321	0.011505089	1.623191036	11118
DPEP2	-2.382015966	5.141590997	-9.246286178	0.000164244	0.011701379	1.590751471	64174
ZFP36L2	-1.229488479	10.69533358	-9.243189913	0.000164526	0.011701379	1.588922491	678
EPHB4	-1.254148916	10.17826229	-9.242404249	0.000164598	0.011701379	1.588458292	2050
PGF	-1.23764004	6.303677528	-9.216416146	0.000166988	0.011779737	1.573080078	5228
AKR1C1	-1.524101118	8.793081328	-9.20687786	0.000167875	0.011811973	1.567424418	1645
PRKCH	-1.636865704	5.295250369	-9.162896781	0.00017204	0.01199043	1.541266121	5583
ZNF165	-1.32704815	6.226956788	-9.146463593	0.000173627	0.012001239	1.531458391	7718
FCHO1	-2.522614727	6.748467179	-9.135060422	0.000174738	0.012022508	1.524641822	23149
ZBED6CL	-2.221819038	6.793376475	-9.129848934	0.000175249	0.012022508	1.521523534	NA
PRX	-1.907162955	6.093787541	-9.101562557	0.000178052	0.01217635	1.504565803	57716
ISG20	-1.130030334	10.03882971	-9.098293998	0.000178379	0.01217635	1.502602739	3669
APOL4	-1.212577379	10.12531284	-9.076119966	0.000180618	0.012268138	1.489265721	80832
STAR	-2.785440983	6.45380305	-9.062543407	0.000182005	0.012331826	1.481083	6770
NIBAN2	-1.176883854	11.72923613	-9.030350345	0.000185344	0.012496374	1.461628656	64855
SLC6A19	-1.461900522	6.957223654	-9.005476233	0.000187973	0.012635145	1.446547574	340024
RGS3	-1.362662583	9.258661338	-8.99217468	0.000189398	0.012649984	1.438465079	5998
PRRG4	-1.246472031	5.075936585	-8.99153652	0.000189466	0.012649984	1.438076998	79056
ZDBF2	-1.317639201	7.795752644	-8.984472025	0.000190228	0.012670021	1.433778982	57683
DEF6	-1.486755246	8.885117196	-8.954175121	0.000193536	0.012828095	1.415306522	50619
STYK1	-2.413760586	5.533295808	-8.943824535	0.000194682	0.012867732	1.40898074	55359
CMBL	-1.333527679	10.02777825	-8.939724526	0.000195138	0.012867732	1.40647291	134147
MYH7	-1.773949666	5.295377312	-8.936007753	0.000195553	0.012867732	1.404198461	4625
SLC17A9	-1.189552421	6.712859338	-8.931915978	0.00019601	0.012867732	1.401693397	63910
MORC1	-2.3940605	3.573457922	-8.91489239	0.000197927	0.012932469	1.391258443	27136
LINC02772	-1.098220946	12.3310031	-8.909026811	0.000198593	0.012932469	1.387658235	105371455
CBLN3	-1.708985571	4.980229629	-8.906489815	0.000198881	0.012932469	1.386100303	643866
PIGC	-1.047715667	9.840615075	-8.889421725	0.000200836	0.013006358	1.375607083	5279
IFITM1	-2.974037111	4.770934903	-8.823552809	0.000208596	0.013091714	1.334915687	8519
TCN1	-4.367161104	3.240222219	-8.820931807	0.000208912	0.013091714	1.333290052	6947
IL1RN	-1.880777627	6.063178828	-8.816150149	0.00020949	0.013091714	1.330323023	3557
RPL36P2	-2.076272897	1.038136448	-8.814065332	0.000209743	0.013091714	1.329028871	140751
SLC10A5	-2.076272897	1.038136448	-8.814065332	0.000209743	0.013091714	1.329028871	347051
PTPRB	-2.043096234	6.427041661	-8.812623018	0.000209918	0.013091714	1.328133368	5787
UCP3	-1.196090857	6.131722362	-8.762033691	0.000216164	0.013389379	1.296627772	7352
HBM	-1.463084734	8.865221641	-8.740073426	0.000218943	0.013501136	1.282893345	3042
ABCG2	-1.01677549	8.097300129	-8.706718327	0.000223244	0.013692224	1.261964533	9429
RPS16P5	-2.655261428	1.327630714	-8.70207141	0.000223851	0.013692224	1.259042291	647190
IRF6	-1.06567309	8.687072528	-8.700651753	0.000224037	0.013692224	1.258149213	3664
KHK	-1.406437353	6.573579493	-8.694996689	0.00022478	0.013699139	1.254590244	3795
OR2W3	-1.029473384	6.320709501	-8.688612103	0.000225621	0.013699139	1.250569311	343171
CPB1	-1.873319307	4.025588501	-8.680270627	0.000226726	0.013703928	1.245311401	1360
ACKR1	-1.531091091	6.751215987	-8.674261838	0.000227526	0.013722048	1.241520662	2532
LRFN4	-1.849174549	6.294299569	-8.634852588	0.000232854	0.013981964	1.216592103	78999
ARHGAP22	-1.731671994	5.484255273	-8.603248418	0.000237234	0.014213829	1.196516796	58504
GNGT2	-1.243062647	6.12181195	-8.592254101	0.00023878	0.014244262	1.189515497	2793
WT1-AS	-1.280591023	4.748543215	-8.566608674	0.000242433	0.014428686	1.173148783	51352
ZSCAN5A-AS1	-1.485664272	6.459669099	-8.533608152	0.00024723	0.014527268	1.152014833	112268243
ALOX12B	-1.570030259	6.352838811	-8.476361793	0.000255819	0.014881431	1.115156629	242
GALC	-1.141273306	9.894050699	-8.472993663	0.000256335	0.014881431	1.112980226	2581
EMP2	-1.398851614	5.901869245	-8.462311984	0.00025798	0.014881431	1.106072214	2013
FAM124B	-1.577912221	6.051751771	-8.45902049	0.000258489	0.014881431	1.10394178	79843
ZMIZ1	-1.047434392	10.22867821	-8.435317928	0.000262192	0.0149892	1.088575497	57178
TNFRSF1B	-1.515776707	7.056354279	-8.409320064	0.000266326	0.015078074	1.071671142	7133
