ID	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-427389		ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	47/808	76/10899	2.30E-34	2.51E-32	2.22E-32	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	47
R-HSA-201722		Formation of the beta-catenin:TCF transactivating complex	50/808	91/10899	5.45E-33	5.45E-31	4.82E-31	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/TLE4/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/PYGO1/H4C14/H4C1/TCF7	50
R-HSA-9610379		HCMV Late Events	55/808	116/10899	8.71E-32	8.05E-30	7.12E-30	H2BC18/H2BC14/H2AC15/H2BC9/VPS37D/H3C11/H2AC12/H3C13/H4C5/H2AC11/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2AC17/H2BC3/H2AC13/H2BC15/H2BC8/H3C1/H2AC21/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H2AC16/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	55
R-HSA-912446		Meiotic recombination	47/808	86/10899	6.28E-31	5.38E-29	4.76E-29	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	47
R-HSA-5625740		RHO GTPases activate PKNs	49/808	95/10899	1.26E-30	9.78E-29	8.65E-29	RHOB/H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/KLK3/H4C1	49
R-HSA-2559582		Senescence-Associated Secretory Phenotype (SASP)	53/808	112/10899	1.30E-30	9.78E-29	8.65E-29	H2BC14/H2BC9/H3C11/JUN/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/CDK6/H4C4/H4C2/MAPK3/H3C2/H4C15/H2BC21/H4C12/UBE2D1/H3C6/H4C11/H3C8/CXCL8/H3C12/H2AC20/H3C15/H4C14/CCNA1/H4C1	53
R-HSA-1912408		Pre-NOTCH Transcription and Translation	48/808	93/10899	4.88E-30	3.45E-28	3.05E-28	H2BC14/H2BC9/H3C11/JUN/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	48
R-HSA-977225		Amyloid fiber formation	52/808	111/10899	8.81E-30	5.88E-28	5.20E-28	CALB1/H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/APOA1/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/LYZ/H3C12/H2AC20/LTF/H3C15/H4C14/SORL1/H4C1	52
R-HSA-5250924		B-WICH complex positively regulates rRNA expression	47/808	91/10899	1.88E-29	1.13E-27	9.99E-28	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	47
R-HSA-73772		RNA Polymerase I Promoter Escape	47/808	91/10899	1.88E-29	1.13E-27	9.99E-28	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	47
R-HSA-9645723		Diseases of programmed cell death	49/808	105/10899	5.02E-28	2.87E-26	2.54E-26	H2BC14/H2BC9/H3C11/JUN/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/MLKL/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	49
R-HSA-8936459		RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	47/808	97/10899	7.63E-28	4.16E-26	3.68E-26	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	47
R-HSA-171306		Packaging Of Telomere Ends	35/808	52/10899	9.16E-28	4.79E-26	4.23E-26	H2BC14/H2BC9/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H2AX/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H4C13/H2BC17/H4C4/H4C2/H4C15/H2BC21/H4C12/H4C11/H2AC20/H4C14/H4C1	35
R-HSA-9609690		HCMV Early Events	54/808	135/10899	1.15E-26	5.76E-25	5.10E-25	H2BC18/H2BC14/H2AC15/H2BC9/H3C11/H2AC12/H3C13/H4C5/H2AC11/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2AC17/H2BC3/H2AC13/H2BC15/H2BC8/H3C1/H2AC21/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H2AC16/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	54
R-HSA-5617472		Activation of anterior HOX genes in hindbrain development during early embryogenesis	51/808	121/10899	1.59E-26	7.34E-25	6.49E-25	H2BC14/H2BC9/H3C11/JUN/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/MEIS1/MAFB/H3C12/H2AC20/H3C15/HOXA1/H4C14/H4C1	51
R-HSA-5619507		Activation of HOX genes during differentiation	51/808	121/10899	1.59E-26	7.34E-25	6.49E-25	H2BC14/H2BC9/H3C11/JUN/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/MEIS1/MAFB/H3C12/H2AC20/H3C15/HOXA1/H4C14/H4C1	51
R-HSA-1500620		Meiosis	50/808	118/10899	3.72E-26	1.66E-24	1.47E-24	H2BC14/H2BC9/H3C11/HSPA2/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/TEX12/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/SYCP1/H3C12/H2AC20/H3C15/H4C14/H4C1	50
R-HSA-110330		Recognition and association of DNA glycosylase with site containing an affected purine	35/808	56/10899	4.22E-26	1.69E-24	1.49E-24	H2BC14/H2BC9/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H2AX/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H4C13/H2BC17/H4C4/H4C2/H4C15/H2BC21/H4C12/H4C11/H2AC20/H4C14/H4C1	35
R-HSA-110331		Cleavage of the damaged purine	35/808	56/10899	4.22E-26	1.69E-24	1.49E-24	H2BC14/H2BC9/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H2AX/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H4C13/H2BC17/H4C4/H4C2/H4C15/H2BC21/H4C12/H4C11/H2AC20/H4C14/H4C1	35
R-HSA-73927		Depurination	35/808	56/10899	4.22E-26	1.69E-24	1.49E-24	H2BC14/H2BC9/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H2AX/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H4C13/H2BC17/H4C4/H4C2/H4C15/H2BC21/H4C12/H4C11/H2AC20/H4C14/H4C1	35
R-HSA-1912422		Pre-NOTCH Expression and Processing	48/808	109/10899	4.59E-26	1.78E-24	1.57E-24	H2BC14/H2BC9/H3C11/JUN/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	48
R-HSA-73854		RNA Polymerase I Promoter Clearance	48/808	110/10899	7.58E-26	2.84E-24	2.51E-24	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/MAPK3/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	48
R-HSA-2559580		Oxidative Stress Induced Senescence	51/808	125/10899	1.01E-25	3.60E-24	3.18E-24	H2BC14/H2BC9/H3C11/JUN/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/CDK6/H4C4/H4C2/MAPK3/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1/MAPK10	51
R-HSA-5250913		Positive epigenetic regulation of rRNA expression	47/808	106/10899	1.05E-25	3.60E-24	3.18E-24	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	47
R-HSA-5578749		Transcriptional regulation by small RNAs	47/808	106/10899	1.05E-25	3.60E-24	3.18E-24	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	47
R-HSA-2559586		DNA Damage/Telomere Stress Induced Senescence	41/808	80/10899	1.16E-25	3.87E-24	3.43E-24	H2BC14/H2BC9/H1-3/H1-5/H4C5/H4C6/H2BC4/H2BC10/H1-4/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H1-2/H2AC14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H2AX/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H4C13/H2BC17/H4C4/H4C2/H1-1/H4C15/H2BC21/H4C12/H4C11/H2AC20/H4C14/CCNA1/H4C1	41
R-HSA-427413		NoRC negatively regulates rRNA expression	47/808	107/10899	1.74E-25	5.65E-24	5.00E-24	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	47
R-HSA-73864		RNA Polymerase I Transcription	48/808	112/10899	2.03E-25	6.40E-24	5.66E-24	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/MAPK3/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	48
R-HSA-3214847		HATs acetylate histones	54/808	142/10899	2.19E-25	6.75E-24	5.97E-24	H2BC18/H2BC14/H2AC15/H2BC9/H3C11/H2AC12/H3C13/H4C5/H2AC11/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2AC17/H2BC3/H2AC13/H2BC15/H2BC8/H3C1/H2AC21/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H2AC16/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	54
R-HSA-5250941		Negative epigenetic regulation of rRNA expression	47/808	110/10899	7.64E-25	2.29E-23	2.03E-23	H2BC14/H2BC9/H3C11/H3C13/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H3C1/H2AX/H3C7/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H3C10/H4C13/H3C3/H2BC17/H4C4/H4C2/H3C2/H4C15/H2BC21/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	47
R-HSA-110328		Recognition and association of DNA glycosylase with site containing an affected pyrimidine	35/808	61/10899	2.67E-24	7.45E-23	6.59E-23	H2BC14/H2BC9/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H2AX/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H4C13/H2BC17/H4C4/H4C2/H4C15/H2BC21/H4C12/H4C11/H2AC20/H4C14/H4C1	35
R-HSA-110329		Cleavage of the damaged pyrimidine 	35/808	61/10899	2.67E-24	7.45E-23	6.59E-23	H2BC14/H2BC9/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H2AX/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H4C13/H2BC17/H4C4/H4C2/H4C15/H2BC21/H4C12/H4C11/H2AC20/H4C14/H4C1	35
R-HSA-73928		Depyrimidination	35/808	61/10899	2.67E-24	7.45E-23	6.59E-23	H2BC14/H2BC9/H4C5/H4C6/H2BC4/H2BC10/H2BC7/H2BC6/H4C3/H2AC4/H4C8/H2AC14/H2AC8/H4C9/H2BC3/H2BC15/H2BC8/H2AX/H2BC5/H2BC11/H2AC19/H2BC12/H2BC13/H2AC18/H4C13/H2BC17/H4C4/H4C2/H4C15/H2BC21/H4C12/H4C11/H2AC20/H4C14/H4C1	35
R-HSA-3214858		RMTs methylate histone arginines	39/808	79/10899	1.10E-23	3.01E-22	2.66E-22	H2AC15/H3C11/H2AC12/H3C13/H4C5/H2AC11/H4C6/H4C3/H2AC4/H4C8/H2AC14/H3C14/H2AC8/H4C9/H2AC17/H2AC13/H3C1/H2AC21/H2AX/H3C7/H2AC19/H2AC18/H3C10/H4C13/H3C3/H4C4/H4C2/H2AC16/H3C2/H4C15/H4C12/H3C6/H4C11/H3C8/H3C12/H2AC20/H3C15/H4C14/H4C1	39
