ID	MOLENAME	CAS	Target_Group	LOGFC_GPA	Genesymbol
T2315	GSK-LSD1 dihydrochloride	1431368-48-7	Histone methyltransferase and histone demethylase	-0.196157886	KDM1A
T2442	CPI203	202591-23-9	Bromodomain proteins (BRD)	-0.472538144	BRD4
T7385	WT-161	1206731-57-8	Histone acetyltransferase and histone deacetylases	0.135214752	HDAC6
T2S0300	Hydrocoumarin	119-84-6	Histone acetyltransferase and histone deacetylases	-0.193605469	SIRT1;SIRT2
T3458	EED226	2083627-02-3	Others	-0.201975681	EED
T3504	AZD5153 6-Hydroxy-2-naphthoic acid	1869912-40-2	Bromodomain proteins (BRD)	-0.079751994	BRD4
T5440	Dbet57	1883863-52-2	Bromodomain proteins (BRD)	0.219285982	BRD4
T5618	AK-1	330461-64-8	Histone acetyltransferase and histone deacetylases	-0.186205831	SIRT2
T6980	Scriptaid	287383-59-9	Histone acetyltransferase and histone deacetylases	-0.197087158	HDAC1,HDAC2,HDAC3
T6026	CPI203	1446144-04-2	Bromodomain proteins (BRD)	-0.13945824	BRD4
T6032	Birabresib	202590-98-5	Bromodomain proteins (BRD)	-0.440272943	BRD2; BRD3; BRD4
T7664	Pyroxamide	382180-17-8	Histone acetyltransferase and histone deacetylases	-0.242411148	HDAC1
T3509	ACY738	1375465-91-0	Histone acetyltransferase and histone deacetylases	-0.493790051	HDAC6
T6783	BI7273	1883429-21-7	Bromodomain proteins (BRD)	-0.108531117	BRD7; BRD9
T7378	BRD9539	1374601-41-8	Histone methyltransferase and histone demethylase	0.142211883	EHMT2
Y020-0921	Y020-0921	Y020-0921	Histone methyltransferase and histone demethylase	-0.01892287	KDM4E
Y031-4527	Y031-4527	Y031-4527	Histone methyltransferase and histone demethylase	-0.016050201	KDM4A
