ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	entrezID
GBP5	2.533352492	8.464181391	11.49481557	5.33e-05	0.006686603	2.767176726	115362
ASNS	1.565386297	8.214598193	11.49181091	5.34e-05	0.006686603	2.765784678	440
H2BC6	1.72394955	6.847645217	11.36558481	5.65e-05	0.00701879	2.706914779	8344
GADD45B	1.921102772	8.479072771	11.33035374	5.74e-05	0.007037717	2.690346498	4616
INSIG1	1.226686774	11.46669981	11.25720875	5.94e-05	0.007157355	2.655755074	3638
H4C3	1.994821723	7.492095478	11.24536453	5.97e-05	0.007157355	2.650129073	8364
LINC02432	1.969615854	5.763387681	11.24334572	5.98e-05	0.007157355	2.649169453	100507639
ACTG1	1.306252661	12.40538987	11.23656994	6e-05	0.007157355	2.645947181	71
FAM166A	2.466747036	7.664403488	11.12029786	6.33e-05	0.007322352	2.590298345	401565
ZSWIM6	1.565030644	8.298687157	11.09337601	6.41e-05	0.007322352	2.577317005	57688
SLC12A2	1.476269986	7.464489902	11.07526898	6.47e-05	0.007322352	2.568565516	6558
H2AC4	2.16485056	6.913559291	11.06989046	6.48e-05	0.007322352	2.565962779	8335
IQCN	2.118668689	6.900205071	10.94791511	6.87e-05	0.007415666	2.506542336	80726
GAPDHP72	1.723308334	0.861654167	10.90832646	7e-05	0.007415666	2.487092668	346085
GALNT9	1.723308334	0.861654167	10.90832646	7e-05	0.007415666	2.487092668	50614
TNP2	1.723308334	0.861654167	10.90832646	7e-05	0.007415666	2.487092668	7142
PRDM7	1.723308334	0.861654167	10.90832646	7e-05	0.007415666	2.487092668	11105
EFNB2	2.117505472	5.037632049	10.86467449	7.15e-05	0.007513732	2.465552586	1948
SLC22A17	3.009859747	4.674194754	10.84043443	7.23e-05	0.007572388	2.453548453	51310
SLC41A2	2.592814077	2.686382039	10.81181969	7.33e-05	0.007618874	2.439338308	84102
A2M	3.021003266	5.220262639	10.80260111	7.36e-05	0.007623813	2.434751187	2
H4C8	1.688549573	7.630771831	10.75861562	7.52e-05	0.007739248	2.412802508	8365
SNORD99	2.070411625	4.953501646	10.74642951	7.56e-05	0.007745259	2.406703554	692212
FAM43A	1.66467908	4.968803185	10.66014208	7.89e-05	0.007879416	2.363291695	131583
PARD6B	1.491348989	5.867781899	10.64293492	7.95e-05	0.007879416	2.354586917	84612
TAFA5	2.464105808	1.232052904	10.63048982	8e-05	0.007898851	2.348281222	25817
SPTAN1	1.135233616	8.232801685	10.60927062	8.09e-05	0.007952501	2.337510559	6709
NDRG1	1.695684168	9.020676327	10.57192752	8.23e-05	0.008041551	2.318496229	10397
SERTAD1	1.443124904	6.614135666	10.49540989	8.55e-05	0.008163905	2.279297061	29950
DCXR	1.300716506	9.957843499	10.49386894	8.56e-05	0.008163905	2.278504342	51181
HIPK2	1.38314086	8.105209068	10.47377516	8.64e-05	0.008206099	2.268155409	28996
RAB26	2.205095198	5.874641443	10.35982745	9.15e-05	0.008478848	2.209043949	25837
H1-2	1.393043588	11.26367405	10.31298605	9.36e-05	0.008568588	2.184533096	3006
WARS2-AS1	1.113029435	9.868261258	10.11899975	0.000103284	0.009157595	2.081689305	101929147
KLF7	1.649001872	7.446082722	10.11580293	0.000103453	0.009157595	2.079976218	8609
HSPA1A	1.353332422	11.4374925	10.10714872	0.000103911	0.009168583	2.075335676	3303
UACA	1.356055897	8.104511156	10.08041638	0.000105342	0.00925849	2.060973556	55075
SLC15A2	1.54776987	4.317003809	10.06932336	0.000105942	0.00925849	2.055001417	6565
KLHL29	1.477370338	3.397778477	10.03082248	0.000108058	0.009377502	2.034217366	114818
SV2A	1.610225064	6.484212625	10.02594657	0.000108329	0.009377502	2.031578923	9900
PODXL	1.378386223	8.514522009	9.953741166	0.000112445	0.009603095	1.992341462	5420
PLK2	1.829017957	7.459162363	9.864784246	0.000117771	0.009913314	1.943570024	10769
HEY2	1.240428723	7.93746768	9.793424569	0.000122258	0.010197219	1.904098244	23493
ZFYVE16	1.14895777	8.028728427	9.764947849	0.000124105	0.010291066	1.888259268	9765
AQP2	2.007911502	10.68441763	9.744069631	0.00012548	0.010340211	1.87661475	359
LINC01036	1.024367407	10.60317567	9.706664506	0.000127988	0.010515328	1.855684815	104169671
TSPYL2	1.417183051	11.02437238	9.693027147	0.000128917	0.010560046	1.848032343	64061
OR7E37P	1	0.5	9.632965968	0.000133105	0.010806291	1.814190604	100506759
CNNM4	1.495161829	7.454015376	9.611295629	0.000134655	0.010867825	1.801924454	26504
H4C10P	2.475308605	4.780773176	9.58686198	0.000136428	0.010941122	1.788058416	10337
TLE4	1.30314898	8.459752438	9.574580905	0.00013733	0.010941122	1.781074577	7091
MARCKSL1	1.413614118	9.81526399	9.571505163	0.000137556	0.010941122	1.779323997	65108
RASD1	2.057972068	7.961871139	9.546178227	0.000139442	0.01102715	1.764885986	51655
MALAT1	1.116148603	17.15566596	9.47477033	0.000144923	0.011297823	1.723956662	378938
HLA-A	1.197336905	11.72287917	9.439989854	0.000147684	0.01147093	1.703901676	3105
DPPA4	2.209311667	4.032867449	9.414947193	0.000149711	0.01147093	1.689412794	55211
H2AC14	1.762548215	8.145294987	9.376318631	0.000152901	0.01147093	1.666982861	8331
NEAT1	1.125126743	17.45240165	9.365095975	0.000153843	0.01147093	1.660447922	283131
SIX2	2.528320834	1.264160417	9.350271849	0.000155098	0.01147093	1.651803088	10736
TIPARP	1.417006131	8.437905901	9.349556393	0.000155159	0.01147093	1.651385495	25976
SLC9A3R1	1.218524984	9.253628239	9.348100598	0.000155283	0.01147093	1.65053568	9368
MAP3K5-AS1	1.968963532	0.984481766	9.334807557	0.000156419	0.01147093	1.642769416	101928461
NLGN4X	1.968963532	0.984481766	9.334807557	0.000156419	0.01147093	1.642769416	57502
LNCOC1	1.968963532	0.984481766	9.334807557	0.000156419	0.01147093	1.642769416	100288181
EIF4A2P2	1.968963532	0.984481766	9.334807557	0.000156419	0.01147093	1.642769416	100421579
H3C14	2.336329594	3.137128329	9.321587292	0.00015756	0.01147093	1.635034027	126961
H2BC20P	1.116674234	8.234648771	9.316373539	0.000158012	0.01147093	1.631980179	337873
CCSER2	1.198716838	8.321023923	9.280288825	0.000161185	0.01160916	1.610794562	54462
CYP1B1-AS1	1.468397208	6.61907728	9.271172327	0.000161999	0.011630166	1.605428403	285154
CSKMT	1.676840648	6.825811334	9.267536573	0.000162325	0.011630166	1.603286767	751071
CHAC1	1.45717423	8.791213758	9.236273956	0.000165158	0.011710861	1.584834863	79094
MIR616	1.699196901	9.102159447	9.173758292	0.000171	0.01199043	1.547738399	693201
H2AC8	2.37582094	7.770155164	9.162239036	0.000172103	0.01199043	1.540873917	3012
SRP54-AS1	1.212898162	4.265542389	9.161650157	0.00017216	0.01199043	1.540522753	100506157
BTG1-DT	1.894181616	5.659234292	9.154770291	0.000172822	0.012001239	1.536418343	101928617
H4C9	1.436988348	6.108351754	9.1506986	0.000173216	0.012001239	1.533987716	8294
EGR1	1.706344424	11.11101714	9.131909987	0.000175047	0.012022508	1.522756986	1958
ZFAS1	1.573684424	7.759062271	9.049031886	0.000183397	0.012395593	1.472926753	441951
PRKACA	1.004838612	10.71580564	8.960080794	0.000192886	0.012815958	1.418912386	5566
KALRN	1.704254148	6.165717873	8.888301296	0.000200966	0.013006358	1.37491753	8997
H2AC17	2.05261739	2.995272227	8.881617196	0.000201738	0.013025626	1.370802023	8336
ARRDC4	1.326449017	10.17443778	8.844505649	0.00020609	0.013091714	1.347893486	91947
H2BC3	2.107244878	6.826637711	8.835654898	0.000207145	0.013091714	1.342415367	3018
SLC8A3	1.553317387	6.51245408	8.835277846	0.00020719	0.013091714	1.342181867	6547
UNC13B	1.029815498	8.920644822	8.819436609	0.000209093	0.013091714	1.332362457	10497
OR13G1	2.076272897	1.038136448	8.814065332	0.000209743	0.013091714	1.329028871	441933
LINC01798	2.076272897	1.038136448	8.814065332	0.000209743	0.013091714	1.329028871	100507073
LINC00689	2.076272897	1.038136448	8.814065332	0.000209743	0.013091714	1.329028871	154822
PRDM12	2.076272897	1.038136448	8.814065332	0.000209743	0.013091714	1.329028871	59335
DIO3	2.076272897	1.038136448	8.814065332	0.000209743	0.013091714	1.329028871	1735
IDI1	1.043103999	10.96707136	8.780101241	0.000213908	0.013310332	1.307901144	3422
H2AC13	1.979104773	7.540080488	8.774164703	0.000214646	0.013326036	1.304199631	8329
OTULIN-DT	1.204576795	6.452912881	8.7582268	0.000216642	0.013389379	1.294249392	728178
H2BC15	1.516564407	7.253673904	8.70650244	0.000223272	0.013692224	1.261828806	8341
H2BC8	2.425810004	7.011098309	8.688406157	0.000225648	0.013699139	1.250439558	8339
KIF1B	1.029031039	8.783426486	8.683418574	0.000226308	0.013703928	1.247296263	23095
H3C1	2.30697037	6.546852987	8.650233621	0.000230757	0.013886434	1.226335246	8350
SNORD3A	1.523486572	9.15708769	8.595573955	0.000238312	0.014244262	1.191630574	780851
TSC22D3	1.275714191	10.34707178	8.559863476	0.000243404	0.014428686	1.168835791	1831
CATSPERG	1.311005585	7.567629612	8.559553928	0.000243449	0.014428686	1.168637778	57828
DUSP10	1.130375968	7.71310092	8.555631594	0.000244016	0.014431134	1.166128095	11221
H2AC21	1.710353879	6.042352481	8.545530769	0.000245484	0.014473427	1.159659768	317772
RNA5-8SN3	1.8018796	4.046510314	8.543460061	0.000245786	0.014473427	1.158332778	109910381
SERPINE2	1.086945617	6.83066839	8.508645969	0.000250933	0.014681967	1.135973692	5270
SNORA80B	2.208298991	2.827457829	8.478014472	0.000255566	0.014881431	1.11622423	100302743
SCAANT1	1.986452672	2.71653467	8.461663076	0.00025808	0.014881431	1.105652272	100861563
PLCB4	1.077528235	6.15267213	8.454294306	0.000259222	0.014881431	1.100881277	5332
SNAI1	2.494747064	4.899982719	8.437537004	0.000261843	0.0149892	1.090015959	6615
MIR191	1.363771722	4.086658901	8.413760269	0.000265614	0.015078074	1.074561972	406966
GNG8	2.175507198	5.238157303	8.408271299	0.000266494	0.015078074	1.070988111	94235
HBEGF	1.805548917	3.8952011	8.376388123	0.000271672	0.01524531	1.05018259	1839
RNVU1-25	1.773976032	2.276963016	8.329965627	0.000279424	0.015435443	1.019747034	115409981
RNVU1-27	1.673653808	5.215396666	8.329163372	0.00027956	0.015435443	1.019219568	115409988
MYBL1	1.433865687	6.469395458	8.312438336	0.000282418	0.015468293	1.008211643	4603
PIM3	1.370484985	8.477601686	8.308609051	0.000283077	0.015468293	1.005688209	415116
BTG1	1.130876581	10.22262649	8.28645022	0.000286927	0.01562216	0.991063092	694
H2AX	1.008715757	11.99759265	8.273817193	0.00028915	0.015650003	0.982707671	3014
CHCHD7	1.057379117	10.08894542	8.262693248	0.000291123	0.015708738	0.975339823	79145
H3C7	1.935469377	5.645513675	8.22843221	0.000297302	0.015845743	0.952585181	8968
TCAF1P1	1.05610525	5.066825657	8.159117617	0.000310278	0.016405288	0.906260673	653199
PCDH9	1.747977957	5.773665694	8.123770368	0.000317151	0.016663176	0.882487228	5101
H2BC5	1.507475553	8.394347065	8.118805079	0.000318131	0.016663176	0.879139558	3017
H2BC11	2.11687271	6.939604331	8.080975887	0.000325712	0.016992124	0.853568161	8970
RAMP1	1.52810269	4.994559825	8.076198557	0.000326684	0.017010514	0.850330457	10267
H2AC19	2.352363064	4.340132564	8.068446917	0.000328269	0.017060675	0.845072988	723790
FLI1	1.362410946	6.05947458	8.059469681	0.000330116	0.017062703	0.838978068	2313
MMRN1	1.364020884	6.206189577	8.048079445	0.000332477	0.017117271	0.831235287	22915
LINC00910	1.529922117	8.377750002	8.041490971	0.000333852	0.017155857	0.826751708	100130581
MAPRE3	1.087840619	7.864286709	8.033661582	0.000335494	0.017187056	0.821418977	22924
GBP4	1.528782188	8.414726228	8.003826256	0.00034184	0.017371153	0.801050853	115361
H2BC12	1.492057998	8.371031034	7.993506845	0.000344067	0.017437527	0.793988653	85236
H2BC13	2.058840164	6.167296058	7.991164894	0.000344575	0.017437527	0.792384672	8340
H2AC18	2.54718201	4.211518069	7.9866097	0.000345565	0.017437527	0.789263547	8337
CCDC181	1.250142618	3.61749795	7.96288049	0.000350779	0.017537416	0.772976611	57821
PTPN13	1.369683159	5.164655358	7.953732425	0.000352813	0.017537416	0.766685036	5783
SOCS1	2.079480895	7.111237075	7.944847545	0.000354802	0.017537416	0.76056771	8651
HOMER1	1.16955998	8.037160569	7.94246945	0.000355337	0.017537416	0.758929238	9456
RN7SKP255	1.452768317	7.415584965	7.930330514	0.000358081	0.017537416	0.750558243	106479209
SAT2	1.135923884	7.035373107	7.897263823	0.000365682	0.017537416	0.727692121	112483
ASCL2	2.234813883	2.94802464	7.893009805	0.000366673	0.017537416	0.724743652	430
SAP30L-AS1	1.446936728	9.196971355	7.883331555	0.000368941	0.017537416	0.718029887	386627
KCTD13-DT	1.538036282	3.697229756	7.88182894	0.000369295	0.017537416	0.716986811	107984836
IFRD1	1.13607991	6.724046421	7.875990808	0.000370672	0.017537416	0.712932304	3475
ZFR2	2.497284365	1.248642183	7.858480065	0.000374839	0.017537416	0.700753827	23217
ABTB2	1.435123693	7.092706397	7.842299911	0.000378739	0.017537416	0.689477376	25841
H3C10	1.426974564	7.288334115	7.840070005	0.00037928	0.017537416	0.687921521	8357
H4C13	1.941261009	7.948548517	7.830010634	0.000381733	0.017537416	0.680897552	8368
H3C3	2.241141999	6.876702931	7.8245844	0.000383063	0.017537416	0.677105055	8352
EAF2	1.435537395	7.779742275	7.810715968	0.000386489	0.017537416	0.667400594	55840
NEU1	1.065086167	10.23476248	7.797282149	0.000389841	0.017537416	0.657984388	4758
TTC22	2.163951032	1.081975516	7.790995353	0.000391422	0.017537416	0.65357239	55001
OR2W6P	2.163951032	1.081975516	7.790995353	0.000391422	0.017537416	0.65357239	81406
RBM12B-DT	2.163951032	1.081975516	7.790995353	0.000391422	0.017537416	0.65357239	105375645
AKAP17BP	2.163951032	1.081975516	7.790995353	0.000391422	0.017537416	0.65357239	139516
ZC2HC1A	1.152093494	5.112593572	7.772389806	0.000396144	0.017537416	0.640495122	51101
BICD1P1	1.830617699	0.915308849	7.771225073	0.000396442	0.017537416	0.639675465	391472
CYS1	1.830617699	0.915308849	7.771225073	0.000396442	0.017537416	0.639675465	192668
LINC01933	1.830617699	0.915308849	7.771225073	0.000396442	0.017537416	0.639675465	101927115
MDFI	1.830617699	0.915308849	7.771225073	0.000396442	0.017537416	0.639675465	4188
CROCCP1	1.830617699	0.915308849	7.771225073	0.000396442	0.017537416	0.639675465	392547
ALDOB	1.830617699	0.915308849	7.771225073	0.000396442	0.017537416	0.639675465	229
PPIAP42	1.830617699	0.915308849	7.771225073	0.000396442	0.017537416	0.639675465	100507231
OR2AG2	1.830617699	0.915308849	7.771225073	0.000396442	0.017537416	0.639675465	338755
KCNA1	1.830617699	0.915308849	7.771225073	0.000396442	0.017537416	0.639675465	3736
TMEM132B	1.830617699	0.915308849	7.771225073	0.000396442	0.017537416	0.639675465	114795
KCNH5	1.830617699	0.915308849	7.771225073	0.000396442	0.017537416	0.639675465	27133
LINC02250	1.830617699	0.915308849	7.771225073	0.000396442	0.017537416	0.639675465	105370737
SPPL2C	1.830617699	0.915308849	7.771225073	0.000396442	0.017537416	0.639675465	162540
KIAA1755	1.830617699	0.915308849	7.771225073	0.000396442	0.017537416	0.639675465	85449
MIR659	1.830617699	0.915308849	7.771225073	0.000396442	0.017537416	0.639675465	724029
CLDN5	1.830617699	0.915308849	7.771225073	0.000396442	0.017537416	0.639675465	7122
LINC01419	2.642622576	4.30507286	7.767434868	0.000397413	0.017537416	0.637007367	103352670
EGLN3	1.370650627	7.451094691	7.76207564	0.00039879	0.017537416	0.633232624	112399
RND1	1.670710161	5.068184293	7.752947656	0.00040115	0.017580518	0.626797605	27289
PPM1L-DT	1.28298098	6.579793109	7.750836957	0.000401698	0.017580518	0.625308575	119863869
IL6ST	1.042331224	11.29780839	7.741904695	0.000404026	0.017604004	0.619002834	3572
RB1-DT	1.485022837	4.324122698	7.733673458	0.000406186	0.017608432	0.613185794	100862704
APPL1	1.348771135	8.694308483	7.72339449	0.000408901	0.01767971	0.60591327	26060
SPNS2	1.302888279	6.193727394	7.683222902	0.000419721	0.018069068	0.577402033	124976
SPSB2	1.313532079	7.764131353	7.674344081	0.000422158	0.018129002	0.571081168	84727
CCNYL1	1.043395422	9.455793834	7.658830332	0.000426455	0.018256393	0.560020086	151195
H2BC17	2.001791307	6.262440602	7.643077839	0.000430871	0.018416696	0.548766881	8348
ITGB3	1.573221648	8.869793497	7.623675101	0.000436383	0.018508181	0.534875604	3690
UPK1A-AS1	2.056641667	1.028320834	7.605901287	0.000441506	0.01861284	0.52212098	100862728
IRGM	2.869110105	1.434555052	7.585365127	0.000447512	0.018772251	0.507348746	345611
H4C4	2.331800995	5.923710959	7.554258909	0.000456794	0.018963496	0.484900738	8360
H4C2	1.606219531	6.950287741	7.499220837	0.000473773	0.01940757	0.444966966	8366
IDH3A	1.119696972	9.685588841	7.496718101	0.000474563	0.01940757	0.443144493	3419
TM7SF2	1.14143891	8.833832062	7.478969347	0.000480206	0.019493108	0.430203517	7108
SNORD14E	2.271260397	3.599736006	7.463154849	0.000485301	0.019609469	0.418648461	85391
LRRC4B	2.014913238	7.079806257	7.450493676	0.000489425	0.019721472	0.40938081	94030
TJP1	1.235758634	7.662087729	7.428440247	0.000496708	0.019898042	0.393202892	7082
MIR23AHG	1.31662176	8.045212496	7.420173082	0.00049947	0.01990132	0.387126665	284454
RAB39B	1.062432393	7.63293842	7.416094079	0.00050084	0.01990132	0.384126328	116442
ZKSCAN7	1.528669658	5.378844341	7.398696687	0.000506731	0.020036333	0.371312185	55888
SCNN1A	1.788774071	2.61769537	7.363846194	0.000518779	0.020340162	0.345557878	6337
LINC-PINT	1.498470305	4.139210153	7.363605856	0.000518863	0.020340162	0.345379875	378805
SEMA6C	1.250485925	6.908109126	7.344327063	0.000525672	0.020512228	0.331083604	10500
H2AC16	1.643320019	7.85711283	7.341816655	0.000526567	0.020512228	0.329219428	8332
THSD1	1.821991488	2.879959276	7.341067547	0.000526834	0.020512228	0.32866304	55901
5_8S_rRNA	1.75289762	2.047313079	7.314601733	0.000536377	0.020619836	0.30897202	NA
SLC7A8	1.855606877	5.936269819	7.272466703	0.000551992	0.021019435	0.277485837	23428
LYRM4-AS1	1.238319496	4.734109976	7.262794446	0.000555651	0.021067404	0.270234201	100129461
DOP1B	1.202732877	6.749521416	7.258548937	0.000557266	0.021067404	0.267048367	9980
NCAM1	1.61724968	2.670279007	7.224144233	0.000570558	0.021308528	0.241167318	4684
KIF3A	1.046018065	9.435733844	7.213469005	0.000574758	0.021418039	0.233113708	11127
LAIR2	1.75099358	2.706114489	7.203918456	0.000578545	0.021438388	0.225899262	3904
TAC3	1.942164553	6.736670239	7.189368316	0.000584372	0.021438388	0.214891195	6866
FAM111B	1.499754987	5.829892809	7.161020637	0.000595923	0.021796652	0.19338548	374393
GPT2	1.200509591	8.809060392	7.157061105	0.000597557	0.021805268	0.190375394	84706
CRHR2	1.08880674	6.670140214	7.151314016	0.000599939	0.021863105	0.186003667	1395
KAZN-AS1	2.414920078	3.038077738	7.138711246	0.0006052	0.021967337	0.176405634	105376762
ETS1	2.165887595	5.329537334	7.115599324	0.000614991	0.022112551	0.158763634	2113
H1-1	2.335898005	4.272998857	7.079301686	0.000630743	0.022112551	0.130950595	3024
SH3BP5	1.441916602	5.347741237	7.060372971	0.000639144	0.022112551	0.116394848	9467
CCDC152	1.216303139	7.002392938	7.043801183	0.000646607	0.022112551	0.103622337	100129792
RBP7	1.389975	0.6949875	7.043152163	0.000646901	0.022112551	0.103121557	116362
ABHD17AP3	1.389975	0.6949875	7.043152163	0.000646901	0.022112551	0.103121557	648359
RPL30P2	1.389975	0.6949875	7.043152163	0.000646901	0.022112551	0.103121557	100270976
LRRTM1	1.389975	0.6949875	7.043152163	0.000646901	0.022112551	0.103121557	347730
AOX2P	1.389975	0.6949875	7.043152163	0.000646901	0.022112551	0.103121557	344454
FBXO40	1.389975	0.6949875	7.043152163	0.000646901	0.022112551	0.103121557	51725
NECTIN3-AS1	1.389975	0.6949875	7.043152163	0.000646901	0.022112551	0.103121557	100506555
RNU6-658P	1.389975	0.6949875	7.043152163	0.000646901	0.022112551	0.103121557	106479858
RBM24	1.389975	0.6949875	7.043152163	0.000646901	0.022112551	0.103121557	221662
MARCKSL1P2	1.389975	0.6949875	7.043152163	0.000646901	0.022112551	0.103121557	100913182
GNL2P1	1.389975	0.6949875	7.043152163	0.000646901	0.022112551	0.103121557	100270790
VCX	1.389975	0.6949875	7.043152163	0.000646901	0.022112551	0.103121557	26609
TRPM6	1.389975	0.6949875	7.043152163	0.000646901	0.022112551	0.103121557	140803
LMX1B	1.389975	0.6949875	7.043152163	0.000646901	0.022112551	0.103121557	4010
ENTPD2	1.389975	0.6949875	7.043152163	0.000646901	0.022112551	0.103121557	954
