ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	entrezID
SLIRP	4613.159641	-1.214054829	0.149760076	-8.106665394	5.2e-16	1.05e-13	81892
NOC2L	5690.67764	-1.782320682	0.220208691	-8.093779907	5.78e-16	1.16e-13	26155
JAZF1	299.040383	-1.452707791	0.180768349	-8.036295063	9.26e-16	1.77e-13	221895
LST1	149.4638735	-1.783034966	0.221977424	-8.032505877	9.55e-16	1.8e-13	7940
GMFG	389.5063326	-1.453743496	0.181460961	-8.011329191	1.13e-15	2.1e-13	9535
PPP1R14B	1463.84003	-1.076639476	0.134589431	-7.999435543	1.25e-15	2.26e-13	26472
SNRPF	6424.799345	-1.243908998	0.156436204	-7.95154167	1.84e-15	3.19e-13	6636
USE1	780.1775047	-1.309401448	0.166011117	-7.887432295	3.08e-15	5.19e-13	55850
ODAD4	640.4828704	-1.546752012	0.196285408	-7.880117147	3.27e-15	5.45e-13	83538
NOC2LP1	102.7940851	-1.580668798	0.200642449	-7.87803782	3.33e-15	5.49e-13	643276
RANBP1	12711.82959	-1.163681685	0.148291701	-7.847247533	4.25e-15	6.88e-13	5902
PSMC5	3041.090223	-1.007649699	0.128718164	-7.828341127	4.94e-15	7.85e-13	5705
EVA1C	43.63950695	-2.473471274	0.31637639	-7.818128518	5.36e-15	8.36e-13	59271
PQBP1	4459.782471	-1.438397633	0.184897309	-7.779440591	7.28e-15	1.1e-12	10084
METTL26	98.55676126	-1.905648102	0.245249696	-7.770236347	7.83e-15	1.17e-12	84326
HYAL3	92.30316629	-1.859180258	0.241600549	-7.695265025	1.41e-14	1.97e-12	8372
H2AC16	42.85978063	-3.141229716	0.410273882	-7.656421365	1.91e-14	2.58e-12	8332
SLC25A38	2773.749909	-1.437297068	0.188432791	-7.627637741	2.39e-14	3.17e-12	54977
KLC3	28.1284775	-5.309481892	0.70167074	-7.56691364	3.82e-14	4.74e-12	147700
PIN4	648.8508484	-1.309583224	0.17402096	-7.525433864	5.25e-14	6.38e-12	5303
NCBP2AS2	113.3058947	-1.564318726	0.20837237	-7.507323194	6.03e-14	7.17e-12	152217
H2AX	1065.544482	-1.118715035	0.150213438	-7.447503034	9.51e-14	1.08e-11	3014
NECTIN1	132.1637135	-1.769850857	0.237941915	-7.438163462	1.02e-13	1.15e-11	5818
SPARC	59.12254712	-1.911326686	0.257479376	-7.423222464	1.14e-13	1.25e-11	6678
CSF3R	117.0132842	-2.029473985	0.274837841	-7.384259678	1.53e-13	1.63e-11	1441
HRAT92	18.66550818	-3.064068591	0.415568413	-7.373198965	1.67e-13	1.75e-11	NA
DHRS4	384.8023051	-1.058761178	0.143680401	-7.368862923	1.72e-13	1.79e-11	10901
CORO1A	205.7108875	-1.922678698	0.262585866	-7.322095149	2.44e-13	2.41e-11	11151
H2AC14	88.19351972	-3.340482186	0.456560489	-7.316625655	2.54e-13	2.48e-11	8331
SCNM1	446.8699491	-1.195157803	0.164334776	-7.272701693	3.52e-13	3.29e-11	79005
SNRNP25	1357.280131	-1.122792859	0.154728737	-7.256524419	3.97e-13	3.65e-11	79622
C19orf18	22.78477544	-2.805623468	0.387060429	-7.248541209	4.21e-13	3.82e-11	147685
NDUFAF8	3154.340779	-1.56397098	0.216709655	-7.216895725	5.32e-13	4.76e-11	284184
PARVG	177.2560908	-1.55286501	0.215776337	-7.196641834	6.17e-13	5.38e-11	64098
G0S2	567.0949323	-1.056420918	0.146942116	-7.189367816	6.51e-13	5.64e-11	50486
CLTA	2890.416725	-1.033083642	0.143741217	-7.187107917	6.62e-13	5.68e-11	1211
WDR4	284.9026559	-1.559647259	0.217056623	-7.185439606	6.7e-13	5.72e-11	10785
PSMG4	245.2325209	-1.308482181	0.182851391	-7.155987044	8.31e-13	6.99e-11	389362
CENPM	346.3065263	-1.17836496	0.164842633	-7.148423569	8.78e-13	7.35e-11	79019
PSME2	1299.988182	-1.215184738	0.170362957	-7.132916447	9.83e-13	8.18e-11	5721
SLC2A4	125.0670777	-1.933169202	0.271183756	-7.12863199	1.01e-12	8.36e-11	6517
SPR	129.7406726	-1.413844858	0.198730094	-7.114397375	1.12e-12	9.14e-11	6697
CARD11	51.75735607	-1.848042947	0.260227389	-7.101646575	1.23e-12	9.88e-11	84433
RILP	1201.576994	-1.284655321	0.181384696	-7.082490147	1.42e-12	1.13e-10	83547
APOL3	111.5845899	-1.220707285	0.172569433	-7.073716724	1.51e-12	1.19e-10	80833
DTYMK	642.9760426	-1.203975129	0.170339341	-7.068097836	1.57e-12	1.22e-10	1841
RPL26L1	773.3086122	-1.04036018	0.147446639	-7.055841952	1.72e-12	1.32e-10	51121
SFMBT2	43.17254756	-1.906989063	0.270376553	-7.05308593	1.75e-12	1.35e-10	57713
H2AC8	54.32064533	-2.756221756	0.391490436	-7.040329729	1.92e-12	1.46e-10	3012
PODNL1	58.2550576	-2.184071085	0.311203123	-7.018152846	2.25e-12	1.66e-10	79883
E2F1	693.619348	-1.371679587	0.195707404	-7.008828272	2.4e-12	1.75e-10	1869
CYBA	269.8111067	-1.643507138	0.234679548	-7.003197145	2.5e-12	1.81e-10	1535
SMIM24	61.0313249	-1.958836235	0.280851008	-6.974645559	3.07e-12	2.16e-10	284422
LSM7	392.5145876	-1.317800269	0.189359906	-6.959235986	3.42e-12	2.38e-10	51690
TRIR	8326.569516	-1.018075981	0.146407299	-6.953724204	3.56e-12	2.47e-10	79002
H3C11	23.25117913	-3.353106123	0.482430522	-6.950443578	3.64e-12	2.51e-10	8354
GIHCG	770.753485	-1.449828731	0.208687466	-6.947368511	3.72e-12	2.56e-10	100506844
CD70	212.891086	-1.305286597	0.188124164	-6.938431348	3.96e-12	2.71e-10	970
ST8SIA6-AS1	129.7307351	-1.652163434	0.238792734	-6.918817873	4.55e-12	3.07e-10	100128098
RASAL3	168.4801137	-1.600534307	0.232322011	-6.889292591	5.61e-12	3.68e-10	64926
PAFAH1B3	400.3464685	-1.48443325	0.215654043	-6.883400986	5.84e-12	3.8e-10	5050
MRPL21	416.5322322	-1.10696538	0.161245235	-6.86510444	6.64e-12	4.31e-10	219927
CTSG	263.090713	-2.141555375	0.31244222	-6.854244528	7.17e-12	4.61e-10	1511
MBL1P	32.91274206	-2.732390211	0.39882036	-6.85118035	7.32e-12	4.68e-10	8512
GYPC	14566.35924	-1.10192226	0.160923455	-6.847493174	7.52e-12	4.76e-10	2995
RPL18AP3	220.0511315	-1.093515348	0.15974866	-6.845223916	7.64e-12	4.82e-10	390354
PAF1	9120.885978	-1.246187708	0.182190697	-6.840018323	7.92e-12	4.96e-10	54623
TMCC2	277.4005824	-1.567384534	0.229379368	-6.833153944	8.31e-12	5.19e-10	9911
COX7C	10805.15113	-1.083910534	0.158821517	-6.824708343	8.81e-12	5.48e-10	1350
PITPNA	648.7933199	-1.003214996	0.147054478	-6.822063543	8.97e-12	5.56e-10	5306
HP	25.15809347	-3.156590142	0.464215243	-6.799841638	1.05e-11	6.33e-10	3240
TIMM8B	2113.449346	-1.094704695	0.161065485	-6.796643587	1.07e-11	6.43e-10	26521
TOMM7	1191.082693	-1.260630011	0.186048124	-6.77582757	1.24e-11	7.27e-10	54543
PSMG3	647.4808972	-1.674833735	0.247284111	-6.772912848	1.26e-11	7.34e-10	84262
COX6C	11193.19745	-1.04012186	0.153609215	-6.771220484	1.28e-11	7.4e-10	1345
PAGE2B	68.53299216	-1.503855951	0.22219885	-6.768063611	1.31e-11	7.54e-10	389860
RPS25	3149.559684	-1.160128659	0.171525406	-6.763596658	1.35e-11	7.73e-10	6230
SNX22	410.2777329	-1.644698197	0.243408598	-6.756943721	1.41e-11	8.03e-10	79856
NFIX	342.8245101	-1.553988138	0.230075821	-6.754243599	1.44e-11	8.16e-10	4784
MRPS15	2952.299139	-1.214766258	0.179983742	-6.74931104	1.49e-11	8.33e-10	64960
SMIM4	204.8155761	-1.80586456	0.267626763	-6.747697949	1.5e-11	8.39e-10	440957
ANPEP	144.9591018	-1.377428098	0.205257857	-6.710720444	1.94e-11	1.06e-09	290
ARMH1	41.2648343	-3.095602968	0.462293534	-6.696184865	2.14e-11	1.16e-09	339541
CXCR4	27.99965466	-2.10910033	0.315033921	-6.694835653	2.16e-11	1.16e-09	7852
APLNR	55.24584827	-2.01175646	0.30054939	-6.693596873	2.18e-11	1.17e-09	187
AIF1	842.5271168	-1.500929158	0.224498954	-6.685684422	2.3e-11	1.22e-09	199
POLE4	268.8043087	-1.181706106	0.177111454	-6.672104362	2.52e-11	1.33e-09	56655
PHOSPHO1	249.7556591	-1.512837659	0.226772854	-6.671158541	2.54e-11	1.33e-09	162466
BATF	158.9101965	-1.346537566	0.202558708	-6.647640963	2.98e-11	1.53e-09	10538
HBA1	999.8191253	-2.674808447	0.402692511	-6.642309891	3.09e-11	1.58e-09	3039
TNK2-AS1	47.79318384	-3.452793024	0.519922073	-6.640981798	3.12e-11	1.58e-09	100128262
TNXB	1155.743676	-3.350457304	0.505303672	-6.630581741	3.34e-11	1.67e-09	7148
UROD	14785.41461	-1.438128561	0.217276129	-6.618898127	3.62e-11	1.79e-09	7389
HBM	240.4850746	-2.516511035	0.381776362	-6.591584203	4.35e-11	2.12e-09	3042
PGLS	91.42569977	-1.329080977	0.202443315	-6.565200603	5.2e-11	2.49e-09	25796
LGALS3BP	418.6600734	-1.078143532	0.164316507	-6.561382957	5.33e-11	2.54e-09	3959
SSNA1	1169.388082	-1.021387802	0.155789784	-6.556192417	5.52e-11	2.6e-09	8636
OAZ2	359.1001643	-1.018519895	0.155407699	-6.553857369	5.61e-11	2.64e-09	4947
CST7	117.2827993	-1.823314122	0.278318594	-6.551176107	5.71e-11	2.68e-09	8530
RPL13AP5	2239.86282	-1.779790177	0.272326414	-6.535503311	6.34e-11	2.95e-09	728658
CAMP	19.03658332	-3.73809152	0.572560294	-6.528729916	6.63e-11	3.06e-09	820
MBLAC1	63.50295458	-1.648567831	0.252841233	-6.520170033	7.02e-11	3.21e-09	255374
RAB44	49.62108182	-1.928180508	0.295802832	-6.518465346	7.1e-11	3.23e-09	401258
ISY1	249.8937804	-1.14035089	0.17507319	-6.513566656	7.34e-11	3.29e-09	57461
UXT	357.9365726	-1.507009011	0.23195111	-6.497097653	8.19e-11	3.62e-09	8409
RPS19BP1	2417.677038	-1.610069605	0.248008643	-6.491989899	8.47e-11	3.73e-09	91582
NDUFS7	246.6513716	-1.057087157	0.163105711	-6.480994132	9.11e-11	3.97e-09	374291
LINC02908	32.3166822	-2.17722353	0.336289718	-6.474249469	9.53e-11	4.12e-09	401563
IRF1-AS1	28.42554549	-1.900590662	0.293588205	-6.473661516	9.57e-11	4.12e-09	441108
POLR3GL	462.6860395	-1.186175417	0.183408005	-6.467413534	9.97e-11	4.28e-09	84265
CFD	73.23636189	-2.329322183	0.360167657	-6.467327478	9.98e-11	4.28e-09	1675
IER2	162.3979837	-1.356588774	0.2098874	-6.46341216	1.02e-10	4.38e-09	9592
GSTZ1	465.198768	-1.228651372	0.190859459	-6.437466478	1.21e-10	5.14e-09	2954
TMEM186	341.6429556	-1.360211888	0.211312788	-6.436959633	1.22e-10	5.14e-09	25880
H2AJ	4783.961731	-1.955035697	0.3043558	-6.423520424	1.33e-10	5.56e-09	55766
HDGFL2	10444.7609	-1.476336986	0.230010832	-6.418554176	1.38e-10	5.73e-09	84717
HRAS	1245.823446	-2.006631458	0.313603072	-6.39863458	1.57e-10	6.43e-09	3265
H1-5	192.397764	-3.427178591	0.535978191	-6.394250081	1.61e-10	6.59e-09	3009
ATP1B2	201.6551497	-1.709549287	0.268035087	-6.378080215	1.79e-10	7.25e-09	482
TSPO2	88.85932332	-1.551935395	0.243392423	-6.376268325	1.81e-10	7.32e-09	222642
ECI2	728.9653112	-1.189495315	0.186613043	-6.374127414	1.84e-10	7.41e-09	10455
MXD3	451.2534391	-1.296401324	0.203665094	-6.365358421	1.95e-10	7.83e-09	83463
EMSY-DT	216.2212867	-1.661229685	0.261243531	-6.358931377	2.03e-10	8.1e-09	120883616
PSMA4	6087.265709	-1.006847176	0.158328771	-6.359218028	2.03e-10	8.1e-09	5685
RPS27AP16	513.4634065	-1.715707009	0.269919206	-6.356372465	2.07e-10	8.22e-09	643358
ZNF524	170.3041783	-2.232447663	0.351368737	-6.353575111	2.1e-10	8.31e-09	147807
SELENOW	106.6687804	-1.136316869	0.178923181	-6.350864452	2.14e-10	8.4e-09	6415
PPOX	771.8833649	-1.046855867	0.164896926	-6.34854687	2.17e-10	8.49e-09	5498
RPL22P1	683.0399378	-1.786155282	0.281399385	-6.347402926	2.19e-10	8.53e-09	125371
NDUFB11	757.9762855	-1.599511923	0.252509553	-6.334461028	2.38e-10	9.2e-09	54539
COX5B	3397.724525	-1.181433402	0.186677059	-6.328755163	2.47e-10	9.5e-09	1329
SNRPD1	16126.11473	-1.157087026	0.183110716	-6.319056861	2.63e-10	1e-08	6632
DEFA4	104.699536	-2.27243869	0.359649711	-6.318477728	2.64e-10	1.01e-08	1669
H1-4	293.0297067	-2.895494954	0.458543429	-6.314549	2.71e-10	1.03e-08	3008
ATG4D	128.1329925	-1.126816404	0.178556056	-6.310715115	2.78e-10	1.05e-08	84971
ATP5IF1	20043.54059	-1.036466243	0.16478335	-6.289872391	3.18e-10	1.19e-08	93974
H2AC12	17.3398895	-3.701625088	0.588673043	-6.28808323	3.21e-10	1.2e-08	85235
H1-3	26.26541158	-3.818166615	0.608394367	-6.275808627	3.48e-10	1.27e-08	3007
FCGRT	150.6037613	-1.128880773	0.179906381	-6.274823425	3.5e-10	1.28e-08	2217
H2AC20	30.11965393	-3.157363695	0.503682201	-6.268563169	3.64e-10	1.33e-08	8338
IQCD	134.9414103	-1.361690187	0.217794075	-6.252191138	4.05e-10	1.47e-08	115811
AP2S1	383.6189806	-1.192376348	0.190879835	-6.246738164	4.19e-10	1.51e-08	1175
IGFBP4	52.56424194	-1.87286634	0.300003778	-6.242809173	4.3e-10	1.54e-08	3487
NDUFA1	761.665432	-1.030503581	0.165083094	-6.242332629	4.31e-10	1.55e-08	4694
ID1	36.68696855	-1.996630327	0.319945512	-6.240532371	4.36e-10	1.56e-08	3397
PTTG1	1322.262911	-1.035206422	0.165989603	-6.236573859	4.47e-10	1.59e-08	9232
EIF3B	7259.318213	-1.270638546	0.203746234	-6.236378078	4.48e-10	1.59e-08	8662
PITX1	12.97137468	-3.606689672	0.57866151	-6.232814188	4.58e-10	1.62e-08	5307
PRTN3	133.685325	-2.171291298	0.348738656	-6.226127389	4.78e-10	1.69e-08	5657
WDR18	291.8055043	-1.282935093	0.206508774	-6.212496766	5.21e-10	1.84e-08	57418
NUDT8	98.33477323	-1.190148027	0.191919317	-6.201293563	5.6e-10	1.97e-08	254552
IQSEC3	65.77360854	-1.524566066	0.245988426	-6.197714634	5.73e-10	2e-08	440073
HSPB1	902.2432863	-1.387275264	0.224101485	-6.190388526	6e-10	2.09e-08	3315
VAV1	470.9825216	-1.287652846	0.208077387	-6.188336306	6.08e-10	2.11e-08	7409
EIF1	1953.30445	-1.145379913	0.185181502	-6.185174562	6.2e-10	2.14e-08	10209
GSTO1	2617.421383	-1.204446796	0.195024424	-6.175876692	6.58e-10	2.26e-08	9446
RGL4	66.37577639	-2.434176085	0.394555472	-6.169414079	6.85e-10	2.35e-08	266747
RPS20	7871.545167	-1.566817589	0.254398151	-6.158918933	7.32e-10	2.48e-08	6224
PPP1R14BP3	252.7099304	-1.171828677	0.190290058	-6.158118253	7.36e-10	2.49e-08	100507617
TSKS	85.50333115	-1.835832427	0.298195604	-6.156470468	7.44e-10	2.51e-08	60385
LAGE3	78.47796782	-1.236447659	0.20134057	-6.141075601	8.2e-10	2.74e-08	8270
YTHDF3-DT	33.78627981	-1.909610675	0.311531327	-6.129754884	8.8e-10	2.92e-08	101410533
LAMTOR1	1351.582537	-1.583727632	0.25865205	-6.123004379	9.18e-10	3.04e-08	55004
POLR2I	24.26792963	-3.250961005	0.531838023	-6.11269008	9.8e-10	3.24e-08	5438
CD300LF	30.50398878	-2.290080315	0.374765445	-6.110702956	9.92e-10	3.26e-08	146722
AKR1C1	677.1262523	-1.166031936	0.190860875	-6.109329293	1e-09	3.28e-08	1645
SPNS3	13.03816375	-3.387193917	0.554712031	-6.10622039	1.02e-09	3.34e-08	201305
MYL4	4911.51393	-1.438396913	0.23560429	-6.105138875	1.03e-09	3.35e-08	4635
GADD45B	54.40147456	-1.569807855	0.257187823	-6.10374099	1.04e-09	3.37e-08	4616
SMIM10	1924.982146	-1.021886703	0.167469921	-6.101911896	1.05e-09	3.4e-08	644538
TXNRD2	338.9152298	-1.33151189	0.218326759	-6.098711392	1.07e-09	3.47e-08	10587
RIBC2	215.2867076	-1.082705319	0.177686676	-6.093339925	1.11e-09	3.56e-08	26150
RPS5	4614.361891	-1.667426793	0.274215439	-6.080718144	1.2e-09	3.83e-08	6193
RFXANK	512.7699039	-1.177596072	0.194282875	-6.061244824	1.35e-09	4.28e-08	8625
AUP1	3090.618099	-1.182139082	0.195291208	-6.053211982	1.42e-09	4.48e-08	550
SUPV3L1	617.2970108	-1.25707106	0.208293149	-6.035105165	1.59e-09	4.95e-08	6832
UQCRQ	3190.129059	-1.040350371	0.17252189	-6.03025143	1.64e-09	5.08e-08	27089
UBALD2	411.1385244	-1.41516104	0.234942244	-6.023442266	1.71e-09	5.28e-08	283991
RANBP1P1	65.42009964	-2.010985937	0.334008522	-6.020762363	1.74e-09	5.35e-08	389842
C10orf95-AS1	170.1109819	-1.141291855	0.190099122	-6.003667152	1.93e-09	5.87e-08	100505761
SAC3D1	638.2440523	-2.12281454	0.353710767	-6.001554764	1.95e-09	5.93e-08	29901
AGAP3	668.5387394	-1.369968545	0.228282455	-6.001199469	1.96e-09	5.93e-08	116988
ARPC3	12359.00275	-1.211476422	0.201897973	-6.000438769	1.97e-09	5.95e-08	10094
ZBTB4	511.0856125	-1.021080508	0.170346645	-5.994133375	2.05e-09	6.16e-08	57659
RPS28P7	244.3029842	-2.206144527	0.368229125	-5.991227684	2.08e-09	6.23e-08	646195
PMVK	553.1423738	-1.046300256	0.174847303	-5.984080036	2.18e-09	6.44e-08	10654
NDUFB9	2201.114153	-1.357692728	0.226904134	-5.983552184	2.18e-09	6.45e-08	4715
RPL36AL	26797.53392	-1.329999996	0.222424841	-5.979547915	2.24e-09	6.58e-08	6166
COMMD6	198.5412629	-1.400003872	0.234244576	-5.976675735	2.28e-09	6.68e-08	170622
S100A4	2884.7034	-1.793546893	0.300172397	-5.975056042	2.3e-09	6.72e-08	6275
RPS12	14317.96008	-1.674160097	0.280201256	-5.974848656	2.3e-09	6.72e-08	6206
H2AC11	24.07081806	-2.905310656	0.487168606	-5.963665595	2.47e-09	7.17e-08	8969
RN7SL1	928.4933494	-2.613448485	0.43891185	-5.954381233	2.61e-09	7.54e-08	6029
MRPL11	1327.501993	-1.219292013	0.204948546	-5.949259161	2.69e-09	7.76e-08	65003
AHSP	5740.878717	-1.314058803	0.221169382	-5.94141372	2.83e-09	8.05e-08	51327
ATP5MF	165.4799615	-1.089589343	0.183426262	-5.940203602	2.85e-09	8.1e-08	9551
ATP5F1E	6186.665639	-1.46028087	0.245837783	-5.940018067	2.85e-09	8.1e-08	514
PSMD13	1964.577094	-1.156373416	0.194722911	-5.938558584	2.88e-09	8.14e-08	5719
RPL13P12	81.8195775	-2.297779257	0.387425959	-5.930886159	3.01e-09	8.52e-08	388344
RNASEH2C	2569.957794	-1.361502567	0.229666734	-5.928166174	3.06e-09	8.63e-08	84153
CYP2F2P	24.1491376	-2.369881578	0.400257066	-5.920898785	3.2e-09	8.98e-08	171427
H1-2	1480.222315	-1.452428489	0.245331066	-5.920279528	3.21e-09	9e-08	3006
RPS28	624.2193477	-2.138376725	0.361611576	-5.91346314	3.35e-09	9.33e-08	6234
MRPL23	493.8747262	-2.420338707	0.409342906	-5.912741302	3.36e-09	9.36e-08	6150
PPP6R1	4241.681012	-1.468119425	0.248742446	-5.902166877	3.59e-09	9.93e-08	22870
STK32C	270.0470759	-1.33929386	0.227670085	-5.882607991	4.04e-09	1.11e-07	282974
TPRA1	313.7458639	-1.260572834	0.214949249	-5.864513774	4.5e-09	1.23e-07	131601
COPS3	2889.654337	-1.168330222	0.199445867	-5.857881336	4.69e-09	1.27e-07	8533
C20orf27	437.559031	-1.06314615	0.181801752	-5.847832253	4.98e-09	1.34e-07	54976
CRYZL2P	70.56362829	-2.066492699	0.353864078	-5.839792242	5.23e-09	1.41e-07	730102
EIF3K	3541.746198	-1.541074468	0.264795823	-5.819859428	5.89e-09	1.56e-07	27335
TMC8	305.3043908	-1.900045105	0.32671777	-5.815554826	6.04e-09	1.59e-07	147138
RPL32	9917.793912	-1.424464514	0.245104907	-5.811652366	6.19e-09	1.62e-07	6161
EVPL	707.7933511	-2.876499669	0.496119709	-5.79799515	6.71e-09	1.76e-07	2125
H4C5	41.44325437	-3.682951715	0.635275401	-5.797409612	6.73e-09	1.76e-07	8367
COX6B2	23.66553149	-4.323893823	0.746076679	-5.795508622	6.81e-09	1.78e-07	125965
RPL6P27	1819.992868	-1.301407628	0.22505415	-5.782642206	7.35e-09	1.9e-07	645387
PAXX	201.5948509	-1.41011544	0.243966244	-5.779961254	7.47e-09	1.93e-07	286257
SMIM1	732.6991106	-1.369752729	0.237013163	-5.779226401	7.5e-09	1.93e-07	388588
STK35	133.134062	-1.160614322	0.200967959	-5.775121213	7.69e-09	1.98e-07	140901
POLR2L	671.7975716	-1.334193819	0.231095042	-5.773355448	7.77e-09	1.99e-07	5441
FAU	16803.83078	-1.561389093	0.270518363	-5.77184142	7.84e-09	2e-07	2197
ZNF8-DT	679.5250036	-1.398113639	0.242709987	-5.760428957	8.39e-09	2.13e-07	105372482
HEIH	266.7156218	-1.689993439	0.293440596	-5.759235301	8.45e-09	2.14e-07	100859930
PPIH	325.1888948	-1.226720078	0.213029733	-5.758445357	8.49e-09	2.15e-07	10465
NDUFB1	1228.694094	-1.174998049	0.204345987	-5.750042211	8.92e-09	2.25e-07	4707
H1-10	728.799643	-1.882684811	0.327714798	-5.744888008	9.2e-09	2.3e-07	8971
ATP5PO	440.7929046	-1.837268573	0.32007772	-5.740070174	9.46e-09	2.36e-07	539
DICER1-AS1	45.44094932	-1.73929059	0.303175674	-5.736906813	9.64e-09	2.4e-07	400242
RTN4RL2	34.79201866	-4.096648289	0.715303639	-5.72714588	1.02e-08	2.53e-07	349667
FKBP11	101.39687	-1.673739607	0.292296424	-5.726172022	1.03e-08	2.54e-07	51303
SEC11C	556.7156632	-1.124514356	0.196428818	-5.724793184	1.04e-08	2.55e-07	90701
IRF1	67.03468133	-1.413493651	0.246973417	-5.723262313	1.04e-08	2.56e-07	3659
SCYL1	810.5281073	-1.012702636	0.177146905	-5.716739081	1.09e-08	2.66e-07	57410
SART1	12664.88853	-1.500058363	0.262923225	-5.705309453	1.16e-08	2.8e-07	9092
SURF2	1312.194211	-1.988781576	0.348908328	-5.700011765	1.2e-08	2.88e-07	6835
NAPRT	833.430119	-1.609806651	0.282489963	-5.698633097	1.21e-08	2.9e-07	93100
POMC	28.41207937	-2.295443935	0.402999241	-5.695901382	1.23e-08	2.93e-07	5443
