ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
CDH1	-1.741186305	11.14180096	-14.91697981	1.36E-05	0.003681731	4.113548859
HSPA2	2.070357181	9.561892546	14.72159548	1.45E-05	0.003826392	4.047824063
ARL9	-1.841511546	8.840558411	-14.71500375	1.46E-05	0.003826392	4.045586267
LINC01447	2.317891592	5.449645025	14.70690399	1.46E-05	0.003826392	4.042834673
HSPA1B	1.646007863	9.325293046	14.68257245	1.47E-05	0.003826392	4.034556709
SYNGR1	-2.029352102	9.138117994	-14.67387303	1.48E-05	0.003826392	4.031592568
ESPN	1.688915469	10.78426286	14.61210038	1.51E-05	0.003876073	4.010477053
ABO	-2.336130824	10.25718344	-14.50925143	1.57E-05	0.003986177	3.975054855
H1-3	2.348786833	8.429184866	14.46230414	1.60E-05	0.004008489	3.958774408
NFIX	-1.682714784	11.20738475	-14.44365353	1.61E-05	0.004008489	3.952287224
JUN	1.755830098	11.22904166	14.31090734	1.69E-05	0.004080533	3.905791483
RGS20	-2.148351889	7.742842618	-14.30102038	1.69E-05	0.004080533	3.902305653
TGM5	-2.483737037	1.241868519	-14.29794124	1.70E-05	0.004080533	3.901219396
MTATP6P27	-2.483737037	1.241868519	-14.29794124	1.70E-05	0.004080533	3.901219396
IL1R1	-2.006602619	6.211680657	-14.25108814	1.72E-05	0.004115735	3.884652408
XAF1	-2.436707914	4.909734445	-14.20588272	1.75E-05	0.004116119	3.868599848
SNHG5	2.411625118	9.433915461	14.20302787	1.76E-05	0.004116119	3.867583825
CYP4F12	-2.261033516	6.996718438	-14.18145896	1.77E-05	0.004116119	3.859898906
P2RY8	-3.971314586	6.866642034	-14.09503428	1.83E-05	0.004134135	3.828951441
APOBR	-2.326811072	10.78138062	-14.08688286	1.83E-05	0.004134135	3.82601969
HPGDS	-2.22213425	9.947228915	-14.08548384	1.83E-05	0.004134135	3.825516295
C17orf99	-2.594739823	8.239239726	-14.04172736	1.86E-05	0.004134135	3.809738686
TRAF3IP3	-2.23150786	6.657732963	-14.0301814	1.87E-05	0.004134135	3.805564741
MUC1	-2.089238728	9.862360833	-14.0228964	1.88E-05	0.004134135	3.802928854
FCGR2A	-2.501091756	5.798084492	-14.0081054	1.89E-05	0.004134135	3.79757161
MYL4	-1.68801185	12.51547351	-13.99459708	1.90E-05	0.004134135	3.792672489
TRO	1.9734568	6.523073205	13.97236177	1.91E-05	0.004136117	3.784594856
LY9	-2.271257219	6.481391793	-13.94900653	1.93E-05	0.004140162	3.776092304
WSCD2	-4.307212139	5.586675409	-13.9107629	1.96E-05	0.00416796	3.76212946
H2AC12	2.204099512	8.043215709	13.85427237	2.00E-05	0.004209296	3.741413017
CSRNP2	1.911740796	10.86450738	13.83815851	2.01E-05	0.004209296	3.735483556
PNMT	-2.946277718	6.81841555	-13.82431445	2.02E-05	0.004209296	3.730382157
CRYBG1	-4.942156881	6.835330821	-13.78461162	2.06E-05	0.004228006	3.715715254
B3GALNT1	-2.960997443	4.676736933	-13.76846543	2.07E-05	0.004228006	3.70973492
MYADM	-1.947061918	4.999136158	-13.75390245	2.08E-05	0.004228006	3.704333191
RIN3	-1.887256651	8.823000372	-13.71296449	2.11E-05	0.004263349	3.689108719
H3C13	2.353747696	8.094586099	13.67014434	2.15E-05	0.004302532	3.67312135
SLC16A9	-4.449522999	5.883854807	-13.62479739	2.19E-05	0.004346762	3.65612004
ABCB5	-3.710859173	5.865191996	-13.53229339	2.27E-05	0.004473105	3.621212061
EPSTI1	-2.44275049	8.483761804	-13.50452659	2.29E-05	0.004489438	3.610673978
CDK15	-4.283916347	4.726920674	-13.46865313	2.32E-05	0.004520449	3.597018091
H1-5	2.663723226	9.744239447	13.39914347	2.39E-05	0.004580582	3.570425145
RFPL2	-2.350247075	5.136513711	-13.39896853	2.39E-05	0.004580582	3.570357994
FRMD4A	-1.603856829	9.233876797	-13.32330709	2.46E-05	0.004686337	3.541210277
CR1	-1.888165393	6.19099251	-13.27292581	2.51E-05	0.004729961	3.521684399
FMNL1	-1.976219116	6.892265074	-13.26502703	2.52E-05	0.004729961	3.518614595
ACAP1	-2.267448392	8.163009678	-13.21260548	2.57E-05	0.004784818	3.498182429
H4C5	2.017614809	8.456344508	13.1875161	2.60E-05	0.004784818	3.488367055
MIR3150BHG	-3.123769976	4.328287661	-13.18487459	2.60E-05	0.004784818	3.487332279
PCSK9	-3.248899416	7.921295513	-13.0575604	2.73E-05	0.004979876	3.437146004
CACNA2D4	-1.946912819	6.815622823	-13.04783283	2.74E-05	0.004979876	3.433286123
SNHG12	1.99517928	9.227607744	13.0338989	2.76E-05	0.004979876	3.427750855
LINC01366	-1.804997256	8.037386443	-13.01923515	2.78E-05	0.004979876	3.421917627
PCED1B	-1.840310829	7.298048437	-12.95445936	2.85E-05	0.005028138	3.396050799
TESMIN	-3.208459569	5.411584706	-12.94958402	2.86E-05	0.005028138	3.394097373
LINC00656	-1.532004719	6.368990418	-12.94740985	2.86E-05	0.005028138	3.393225939
FAM83A	-1.559305302	10.59009054	-12.90424033	2.91E-05	0.005068056	3.375885066
SLFN14	-1.535765142	10.83549066	-12.89352534	2.92E-05	0.005068056	3.371569687
FOLR3	2.302296865	1.151148433	12.87502592	2.94E-05	0.005068056	3.36410863
H2AC11	2.227871061	8.749496931	12.83886395	2.99E-05	0.005068056	3.34948529
SLC22A16	-2.749701836	6.500192123	-12.83570743	2.99E-05	0.005068056	3.348206406
CCDC144A	-2.020228339	4.327209074	-12.83067601	3.00E-05	0.005068056	3.346167079
TSPO2	-2.497046186	7.72070098	-12.82031707	3.01E-05	0.005068056	3.341965267
IQSEC3	-3.275258526	6.787431468	-12.79479494	3.04E-05	0.005090123	3.331594861
H4C6	1.872084843	6.74201523	12.77108141	3.07E-05	0.005108779	3.321936226
CSF1	-1.7553442	8.183268007	-12.70120973	3.16E-05	0.00518287	3.293347024
CCDC88B	-1.483704855	11.23291797	-12.69663537	3.17E-05	0.00518287	3.291468538
KLC3	-2.907973567	7.622817966	-12.6807574	3.19E-05	0.00518287	3.284941644
RNA5SP37	1.366182739	7.010316695	12.67694837	3.19E-05	0.00518287	3.283374376
ARHGEF6	-1.395718281	10.0919839	-12.6636436	3.21E-05	0.00518287	3.27789539
RSPH1	1.847538737	4.425044614	12.64605416	3.23E-05	0.00518287	3.270641001
MRC2	-1.627617923	8.212599894	-12.63563512	3.25E-05	0.00518287	3.266337994
S100A4	-1.947543564	10.4390813	-12.49991647	3.44E-05	0.005453144	3.209883452
CSF2RB	-1.968385193	9.600825623	-12.46963986	3.48E-05	0.005465562	3.197186294
PAQR9-AS1	-1.69089983	6.010401776	-12.45809401	3.50E-05	0.005465562	3.192334307
LINC01215	-2.450823271	8.420448664	-12.45358039	3.51E-05	0.005465562	3.190436018
PAM	1.4161218	9.653211038	12.43606377	3.53E-05	0.005474924	3.183061059
RAP1GAP	-1.372370209	13.6801329	-12.42024762	3.56E-05	0.005480596	3.176391081
H2BC4	1.658688287	7.2733709	12.3779002	3.62E-05	0.005522278	3.158480972
ATP8B3	-2.105896322	6.737646668	-12.37588374	3.62E-05	0.005522278	3.157626275
BTRC	-1.439326265	11.12360242	-12.31746734	3.71E-05	0.005578019	3.132791669
PEG10	2.650428238	4.884454	12.30615618	3.73E-05	0.005578019	3.127966315
GPLD1	-1.54485558	7.897353578	-12.27981487	3.77E-05	0.005578019	3.116708075
SEMA4C	-2.034142312	7.968592508	-12.27898758	3.77E-05	0.005578019	3.116354016
KBTBD13	1.81981054	2.49486777	12.27863969	3.78E-05	0.005578019	3.116205122
NCF4	-2.902196304	7.057816161	-12.25551517	3.81E-05	0.005578019	3.10629628
PARP15	-1.900912753	7.50726803	-12.24980566	3.82E-05	0.005578019	3.103846256
H2BC10	2.383326067	7.588740618	12.24405907	3.83E-05	0.005578019	3.101378911
DGAT1	1.581270794	9.356855981	12.2376454	3.84E-05	0.005578019	3.098623489
MTUS2	-2.250195788	6.086488067	-12.15609403	3.98E-05	0.005746311	3.063433784
SNORD12C	2.121997399	6.498579091	12.12763109	4.03E-05	0.005786785	3.051084416
IKZF3	-1.679695069	4.15694244	-12.07634239	4.12E-05	0.005885724	3.028742661
CA3-AS1	1.653163849	6.91644911	12.04776301	4.17E-05	0.005898593	3.016243431
TMC8	-2.247989253	7.86866556	-12.04741285	4.17E-05	0.005898593	3.016090065
PLVAP	-2.391767388	8.329474046	-11.99593708	4.26E-05	0.006001249	2.99348575
FRG2C	3.261544949	1.630772474	11.98342752	4.29E-05	0.006003295	2.987974823
BBOF1	-1.925972844	8.419675122	-11.92583985	4.40E-05	0.006100372	2.962515738
KLHL30-AS1	-2.684908685	4.827563416	-11.92354155	4.40E-05	0.006100372	2.96149661
HSD17B6	-1.394812853	5.905785774	-11.90116743	4.45E-05	0.006129602	2.951563007
U1	1.620079504	4.135799726	11.84270792	4.56E-05	0.006257942	2.925502251
APOL1	-1.69864139	9.518097653	-11.83130445	4.58E-05	0.006258231	2.920400722
ERBB3	1.796104317	6.177162915	11.80308951	4.64E-05	0.006285576	2.907753002
RAB3IL1	-1.354896483	11.90147605	-11.79905314	4.65E-05	0.006285576	2.905940689
H1-4	2.274751994	9.764263872	11.73721035	4.78E-05	0.006391091	2.878080715
DMXL2	2.197187286	7.352945882	11.73024217	4.79E-05	0.006391091	2.874930608
NFYBP1	-1.45585692	3.387021768	-11.72851623	4.80E-05	0.006391091	2.874150017
SPI1	-2.309110245	6.722955249	-11.7098341	4.84E-05	0.006413381	2.865691885
HEMGN	-1.40884052	15.67068038	-11.66790121	4.93E-05	0.00647143	2.846648645
CNRIP1	-1.708238049	8.197045761	-11.65808893	4.95E-05	0.00647143	2.842180792
H2BC7	2.080208666	6.391752138	11.6574676	4.95E-05	0.00647143	2.841897729
LAMB3	-1.743061929	8.536382487	-11.63046363	5.01E-05	0.006519197	2.829578075
ADCY6	1.678331807	6.28410988	11.5794694	5.13E-05	0.006612052	2.806220947
HRAT92	-1.408580739	4.366237682	-11.57803465	5.13E-05	0.006612052	2.80556202
NANOS1	2.407984312	5.049407894	11.54023667	5.22E-05	0.00665713	2.788167999
TMEM63C	-2.769510974	5.264837133	-11.53278474	5.24E-05	0.00665713	2.784730794
MUC4	1.889186529	4.154378804	11.53200652	5.24E-05	0.00665713	2.78437169
FZD9	2.830617699	1.415308849	11.50882415	5.30E-05	0.006686603	2.773661185
GBP5	2.533352492	8.464181391	11.49481557	5.33E-05	0.006686603	2.767176726
ASNS	1.565386297	8.214598193	11.49181091	5.34E-05	0.006686603	2.765784678
EPB42	-1.248643721	13.71513199	-11.39977004	5.56E-05	0.006941199	2.722933795
H2BC6	1.72394955	6.847645217	11.36558481	5.65E-05	0.00701879	2.706914779
RHOH	-1.799355497	5.379491527	-11.35204867	5.69E-05	0.007030697	2.700556199
GPNMB	-2.043141445	5.669258792	-11.33800954	5.72E-05	0.007037717	2.693951954
GADD45B	1.921102772	8.479072771	11.33035374	5.74E-05	0.007037717	2.690346498
TREML2	-1.514662205	11.26388917	-11.31602475	5.78E-05	0.007052781	2.683590684
INSIG1	1.226686774	11.46669981	11.25720875	5.94E-05	0.007157355	2.655755074
TRDV2	-2.692271866	1.346135933	-11.24605758	5.97E-05	0.007157355	2.650458463
H4C3	1.994821723	7.492095478	11.24536453	5.97E-05	0.007157355	2.650129073
LINC02432	1.969615854	5.763387681	11.24334572	5.98E-05	0.007157355	2.649169453
ACTG1	1.306252661	12.40538987	11.23656994	6.00E-05	0.007157355	2.645947181
DPY19L2	-1.422830894	8.345601945	-11.201079	6.10E-05	0.007215176	2.629032146
ITSN1	-1.261688724	12.66783859	-11.20051474	6.10E-05	0.007215176	2.628762717
TRIB2	-1.354094723	8.69430531	-11.1913247	6.13E-05	0.007215176	2.624372305
FAM89A	-1.748916867	8.71652303	-11.17235493	6.18E-05	0.007248061	2.615296498
ACSL5	-1.51622651	9.054841321	-11.1439275	6.26E-05	0.007313547	2.601662248
FUT1	-1.259110794	8.60179884	-11.13331886	6.29E-05	0.007318739	2.596563829
FAM166A	2.466747036	7.664403488	11.12029786	6.33E-05	0.007322352	2.590298345
BSPRY	-1.746974	9.371249927	-11.11177468	6.36E-05	0.007322352	2.586192527
TNXB	-1.311420426	10.15963247	-11.0941904	6.41E-05	0.007322352	2.577710228
ZSWIM6	1.565030644	8.298687157	11.09337601	6.41E-05	0.007322352	2.577317005
SLC12A2	1.476269986	7.464489902	11.07526898	6.47E-05	0.007322352	2.568565516
IFIT3	-1.295546399	9.165348472	-11.07231911	6.48E-05	0.007322352	2.567138217
H2AC4	2.16485056	6.913559291	11.06989046	6.48E-05	0.007322352	2.565962779
PEAR1	-1.716900605	8.049304739	-11.04111243	6.57E-05	0.007391736	2.552011845
GCNT2	-1.581263264	6.4443879	-10.96077168	6.83E-05	0.007415666	2.512841309
IQCN	2.118668689	6.900205071	10.94791511	6.87E-05	0.007415666	2.506542336
SPTA1	-1.252013406	16.41052868	-10.93405703	6.91E-05	0.007415666	2.499743149
PTH2R	-2.164188191	6.517839559	-10.91847589	6.97E-05	0.007415666	2.492086741
PIK3R1	-1.419696892	12.09482163	-10.91531023	6.98E-05	0.007415666	2.490529637
NKAIN1	-1.723308334	0.861654167	-10.90832646	7.00E-05	0.007415666	2.487092668
RPL21P37	-1.723308334	0.861654167	-10.90832646	7.00E-05	0.007415666	2.487092668
PRKAG3	-1.723308334	0.861654167	-10.90832646	7.00E-05	0.007415666	2.487092668
NCOA4P3	-1.723308334	0.861654167	-10.90832646	7.00E-05	0.007415666	2.487092668
GAPDHP72	1.723308334	0.861654167	10.90832646	7.00E-05	0.007415666	2.487092668
GALNT9	1.723308334	0.861654167	10.90832646	7.00E-05	0.007415666	2.487092668
TNP2	1.723308334	0.861654167	10.90832646	7.00E-05	0.007415666	2.487092668
PRDM7	1.723308334	0.861654167	10.90832646	7.00E-05	0.007415666	2.487092668
APOA1	-1.723308334	0.861654167	-10.90832646	7.00E-05	0.007415666	2.487092668
IGLV3-21	-1.723308334	0.861654167	-10.90832646	7.00E-05	0.007415666	2.487092668
PKD1L3	-1.527767129	7.730463712	-10.86717559	7.14E-05	0.007513732	2.466789431
EFNB2	2.117505472	5.037632049	10.86467449	7.15E-05	0.007513732	2.465552586
SLC22A17	3.009859747	4.674194754	10.84043443	7.23E-05	0.007572388	2.453548453
RCSD1	-2.421249271	8.560848429	-10.82924659	7.27E-05	0.007584154	2.447997658
SLC41A2	2.592814077	2.686382039	10.81181969	7.33E-05	0.007618874	2.439338308
A2M	3.021003266	5.220262639	10.80260111	7.36E-05	0.007623813	2.434751187
H4C8	1.688549573	7.630771831	10.75861562	7.52E-05	0.007739248	2.412802508
ALDH3B1	-1.301227005	8.810742141	-10.75578185	7.53E-05	0.007739248	2.411384953
SNORD99	2.070411625	4.953501646	10.74642951	7.56E-05	0.007745259	2.406703554
C6orf223	-1.796677446	6.874781312	-10.72424909	7.65E-05	0.007799644	2.395582369
APOBEC3A	-2.23158453	4.325577805	-10.71548555	7.68E-05	0.007803789	2.391181141
FLT4	-2.072627374	6.275253508	-10.68434586	7.80E-05	0.007855032	2.37550899
XACT	-2.044750883	8.287962278	-10.68159953	7.81E-05	0.007855032	2.374124308
LCP2	-1.368439351	9.583738676	-10.67920532	7.81E-05	0.007855032	2.372916838
FAM43A	1.66467908	4.968803185	10.66014208	7.89E-05	0.007879416	2.363291695
HOMER3	-1.797947759	4.665376552	-10.65146913	7.92E-05	0.007879416	2.358906206
GPR65	-1.994181821	4.04018525	-10.64310112	7.95E-05	0.007879416	2.354671071
PARD6B	1.491348989	5.867781899	10.64293492	7.95E-05	0.007879416	2.354586917
TAFA5	2.464105808	1.232052904	10.63048982	8.00E-05	0.007898851	2.348281222
SPTAN1	1.135233616	8.232801685	10.60927062	8.09E-05	0.007952501	2.337510559
GNA15	-1.572117023	9.190908594	-10.60037324	8.12E-05	0.007958641	2.332987074
NDRG1	1.695684168	9.020676327	10.57192752	8.23E-05	0.008041551	2.318496229
SEC14L4	-1.277950934	9.325084719	-10.56459032	8.26E-05	0.008041921	2.314751355
PTPRF	-1.747517325	8.362840769	-10.53838137	8.37E-05	0.008117323	2.301350411
APOL3	-2.312633758	6.928322315	-10.52413487	8.43E-05	0.008145637	2.294050227
CAPG	-1.790575956	8.814383253	-10.51364763	8.47E-05	0.008159092	2.288669238
SERTAD1	1.443124904	6.614135666	10.49540989	8.55E-05	0.008163905	2.279297061
DCXR	1.300716506	9.957843499	10.49386894	8.56E-05	0.008163905	2.278504342
RNF215	-1.247235573	7.380908894	-10.49122292	8.57E-05	0.008163905	2.277142834
HIPK2	1.38314086	8.105209068	10.47377516	8.64E-05	0.008206099	2.268155409
C20orf202	-2.376427672	1.188213836	-10.46427874	8.68E-05	0.008207598	2.26325668
PATE2	-2.817070371	1.408535185	-10.45946791	8.70E-05	0.008207598	2.260773102
REPS2	-1.344814416	9.271586367	-10.42107567	8.87E-05	0.008336725	2.240907154
TNS3	-1.293206179	8.587918291	-10.41338627	8.91E-05	0.008340081	2.236918424
APOBEC2	-2.214306357	4.196082025	-10.38518593	9.03E-05	0.008402088	2.222261731
HNF4A-AS1	-2.543118873	4.402331911	-10.38483784	9.03E-05	0.008402088	2.222080536
RAB26	2.205095198	5.874641443	10.35982745	9.15E-05	0.008478848	2.209043949
CTSS	-2.416413704	5.133958624	-10.3526978	9.18E-05	0.008480456	2.20532119
TRIM67	-2.746246864	6.449396329	-10.32021737	9.33E-05	0.008568588	2.188325158
H1-2	1.393043588	11.26367405	10.31298605	9.36E-05	0.008568588	2.184533096
RHCE	-1.215541856	10.32274045	-10.30897747	9.38E-05	0.008568588	2.182429741
AHNAK	-1.202210045	11.7633115	-10.30534471	9.40E-05	0.008568588	2.180522795
MLXIPL	-2.715829204	3.081222936	-10.22932875	9.77E-05	0.008873493	2.140447077
BCL2	-1.338411049	6.201268777	-10.21767234	9.82E-05	0.008896483	2.134272517
TRIP6	-1.321332263	9.641412656	-10.18629391	9.98E-05	0.008975078	2.117612002
ERAP2	-1.544737142	6.784104304	-10.18361133	9.99E-05	0.008975078	2.11618503
SOX21	-2.96561231	5.15041116	-10.18086865	0.000100083	0.008975078	2.114725665
CACNA1H	-1.456276759	8.222894801	-10.13933473	0.000102219	0.009136778	2.092572245
LINC02037	-2.258789077	3.344013268	-10.12608688	0.000102912	0.009157595	2.085484958
WARS2-AS1	1.113029435	9.868261258	10.11899975	0.000103284	0.009157595	2.081689305
KLF7	1.649001872	7.446082722	10.11580293	0.000103453	0.009157595	2.079976218
HSPA1A	1.353332422	11.4374925	10.10714872	0.000103911	0.009168583	2.075335676
UACA	1.356055897	8.104511156	10.08041638	0.000105342	0.00925849	2.060973556
ARPP21	-2.185712166	6.656607015	-10.07494528	0.000105638	0.00925849	2.058028992
SLC15A2	1.54776987	4.317003809	10.06932336	0.000105942	0.00925849	2.055001417
